日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,14071999.0,671571062.0,47.8,47.85,47.5,47.8,+0.45,7420.0,False,,,
111/03/02,8187419.0,391264267.0,47.8,48.0,47.6,48.0,+0.20,5924.0,False,,,
111/03/03,7565742.0,362783289.0,47.95,48.05,47.8,48.05,+0.05,5946.0,False,,,
111/03/04,11071393.0,527906917.0,47.8,47.85,47.5,47.65,-0.40,7319.0,False,,,
111/03/07,16991368.0,799794535.0,47.45,47.45,46.9,47.1,-0.55,10408.0,False,,,
111/03/08,15765001.0,740634811.0,47.0,47.15,46.85,46.95,-0.15,10827.0,False,,,
111/03/09,5574119.0,263339339.0,47.3,47.4,47.05,47.25,+0.30,6186.0,False,,,
111/03/10,9473999.0,449341382.0,47.25,47.7,47.2,47.6,+0.35,7081.0,False,,,
111/03/11,6628133.0,314674943.0,47.4,47.6,47.3,47.45,-0.15,5990.0,False,0.500000000000003,0.500000000000001,0.5000000000000003
111/03/14,8145858.0,387379146.0,47.45,47.7,47.4,47.55,+0.10,4019.0,False,0.5833333333333318,0.5277777777777779,0.5092592592592595
111/03/15,10726325.0,512296860.0,47.5,48.0,47.4,47.95,+0.40,6660.0,False,0.9166666666666712,0.657407407407409,0.5586419753086427
111/03/16,11338304.0,542030764.0,47.95,48.0,47.65,47.85,-0.10,10724.0,False,0.8695652173913054,0.7281266774020412,0.6151368760064422
111/03/17,16944622.0,813351211.0,48.1,48.2,47.85,48.0,+0.15,8724.0,False,0.8518518518518499,0.769368402218644,0.6665473847438428
111/03/18,31706672.0,1543567101.0,48.1,48.95,48.1,48.95,+0.95,11444.0,False,1.0,0.846245601479096,0.7264467903222604
111/03/21,24218852.0,1201577110.0,49.1,49.85,49.05,49.75,+0.80,11523.0,False,0.9642857142857142,0.8855923057479685,0.7794952954641632
111/03/22,11071398.0,548096701.0,49.7,49.75,49.3,49.7,-0.05,7671.0,False,0.9433962264150948,0.9048602793036772,0.8212836234106679
