日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,11180971.0,1202864729.0,106.0,108.5,105.5,108.0,+3.00,5318.0,False,,,
111/03/02,14353793.0,1559878093.0,109.0,110.0,107.5,108.5,+0.50,5868.0,False,,,
111/03/03,9766690.0,1063727029.0,109.0,109.5,108.0,109.0,+0.50,3473.0,False,,,
111/03/04,8159552.0,879669190.0,108.0,108.5,107.0,108.0,-1.00,3740.0,False,,,
111/03/07,13858290.0,1470585298.0,107.0,107.5,105.5,106.0,-2.00,6418.0,False,,,
111/03/08,15334261.0,1600293666.0,106.0,106.0,103.0,104.0,-2.00,6202.0,False,,,
111/03/09,7165705.0,754342134.0,105.0,106.0,104.5,105.5,+1.50,3354.0,False,,,
111/03/10,12840053.0,1354124130.0,106.0,107.0,104.5,105.0,-0.50,5320.0,False,,,
111/03/11,18272415.0,1948424501.0,107.0,108.0,105.5,106.5,+1.50,8830.0,False,0.5,0.5,0.5
111/03/14,10914394.0,1162845383.0,107.0,107.5,105.5,106.5, 0.00,4778.0,False,0.5,0.5,0.5
111/03/15,8420184.0,890504431.0,106.5,106.5,105.0,106.0,-0.50,4067.0,False,0.4615384615384616,0.4871794871794872,0.4957264957264957
111/03/16,12956332.0,1364358058.0,105.5,106.5,104.5,106.0, 0.00,6224.0,False,0.5454545454545454,0.5066045066045065,0.4993524993524993
111/03/17,12167125.0,1300366726.0,107.5,108.0,106.0,107.0,+1.00,4751.0,False,0.8,0.6044030044030043,0.5343693343693343
111/03/18,13251075.0,1405892415.0,107.5,107.5,105.5,106.0,-1.00,5362.0,False,0.6,0.6029353362686695,0.5572246683357793
111/03/21,9270494.0,994803974.0,106.0,108.0,106.0,107.5,+1.50,4251.0,False,0.8571428571428571,0.6876711765600654,0.6007068377438747
111/03/22,7084138.0,757837318.0,107.0,107.5,106.5,107.5, 0.00,3493.0,False,0.8571428571428571,0.7441617367543293,0.6485251374140262
111/03/23,7521242.0,807104597.0,107.5,107.5,107.0,107.5, 0.00,3357.0,False,0.8571428571428571,0.7818221102171719,0.6929574616817413
111/03/24,6341741.0,677732930.0,106.5,107.5,106.5,107.0,-0.50,2953.0,False,0.7142857142857143,0.7593099782400192,0.7150749672011673
111/03/25,6596352.0,702398762.0,106.5,107.0,106.0,106.5,-0.50,2979.0,False,0.5714285714285714,0.6966828426362033,0.7089442590128459
111/03/28,7018456.0,742472847.0,106.5,106.5,105.5,105.5,-1.00,3243.0,False,0.2857142857142857,0.5596933236622308,0.6591939472293075
111/03/29,7886313.0,832720706.0,106.0,106.5,105.0,105.5, 0.00,3304.0,False,0.16666666666666666,0.4286844379970427,0.5823574441518858
111/03/30,7758942.0,825894260.0,106.0,107.0,105.5,106.5,+1.00,3874.0,False,0.5,0.4524562919980284,0.5390570601006
