日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,15010721.0,183124021.0,12.05,12.3,12.05,12.15,+0.20,3392.0,False,,,
111/03/02,26640217.0,329027111.0,12.25,12.45,12.2,12.45,+0.30,6187.0,False,,,
111/03/03,38059536.0,475675244.0,12.6,12.6,12.4,12.5,+0.05,7042.0,False,,,
111/03/04,15352698.0,188741616.0,12.4,12.4,12.25,12.25,-0.25,4352.0,False,,,
111/03/07,20355837.0,244477463.0,12.25,12.25,11.9,12.0,-0.25,5570.0,False,,,
111/03/08,24012775.0,285423996.0,11.95,12.05,11.75,11.75,-0.25,7126.0,False,,,
111/03/09,11360704.0,135070731.0,11.85,11.95,11.8,11.9,+0.15,3290.0,False,,,
111/03/10,9456990.0,113699334.0,12.05,12.1,12.0,12.0,+0.10,2983.0,False,,,
111/03/11,7583915.0,90658445.0,12.0,12.05,11.9,11.9,-0.10,2070.0,False,0.1764705882352946,0.3921568627450982,0.4640522875816994
111/03/14,7403306.0,88867579.0,12.0,12.1,11.95,12.0,+0.10,1805.0,False,0.29411764705882365,0.35947712418300665,0.4291938997821351
111/03/15,11035941.0,131523031.0,12.0,12.05,11.85,11.85,-0.15,3205.0,False,0.11764705882352905,0.2788671023965141,0.37908496732026137
111/03/16,12120595.0,143834395.0,11.95,12.0,11.8,11.85, 0.00,3607.0,False,0.15384615384615322,0.2371934528797271,0.3317877958400833
111/03/17,13697793.0,164030153.0,11.95,12.05,11.9,12.0,+0.15,3264.0,False,0.5,0.32479563525315136,0.3294570756444393
111/03/18,13176661.0,158590980.0,12.0,12.1,11.95,12.0, 0.00,2952.0,False,0.714285714285715,0.4546256615973392,0.3711799376287392
111/03/21,12436096.0,151363299.0,12.15,12.25,12.1,12.15,+0.15,3212.0,False,0.7777777777777782,0.5623430336574855,0.4349009696383213
111/03/22,18526767.0,226633271.0,12.25,12.35,12.1,12.25,+0.10,4665.0,False,0.8181818181818185,0.6476226284989298,0.5058081892585241
111/03/23,11817235.0,145285923.0,12.35,12.4,12.25,12.25, 0.00,3854.0,False,0.7499999999999992,0.6817484189992862,0.5644549325054448
111/03/24,10739902.0,130556597.0,12.25,12.25,12.1,12.2,-0.05,4008.0,False,0.6666666666666647,0.6767211682217457,0.6018770110775451
111/03/25,8686698.0,105429853.0,12.2,12.2,12.1,12.1,-0.10,2560.0,False,0.4999999999999985,0.6178141121478299,0.6071893781009733
111/03/28,10323070.0,124339633.0,12.1,12.15,11.95,12.15,+0.05,2179.0,False,0.583333333333333,0.6063205192096642,0.6068997584705369
111/03/29,7346270.0,88997253.0,12.15,12.2,12.05,12.1,-0.05,2167.0,False,0.3999999999999986,0.5375470128064423,0.5837821765825053
