日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,5787647.0,467962509.0,80.0,81.2,79.5,81.1,+2.10,2819.0,False,,,
111/03/02,4568440.0,372244868.0,81.2,81.8,80.8,81.7,+0.60,2333.0,False,,,
111/03/03,3514041.0,287262241.0,81.8,82.0,81.1,82.0,+0.30,2842.0,False,,,
111/03/04,4388501.0,357288019.0,81.0,81.9,80.5,81.9,-0.10,2137.0,False,,,
111/03/07,7572397.0,603944318.0,80.7,80.9,79.3,79.7,-2.20,7184.0,False,,,
111/03/08,6934460.0,547268660.0,79.0,79.8,78.3,78.5,-1.20,4059.0,False,,,
111/03/09,3202107.0,252552365.0,79.0,79.5,78.6,78.6,+0.10,1590.0,False,,,
111/03/10,4489531.0,359725306.0,79.5,80.4,79.4,80.4,+1.80,2010.0,False,,,
111/03/11,6921378.0,548173480.0,79.5,79.8,79.0,79.2,-1.20,4014.0,False,0.2432432432432446,0.4144144144144149,0.4714714714714716
111/03/14,4249183.0,336791297.0,79.5,79.6,79.0,79.4,+0.20,2295.0,False,0.29729729729729937,0.3753753753753764,0.4394394394394399
111/03/15,3335785.0,263923236.0,79.3,79.4,79.0,79.1,-0.30,2114.0,False,0.21621621621621528,0.3223223223223226,0.4004004004004008
111/03/16,4854563.0,384354174.0,79.1,79.7,78.9,79.6,+0.50,2640.0,False,0.36111111111110944,0.33525191858525155,0.37868423979535104
111/03/17,6451930.0,518949547.0,80.6,81.2,79.7,80.4,+0.80,3543.0,False,0.7241379310344843,0.4648805894016624,0.4074163563307881
111/03/18,6995527.0,559563337.0,80.5,80.8,79.7,79.9,-0.50,2033.0,False,0.5517241379310364,0.4938284389114537,0.4362203838576766
111/03/21,2102522.0,168616420.0,80.0,80.6,79.8,80.2,+0.30,1316.0,False,0.6153846153846166,0.534347164402508,0.4689293107059537
111/03/22,2177793.0,174637318.0,80.3,80.4,79.8,80.4,+0.20,1186.0,False,0.652173913043479,0.5736227472828317,0.5038271228982463
111/03/23,4810294.0,385494258.0,80.4,80.4,79.8,80.2,-0.20,2135.0,False,0.5652173913043473,0.5708209619566702,0.5261584025843875
111/03/24,4367184.0,348631413.0,79.8,80.1,79.7,79.8,-0.40,2465.0,False,0.39130434782608375,0.510982090579808,0.5210996319161942
111/03/25,5209882.0,413605751.0,79.7,80.0,79.2,79.3,-0.50,2708.0,False,0.17391304347825734,0.39862574154595776,0.4802750017927821
111/03/28,4786832.0,377805892.0,79.0,79.1,78.7,79.0,-0.30,2612.0,False,0.11999999999999884,0.3057504943639714,0.4221001659831785
111/03/29,4993692.0,393853935.0,79.0,79.1,78.7,79.0, 0.00,3185.0,False,0.11999999999999884,0.2438336629093139,0.36267799829189024
111/03/30,6284462.0,496815731.0,79.1,79.5,78.8,79.0, 0.00,3424.0,False,0.14285714285714188,0.2101748228919232,0.3118436064919012
111/03/31,3594560.0,284119055.0,79.2,79.4,78.9,79.0, 0.00,1877.0,False,0.15789473684210448,0.1927481275419836,0.2721451135085953
111/04/01,3627378.0,285969341.0,78.8,79.0,78.6,79.0, 0.00,1805.0,False,0.222222222222224,0.2025728257687304,0.24895435092864035
111/04/06,4252068.0,337269026.0,79.0,79.9,78.7,79.9,+0.90,2259.0,False,0.7222222222222242,0.3757892912532281,0.29123266437016965
111/04/07,6272118.0,494554365.0,79.0,79.3,78.7,78.7,-1.20,3480.0,False,0.06666666666667236,0.27274841639104297,0.2850712483771274
111/04/08,1723322.0,136314604.0,79.2,79.3,78.8,79.3,+0.60,1072.0,False,0.5,0.3484989442606953,0.30621381367165
111/04/11,3549458.0,279531284.0,79.3,79.6,78.5,78.5,-0.80,3216.0,False,0.0,0.23233262950713016,0.28158675228347674
111/04/12,3255923.0,255732384.0,78.7,78.9,78.3,78.6,+0.10,2397.0,False,0.1874999999999972,0.2173884196714192,0.2601873080794576
111/04/13,2909081.0,230454699.0,79.2,79.5,78.7,79.5,+0.90,2326.0,False,0.7499999999999978,0.3949256131142787,0.3051000764243979
111/04/14,2672611.0,212724926.0,79.4,79.8,79.1,79.7,+0.20,1853.0,False,0.8749999999999989,0.5549504087428521,0.3883835205305493
111/04/15,2121259.0,168649661.0,79.7,79.8,79.1,79.3,-0.40,2030.0,False,0.6249999999999967,0.5783002724952335,0.4516891045187773
111/04/18,1806571.0,142916715.0,78.9,79.4,78.9,79.0,-0.30,1794.0,False,0.4374999999999993,0.5313668483301555,0.4782483524559034
111/04/19,3041309.0,241945455.0,79.6,79.8,79.0,79.7,+0.70,1892.0,False,0.9333333333333372,0.6653556766645493,0.5406174605254519
111/04/20,9974218.0,799045409.0,79.6,80.8,79.1,80.0,+0.30,5503.0,False,0.6800000000000012,0.6702371177763665,0.5838240129424235
111/04/21,6785537.0,546263075.0,80.7,80.9,79.8,80.9,+0.90,3542.0,False,1.0,0.7801580785175777,0.6492687014674748
111/04/22,6452645.0,519966378.0,80.1,81.1,79.7,81.1,+0.20,3824.0,False,1.0,0.8534387190117183,0.7173253739822226
111/04/25,7063239.0,563216716.0,79.9,80.2,79.1,80.2,-0.90,5594.0,False,0.6250000000000022,0.7772924793411462,0.7373144091018637
111/04/26,6156966.0,494779098.0,79.6,80.7,79.6,80.7,+0.50,3295.0,False,0.8181818181818211,0.7909222589547045,0.7551836923861439
111/04/27,3865748.0,306861964.0,79.5,79.9,79.1,79.1,-1.60,2331.0,False,0.0909090909090862,0.5575845362728317,0.6893173070150398
