日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,8264325.0,248965713.0,29.95,30.3,29.6,30.3,+0.75,3020.0,False,,,
111/03/02,6273653.0,190044984.0,30.25,30.4,30.05,30.35,+0.05,2195.0,False,,,
111/03/03,5136871.0,156548417.0,30.45,30.6,30.2,30.6,+0.25,2035.0,False,,,
111/03/04,4811054.0,145425525.0,30.1,30.5,29.95,30.3,-0.30,2162.0,False,,,
111/03/07,11371675.0,336180957.0,30.0,30.05,29.3,29.5,-0.80,5369.0,False,,,
111/03/08,9414531.0,277776815.0,29.3,29.75,29.25,29.5, 0.00,2965.0,False,,,
111/03/09,5640452.0,167270989.0,29.65,29.9,29.55,29.55,+0.05,1757.0,False,,,
111/03/10,6426810.0,192869642.0,29.6,30.2,29.6,30.2,+0.65,2086.0,False,,,
111/03/11,3484520.0,105127226.0,30.1,30.4,30.05,30.2, 0.00,1471.0,False,0.7037037037037024,0.5679012345679008,0.5226337448559669
111/03/14,5685525.0,172715434.0,30.2,30.6,30.1,30.55,+0.35,2187.0,False,0.9629629629629624,0.6995884773662546,0.5816186556927294
111/03/15,6028308.0,181650139.0,30.5,30.5,29.95,30.2,-0.35,1902.0,False,0.7037037037037024,0.7009602194787372,0.6213991769547321
111/03/16,7327718.0,221886449.0,30.0,30.45,30.0,30.45,+0.25,2933.0,False,0.8888888888888874,0.7636031092821205,0.6688004877305281
111/03/17,9027317.0,275525997.0,30.45,30.8,30.3,30.55,+0.10,3121.0,False,0.8387096774193549,0.7886386319945319,0.7087465358185293
111/03/18,12118124.0,370709765.0,30.6,30.75,30.3,30.7,+0.15,2506.0,False,0.935483870967741,0.8375870449856015,0.7516933722075534
111/03/21,4687881.0,143269539.0,30.6,30.7,30.4,30.65,-0.05,2007.0,False,0.8799999999999983,0.8517246966570671,0.7850371470240578
111/03/22,4944093.0,151894867.0,30.7,30.85,30.6,30.8,+0.15,1519.0,False,0.9599999999999994,0.8878164644380444,0.8192969194953866
111/03/23,4639753.0,142716757.0,30.9,30.9,30.65,30.75,-0.05,1598.0,False,0.8421052631578961,0.8725793973446616,0.8370577454451449
111/03/24,5399154.0,166086703.0,30.7,30.85,30.6,30.85,+0.10,2480.0,False,0.9473684210526344,0.8975090719139859,0.8572081876014251
111/03/25,8111504.0,246943672.0,30.5,30.6,30.25,30.6,-0.25,2491.0,False,0.6842105263157923,0.8264095567145879,0.8469419773058127
111/03/28,8577477.0,257979082.0,30.2,30.25,29.95,30.2,-0.40,2768.0,False,0.2631578947368423,0.638659002722006,0.7775143191112104
111/03/29,5117901.0,154741898.0,30.25,30.35,30.05,30.35,+0.15,1548.0,False,0.42105263157895,0.5661235456743207,0.7070507279655804
111/03/30,6984051.0,211700635.0,30.45,30.5,30.2,30.3,-0.05,3392.0,False,0.3684210526315807,0.500222714660074,0.6381080568637449
111/03/31,7727482.0,235422378.0,30.4,30.6,30.15,30.4,+0.10,2552.0,False,0.4736842105263154,0.4913765466154877,0.5891975534476592
111/04/01,4118873.0,124244745.0,30.05,30.3,29.95,30.3,-0.10,1555.0,False,0.3684210526315807,0.4503913819541854,0.5429288296165012
111/04/06,7541081.0,227755854.0,30.0,30.45,29.95,30.45,+0.15,2511.0,False,0.5263157894736846,0.4756995177940184,0.520519059009007
111/04/07,8102929.0,243830241.0,30.15,30.35,29.95,29.95,-0.50,3267.0,False,0.0,0.3171330118626789,0.4527237099602309
111/04/08,4670417.0,140346949.0,30.0,30.15,29.95,30.1,+0.15,1137.0,False,0.2307692307692333,0.2883450848315304,0.3979308349173307
111/04/11,4751702.0,143373630.0,30.1,30.4,30.0,30.2,+0.10,2227.0,False,0.38461538461538336,0.3204351847594813,0.3720989515313809
111/04/12,3943435.0,119051294.0,30.1,30.3,30.0,30.2, 0.00,1668.0,False,0.38461538461538336,0.3418285847114487,0.36200882925807015
111/04/13,7870599.0,241128601.0,30.35,30.9,30.3,30.9,+0.70,3733.0,False,1.0,0.5612190564742991,0.4284122383301465
111/04/14,3641434.0,111366518.0,30.65,30.75,30.45,30.6,-0.30,2675.0,False,0.6842105263157923,0.6022162130881301,0.4863468965828076
111/04/15,4879337.0,148490621.0,30.5,30.6,30.25,30.4,-0.20,3196.0,False,0.4736842105263154,0.5593722122341919,0.5106886684666023
111/04/18,7234898.0,218034896.0,30.15,30.4,29.95,30.2,-0.20,3308.0,False,0.2631578947368423,0.460634106401742,0.4940038144449822
111/04/19,5174589.0,156041391.0,30.2,30.35,30.05,30.1,-0.10,2285.0,False,0.1578947368421076,0.35972098321519713,0.4492428707017204
111/04/20,6361663.0,192553860.0,30.25,30.5,30.05,30.5,+0.40,3253.0,False,0.5789473684210538,0.4327964449504825,0.4437607287846411
111/04/21,3875236.0,117631212.0,30.5,30.5,30.25,30.4,-0.10,2192.0,False,0.4736842105263154,0.4464257001424269,0.4446490525705697
111/04/22,5783223.0,174524425.0,30.1,30.4,30.05,30.35,-0.05,3112.0,False,0.42105263157895,0.4379680106212679,0.4424220385874691
111/04/25,9689301.0,289990015.0,30.0,30.1,29.8,30.0,-0.35,3699.0,False,0.18181818181818152,0.3525847343535724,0.4124762705095035
111/04/26,5302898.0,159577277.0,30.0,30.25,29.85,30.25,+0.25,2261.0,False,0.4736842105263154,0.3929512264111534,0.4059679224767201
111/04/27,6667267.0,198862713.0,29.9,29.95,29.7,29.7,-0.55,2791.0,False,0.0,0.2619674842741022,0.3579677764091808
111/04/28,6231338.0,185582476.0,29.7,29.95,29.65,29.95,+0.25,3295.0,False,0.3529411764705885,0.29229204833959765,0.33607586705265297
111/04/29,4291793.0,128747193.0,29.95,30.1,29.9,30.05,+0.10,1858.0,False,0.4705882352941194,0.35172411065777154,0.3412919482543592
111/05/03,3864524.0,115959880.0,30.0,30.15,29.85,29.95,-0.10,2330.0,False,0.3529411764705885,0.35212979926204385,0.3449045652569207
111/05/04,3891230.0,117261067.0,30.1,30.25,30.0,30.15,+0.20,2269.0,False,0.5882352941176461,0.4308316308805779,0.3735469204648064
111/05/05,5443288.0,165436584.0,30.3,30.55,30.1,30.55,+0.40,3072.0,False,1.0,0.6205544205870519,0.4558827538388882
111/05/06,5680343.0,171454676.0,30.1,30.35,30.05,30.2,-0.35,3045.0,False,0.6111111111111105,0.6174066507617381,0.5097240528131715
111/05/09,7788794.0,233304630.0,30.0,30.25,29.75,29.8,-0.40,2596.0,False,0.16666666666666866,0.4671599893967149,0.4955360316743526
111/05/10,7825743.0,234803549.0,29.85,30.25,29.65,30.15,+0.35,3159.0,False,0.5555555555555542,0.496625178116328,0.4958990804883444
111/05/11,6810064.0,204820949.0,30.05,30.25,29.9,30.15, 0.00,3418.0,False,0.5555555555555542,0.5162686372627368,0.5026889327464752
111/05/12,6957718.0,207524476.0,30.0,30.1,29.65,29.7,-0.45,2244.0,False,0.05555555555555621,0.3626976100270097,0.4560251585066534
111/05/13,18755725.0,574239332.0,30.25,31.0,30.15,31.0,+1.30,7382.0,False,1.0,0.5751317400180065,0.4957273523437711
111/05/16,10756361.0,332273634.0,31.0,31.2,30.65,30.9,-0.10,4612.0,False,0.8064516129032254,0.6522383643130795,0.5478976896668739
111/05/17,9334584.0,287243589.0,30.9,31.15,30.45,30.9, 0.00,3347.0,False,0.8064516129032254,0.7036427805097948,0.5998127199478476
111/05/18,9059208.0,281067836.0,30.6,31.25,30.6,31.25,+0.35,5250.0,False,1.0,0.8024285203398631,0.6673513200785194
111/05/19,8362285.0,259349916.0,30.65,31.15,30.65,31.15,-0.10,4914.0,False,0.9374999999999992,0.8474523468932418,0.7273849956834268
111/05/20,7209950.0,225898361.0,31.2,31.55,31.0,31.35,+0.20,4068.0,False,0.8947368421052636,0.863213845297249,0.7726612788880342
111/05/23,5041165.0,158360876.0,31.65,31.75,31.25,31.4,+0.05,2178.0,False,0.8333333333333328,0.8532536746426101,0.7995254108062261
111/05/24,4837399.0,151941778.0,31.35,31.5,31.2,31.5,+0.10,1844.0,False,0.880952380952381,0.8624865767458672,0.8205124661194397
111/05/25,7807707.0,246683391.0,31.55,31.75,31.35,31.7,+0.20,3322.0,False,0.9687499999999996,0.8979077178305779,0.8463108833564856
111/05/26,7025948.0,222918252.0,31.75,31.9,31.55,31.75,+0.05,2626.0,False,0.8965517241379319,0.8974557199330292,0.8633591622153334
111/05/27,6885517.0,218378306.0,31.75,31.85,31.45,31.6,-0.15,2629.0,False,0.7931034482758639,0.8626716293806407,0.863129984603769
111/05/30,8730382.0,276610838.0,31.7,31.8,31.55,31.8,+0.20,3380.0,False,0.9230769230769246,0.8828067272794019,0.8696888988289799
111/05/31,35901726.0,1101474790.0,31.6,31.6,30.5,30.5,-1.30,4947.0,False,0.0,0.5885378181862679,0.7759718719480759
111/06/01,6459051.0,199005449.0,30.65,30.95,30.65,30.8,+0.30,2623.0,False,0.21428571428571505,0.4637871168860836,0.6719102869274117
111/06/02,4617204.0,141383309.0,30.65,30.75,30.5,30.7,-0.10,1753.0,False,0.1428571428571425,0.3568104588764365,0.5668770109104201
111/06/06,3665974.0,112724265.0,30.95,30.95,30.5,30.8,+0.10,1910.0,False,0.21428571428571505,0.3093022106795293,0.4810187441667898
111/06/07,4276157.0,131268354.0,30.75,30.9,30.6,30.7,-0.10,2122.0,False,0.1428571428571425,0.2538205214054004,0.4052860032463266
111/06/08,6384225.0,198349034.0,30.8,31.25,30.8,31.25,+0.55,2801.0,False,0.5357142857142863,0.34778510950836233,0.3861190386670051
111/06/09,10179184.0,317515538.0,31.0,31.5,30.95,31.4,+0.15,2722.0,False,0.666666666666665,0.4540789618944632,0.4087723464094911
111/06/10,3833570.0,120027178.0,31.05,31.5,31.05,31.3,-0.10,2399.0,False,0.6153846153846156,0.5078475130578473,0.4417974019589431
111/06/13,8016621.0,247221087.0,30.9,31.2,30.6,30.95,-0.35,3458.0,False,0.4090909090909079,0.4749286450688674,0.4528411496622512
111/06/14,5354046.0,165626057.0,31.15,31.15,30.65,30.95, 0.00,2362.0,False,0.4499999999999993,0.46661909671257795,0.4574337986790268
111/06/15,4637191.0,144923825.0,30.9,31.45,30.9,31.3,+0.35,2553.0,False,0.8000000000000007,0.5777460644750523,0.4975378872777019
111/06/16,4638179.0,145782442.0,31.6,31.65,31.25,31.3, 0.00,2427.0,False,0.6956521739130449,0.6170481009543831,0.537374625169929
111/06/17,12006825.0,371187212.0,31.05,31.2,30.8,30.85,-0.45,3390.0,False,0.23809523809523875,0.490730480001335,0.5218265767803976
111/06/20,5418648.0,167618091.0,30.85,31.25,30.7,30.7,-0.15,2816.0,False,0.09523809523809347,0.35889968508025444,0.4675176128803499
111/06/21,8077586.0,251536356.0,31.1,31.35,30.85,31.1,+0.40,2088.0,False,0.4761904761904775,0.3979966154503288,0.4443439470703428
111/06/22,7831762.0,243542335.0,31.1,31.25,30.95,31.05,-0.05,2280.0,False,0.42857142857142905,0.4081882198240289,0.4322920379882381
111/06/23,7122950.0,222146061.0,31.2,31.5,30.95,31.15,+0.10,2299.0,False,0.5238095238095225,0.44672865448586,0.4371042434874454
111/06/24,8462468.0,265122401.0,31.45,31.55,31.1,31.3,+0.15,2416.0,False,0.6500000000000021,0.5144857696572407,0.4628980855440438
111/06/27,7043386.0,222345668.0,31.5,31.7,31.4,31.7,+0.40,2308.0,False,1.0,0.6763238464381605,0.5340400058420827
