日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,4164421.0,61986639.0,14.75,15.2,14.65,15.0,0.0,727.0,False,,,
111/03/02,6710825.0,100429033.0,14.95,15.1,14.8,15.0,0.0,659.0,False,,,
111/03/03,939916.0,13970985.0,15.0,15.0,14.7,14.7,-0.3,308.0,False,,,
111/03/04,1242338.0,17803507.0,14.7,14.75,14.1,14.15,-0.55,508.0,False,,,
111/03/07,3509737.0,49284077.0,14.15,14.3,13.7,14.25,0.1,606.0,False,,,
111/03/08,1309532.0,18742702.0,14.25,14.5,14.05,14.5,0.25,489.0,False,,,
111/03/09,1040639.0,15144381.0,14.5,14.7,14.4,14.65,0.15,325.0,False,,,
111/03/10,2839810.0,41344816.0,14.65,14.9,14.2,14.2,-0.45,665.0,False,,,
111/03/11,1962591.0,27905204.0,14.25,14.45,13.95,14.3,0.1,388.0,False,0.40000000000000097,0.4666666666666671,0.4888888888888889
111/03/14,1511523.0,21549780.0,14.1,14.55,13.95,14.55,0.25,370.0,False,0.6071428571428579,0.5134920634920639,0.4970899470899473
111/03/15,1309590.0,18871280.0,14.3,14.6,14.25,14.6,0.05,209.0,False,0.6923076923076922,0.5730972730972733,0.5224257224257226
111/03/16,2896744.0,41678969.0,14.6,14.7,14.1,14.1,-0.5,566.0,False,0.3333333333333333,0.4931759598426266,0.5126758015646906
111/03/17,275731.0,3912925.0,14.2,14.4,14.1,14.15,0.05,183.0,False,0.37500000000000056,0.4537839732284179,0.4930451921192664
111/03/18,213522.0,3018773.0,14.3,14.3,14.05,14.15,0.0,122.0,False,0.21052631578947456,0.3726980874154368,0.4529294905513231
111/03/21,219708.0,3095264.0,14.1,14.15,14.05,14.05,-0.1,127.0,False,0.10526315789473822,0.28355311090853724,0.3964706973370611
111/03/22,379446.0,5331528.0,14.15,14.15,13.95,14.0,-0.05,144.0,False,0.05263157894736911,0.2065792669214812,0.3331735538652011
111/03/23,374952.0,5283658.0,14.1,14.15,14.0,14.0,0.0,179.0,False,0.06666666666666761,0.15994173350320998,0.2754296137445374
111/03/24,277537.0,3879526.0,14.0,14.05,13.9,13.9,-0.1,187.0,False,0.0,0.10662782233547333,0.21916234994151604
111/03/25,1029847.0,14369525.0,14.0,14.15,13.75,14.1,0.2,370.0,False,0.3684210526315789,0.19389223243417514,0.21073897743906905
111/03/28,827421.0,11598826.0,13.9,14.2,13.8,14.1,0.0,220.0,False,0.3684210526315789,0.2520685058333097,0.2245154869038159
111/03/29,565761.0,7985492.0,14.15,14.25,13.95,14.15,0.05,197.0,False,0.6153846153846156,0.373173875683745,0.2740682831637922
111/03/30,492498.0,6951784.0,14.15,14.2,14.0,14.05,-0.1,109.0,False,0.5454545454545461,0.4306007656073453,0.3262457773116433
111/03/31,310400.0,4341478.0,14.1,14.1,13.9,13.9,-0.15,90.0,False,0.3000000000000007,0.3870671770715638,0.34651957723161675
111/04/01,87920.0,1222679.0,14.0,14.0,13.85,13.9,0.0,66.0,False,0.3000000000000007,0.3580447847143761,0.35036131305920315
111/04/06,159443.0,2201581.0,14.05,14.05,13.75,13.75,-0.15,99.0,False,0.0,0.2386965231429173,0.31313971642044125
111/04/07,333480.0,4574514.0,13.75,13.8,13.6,13.7,-0.05,161.0,False,0.15384615384615322,0.21041306671066265,0.27889749985051504
111/04/08,289001.0,3941737.0,13.7,13.7,13.6,13.65,-0.05,161.0,False,0.07692307692307797,0.1659164034481344,0.2412371343830549
111/04/11,259051.0,3532496.0,13.7,13.7,13.55,13.55,-0.1,113.0,False,0.0,0.1106109356320896,0.19769506813273308
111/04/12,251634.0,3443962.0,13.55,13.8,13.55,13.75,0.2,154.0,False,0.285714285714285,0.16897871899282138,0.1881229517527625
111/04/13,766844.0,10565791.0,13.8,13.95,13.65,13.65,-0.1,227.0,False,0.15384615384615366,0.1639345306105988,0.18006014470537454
111/04/14,1582585.0,21909318.0,13.75,14.0,13.65,13.65,0.0,434.0,False,0.18181818181818152,0.169895747679793,0.17667201236351404
111/04/15,285540.0,3902452.0,13.65,13.7,13.6,13.65,0.0,116.0,False,0.1999999999999993,0.1799304984531951,0.17775817439340771
111/04/18,1426920.0,19724430.0,13.65,14.0,13.65,13.7,0.05,312.0,False,0.2999999999999972,0.21995366563546245,0.19182333814075928
111/04/19,854180.0,11758826.0,13.8,13.95,13.65,13.65,-0.05,227.0,False,0.2222222222222218,0.2207098511643822,0.20145217581530026
111/04/20,265583.0,3645252.0,13.7,13.8,13.7,13.7,0.05,125.0,False,0.3333333333333307,0.25825101188736505,0.2203851211726552
