日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,592542.0,571390035.0,939.0,980.0,935.0,974.0,+54.00,766.0,False,,,,,,
111/03/02,318780.0,304468756.0,959.0,967.0,947.0,953.0,-21.00,388.0,False,,,,,,
111/03/03,210294.0,199528317.0,957.0,971.0,939.0,939.0,-14.00,269.0,False,,,,,,
111/03/04,299745.0,276751313.0,928.0,933.0,916.0,920.0,-19.00,474.0,False,,,,,,
111/03/07,548503.0,491395333.0,914.0,915.0,887.0,890.0,-30.00,791.0,False,,,,935.2,,
111/03/08,456348.0,397249263.0,862.0,900.0,862.0,865.0,-25.00,561.0,False,,,,913.4,,
111/03/09,328672.0,289371496.0,892.0,893.0,870.0,874.0,+9.00,399.0,False,,,,897.6,,
111/03/10,394691.0,354823216.0,887.0,908.0,887.0,900.0,+26.00,451.0,False,,,,889.8,,
111/03/11,217845.0,194199835.0,902.0,902.0,885.0,889.0,-11.00,299.0,False,0.2288135593220339,0.4096045197740112,0.4698681732580037,883.6,,
111/03/14,688247.0,589306690.0,885.0,896.0,840.0,842.0,-47.00,982.0,False,0.015267175572519085,0.27815873837351385,0.4059650282965071,874.0,904.6,
111/03/15,942839.0,765895638.0,839.0,839.0,799.0,807.0,-35.00,1162.0,False,0.04651162790697674,0.20094303488466814,0.337624363825894,862.4,887.9,
111/03/16,724721.0,594331757.0,823.0,830.0,810.0,820.0,+13.00,800.0,False,0.15671641791044774,0.18620082922659464,0.2871498522927942,851.6,874.6,
111/03/17,868013.0,763233659.0,860.0,897.0,858.0,897.0,+77.00,961.0,False,0.8448275862068966,0.4057430815533619,0.32668092871298343,851.0,870.4,
111/03/18,1165278.0,1061292650.0,880.0,918.0,878.0,918.0,+21.00,1002.0,False,1.0,0.6038287210355746,0.4190635261538471,856.8,870.2,
111/03/21,390613.0,356838305.0,919.0,926.0,901.0,915.0,-3.00,505.0,False,0.9133858267716536,0.707014422947601,0.5150471584184317,871.4,872.7,
111/03/22,251154.0,226938850.0,919.0,919.0,900.0,903.0,-12.00,299.0,False,0.8188976377952756,0.7443088278968258,0.5914677149112297,890.6,876.5,
111/03/23,355255.0,327670695.0,911.0,935.0,911.0,923.0,+20.00,412.0,False,0.9117647058823528,0.8001274538920016,0.6610209612381537,911.2,881.4,
111/03/24,128572.0,118572726.0,923.0,928.0,916.0,927.0,+4.00,162.0,False,0.9411764705882352,0.8471437927907461,0.7230619050890178,917.2,884.1,
111/03/25,220617.0,203856328.0,934.0,934.0,918.0,920.0,-7.00,267.0,False,0.8897058823529411,0.8613311559781444,0.7691516553853932,917.6,887.2,
111/03/28,189834.0,172126856.0,903.0,917.0,894.0,916.0,-4.00,257.0,False,0.848,0.8568874373187628,0.7983969160298496,917.8,894.6,899.6
111/03/29,337110.0,306576456.0,911.0,917.0,905.0,905.0,-11.00,352.0,False,0.6103896103896104,0.7747214950090453,0.7905051090229148,918.2,904.4,896.15
111/03/30,594012.0,558445613.0,922.0,951.0,922.0,946.0,+41.00,673.0,False,0.9315068493150684,0.8269832797777197,0.8026644992745164,922.8,917.0,895.8
111/03/31,536334.0,502209790.0,947.0,947.0,930.0,931.0,-15.00,533.0,False,0.6491228070175439,0.7676964555243277,0.7910084846911202,923.6,920.4,895.4
111/04/01,607043.0,564163620.0,926.0,938.0,919.0,924.0,-7.00,512.0,False,0.5263157894736842,0.6872362335074466,0.7564177342965623,924.4,921.0,895.6
111/04/06,641707.0,584442659.0,907.0,932.0,905.0,910.0,-14.00,687.0,False,0.2807017543859649,0.5517247404669526,0.688186736353359,923.2,920.5,896.6
111/04/07,1142784.0,1062343786.0,918.0,946.0,918.0,921.0,+11.00,987.0,False,0.4736842105263158,0.5257112304867404,0.6340282343978194,926.4,922.3,899.4
111/04/08,852085.0,788735507.0,923.0,940.0,911.0,920.0,-1.00,662.0,False,0.456140350877193,0.502520937283558,0.5901924686930655,921.2,922.0,901.7
111/04/11,747512.0,676325373.0,920.0,925.0,892.0,904.0,-16.00,716.0,False,0.2033898305084746,0.4028105683585301,0.5277318352482203,915.8,919.7,901.9
111/04/12,363825.0,325543796.0,904.0,907.0,890.0,891.0,-13.00,369.0,False,0.016393442622950817,0.2740048597800037,0.4431561767588147,909.2,916.8,902.0
111/04/13,340374.0,306319554.0,900.0,906.0,893.0,900.0,+9.00,391.0,False,0.16393442622950818,0.23731471526317185,0.3745423562602671,907.2,915.2,904.9
