日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,50148185.0,1454713835.0,28.3,29.4,28.25,29.0,+1.10,17805.0,False,,,
111/03/02,27422762.0,798621678.0,29.2,29.55,28.85,28.85,-0.15,10121.0,False,,,
111/03/03,33940372.0,998344485.0,29.25,29.95,28.85,29.85,+1.00,12539.0,False,,,
111/03/04,56771914.0,1720120833.0,29.85,30.95,29.2,30.05,+0.20,24866.0,False,,,
111/03/07,58718744.0,1777255787.0,30.6,30.85,29.6,30.55,+0.50,20991.0,False,,,
111/03/08,74736971.0,2257755137.0,31.45,31.9,28.6,28.7,-1.85,26360.0,False,,,
111/03/09,29724711.0,867637795.0,29.3,29.75,28.85,29.0,+0.30,10662.0,False,,,
111/03/10,25194061.0,731045065.0,29.4,29.4,28.5,29.15,+0.15,8934.0,False,,,
111/03/11,15152803.0,437679389.0,28.9,29.2,28.7,28.7,-0.45,5145.0,False,0.12328767123287655,0.37442922374429216,0.4581430745814306
111/03/14,15945317.0,465063426.0,28.9,29.55,28.7,29.55,+0.85,5578.0,False,0.30882352941176505,0.3525606589667831,0.4229489360432148
111/03/15,16525095.0,475740303.0,29.45,29.45,28.5,28.6,-0.95,5825.0,False,0.029411764705882783,0.2448443608798163,0.3635807443220821
111/03/16,26197977.0,734872754.0,28.8,28.85,27.45,27.95,-0.65,8839.0,False,0.11235955056179778,0.2006827574404768,0.3092814153615469
111/03/17,9671743.0,274453291.0,28.5,28.65,28.2,28.35,+0.40,5414.0,False,0.20224719101123648,0.20120423529739667,0.2732556886734968
111/03/18,14585398.0,421028080.0,28.5,29.1,28.4,29.1,+0.75,4585.0,False,0.3707865168539331,0.2577316624829088,0.2680810132766341
111/03/21,12079032.0,353128373.0,29.05,29.55,29.0,29.15,+0.05,4652.0,False,0.7391304347826082,0.4181979199161419,0.3181199821564701
111/03/22,11568333.0,341371975.0,29.2,29.8,29.15,29.55,+0.40,4816.0,False,0.8936170212765958,0.5766709537029598,0.4043036393386333
111/03/23,8052521.0,237057266.0,29.75,29.75,29.25,29.5,-0.05,3599.0,False,0.8723404255319147,0.6752274443126114,0.4946115743299594
111/03/24,9682807.0,284509927.0,29.4,29.8,29.1,29.3,-0.20,3900.0,False,0.7872340425531916,0.7125629770594715,0.5672620419064633
111/03/25,5949851.0,173093995.0,29.25,29.3,28.95,29.05,-0.25,2553.0,False,0.6808510638297874,0.7019923393162435,0.6121721410430567
111/03/28,11043502.0,313099750.0,28.9,28.95,28.1,28.6,-0.45,4766.0,False,0.4893617021276602,0.6311154602533824,0.6184865807798319
111/03/29,6149053.0,177167297.0,28.65,29.0,28.65,28.8,+0.20,2676.0,False,0.4117647058823527,0.5579985421297058,0.5983239012297898
111/03/30,17659063.0,515791788.0,29.3,29.8,28.9,29.05,+0.25,6731.0,False,0.5588235294117645,0.5582735378903921,0.5849737801166572
111/03/31,18554307.0,547772356.0,29.2,29.8,29.15,29.4,+0.35,6878.0,False,0.7647058823529398,0.6270843193779079,0.599010626537074
111/04/01,7155184.0,208383045.0,29.0,29.4,28.7,29.4, 0.00,3233.0,False,0.7647058823529398,0.6729581737029184,0.6236598089256888
111/04/06,7829102.0,226447455.0,29.1,29.1,28.8,28.85,-0.55,3140.0,False,0.4411764705882355,0.5956976059980241,0.6143390746164672
111/04/07,11694578.0,331389627.0,28.7,28.8,28.05,28.1,-0.75,4620.0,False,0.028571428571428976,0.4066555468558257,0.5451112320295867
111/04/08,7149047.0,204997671.0,28.25,29.0,28.15,29.0,+0.90,2797.0,False,0.5428571428571425,0.4520560788562646,0.5140928476384793
111/04/11,9819449.0,283305954.0,29.0,29.25,28.4,28.95,-0.05,3135.0,False,0.5142857142857135,0.4727992906660808,0.5003283286476798
111/04/12,88160300.0,2708671249.0,29.25,31.4,29.05,31.2,+2.25,32951.0,False,0.9402985074626868,0.6286323629316161,0.5430963400756585
111/04/13,177224518.0,5874221515.0,31.7,34.3,31.6,34.3,+3.10,53672.0,False,1.0,0.752421575287744,0.6128714184796871
111/04/14,288225039.0,10435456228.0,35.55,37.4,35.3,37.2,+2.90,92631.0,False,0.9786096256684496,0.8278175920813124,0.6845201430135621
111/04/15,209146315.0,7983544137.0,36.8,39.2,36.5,38.75,+1.55,77028.0,False,0.9596412556053808,0.8717588132560019,0.7469330330943753
111/04/18,137759804.0,5306603690.0,38.85,39.25,37.8,38.9,+0.15,50337.0,False,0.96875,0.9040892088373346,0.7993184250086951
111/04/19,180397708.0,7449208545.0,39.0,42.75,38.95,42.75,+3.85,62831.0,False,1.0,0.936059472558223,0.844898774191871
111/04/20,328649303.0,14543040261.0,44.9,45.3,43.0,45.3,+2.55,112238.0,False,1.0,0.957372981705482,0.8823901766964078
111/04/21,227106124.0,10133930615.0,45.35,46.05,43.1,44.75,-0.55,88390.0,False,0.9263456090651558,0.9470305241587064,0.9039369591838406
111/04/22,294691381.0,13680066044.0,44.3,48.15,44.25,46.1,+1.35,117591.0,False,0.8926701570680631,0.9289104017951586,0.91226144005428
111/04/25,143995574.0,6273193246.0,45.3,45.45,41.9,43.8,-2.30,60903.0,False,0.7371601208459213,0.8649936414787459,0.8965055071957686
111/04/26,212054364.0,9394000240.0,44.95,46.0,42.5,43.95,+0.15,80352.0,False,0.673151750972763,0.8010463446434183,0.8646857863449852
111/04/27,106771335.0,4534165615.0,41.6,43.3,41.3,42.5,-1.45,40793.0,False,0.5150214592274679,0.7057047161714348,0.811692096287135
111/04/28,206346136.0,9256645519.0,43.25,46.75,43.0,46.75,+4.25,79888.0,False,0.8647342995169084,0.7587145772865926,0.7940329232869542
111/04/29,314408956.0,14612499416.0,47.45,47.75,43.9,44.8,-1.95,121536.0,False,0.6358695652173909,0.7177662399301921,0.7686106955013667
111/05/03,99104605.0,4378965918.0,45.0,45.2,43.1,43.1,-1.70,42982.0,False,0.2627737226277378,0.5661020674960406,0.7011078194995913
111/05/04,100747050.0,4295240880.0,43.35,43.7,41.85,41.85,-1.25,41349.0,False,0.08029197080292033,0.40416536859833385,0.6021270025325055
111/05/05,103194701.0,4403143974.0,42.8,43.6,41.8,41.9,+0.05,43474.0,False,0.0875912408759126,0.2986406593575268,0.5009648881408459
111/05/06,66620214.0,2748032548.0,40.3,42.0,40.05,41.7,-0.20,31825.0,False,0.2142857142857149,0.27052234433358946,0.4241507068717604
111/05/09,86980264.0,3480445977.0,41.95,42.05,38.8,38.8,-2.90,38763.0,False,0.0,0.1803482295557263,0.34288321443308234
111/05/10,97391610.0,3760546752.0,37.55,39.6,37.4,38.25,-0.55,38434.0,False,0.08212560386473443,0.14760735432539568,0.27779126106385343
111/05/11,89077355.0,3298491586.0,38.1,38.55,36.2,36.5,-1.75,37720.0,False,0.025974025974025733,0.10706291154160567,0.22088181122310416
111/05/12,151511059.0,5735745351.0,37.4,38.5,37.0,37.5,+1.00,61381.0,False,0.11255411255411234,0.10889331187910788,0.1835523114417721
111/05/13,141812151.0,5318165832.0,38.0,38.5,36.55,36.85,-0.65,51997.0,False,0.07222222222222206,0.09666961532681262,0.15459141273678556
111/05/16,106593519.0,3969293066.0,37.5,38.4,36.15,38.35,+1.50,35445.0,False,0.2913907284768214,0.1615766530434822,0.15691982617235112
111/05/17,85027736.0,3225258795.0,38.25,38.45,37.55,37.6,-0.75,33432.0,False,0.19463087248322167,0.17259472619006205,0.16214479284492142
111/05/18,127598218.0,4968430018.0,37.9,39.45,37.65,39.4,+1.80,48841.0,False,0.5508474576271187,0.2986789700024143,0.20765618523075235
111/05/19,116535552.0,4339053919.0,37.85,38.15,36.75,37.0,-2.40,44942.0,False,0.14406779661016975,0.24714191220499945,0.22081809422216805
111/05/20,175511693.0,6870609553.0,37.45,40.4,37.4,39.2,+2.20,64566.0,False,0.7176470588235304,0.4039769610778431,0.2818710498407264
111/05/23,130358907.0,5209614881.0,39.9,40.75,39.05,39.3,+0.10,51169.0,False,0.6847826086956517,0.4975788436171126,0.3537736477661884
111/05/24,142678033.0,5758833895.0,39.6,41.1,39.55,40.2,+0.90,53408.0,False,0.8181818181818186,0.6044465018053479,0.4373312657792415
