日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,18960845.0,784436915.0,39.9,42.45,39.85,42.45,+1.80,9426.0,False,,,,,,
111/03/02,45578724.0,1927755914.0,42.95,44.15,40.8,41.35,-1.10,25939.0,False,,,,,,
111/03/03,20048483.0,844026389.0,41.5,42.8,41.1,42.6,+1.25,9899.0,False,,,,,,
111/03/04,33483206.0,1443751456.0,42.7,44.4,42.0,43.8,+1.20,17312.0,False,,,,,,
111/03/07,67521388.0,3057759667.0,46.3,47.7,43.4,43.4,-0.40,33196.0,False,,,,42.72,,
111/03/08,35191351.0,1478207459.0,43.8,44.5,40.05,41.2,-2.20,21631.0,False,,,,42.470000000000006,,
111/03/09,20783275.0,853924857.0,41.0,42.05,40.5,41.0,-0.20,13305.0,False,,,,42.400000000000006,,
111/03/10,29191902.0,1239052780.0,41.2,44.0,41.05,43.8,+2.80,17650.0,False,,,,42.64,,
111/03/11,27327982.0,1183403018.0,43.8,44.15,42.1,44.0,+0.20,16273.0,False,0.5286624203821654,0.5095541401273884,0.5031847133757961,42.68000000000001,,
111/03/14,73382571.0,3411948984.0,44.7,48.4,44.45,48.4,+4.40,34100.0,False,1.0,0.6730360934182589,0.5598018400566169,43.68,43.2,
111/03/15,84953325.0,4173556729.0,50.0,52.1,43.9,45.0,-3.40,43159.0,False,0.4107883817427387,0.5856201895264188,0.5684079565465509,44.44,43.455,
111/03/16,46593626.0,2137993604.0,46.25,48.4,43.2,43.85,-1.15,23286.0,False,0.31535269709543595,0.4955310253827578,0.5441156461586198,45.010000000000005,43.705,
111/03/17,21159511.0,924269587.0,44.7,45.05,42.35,43.05,-0.80,12225.0,False,0.2489626556016597,0.4133415687890584,0.5005242870354327,44.86,43.75,
111/03/18,34089705.0,1537147297.0,43.95,46.0,43.65,44.7,+1.65,17189.0,False,0.38589211618257296,0.4041917512535632,0.4684134417748096,45.0,43.839999999999996,
111/03/21,16854154.0,758773375.0,45.05,45.65,44.0,45.45,+0.75,8926.0,False,0.4267241379310347,0.4117025468127203,0.4495098101207798,44.41,44.045,
111/03/22,64206433.0,3055973377.0,45.95,49.95,45.3,49.95,+4.50,31141.0,False,0.8054298642533939,0.5429449859596115,0.4806548687337237,45.4,44.92,
111/03/23,104671175.0,5155832706.0,50.5,51.0,47.7,50.6,+0.65,45557.0,False,0.85,0.6452966573064076,0.5355354649246182,46.75000000000001,45.88,
111/03/24,155066405.0,8118746012.0,51.2,55.5,49.6,51.8,+1.20,71925.0,False,0.7186311787072241,0.6697414977733465,0.5802708092075276,48.5,46.68,
111/03/25,97425086.0,5162280025.0,52.5,54.9,51.8,54.8,+3.00,44221.0,False,0.9467680608365016,0.7620836854610649,0.6408751012920401,50.52,47.760000000000005,
111/03/28,148845991.0,8415545571.0,54.9,60.2,54.3,60.2,+5.40,63116.0,False,1.0,0.8413891236407098,0.7077131087415965,53.470000000000006,48.94000000000001,46.07000000000001
111/03/29,227399194.0,14408278289.0,61.0,66.2,60.8,62.9,+2.70,102237.0,False,0.861635220125786,0.8481378224690684,0.7545213466507539,56.06,50.730000000000004,47.0925
111/03/30,90437323.0,5235198555.0,57.6,59.6,56.7,56.7,-6.20,46988.0,False,0.5787139689578715,0.7583298712986695,0.7557908548667257,57.279999999999994,52.01500000000001,47.86
111/03/31,119992559.0,6961360300.0,57.5,59.7,54.6,55.6,-1.10,56872.0,False,0.5225225225225225,0.6797274217066204,0.7304363771466906,58.04,53.27000000000002,48.510000000000005
111/04/01,111058535.0,6390605909.0,56.8,58.8,56.1,57.8,+2.20,51857.0,False,0.5980861244019137,0.6525136559383847,0.7044621367439219,58.64,54.580000000000005,49.21
111/04/06,66120688.0,3895097964.0,57.7,59.7,57.7,58.5,+0.70,31698.0,False,0.5837837837837836,0.6296036985535176,0.679509324013787,58.3,55.885000000000005,49.965
111/04/07,56236070.0,3272310849.0,59.0,59.6,56.1,56.1,-2.40,27480.0,False,0.39156626506024095,0.5502578873890921,0.6364255118055553,56.94000000000001,56.5,50.71
111/04/08,76475774.0,4629029253.0,58.7,61.7,58.0,61.7,+5.60,29638.0,False,0.6875000000000001,0.5960052582593947,0.6229520939568349,57.94000000000001,57.61,51.745000000000005
111/04/11,60809884.0,4046587736.0,65.5,67.8,65.1,67.8,+6.10,24638.0,False,1.0,0.7306701721729297,0.6588581200288666,60.38000000000001,59.21,52.94500000000001
111/04/12,172718761.0,11437404814.0,71.4,71.5,61.7,66.8,-1.00,78543.0,False,0.7218934911242602,0.7277446118233731,0.6818202839603686,62.18000000000001,60.410000000000004,54.085
111/04/13,113250143.0,7761529411.0,68.5,70.3,66.0,66.4,-0.40,56170.0,False,0.6982248520710063,0.7179046919059174,0.6938484199422182,63.76000000000001,61.029999999999994,54.985
111/04/14,109950795.0,7464432137.0,67.2,69.4,66.1,67.8,+1.40,53909.0,False,0.7810650887573962,0.738958157523077,0.7088849991358378,66.10000000000001,61.519999999999996,56.125
111/04/15,116595962.0,7882837464.0,68.5,69.8,64.2,65.2,-2.60,56204.0,False,0.590909090909091,0.6896084686517483,0.7024594889744746,66.80000000000001,62.36999999999999,57.19250000000001
