日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,156319.0,8871249.0,57.0,57.0,56.4,56.6,+0.60,141.0,False,,,
111/03/02,117812.0,6641668.0,56.0,57.0,56.0,56.3,-0.30,109.0,False,,,
111/03/03,146199.0,8238243.0,56.9,56.9,56.0,56.4,+0.10,128.0,False,,,
111/03/04,158967.0,8814110.0,55.3,56.2,55.2,55.3,-1.10,157.0,False,,,
111/03/07,554183.0,29104879.0,53.7,53.8,51.5,52.2,-3.10,532.0,False,,,
111/03/08,384749.0,20068801.0,52.2,52.9,51.7,51.8,-0.40,312.0,False,,,
111/03/09,165897.0,8733406.0,53.7,53.7,52.0,52.5,+0.70,168.0,False,,,
111/03/10,110210.0,5865938.0,52.6,53.4,52.6,53.3,+0.80,106.0,False,,,
111/03/11,203286.0,10724640.0,53.5,53.5,52.3,52.6,-0.70,173.0,False,0.20000000000000026,0.4000000000000001,0.4666666666666667
111/03/14,84397.0,4429491.0,52.8,52.9,52.1,52.6, 0.00,101.0,False,0.20000000000000026,0.3333333333333335,0.4222222222222223
111/03/15,321466.0,16366794.0,52.1,52.1,50.5,50.6,-2.00,274.0,False,0.015625000000000226,0.2274305555555557,0.35729166666666673
111/03/16,215678.0,11023734.0,52.5,52.5,50.6,51.0,+0.40,204.0,False,0.08771929824561399,0.1808601364522418,0.2984811565951917
111/03/17,273446.0,14413352.0,52.3,53.3,52.0,53.0,+2.00,226.0,False,0.7575757575757582,0.3730986768267472,0.3233536633390436
111/03/18,133560.0,7126644.0,52.8,54.0,52.7,53.5,+0.50,126.0,False,0.8571428571428571,0.5344467369321172,0.39371802120340144
111/03/21,132034.0,7097998.0,53.5,54.1,53.2,54.0,+0.50,137.0,False,0.9722222222222221,0.6803718986954854,0.4892693137007628
111/03/22,438285.0,24072265.0,54.6,55.3,54.5,55.3,+1.30,341.0,False,1.0,0.7869145991303236,0.5884844088439497
111/03/23,227956.0,12503528.0,55.3,55.3,54.5,54.8,-0.50,260.0,False,0.8958333333333333,0.8232208438646601,0.6667298871841865
111/03/24,97432.0,5295300.0,54.2,54.5,54.0,54.5,-0.30,89.0,False,0.8333333333333338,0.8265916736875513,0.7200171493519747
111/03/25,149012.0,8079451.0,54.2,54.7,53.9,54.2,-0.30,87.0,False,0.7708333333333344,0.8080055602361456,0.7493466196466982
111/03/28,115532.0,6268885.0,54.2,54.5,53.8,54.5,+0.30,106.0,False,0.8297872340425536,0.8152661181716148,0.7713197858216704
111/03/29,177080.0,9675864.0,54.1,55.0,54.1,54.3,-0.20,130.0,False,0.6969696969696967,0.7758339777709753,0.7728245164714387
111/03/30,196223.0,10782530.0,55.4,55.4,54.6,55.2,+0.90,169.0,False,0.9259259259259274,0.8258646271559593,0.7905045533662789
111/03/31,181501.0,9977225.0,55.0,55.3,54.5,54.5,-0.70,143.0,False,0.5909090909090907,0.7475461150736697,0.7761850739354091
111/04/01,258490.0,14175125.0,53.7,55.3,53.4,55.3,+0.80,231.0,False,0.9499999999999992,0.8150307433824462,0.7891336304177548
111/04/06,125253.0,6848632.0,55.2,55.2,54.4,54.5,-0.80,117.0,False,0.5500000000000007,0.7266871622549643,0.7683181410301578
111/04/07,191916.0,10399130.0,54.5,54.5,53.9,54.0,-0.50,209.0,False,0.3000000000000007,0.5844581081699765,0.7070314634100973
111/04/08,122238.0,6585649.0,54.0,54.5,53.5,54.0, 0.00,116.0,False,0.3000000000000007,0.4896387387799845,0.6345672218667263
111/04/11,121372.0,6483107.0,54.6,54.6,52.9,53.0,-1.00,110.0,False,0.04000000000000057,0.33975915918665656,0.5362978676400364
111/04/12,134168.0,7096419.0,53.0,53.4,52.6,52.8,-0.20,102.0,False,0.07142857142856998,0.25031562993396106,0.4409704550713446
111/04/13,171952.0,9257510.0,52.8,54.5,52.8,54.5,+1.70,124.0,False,0.6785714285714287,0.3930675628131169,0.4250028243186021
111/04/14,137122.0,7470247.0,55.0,55.0,54.1,54.4,-0.10,122.0,False,0.6666666666666666,0.4842672640976334,0.4447576375782791
111/04/15,177808.0,9617081.0,54.4,55.3,53.4,53.7,-0.70,131.0,False,0.40740740740740855,0.4586473118675585,0.4493875290080389
111/04/18,146166.0,7800995.0,53.0,53.9,53.0,53.6,-0.10,123.0,False,0.37037037037037096,0.4292216647018293,0.4426655742393023
111/04/19,339948.0,18745835.0,53.7,56.0,53.7,55.5,+1.90,272.0,False,0.8529411764705882,0.5704615019580823,0.4852642168122289
111/04/20,264922.0,14856579.0,57.3,57.3,55.5,55.6,+0.10,190.0,False,0.6382978723404261,0.5930736254188635,0.5212006863477738
111/04/21,343402.0,19450588.0,55.6,57.2,55.6,57.0,+1.40,291.0,False,0.936170212765958,0.7074391545345617,0.5832801757433698
111/04/22,186521.0,10574733.0,56.1,57.0,56.1,56.9,-0.10,143.0,False,0.9148936170212768,0.7765906420301334,0.6477169978389576
111/04/25,276137.0,15294567.0,56.9,56.9,54.6,54.8,-2.10,229.0,False,0.4444444444444444,0.6658752428349037,0.6537697461709396
111/04/26,1021888.0,58703126.0,54.2,58.7,54.2,58.2,+3.40,701.0,False,0.912280701754386,0.7480103958080644,0.6851832960499812
111/04/27,534355.0,30224097.0,57.5,57.5,55.8,56.6,-1.60,408.0,False,0.631578947368421,0.7091999129948499,0.693188835031604
111/04/28,1033775.0,60764788.0,57.2,59.9,56.2,58.9,+2.30,717.0,False,0.855072463768116,0.7578240965859385,0.7147339222163821
111/04/29,855393.0,50578430.0,59.3,60.3,57.6,58.1,-0.80,709.0,False,0.6666666666666671,0.7274382866128479,0.7189687103485374
111/05/03,571549.0,33783384.0,59.0,59.8,58.2,58.9,+0.80,574.0,False,0.7704918032786885,0.7417894588347947,0.7265756265106231
111/05/04,311166.0,18337975.0,59.4,59.9,58.4,58.5,-0.40,389.0,False,0.7049180327868855,0.7294989834854916,0.7275500788355793
111/05/05,245011.0,14292516.0,59.7,59.7,57.8,58.0,-0.50,211.0,False,0.6229508196721313,0.6939829288810381,0.7163610288507323
111/05/06,304452.0,17262675.0,57.0,57.3,56.4,56.6,-1.40,221.0,False,0.39344262295081983,0.5938028269042986,0.6755082948685877
111/05/09,396751.0,21707263.0,55.3,55.4,54.1,54.5,-2.10,275.0,False,0.06451612903225787,0.4173739276136184,0.5894635057835979
111/05/10,320197.0,17170556.0,53.6,54.3,53.0,53.5,-1.00,257.0,False,0.06849315068493153,0.30108033530405603,0.4933357822904173
111/05/11,358166.0,18803259.0,52.5,53.5,51.9,52.5,-1.00,258.0,False,0.0714285714285716,0.2245297473455612,0.4037337706421319
111/05/12,420057.0,21448832.0,52.5,52.5,50.2,50.2,-2.30,321.0,False,0.0,0.14968649823037414,0.3190513465048793
111/05/13,254415.0,13243367.0,50.3,53.0,50.3,52.5,+2.30,233.0,False,0.2371134020618555,0.17882879950753458,0.2723104975057644
111/05/16,125124.0,6604560.0,52.8,53.6,52.2,52.4,-0.10,95.0,False,0.2268041237113399,0.1948205742421364,0.24648052308455504
111/05/17,122006.0,6450354.0,52.5,53.1,52.2,52.8,+0.40,105.0,False,0.2736842105263152,0.22110845300352927,0.2380231663908797
111/05/18,173316.0,9222668.0,52.8,53.9,52.6,53.4,+0.60,158.0,False,0.4507042253521125,0.2976403771197237,0.25789556996716106
111/05/19,161678.0,8461207.0,51.8,52.9,51.6,52.3,-1.10,112.0,False,0.4038461538461531,0.3330423026952001,0.2829444808765074
111/05/20,60916.0,3214970.0,52.8,53.0,52.4,52.4,+0.10,70.0,False,0.5365853658536582,0.40088999041468615,0.322259650722567
111/05/23,50188.0,2657219.0,53.3,53.3,52.6,52.8,+0.40,50.0,False,0.702702702702702,0.5014942278440248,0.3820045097630529
