日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,2102900.0,92282393.0,43.9,44.5,43.5,43.55,+0.55,1516.0,False,,,
111/03/02,28432753.0,1325465768.0,44.5,47.9,44.0,45.7,+2.15,13033.0,False,,,
111/03/03,14939289.0,698373384.0,47.0,47.65,45.8,47.05,+1.35,8787.0,False,,,
111/03/04,67281458.0,3393652263.0,47.5,51.7,47.15,51.0,+3.95,33252.0,False,,,
111/03/07,70179386.0,3778417863.0,53.0,55.3,52.6,52.7,+1.70,35216.0,False,,,
111/03/08,48396942.0,2444240295.0,53.1,54.5,47.45,47.45,-5.25,26799.0,False,,,
111/03/09,19344999.0,915178480.0,47.95,48.6,46.3,47.45, 0.00,11129.0,False,,,
111/03/10,11367244.0,527526455.0,46.35,46.95,46.0,46.8,-0.65,6715.0,False,,,
111/03/11,10393281.0,491174015.0,45.9,48.25,45.9,47.0,+0.20,6287.0,False,0.2966101694915255,0.4322033898305085,0.4774011299435028
111/03/14,4085174.0,190460194.0,46.75,47.9,46.2,46.55,-0.45,2484.0,False,0.2256637168141591,0.363356832158392,0.4393863640151325
111/03/15,5816450.0,262491003.0,46.55,46.6,44.3,44.5,-2.05,3542.0,False,0.01818181818181844,0.2482984941662008,0.3756904073988219
111/03/16,3275987.0,145407364.0,44.6,45.5,43.65,43.9,-0.60,2262.0,False,0.02145922746781116,0.1726854052667376,0.30802207335479376
111/03/17,2387915.0,106807358.0,45.0,45.1,44.45,44.8,+0.90,1606.0,False,0.09871244635193124,0.14802775229513546,0.2546906330015743
111/03/18,7486447.0,344971619.0,45.35,46.8,45.3,45.95,+1.15,4559.0,False,0.21198156682027688,0.16934569047018258,0.2262423188244437
111/03/21,4551239.0,212673264.0,47.0,47.3,46.0,46.5,+0.55,2693.0,False,0.5757575757575757,0.3048163188993136,0.2524336521827337
111/03/22,2467790.0,113928408.0,46.3,46.85,45.5,45.8,-0.70,1781.0,False,0.4673913043478256,0.35900798071548423,0.28795842836031715
111/03/23,1992219.0,91120942.0,45.75,46.2,45.3,45.9,+0.10,1328.0,False,0.4891304347826085,0.4023821320711923,0.3260996629306089
111/03/24,5288229.0,247677814.0,46.65,47.5,46.4,46.4,+0.50,3142.0,False,0.6470588235294118,0.4839410292239321,0.3787134516950499
