日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,35666528.0,1512351839.0,41.9,43.25,41.8,42.05,+1.55,18738.0,False,,,
111/03/02,33975922.0,1446378097.0,42.15,43.15,41.85,42.25,+0.20,16687.0,False,,,
111/03/03,16042985.0,681523860.0,43.05,43.1,42.15,42.3,+0.05,8851.0,False,,,
111/03/04,15409952.0,649390311.0,41.6,42.8,41.6,42.0,-0.30,7826.0,False,,,
111/03/07,94831767.0,4127434441.0,42.8,44.8,41.9,43.9,+1.90,43075.0,False,,,
111/03/08,90957081.0,3910095496.0,44.1,45.25,40.0,40.9,-3.00,39924.0,False,,,
111/03/09,21285723.0,881054901.0,41.95,42.0,40.8,41.8,+0.90,10768.0,False,,,
111/03/10,25933824.0,1096203996.0,42.0,43.0,41.2,42.8,+1.00,13454.0,False,,,
111/03/11,52821362.0,2308567534.0,42.8,44.25,42.75,43.6,+0.80,25314.0,False,0.6857142857142859,0.5619047619047619,0.5206349206349206
111/03/14,21893448.0,956025476.0,43.6,44.0,43.15,44.0,+0.40,10202.0,False,0.7619047619047619,0.6285714285714286,0.5566137566137566
111/03/15,23313083.0,1010884382.0,44.2,44.2,42.5,43.2,-0.80,10509.0,False,0.60952380952381,0.6222222222222223,0.5784832451499118
111/03/16,35375942.0,1555138242.0,43.8,44.3,43.3,43.75,+0.55,16379.0,False,0.7142857142857143,0.6529100529100529,0.6032921810699587
111/03/17,18947182.0,836054268.0,44.7,44.85,43.85,44.2,+0.45,8765.0,False,0.8000000000000005,0.7019400352733687,0.6361747991377621
111/03/18,17900036.0,791661292.0,44.25,44.7,43.8,43.95,-0.25,9279.0,False,0.7523809523809529,0.71875367430923,0.6637010908615846
111/03/21,89000986.0,4163306756.0,46.0,47.8,45.8,47.2,+3.25,39513.0,False,0.9142857142857151,0.7839310209680583,0.7037777342304091
111/03/22,84380271.0,4039746308.0,48.0,48.8,47.3,47.4,+0.20,39319.0,False,0.8157894736842106,0.7945505052067756,0.7340353245558646
111/03/23,44031034.0,2097667654.0,47.9,48.5,46.8,48.5,+1.10,22518.0,False,0.9523809523809528,0.8471606542648346,0.7717437677921879
111/03/24,51627790.0,2498952525.0,48.5,49.15,47.7,47.95,-0.55,24260.0,False,0.8195488721804517,0.8379567269033735,0.7938147541625831
111/03/25,26893460.0,1296881832.0,48.4,48.5,47.7,48.5,+0.55,12827.0,False,0.9022556390977444,0.8593896976348305,0.8156730686533322
111/03/28,28491924.0,1348671991.0,47.95,48.25,46.75,47.3,-1.20,15743.0,False,0.6837606837606836,0.8008466930101148,0.8107309434389264
111/03/29,27330595.0,1268517600.0,47.35,47.55,45.95,46.0,-1.30,16406.0,False,0.4112149532710285,0.6709694464304193,0.764143777769424
111/03/30,42286482.0,1929754659.0,45.45,46.9,44.7,46.9,+0.90,21810.0,False,0.5794392523364487,0.6404593817324291,0.7229156457570923
111/03/31,13279726.0,617657350.0,46.75,47.1,46.05,46.15,-0.75,7224.0,False,0.32584269662921284,0.5355871533646903,0.660472814959625
111/04/01,10453554.0,484767293.0,45.85,46.7,45.65,46.55,+0.40,4786.0,False,0.4157303370786508,0.4956348812693437,0.6055268370628645
111/04/06,11670626.0,544980250.0,46.55,47.0,46.15,46.95,+0.40,5658.0,False,0.5056179775280903,0.4989625800222592,0.5700054180493294
111/04/07,22827217.0,1068881354.0,47.15,47.9,45.75,45.75,-1.20,11929.0,False,0.2359550561797749,0.4112934054080978,0.5171014138355855
111/04/08,17659984.0,828872280.0,46.5,47.5,46.0,47.5,+1.75,8209.0,False,0.7368421052631577,0.5198096386931177,0.5180041554547629
111/04/11,20379159.0,957223527.0,47.5,47.8,46.4,46.65,-0.85,10875.0,False,0.5492957746478866,0.5296383506780407,0.5218822205291888
111/04/12,14657879.0,679549205.0,46.6,46.8,45.8,46.7,+0.05,7127.0,False,0.6250000000000009,0.5614255671186941,0.5350633360590238
111/04/13,14709463.0,693827051.0,46.9,47.5,46.65,47.1,+0.40,7688.0,False,0.7500000000000006,0.6242837114124629,0.5648034611768368
111/04/14,12020730.0,565014700.0,47.4,47.5,46.7,46.8,-0.30,6691.0,False,0.5111111111111105,0.5865595113120121,0.5720554778885618
111/04/15,13729501.0,647216989.0,46.8,47.5,46.75,46.8, 0.00,6982.0,False,0.5111111111111105,0.5614100445783783,0.5685070001185006
111/04/18,20744007.0,941971990.0,46.8,46.9,44.75,44.75,-2.05,11555.0,False,0.0,0.3742733630522522,0.5037624544297511
111/04/19,10690926.0,479582430.0,45.05,45.3,44.5,44.5,-0.25,6277.0,False,0.0,0.2495155753681681,0.4190134947425567
111/04/20,13416544.0,588968754.0,45.05,45.1,43.3,43.6,-0.90,7804.0,False,0.06666666666666761,0.1885659391343346,0.3421976428731493
111/04/21,9594834.0,417232073.0,43.8,44.15,43.0,43.1,-0.50,5167.0,False,0.02083333333333364,0.13265507053400094,0.27235011876009985
111/04/22,13711783.0,601867743.0,43.4,44.5,43.3,43.85,+0.75,7628.0,False,0.1888888888888892,0.15139967665229706,0.2320333047241656
