日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,2648989.0,56787477.0,21.2,21.65,21.0,21.6,0.65,1165.0,False,,,,,,
111/03/02,1552955.0,33513308.0,21.5,21.75,21.4,21.7,0.1,971.0,False,,,,,,
111/03/03,2569492.0,56244937.0,21.7,22.1,21.7,21.9,0.2,1248.0,False,,,,,,
111/03/04,1435342.0,31197967.0,21.75,21.95,21.5,21.65,-0.25,903.0,False,,,,,,
111/03/07,2254090.0,47698657.0,21.5,21.55,20.9,21.2,-0.45,1445.0,False,,,,,,
111/03/08,3027580.0,64670756.0,21.0,21.7,21.0,21.2,0.0,1671.0,False,,,,,,
111/03/09,6821093.0,150089594.0,21.6,22.25,21.55,22.1,0.9,3267.0,False,,,,,,
111/03/10,4343706.0,96243615.0,22.35,22.45,22.0,22.0,-0.1,2485.0,False,,,,,,
111/03/11,1652213.0,36216035.0,21.95,22.05,21.8,21.95,-0.05,974.0,False,0.6774193548387099,0.5591397849462366,0.5197132616487455,,,
111/03/14,1724716.0,37579815.0,22.05,22.1,21.6,21.6,-0.35,923.0,False,0.4516129032258081,0.523297491039427,0.5209080047789727,,,
111/03/15,2940057.0,62320068.0,21.7,21.8,21.05,21.1,-0.5,1472.0,False,0.1290322580645179,0.3918757467144573,0.4778972520908009,,,
111/03/16,2127000.0,44827378.0,21.3,21.3,20.95,21.0,-0.1,992.0,False,0.06451612903225895,0.2827558741537245,0.41285012611177535,,,
111/03/17,1704349.0,36300170.0,21.25,21.45,21.15,21.3,0.3,908.0,False,0.2580645161290335,0.2745254214788275,0.3667418912341261,,,
111/03/18,1695559.0,36496473.0,21.4,21.7,21.35,21.7,0.4,797.0,False,0.5,0.34968361431921835,0.3610557989291568,,,
111/03/21,1355058.0,29456836.0,21.7,21.85,21.6,21.75,0.05,616.0,False,0.5333333333333338,0.41090018732392347,0.3776705950607456,,,
111/03/22,2801340.0,61588298.0,21.75,22.15,21.75,22.05,0.3,1325.0,False,0.7333333333333343,0.5183779026603936,0.4245730309272949,,,
111/03/23,1864607.0,40765067.0,22.2,22.2,21.7,21.75,-0.3,1018.0,False,0.6400000000000006,0.5589186017735959,0.4693548878760619,,,
111/03/24,1055000.0,22789045.0,21.6,21.75,21.4,21.55,-0.2,704.0,False,0.4800000000000012,0.5326124011823976,0.4904407256448404,,,
111/03/25,1761749.0,37568436.0,21.6,21.6,21.15,21.3,-0.25,1028.0,False,0.28000000000000114,0.4484082674549321,0.4764299062482043,,,
111/03/28,1499042.0,31637042.0,21.1,21.25,21.0,21.2,-0.1,844.0,False,0.2,0.36560551163662136,0.4394884413776766,,,
