日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,785338.0,8117604.0,10.3,10.45,10.1,10.35,0.25,338.0,False,,,,,,
111/03/02,616572.0,6380939.0,10.35,10.5,10.25,10.3,-0.05,310.0,False,,,,,,
111/03/03,831336.0,8546019.0,10.5,10.5,10.2,10.2,-0.1,341.0,False,,,,,,
111/03/04,976192.0,9833074.0,10.15,10.2,10.0,10.0,-0.2,459.0,False,,,,,,
111/03/07,1577095.0,15144885.0,9.95,9.95,9.5,9.63,-0.37,736.0,False,,,,10.096,,
111/03/08,1260314.0,12007178.0,9.46,9.78,9.3,9.34,-0.29,559.0,False,,,,9.893999999999998,,
111/03/09,630884.0,5942987.0,9.38,9.5,9.35,9.43,0.09,291.0,False,,,,9.719999999999999,,
111/03/10,613268.0,5953892.0,9.66,9.79,9.6,9.69,0.26,295.0,False,,,,9.617999999999999,,
111/03/11,720869.0,6908772.0,9.65,9.7,9.48,9.61,-0.08,359.0,False,0.2583333333333324,0.4194444444444441,0.473148148148148,9.539999999999997,,
111/03/14,965514.0,9353327.0,9.71,9.75,9.62,9.63,0.02,332.0,False,0.27500000000000024,0.3712962962962961,0.4391975308641973,9.539999999999997,9.818,
111/03/15,628743.0,5936387.0,9.7,9.7,9.36,9.36,-0.27,319.0,False,0.04999999999999896,0.26419753086419706,0.3808641975308639,9.543999999999997,9.719,
111/03/16,289906.0,2721028.0,9.5,9.5,9.32,9.35,-0.01,156.0,False,0.055555555555554456,0.1946502057613162,0.3187928669410146,9.527999999999997,9.623999999999999,
111/03/17,683874.0,6507663.0,9.48,9.63,9.43,9.43,0.08,316.0,False,0.1999999999999989,0.19643347050754376,0.278006401463191,9.475999999999997,9.546999999999999,
111/03/18,698528.0,6648719.0,9.56,9.57,9.46,9.5,0.07,264.0,False,0.4081632653061223,0.26701006877373656,0.2743409572333728,9.453999999999997,9.496999999999998,
111/03/21,514483.0,4951235.0,9.58,9.69,9.58,9.58,0.08,262.0,False,0.553191489361703,0.362403875636392,0.3036952633677126,9.443999999999997,9.491999999999999,
111/03/22,390959.0,3755305.0,9.6,9.66,9.54,9.64,0.06,204.0,False,0.6808510638297894,0.4685529383675245,0.3586478217009832,9.499999999999996,9.521999999999998,
111/03/23,696418.0,6792404.0,9.7,9.84,9.68,9.78,0.14,315.0,False,0.8846153846153836,0.6072404204501441,0.4415120212840368,9.585999999999997,9.556999999999999,
111/03/24,693951.0,6889975.0,9.84,10.05,9.78,9.97,0.19,377.0,False,0.8904109589041096,0.7016305999347993,0.5282182141676243,9.693999999999997,9.584999999999999,
111/03/25,961671.0,9505811.0,10.1,10.1,9.75,9.77,-0.2,352.0,False,0.5769230769230765,0.6600614255975583,0.5721659513109356,9.747999999999996,9.600999999999999,
111/03/28,532524.0,5112206.0,9.75,9.75,9.5,9.6,-0.17,250.0,False,0.3589743589743585,0.5596990700564917,0.568010324226121,9.751999999999997,9.597999999999999,9.708000000000002
111/03/29,413339.0,3981440.0,9.67,9.74,9.53,9.55,-0.05,222.0,False,0.1791044776119418,0.4328342059083083,0.5229516181201834,9.733999999999998,9.616999999999999,9.668000000000003
111/03/30,442966.0,4238166.0,9.68,9.68,9.52,9.52,-0.03,216.0,False,0.09374999999999817,0.3198061372722049,0.4552364578375239,9.681999999999997,9.633999999999999,9.629000000000001
111/03/31,613111.0,5795809.0,9.52,9.58,9.37,9.39,-0.13,304.0,False,0.02739726027397444,0.22233651160612808,0.3776031424270586,9.565999999999997,9.629999999999999,9.588500000000002
111/04/01,798172.0,7396962.0,9.31,9.33,9.21,9.22,-0.17,446.0,False,0.011235955056179551,0.1519696594228119,0.30239198142564305,9.455999999999998,9.601999999999999,9.549500000000002
111/04/06,1182097.0,10720275.0,9.21,9.22,8.95,9.05,-0.17,537.0,False,0.08695652173913164,0.1302986135282518,0.245027525459846,9.345999999999997,9.548999999999998,9.520500000000002
111/04/07,1485588.0,13259974.0,9.05,9.09,8.79,8.8,-0.25,561.0,False,0.007633587786260733,0.08941027161425479,0.1931551075113156,9.195999999999998,9.464999999999998,9.493500000000003
111/04/08,691749.0,6179594.0,8.86,9.01,8.85,9.0,0.2,343.0,False,0.16030534351145098,0.11304196224665353,0.16645072575642822,9.091999999999999,9.386999999999997,9.472000000000003
111/04/11,843402.0,7478103.0,9.0,9.03,8.79,8.79,-0.21,367.0,False,0.0,0.07536130816443568,0.13608758655909736,8.971999999999998,9.268999999999997,9.427000000000003
111/04/12,622675.0,5384947.0,8.79,8.79,8.55,8.6,-0.19,340.0,False,0.0420168067226882,0.06424647435051985,0.11214054915623818,8.847999999999999,9.151999999999997,9.376500000000002
111/04/13,781715.0,6908246.0,8.63,8.93,8.63,8.85,0.25,383.0,False,0.2654867256637161,0.13132655812158528,0.11853588547802055,8.807999999999998,9.076999999999996,9.337500000000002
111/04/14,356302.0,3142466.0,8.9,8.9,8.79,8.81,-0.04,176.0,False,0.25242718446601936,0.17169343356972994,0.136255068175257,8.809999999999999,9.002999999999997,9.310000000000002
111/04/15,816408.0,7167736.0,8.75,8.93,8.65,8.82,0.01,312.0,False,0.3461538461538459,0.2298469044311019,0.1674523469272053,8.774,8.932999999999996,9.283500000000002
111/04/18,1101550.0,9817112.0,8.83,9.05,8.74,8.98,0.16,412.0,False,0.641791044776119,0.3671616178794409,0.2340221039112838,8.812,8.891999999999998,9.261000000000001
111/04/19,575526.0,5204534.0,9.08,9.09,8.98,9.03,0.05,234.0,False,0.8888888888888878,0.5410707082159232,0.3363716386794969,8.898,8.872999999999998,9.2375
111/04/20,964756.0,8863347.0,9.05,9.27,9.05,9.15,0.12,436.0,False,0.8333333333333341,0.6384915832550602,0.4370782868713513,8.957999999999998,8.883,9.216000000000001
111/04/21,465330.0,4271069.0,9.2,9.24,9.12,9.18,0.03,179.0,False,0.875,0.71732772217004,0.5304947653042476,9.031999999999998,8.921,9.193000000000001
111/04/22,337409.0,3095131.0,9.14,9.28,9.1,9.1,-0.08,192.0,False,0.7534246575342465,0.7293600339581088,0.5967831881888679,9.087999999999997,8.931,9.159
111/04/25,531045.0,4712930.0,9.01,9.01,8.81,8.83,-0.27,237.0,False,0.3076923076923073,0.5888041252028415,0.594123500526859,9.057999999999998,8.934999999999999,9.102
111/04/26,729550.0,6550558.0,8.84,9.11,8.84,9.03,0.2,291.0,False,0.6031746031746026,0.5935942845267619,0.5939470951934933,9.057999999999998,8.978,9.065000000000001
111/04/27,932591.0,8323112.0,8.87,9.15,8.8,9.01,-0.02,390.0,False,0.5714285714285714,0.5862057134940317,0.5913666346270061,9.029999999999998,8.994000000000002,9.0355
111/04/28,938473.0,8623059.0,9.15,9.35,9.03,9.19,0.18,458.0,False,0.7377049180327864,0.6367054483402832,0.6064795725314318,9.031999999999998,9.032,9.0175
111/04/29,832073.0,7816930.0,9.3,9.5,9.21,9.4,0.21,399.0,False,0.8571428571428575,0.7101845846078079,0.6410479098902238,9.091999999999997,9.09,9.0115
111/05/03,466764.0,4406174.0,9.4,9.5,9.4,9.44,0.04,219.0,False,0.9142857142857136,0.778218294500443,0.6867713714269634,9.213999999999997,9.136,9.014
111/05/04,2033904.0,19991486.0,9.49,10.05,9.49,10.0,0.56,909.0,False,0.9599999999999994,0.8388121963336284,0.7374516463958517,9.407999999999998,9.233,9.052999999999999
111/05/05,1707517.0,17040799.0,10.1,10.1,9.83,9.99,-0.01,662.0,False,0.9153846153846158,0.8643363360172908,0.7797465429363314,9.603999999999997,9.316999999999998,9.099999999999998
111/05/06,1699691.0,17121728.0,9.85,10.3,9.85,9.95,-0.04,773.0,False,0.7666666666666657,0.8317797795670824,0.7970909551465817,9.755999999999997,9.394,9.157499999999997
111/05/09,1520257.0,15038667.0,9.97,10.1,9.73,9.85,-0.1,629.0,False,0.6999999999999993,0.7878531863780546,0.7940116988904059,9.845999999999998,9.469,9.199999999999998
111/05/10,1526023.0,15274050.0,9.7,10.3,9.68,10.1,0.25,569.0,False,0.8666666666666659,0.8141243464742584,0.8007159147516899,9.977999999999998,9.596,9.265499999999998
111/05/11,2050925.0,20931832.0,10.2,10.4,10.0,10.25,0.15,655.0,False,0.8905109489051093,0.8395865472845419,0.8136727922626406,10.027999999999999,9.718,9.347999999999997
111/05/12,3635997.0,38378611.0,10.25,10.95,10.2,10.35,0.1,1465.0,False,0.6551724137931033,0.7781151694540623,0.8018202513264479,10.099999999999998,9.851999999999999,9.422999999999998
111/05/13,4605491.0,49660045.0,10.5,11.2,10.35,11.2,0.85,1529.0,False,1.0,0.8520767796360416,0.8185724274296456,10.349999999999998,10.052999999999999,9.542499999999997
111/05/16,9541438.0,103102051.0,11.1,11.8,10.15,10.65,-0.55,3256.0,False,0.5021645021645021,0.7354393538121949,0.7908614028904953,10.509999999999996,10.177999999999999,9.633999999999997
111/05/17,5441563.0,60153611.0,10.7,11.3,10.55,11.2,0.55,1753.0,False,0.7169811320754712,0.7292866132332871,0.7703364730047593,10.729999999999997,10.354,9.744999999999997
111/05/18,6342613.0,72389688.0,11.2,11.8,10.95,11.5,0.3,2423.0,False,0.8584905660377355,0.7723545975014365,0.7710091811703182,10.979999999999995,10.504,9.868499999999997
