日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,7520982.0,115967041.0,15.3,15.6,15.3,15.45,+0.25,2406.0,False,,,
111/03/02,4350983.0,67045097.0,15.35,15.6,15.3,15.4,-0.05,1522.0,False,,,
111/03/03,8504411.0,130735974.0,15.5,15.75,15.15,15.25,-0.15,2661.0,False,,,
111/03/04,41019354.0,622320993.0,15.1,15.5,14.8,14.8,-0.45,8218.0,False,,,
111/03/07,18256705.0,255684175.0,14.6,14.6,13.8,13.8,-1.00,7112.0,False,,,
111/03/08,14008205.0,189154091.0,13.55,13.9,13.2,13.25,-0.55,4589.0,False,,,
111/03/09,6309686.0,85076009.0,13.55,13.7,13.25,13.65,+0.40,2896.0,False,,,
111/03/10,9595131.0,136591233.0,14.1,14.4,14.05,14.25,+0.60,3325.0,False,,,
111/03/11,7080753.0,99667149.0,14.1,14.25,14.0,14.05,-0.20,2181.0,False,0.3333333333333338,0.4444444444444446,0.4814814814814815
111/03/14,6940517.0,98916999.0,14.2,14.4,14.15,14.25,+0.20,2199.0,False,0.4117647058823531,0.4335511982570808,0.4655047204066812
111/03/15,5305068.0,75300405.0,14.3,14.35,14.05,14.25, 0.00,1818.0,False,0.4117647058823531,0.4262890341321716,0.4524328249818447
111/03/16,5763529.0,82576694.0,14.4,14.5,14.2,14.3,+0.05,1816.0,False,0.4782608695652178,0.4436129792765203,0.4494928764134032
111/03/17,8253547.0,120748126.0,14.5,14.8,14.45,14.7,+0.40,2755.0,False,0.9374999999999992,0.6082419861843467,0.502409246337051
111/03/18,6754555.0,100051486.0,14.6,15.0,14.6,15.0,+0.30,2168.0,False,1.0,0.7388279907895644,0.5812154944878888
111/03/21,6867404.0,103005984.0,14.95,15.2,14.85,14.9,-0.10,2384.0,False,0.8461538461538466,0.7746032759109918,0.6456780882955897
111/03/22,17478212.0,267607593.0,15.0,15.6,14.9,15.3,+0.40,5337.0,False,0.8125000000000007,0.7872355172739947,0.6928638979550579
111/03/23,17884187.0,280601055.0,15.5,15.95,15.45,15.6,+0.30,5627.0,False,0.8205128205128206,0.7983279516869366,0.7280185825323509
111/03/24,24281809.0,386485841.0,15.8,16.1,15.55,15.95,+0.35,7588.0,False,0.926829268292682,0.8411617238888516,0.7657329629845178
111/03/25,25286605.0,407315368.0,16.0,16.2,15.75,16.2,+0.25,8070.0,False,1.0,0.8941078159259009,0.8085245806316455
111/03/28,18210877.0,294373019.0,16.15,16.35,15.8,16.15,-0.05,5412.0,False,0.9069767441860452,0.8983974586792823,0.8384822066475244
111/03/29,23470360.0,385715556.0,16.2,16.6,16.15,16.45,+0.30,6566.0,False,0.930232558139534,0.9090091584993659,0.8619911905981382
111/03/30,81186665.0,1407532555.0,16.55,17.9,16.5,17.3,+0.85,23803.0,False,0.8181818181818188,0.8787333783935172,0.8675719198632644
111/03/31,38300672.0,657999341.0,17.45,17.6,16.8,16.95,-0.35,12199.0,False,0.6885245901639345,0.8153304489836561,0.8501580962367283
111/04/01,24644416.0,410018708.0,16.8,16.9,16.35,16.6,-0.35,7339.0,False,0.5666666666666673,0.7324425215446598,0.8109195713393722
111/04/06,112373151.0,1820720706.0,16.6,17.1,15.2,15.3,-1.30,23434.0,False,0.037037037037037576,0.5006406933754524,0.7074932786847321
111/04/07,18494367.0,280242987.0,15.05,15.5,14.85,14.9,-0.40,7393.0,False,0.01639344262295106,0.3392249431246185,0.5847371668313609
111/04/08,12505500.0,187700283.0,15.25,15.25,14.9,15.1,+0.20,4295.0,False,0.08196721311475412,0.25347236645466376,0.4743155667057952
111/04/11,13838188.0,202790857.0,15.0,15.0,14.4,14.75,-0.35,5060.0,False,0.09999999999999996,0.20231491096977586,0.3836486814604553
111/04/12,11413024.0,170459532.0,14.65,15.15,14.65,15.0,+0.25,3094.0,False,0.1714285714285714,0.192019464456041,0.3197722757923172
111/04/13,10566644.0,160600625.0,14.95,15.4,14.9,15.35,+0.35,3320.0,False,0.2714285714285713,0.2184891667802178,0.2860112394549507
111/04/14,17214566.0,270752074.0,15.3,16.0,15.3,15.9,+0.55,5749.0,False,0.4687499999999998,0.3019094445201451,0.2913106411433488
111/04/15,20366527.0,329842499.0,15.85,16.4,15.8,16.25,+0.35,6477.0,False,0.6851851851851848,0.42966802474182497,0.3374297690095075
111/04/18,21207910.0,347603083.0,16.25,16.8,16.05,16.2,-0.05,6442.0,False,0.6666666666666661,0.5086675720501053,0.3945090366897067
111/04/19,20419572.0,338535091.0,16.2,16.8,16.1,16.6,+0.40,5968.0,False,0.916666666666667,0.6446672702556258,0.4778951145450129
111/04/20,18944679.0,317399992.0,16.85,16.9,16.4,16.85,+0.25,5171.0,False,0.9800000000000012,0.7564448468370841,0.5707450253090367
111/04/21,20223760.0,343377570.0,16.8,17.1,16.8,16.95,+0.10,5350.0,False,0.9444444444444436,0.8191113793728706,0.6535338099969813
111/04/22,16547904.0,279886701.0,16.95,17.1,16.75,16.85,-0.10,3956.0,False,0.8979591836734694,0.8453939808064035,0.7174872002667887
111/04/25,16708175.0,276617971.0,16.45,16.9,16.1,16.75,-0.10,4330.0,False,0.8409090909090904,0.8438990175072991,0.7596244726802921
111/04/26,32016603.0,546371792.0,17.0,17.35,16.75,16.9,+0.15,8187.0,False,0.7804878048780475,0.8227619466308819,0.7806702973304886
111/04/27,34099772.0,524641680.0,16.2,16.35,15.25,15.25,-1.65,10284.0,False,0.0,0.5485079644205879,0.7032828530271884
111/04/28,35164503.0,505026889.0,15.0,15.0,14.05,14.2,-1.05,11688.0,False,0.04545454545454501,0.38082349143190697,0.5957963991620945
111/04/29,16018307.0,229402892.0,14.4,14.6,14.1,14.2, 0.00,5139.0,False,0.04545454545454501,0.2690338427727863,0.48687554703232505
111/05/03,10074425.0,143328061.0,14.25,14.45,14.0,14.25,+0.05,2962.0,False,0.07462686567164176,0.2042315170724048,0.3926608703790183
111/05/04,7926829.0,112140950.0,14.35,14.4,14.05,14.05,-0.20,2707.0,False,0.014925373134328563,0.14112946909304602,0.30881706995036085
111/05/05,8204915.0,116332338.0,14.3,14.45,14.05,14.1,+0.05,2451.0,False,0.0298507462686566,0.1040365614849162,0.2405569004618793
111/05/06,7897644.0,108806527.0,13.9,13.9,13.65,13.85,-0.25,2781.0,False,0.05405405405405385,0.08737572567462874,0.18949650886612912
111/05/09,9720877.0,130641106.0,13.8,13.85,13.25,13.3,-0.55,3473.0,False,0.01219512195121968,0.062315524433492385,0.14710284738858356
111/05/10,8557914.0,114891644.0,13.0,13.65,13.0,13.55,+0.25,2823.0,False,0.16417910447761208,0.0962700511148656,0.1301585819640109
111/05/11,5834487.0,78984079.0,13.7,13.7,13.4,13.4,-0.15,2261.0,False,0.20000000000000007,0.13084670074324378,0.13038795489042185
111/05/12,5787993.0,76483852.0,13.3,13.45,13.05,13.05,-0.35,2072.0,False,0.03125000000000045,0.097647800495496,0.11947457009211322
111/05/13,9175223.0,120345437.0,13.2,13.35,13.0,13.05, 0.00,2609.0,False,0.03448275862069016,0.07659278653722737,0.1051806422404846
111/05/16,13675841.0,183209506.0,13.45,13.75,13.15,13.25,+0.20,3765.0,False,0.17241379310344834,0.10853312205930103,0.1062981355134234
