日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,30997685.0,3241194164.0,104.0,105.5,103.5,104.5,+1.50,10193.0,False,,,
111/03/02,13856628.0,1447933122.0,104.0,105.0,104.0,104.5, 0.00,7727.0,False,,,
111/03/03,13875811.0,1454723635.0,105.0,105.5,104.5,104.5, 0.00,6783.0,False,,,
111/03/04,18504180.0,1930947109.0,104.0,105.0,103.5,105.0,+0.50,8128.0,False,,,
111/03/07,45910892.0,4729612213.0,104.0,104.0,102.5,102.5,-2.50,22699.0,False,,,
111/03/08,61133394.0,6189736839.0,101.5,102.5,100.0,101.5,-1.00,38356.0,False,,,
111/03/09,29548450.0,3008585959.0,102.0,102.5,101.5,101.5, 0.00,17043.0,False,,,
111/03/10,29400154.0,3033282899.0,103.0,104.0,102.5,103.0,+1.50,12409.0,False,,,
111/03/11,24223838.0,2504793316.0,103.0,104.0,102.5,103.5,+0.50,9082.0,False,0.6363636363636364,0.5454545454545454,0.5151515151515151
111/03/14,26933784.0,2774250224.0,103.0,104.0,102.5,102.5,-1.00,10301.0,False,0.4545454545454545,0.5151515151515151,0.5151515151515151
111/03/15,31444438.0,3189574182.0,102.0,103.0,101.0,101.0,-1.50,16486.0,False,0.18181818181818185,0.404040404040404,0.4781144781144781
111/03/16,36150101.0,3657323884.0,101.5,102.5,100.0,101.5,+0.50,18966.0,False,0.3,0.3693602693602693,0.4418630751964085
111/03/17,43672218.0,4532326631.0,103.5,104.5,103.0,104.0,+2.50,16099.0,False,0.8888888888888888,0.5425364758698091,0.4754208754208754
111/03/18,82471801.0,8685872459.0,105.0,106.0,103.5,106.0,+2.00,19378.0,False,1.0,0.6950243172465393,0.5486220226960967
111/03/21,21258452.0,2237503189.0,106.0,106.5,104.5,104.5,-1.50,11458.0,False,0.6923076923076923,0.6941187756002569,0.5971209403308168
111/03/22,21111299.0,2195813907.0,104.0,104.5,103.5,104.0,-0.50,9133.0,False,0.6153846153846154,0.6678740555283764,0.6207053120633366
111/03/23,20090168.0,2107142071.0,104.5,105.5,104.0,105.5,+1.50,9389.0,False,0.8461538461538461,0.727300652403533,0.6562370921767353
111/03/24,50697996.0,5397675520.0,105.0,108.0,104.5,106.5,+1.00,25623.0,False,0.8125,0.7557004349356886,0.6893915397630529
111/03/25,21198835.0,2253282800.0,106.5,107.0,106.0,106.0,-0.50,10670.0,False,0.75,0.7538002899571257,0.7108611231610772
111/03/28,19925357.0,2104511278.0,105.5,106.5,104.5,106.0, 0.00,8885.0,False,0.75,0.7525335266380837,0.7247519243200793
111/03/29,17591342.0,1853051914.0,106.0,106.5,104.5,105.5,-0.50,10487.0,False,0.5,0.6683556844253891,0.7059531776885158
111/03/30,21868440.0,2308264334.0,106.0,106.0,105.0,105.5, 0.00,9187.0,False,0.4444444444444444,0.5937186044317408,0.6685416532695908
111/03/31,21500251.0,2280008116.0,106.0,106.5,105.5,106.0,+0.50,7476.0,False,0.5555555555555556,0.5809975881396789,0.6393602982262869
111/04/01,23640400.0,2476028386.0,105.0,105.5,104.5,104.5,-1.50,11333.0,False,0.2222222222222222,0.4614057995005267,0.5800421319843668
111/04/06,31406042.0,3286232058.0,104.5,105.0,104.0,105.0,+0.50,13404.0,False,0.25,0.3909371996670178,0.5170071545452505
111/04/07,37755211.0,3913045570.0,104.5,105.0,103.0,103.0,-2.00,23911.0,False,0.0,0.26062479977801184,0.4315463696228376
111/04/08,25228715.0,2595666790.0,103.0,103.5,102.5,103.0, 0.00,16466.0,False,0.1111111111111111,0.2107869035557116,0.35795988093379555
111/04/11,29147204.0,2980505593.0,103.0,103.5,101.5,102.0,-1.00,17667.0,False,0.1,0.1738579357038077,0.2965925658571329
111/04/12,17944652.0,1838013259.0,102.0,103.0,101.5,102.0, 0.00,8667.0,False,0.1,0.14923862380253847,0.2474745851722681
111/04/13,15917450.0,1650449118.0,103.0,104.5,102.5,104.0,+2.00,8164.0,False,0.5,0.2661590825350256,0.25370275095985395
111/04/14,8950642.0,932060147.0,104.0,104.5,103.5,104.0, 0.00,4739.0,False,0.5,0.3441060550233504,0.2838371856476861
111/04/15,11788063.0,1218303498.0,103.5,104.0,103.0,103.0,-1.00,7425.0,False,0.375,0.3544040366822336,0.3073594693258686
111/04/18,11467286.0,1175593100.0,102.0,103.0,102.0,102.5,-0.50,6740.0,False,0.2857142857142857,0.3315074530262509,0.315408797225996
