日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,2008645.0,46370051.0,22.9,23.25,22.8,23.15,+0.45,1055.0,False,,,
111/03/02,1671581.0,38618035.0,23.1,23.4,22.85,23.4,+0.25,1031.0,False,,,
111/03/03,2041771.0,47779308.0,23.5,23.65,23.2,23.35,-0.05,969.0,False,,,
111/03/04,1518474.0,35153283.0,23.2,23.35,22.95,23.05,-0.30,771.0,False,,,
111/03/07,3512286.0,78154253.0,22.75,22.8,22.0,22.2,-0.85,1679.0,False,,,
111/03/08,4838088.0,103480772.0,21.9,22.2,20.8,20.9,-1.30,1986.0,False,,,
111/03/09,1573645.0,33418627.0,21.2,21.4,21.05,21.3,+0.40,962.0,False,,,
111/03/10,1446350.0,31567987.0,21.7,21.95,21.7,21.9,+0.60,910.0,False,,,
111/03/11,1093539.0,23646623.0,21.8,21.8,21.5,21.55,-0.35,726.0,False,0.2631578947368423,0.4210526315789474,0.4736842105263158
111/03/14,1707780.0,37495124.0,21.8,22.2,21.8,22.0,+0.45,736.0,False,0.42105263157894746,0.42105263157894735,0.456140350877193
111/03/15,2140176.0,45793632.0,22.0,22.0,21.2,21.2,-0.80,1059.0,False,0.14035087719298206,0.3274853801169589,0.4132553606237816
111/03/16,1573248.0,33425137.0,21.6,21.65,21.0,21.1,-0.10,830.0,False,0.11764705882352965,0.25753927301914914,0.3613499980889041
111/03/17,2391859.0,52216578.0,21.5,22.1,21.5,22.05,+0.95,1217.0,False,0.625,0.3800261820127661,0.3675753927301914
111/03/18,2742598.0,61016668.0,22.15,22.5,21.95,22.5,+0.45,1265.0,False,1.0,0.586684121341844,0.44061163560074224
111/03/21,1374097.0,31037206.0,22.7,22.75,22.45,22.45,-0.05,692.0,False,0.8285714285714282,0.6673132237517054,0.5161788316510633
111/03/22,2711252.0,61846464.0,22.55,23.1,22.5,22.95,+0.50,1182.0,False,0.9285714285714276,0.7543992920249462,0.5955856517756908
111/03/23,1897952.0,43511989.0,23.05,23.15,22.75,22.8,-0.15,1148.0,False,0.8372093023255823,0.7820026287918248,0.657724644114402
111/03/24,1644084.0,37273002.0,22.65,22.85,22.45,22.8, 0.00,896.0,False,0.8372093023255823,0.8004048533030772,0.7052847138439604
111/03/25,1432167.0,32837052.0,23.0,23.1,22.8,22.8, 0.00,776.0,False,0.8372093023255823,0.8126730029772455,0.7410808102217221
111/03/28,1557894.0,35000704.0,22.8,22.85,22.2,22.55,-0.25,769.0,False,0.7209302325581404,0.7820920795042103,0.7547512333158848
111/03/29,770832.0,17604032.0,22.7,22.95,22.7,22.75,+0.20,513.0,False,0.7575757575757582,0.7739199721947262,0.7611408129421652
111/03/30,1374209.0,31487664.0,23.0,23.2,22.7,22.75, 0.00,780.0,False,0.6400000000000006,0.7292799814631509,0.7505205357824937
111/03/31,1151474.0,25931900.0,22.8,22.85,22.4,22.45,-0.30,723.0,False,0.25,0.5695199876421005,0.6901870197356959
111/04/01,1157322.0,25736455.0,22.3,22.35,22.1,22.3,-0.15,678.0,False,0.18181818181818152,0.4402860523674608,0.6068866972796175
111/04/06,1634302.0,35636050.0,22.0,22.05,21.7,21.7,-0.60,1000.0,False,0.0,0.2935240349116405,0.5024324764902919
111/04/07,2020785.0,42966620.0,21.6,21.65,21.0,21.0,-0.70,1172.0,False,0.0,0.19568268994109367,0.4001825476405591
111/04/08,1845998.0,38855585.0,21.1,21.45,20.9,21.05,+0.05,846.0,False,0.06521739130434873,0.15219425706217868,0.3175197841144323
111/04/11,2069730.0,42629526.0,21.2,21.2,20.35,20.45,-0.60,1164.0,False,0.03508771929824489,0.11315874447420075,0.24939943756768845
111/04/12,1556107.0,31573013.0,20.3,20.6,20.05,20.2,-0.25,773.0,False,0.04761904761904719,0.09131217885581623,0.196703684663731
111/04/13,1343492.0,27530764.0,20.35,20.75,20.3,20.7,+0.50,714.0,False,0.206349206349206,0.12965785468694613,0.17435507467146938
111/04/14,1206725.0,24775754.0,20.95,20.95,20.4,20.4,-0.30,666.0,False,0.1249999999999992,0.12810523645796382,0.15893846193363415
111/04/15,2358560.0,47237549.0,20.25,20.25,19.85,19.95,-0.45,1095.0,False,0.03999999999999915,0.09873682430530893,0.1388712493908591
111/04/18,2013217.0,39702184.0,19.8,20.0,19.4,19.7,-0.25,876.0,False,0.1132075471698115,0.10356039859347643,0.12710096579173155
111/04/19,1308020.0,26172262.0,20.0,20.25,19.85,19.85,+0.15,677.0,False,0.2000000000000013,0.13570693239565138,0.12996962132637147
111/04/20,974603.0,19510590.0,20.1,20.15,19.85,20.1,+0.25,574.0,False,0.3414634146341476,0.2042924264751501,0.15474388970929767
111/04/21,1314293.0,26442637.0,20.2,20.3,19.95,20.0,-0.10,631.0,False,0.333333333333334,0.24730606209454475,0.18559794717104666
111/04/22,1603338.0,31633888.0,19.85,19.9,19.6,19.7,-0.30,827.0,False,0.19354838709677447,0.229386837095288,0.20019424381246045
111/04/25,2730225.0,51265077.0,19.35,19.35,18.6,18.65,-1.05,1305.0,False,0.02127659574467966,0.16001675664508522,0.18680174809000197
111/04/26,2038308.0,38855589.0,19.0,19.35,18.8,18.95,+0.30,926.0,False,0.14893617021276515,0.15632322783431185,0.17664224133810527
111/04/27,3531567.0,64940752.0,18.4,18.85,18.0,18.7,-0.25,1361.0,False,0.3043478260869561,0.20566476058519328,0.18631641442046792
111/04/28,1237438.0,23331217.0,18.85,19.1,18.55,18.75,+0.05,736.0,False,0.326086956521739,0.24580549256404186,0.2061461071349925
111/04/29,2018310.0,39029014.0,19.25,19.6,19.15,19.25,+0.50,966.0,False,0.5434782608695651,0.3450297486658829,0.25244065431195595
111/05/03,937125.0,18084814.0,19.25,19.55,19.1,19.45,+0.20,529.0,False,0.6304347826086951,0.4401647599801536,0.3150153562013551
111/05/04,833106.0,16230699.0,19.6,19.6,19.4,19.45, 0.00,509.0,False,0.6304347826086951,0.5035881008563341,0.3778729377530148
111/05/05,1689087.0,33572237.0,19.9,20.1,19.65,19.95,+0.50,713.0,False,0.9285714285714276,0.6452492100946986,0.4669983618669094
111/05/06,3870370.0,77357127.0,19.45,20.4,19.3,20.4,+0.45,1456.0,False,1.0,0.7634994733964657,0.5658320657100948
111/05/09,2500627.0,49339473.0,20.0,20.05,19.3,19.3,-1.10,1248.0,False,0.5416666666666673,0.689555204486533,0.6070731119689075
111/05/10,2415082.0,46861332.0,18.9,19.75,18.8,19.75,+0.45,981.0,False,0.7291666666666671,0.7027590252132443,0.6389684163836864
111/05/11,4382372.0,86764170.0,19.7,20.05,19.35,19.7,-0.05,1966.0,False,0.6216216216216216,0.6757132240160367,0.6512166855944699
111/05/12,4020413.0,79139506.0,19.65,20.0,19.45,19.7, 0.00,1671.0,False,0.5624999999999999,0.6379754826773578,0.6468029512887659
111/05/13,7559041.0,152192796.0,20.0,20.35,19.8,20.1,+0.40,2583.0,False,0.8125000000000016,0.6961503217849057,0.6632520747874789
111/05/16,4274300.0,86274892.0,20.35,20.45,20.0,20.0,-0.10,1537.0,False,0.7272727272727275,0.7065244569475129,0.6776762021741569
111/05/17,4809467.0,98463807.0,20.15,20.75,20.15,20.65,+0.65,1986.0,False,0.948717948717948,0.7872556208709912,0.7142026750731016
111/05/18,4053907.0,83697468.0,21.0,21.0,20.35,20.4,-0.25,1972.0,False,0.7272727272727265,0.7672613230049029,0.7318888910503687
111/05/19,3027475.0,61821631.0,19.95,20.75,19.9,20.65,+0.25,1388.0,False,0.8409090909090902,0.7918105789729654,0.7518627870245675
111/05/20,1667658.0,34324132.0,20.8,20.8,20.5,20.5,-0.15,772.0,False,0.7727272727272727,0.7854494768910678,0.763058350313401
111/05/23,1427106.0,29190631.0,20.7,20.75,20.25,20.25,-0.25,670.0,False,0.5454545454545451,0.7054511664122268,0.7438559556796762
111/05/24,1663693.0,33520635.0,20.5,20.55,19.85,19.95,-0.30,901.0,False,0.3225806451612901,0.5778276593285813,0.6885131902293112
111/05/25,1180585.0,23867617.0,20.1,20.35,20.0,20.25,+0.30,596.0,False,0.3749999999999996,0.5102184395523873,0.6290816066703366
111/05/26,1063814.0,21444035.0,20.5,20.5,20.0,20.0,-0.25,709.0,False,0.13043478260869454,0.38362388723782304,0.5472623668594987
111/05/27,6980993.0,144092685.0,20.3,20.9,20.25,20.65,+0.65,2328.0,False,0.6956521739130419,0.4876333161295626,0.5273860166161866
111/05/30,8074517.0,169105172.0,20.9,21.25,20.65,21.15,+0.50,3170.0,False,0.9285714285714276,0.6346126869435176,0.5631282400586302
111/05/31,8260970.0,176202569.0,21.15,21.65,21.05,21.3,+0.15,3426.0,False,0.8055555555555565,0.6915936431475305,0.6059500410882636
111/06/01,3296312.0,69754775.0,21.4,21.45,21.05,21.05,-0.25,1560.0,False,0.6666666666666673,0.6832846509872428,0.6317282443879233
111/06/02,1874324.0,39588515.0,21.0,21.3,20.95,21.1,+0.05,896.0,False,0.6944444444444455,0.6870045821396437,0.6501536903051635
111/06/06,1508804.0,31555641.0,21.1,21.15,20.75,20.85,-0.25,809.0,False,0.5555555555555565,0.6431882399449479,0.6478318735184251
111/06/07,928645.0,19267589.0,20.95,20.95,20.65,20.65,-0.20,626.0,False,0.3939393939393934,0.5601052912764297,0.6185896794377599
111/06/08,1053585.0,21780481.0,20.85,20.9,20.55,20.55,-0.10,675.0,False,0.33333333333333404,0.4845146386287311,0.5738979991680836
111/06/09,985281.0,20285520.0,20.65,20.7,20.5,20.6,+0.05,535.0,False,0.2500000000000013,0.4063430924191545,0.5180463635851073
111/06/10,2441685.0,49303052.0,20.5,20.5,20.0,20.0,-0.60,1213.0,False,0.0,0.270895394946103,0.4356627073721058
111/06/13,2783135.0,53832276.0,19.75,19.75,19.1,19.1,-0.90,1491.0,False,0.0,0.18059692996406865,0.3506407815694267
111/06/14,1967097.0,37338901.0,19.0,19.2,18.8,19.05,-0.05,967.0,False,0.09433962264150947,0.15184449418988225,0.28437535244291184
111/06/15,1435026.0,27410216.0,19.2,19.3,18.95,19.05, 0.00,756.0,False,0.1,0.13456299612658815,0.2344379003374706
111/06/16,2969589.0,55865699.0,19.35,19.4,18.45,18.5,-0.55,1316.0,False,0.018518518518518788,0.09588150359056502,0.1882524347551688
111/06/17,3671151.0,66095053.0,18.1,18.35,17.8,17.8,-0.70,1529.0,False,0.0,0.06392100239371001,0.14680862396801586
111/06/20,3971619.0,68558912.0,17.9,17.9,17.0,17.0,-0.80,1495.0,False,0.0,0.04261400159580666,0.11207708317727944
111/06/21,1789553.0,31278103.0,17.1,17.85,17.05,17.75,+0.75,1082.0,False,0.20270270270270274,0.09597690196477204,0.10671035610644362
111/06/22,2739698.0,47334257.0,18.0,18.0,16.95,17.0,-0.75,1182.0,False,0.01408450704225372,0.06867943699059925,0.09403338306782882
111/06/23,2349927.0,39597648.0,16.8,17.3,16.5,16.8,-0.20,1095.0,False,0.09230769230769252,0.07655552209629701,0.08820742941065154
111/06/24,1881504.0,32294184.0,17.05,17.4,17.0,17.1,+0.30,886.0,False,0.2068965517241385,0.12000253197224416,0.0988057969311824
