日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,70303880.0,42445208215.0,599.0,610.0,599.0,604.0, 0.00,67439.0,False,,,
111/03/02,42428151.0,25528700277.0,601.0,605.0,600.0,601.0,-3.00,58916.0,False,,,
111/03/03,37103932.0,22373890387.0,603.0,607.0,601.0,602.0,+1.00,65410.0,False,,,
111/03/04,65235167.0,38833099256.0,595.0,597.0,592.0,595.0,-7.00,206731.0,False,,,
111/03/07,97167600.0,56147025127.0,580.0,581.0,575.0,576.0,-19.00,297917.0,False,,,
111/03/08,88371413.0,49908147901.0,561.0,570.0,561.0,563.0,-13.00,269695.0,False,,,
111/03/09,57512412.0,32761408119.0,567.0,573.0,567.0,568.0,+5.00,112422.0,False,,,
111/03/10,49092145.0,28798814637.0,585.0,589.0,582.0,587.0,+19.00,71569.0,False,,,
111/03/11,42981381.0,24820833930.0,581.0,582.0,574.0,575.0,-12.00,112158.0,False,0.2857142857142857,0.42857142857142855,0.4761904761904762
111/03/14,38562552.0,22131365409.0,574.0,577.0,572.0,572.0,-3.00,87337.0,False,0.2391304347826087,0.365424430641822,0.4392684610075914
111/03/15,84338792.0,47191728965.0,562.0,563.0,558.0,558.0,-14.00,277901.0,False,0.0,0.24361628709454802,0.3740510697032435
111/03/16,50764807.0,28345633852.0,564.0,565.0,555.0,558.0,X0.00,110732.0,False,0.07142857142857142,0.1862203818725557,0.3114408404263476
111/03/17,65820899.0,38121960334.0,578.0,583.0,575.0,582.0,+24.00,65468.0,False,0.7941176470588235,0.3888528036013117,0.33724482815133555
111/03/18,49583448.0,28771454221.0,582.0,582.0,576.0,581.0,-1.00,39576.0,False,0.7647058823529411,0.5141371631851881,0.3962089398292864
111/03/21,22800165.0,13363354969.0,583.0,589.0,583.0,586.0,+5.00,32617.0,False,0.9117647058823528,0.6466796774175763,0.4796991856920496
111/03/22,23421124.0,13613967252.0,577.0,586.0,577.0,583.0,-3.00,27371.0,False,0.8235294117647058,0.7056295888666194,0.5550093200835728
111/03/23,27475008.0,16177424772.0,590.0,590.0,586.0,590.0,+7.00,30970.0,False,1.0,0.8037530592444129,0.6379238998038528
111/03/24,20769676.0,12232627003.0,587.0,592.0,585.0,591.0,+1.00,21647.0,False,0.972972972972973,0.8601596971539329,0.7120024989205461
111/03/25,26794684.0,15984831591.0,597.0,598.0,595.0,598.0,+7.00,29896.0,False,1.0,0.9067731314359552,0.7769260430923491
111/03/28,27954730.0,16298449416.0,581.0,586.0,580.0,584.0,-14.00,54537.0,False,0.6744186046511628,0.8293216225076909,0.7943912362307963
111/03/29,15742359.0,9243985774.0,586.0,589.0,584.0,589.0,+5.00,21222.0,False,0.6086956521739131,0.7557796323964316,0.7815207016193414
111/03/30,43256548.0,25908489513.0,599.0,600.0,597.0,600.0,+11.00,48535.0,False,1.0,0.837186421597621,0.8000759416121012
111/03/31,25130417.0,15014260610.0,602.0,602.0,594.0,597.0,-3.00,18860.0,False,0.8,0.8247909477317472,0.8083142769853164
111/04/01,31247086.0,18328227645.0,585.0,589.0,584.0,589.0,-8.00,53178.0,False,0.48,0.7098606318211647,0.7754963952639324
111/04/06,40726932.0,23547636944.0,578.0,580.0,575.0,578.0,-11.00,62822.0,False,0.1111111111111111,0.5102774582511468,0.6870900829263371
111/04/07,47212937.0,26881649976.0,571.0,573.0,566.0,566.0,-12.00,130552.0,False,0.0,0.34018497216743115,0.5714550460067018
111/04/08,31406384.0,17821660486.0,567.0,570.0,566.0,567.0,+1.00,75778.0,False,0.027777777777777776,0.2360492407042133,0.4596531109058724
111/04/11,41713758.0,23401330531.0,563.0,566.0,558.0,558.0,-9.00,130731.0,False,0.0,0.15736616046947555,0.3588907940937401
111/04/12,34799056.0,19418030839.0,554.0,564.0,552.0,557.0,-1.00,69280.0,False,0.1,0.13824410697965034,0.2853418983890435
111/04/13,36968137.0,21134384849.0,564.0,576.0,563.0,573.0,+16.00,41249.0,False,0.42,0.23216273798643355,0.26761551158817354
111/04/14,20224847.0,11618596373.0,577.0,578.0,573.0,573.0, 0.00,27442.0,False,0.42,0.2947751586576224,0.2766687272779898
111/04/15,33158930.0,18667922752.0,562.0,566.0,561.0,562.0,-11.00,99936.0,False,0.2702702702702703,0.286606862528505,0.2799814390281615
111/04/18,16579296.0,9311198146.0,559.0,566.0,558.0,561.0,-1.00,31712.0,False,0.32142857142857145,0.2982140988285271,0.28605899229495
111/04/19,18811242.0,10639032272.0,566.0,569.0,563.0,565.0,+4.00,24598.0,False,0.5,0.3654760658856847,0.31253135015852823
111/04/20,28240222.0,16016967192.0,570.0,570.0,562.0,570.0,+5.00,28615.0,False,0.6923076923076923,0.4744199413596872,0.3664942138922479
111/04/21,21539083.0,12221437009.0,571.0,571.0,565.0,565.0,-5.00,28847.0,False,0.5,0.4829466275731248,0.4053116851192069
111/04/22,35567672.0,19849449551.0,558.0,559.0,557.0,558.0,-7.00,81550.0,False,0.2307692307692308,0.3988874953051601,0.4031702885145246
111/04/25,49067362.0,26907070565.0,550.0,552.0,546.0,547.0,-11.00,165619.0,False,0.03125,0.2763416635367734,0.36089408018860747
111/04/26,39549934.0,21628474846.0,550.0,551.0,544.0,546.0,-1.00,90252.0,False,0.05882352941176471,0.20383561882843715,0.3085412597352173
111/04/27,65034122.0,34416315121.0,530.0,532.0,526.0,526.0,-20.00,217895.0,False,0.0,0.13589041255229142,0.2509909773409087
111/04/28,50406145.0,26653291522.0,530.0,532.0,523.0,531.0,+5.00,79897.0,False,0.16666666666666666,0.14614916392374985,0.21604370620185573
111/04/29,39960198.0,21586196160.0,547.0,547.0,535.0,538.0,+7.00,41498.0,False,0.3125,0.2015994426158332,0.21122895167318154
111/05/03,29502561.0,15790689728.0,538.0,540.0,530.0,531.0,-7.00,48050.0,False,0.16666666666666666,0.18995518396611105,0.2041376957708247
111/05/04,17305449.0,9229779558.0,533.0,537.0,530.0,534.0,+3.00,27460.0,False,0.22916666666666666,0.2030256781996296,0.20376702324709287
111/05/05,22540182.0,12209716759.0,543.0,544.0,539.0,542.0,+8.00,26904.0,False,0.5277777777777778,0.3112763780590123,0.2396034748510661
111/05/06,34512038.0,18241210653.0,528.0,531.0,526.0,528.0,-14.00,66208.0,False,0.1724137931034483,0.26498884974049103,0.24806526648087435
111/05/09,27309304.0,14249571058.0,523.0,524.0,520.0,520.0,-8.00,82004.0,False,0.0,0.1766592331603273,0.2242632553740253
111/05/10,44322247.0,22673191861.0,506.0,519.0,505.0,518.0,-2.00,83371.0,False,0.30952380952380953,0.22094742528148809,0.22315797867651285
111/05/11,28109896.0,14662149551.0,518.0,526.0,518.0,521.0,+3.00,40227.0,False,0.3809523809523809,0.274282410505119,0.2401994559527149
111/05/12,35824788.0,18310112210.0,516.0,518.0,505.0,505.0,-16.00,107513.0,False,0.0,0.182854940336746,0.22108461741405847
111/05/13,30204773.0,15412261905.0,507.0,514.0,506.0,511.0,+6.00,37707.0,False,0.15384615384615385,0.17318534483988193,0.2051181932226664
111/05/16,22012610.0,11472463517.0,521.0,524.0,518.0,520.0,+9.00,30034.0,False,0.38461538461538464,0.2436620247650495,0.21796613707012727
111/05/17,25812051.0,13627135311.0,521.0,533.0,520.0,530.0,+10.00,30826.0,False,0.6410256410256411,0.37611656351858,0.2706829458862782
111/05/18,33605299.0,18075946322.0,541.0,541.0,534.0,538.0,+8.00,34913.0,False,0.9166666666666666,0.5562999312346089,0.3658886076690551
111/05/19,40798132.0,21322524192.0,523.0,527.0,520.0,522.0,-16.00,47232.0,False,0.4722222222222222,0.5282740282304799,0.42001708118953
111/05/20,26111163.0,13784969436.0,524.0,532.0,523.0,530.0,+8.00,21767.0,False,0.6944444444444444,0.583664166968468,0.4745661097825093
111/05/23,18919447.0,10040778291.0,533.0,534.0,528.0,528.0,-2.00,18775.0,False,0.6388888888888888,0.6020724076086083,0.5170682090578755
111/05/24,19130619.0,10036942322.0,530.0,531.0,520.0,520.0,-8.00,31716.0,False,0.4166666666666667,0.5402704939612943,0.5248023040256817
111/05/25,22460245.0,11782306905.0,522.0,529.0,520.0,524.0,+4.00,18352.0,False,0.5142857142857142,0.5316089007361009,0.5270711695958215
111/05/26,31542825.0,16336162581.0,523.0,525.0,513.0,514.0,-10.00,72846.0,False,0.03571428571428571,0.3663106957288292,0.4734843449734907
111/05/27,30113220.0,15855257581.0,524.0,530.0,522.0,530.0,+16.00,28711.0,False,0.6071428571428571,0.4465880828668385,0.4645189242712733
111/05/30,36480411.0,19757635264.0,538.0,547.0,537.0,547.0,+17.00,42797.0,False,1.0,0.6310587219112256,0.5200321901512573
111/05/31,81962870.0,45507333341.0,542.0,560.0,540.0,560.0,+13.00,34286.0,False,1.0,0.7540391479408171,0.5980345094144439
111/06/01,32970903.0,18171598472.0,550.0,555.0,548.0,549.0,-11.00,33456.0,False,0.7659574468085106,0.7580119142300481,0.6513603110196453
111/06/02,26063495.0,14122936388.0,544.0,545.0,540.0,540.0,-9.00,30042.0,False,0.5744680851063829,0.6968306378554929,0.6665170866315945
111/06/06,23732327.0,12843324209.0,541.0,544.0,538.0,540.0, 0.00,16614.0,False,0.5744680851063829,0.6560431202724563,0.6630257645118818
111/06/07,22152512.0,11846386906.0,535.0,538.0,532.0,535.0,-5.00,28586.0,False,0.4680851063829787,0.5933904489759637,0.6398139926665757
111/06/08,19609522.0,10636701303.0,539.0,545.0,538.0,544.0,+9.00,18487.0,False,0.6595744680851063,0.6154517886790112,0.6316932580040542
111/06/09,16894479.0,9115934006.0,538.0,542.0,537.0,541.0,-3.00,18802.0,False,0.5,0.5769678591193408,0.6134514583758164
111/06/10,22614596.0,12011615014.0,530.0,533.0,529.0,530.0,-11.00,44802.0,False,0.03225806451612903,0.3953979275849369,0.5407669481121898
111/06/13,36758925.0,18998155460.0,518.0,519.0,515.0,516.0,-14.00,112023.0,False,0.022222222222222227,0.2710060257973653,0.450846640673915
111/06/14,38838778.0,19813036892.0,507.0,514.0,507.0,513.0,-3.00,85483.0,False,0.125,0.22233735053157688,0.3746768772931356
111/06/15,38360508.0,19580150319.0,508.0,515.0,508.0,509.0,-4.00,72687.0,False,0.05263157894736842,0.16576876000350738,0.30504083819659283
111/06/16,31908028.0,16331470764.0,515.0,516.0,507.0,508.0,X0.00,42177.0,False,0.02631578947368421,0.11928443649356632,0.2431220376289173
111/06/17,48400798.0,24260277915.0,499.5,503.0,499.0,501.0,-7.00,119618.0,False,0.043478260869565216,0.09401571128556596,0.19341992884780013
111/06/20,36664463.0,18267359790.0,500.0,502.0,495.0,498.0,-3.00,89541.0,False,0.06,0.08267714085704395,0.15650566618421474
111/06/21,34432537.0,17298234720.0,501.0,505.0,499.0,505.0,+7.00,32427.0,False,0.2127659574468085,0.1260400797202988,0.14635047069624274
111/06/22,33438921.0,16630857096.0,501.0,503.0,494.5,494.5,-10.50,81024.0,False,0.0,0.08402671981353252,0.12557588706867268
111/06/23,46808462.0,22836692325.0,492.0,493.5,485.0,485.5,-9.00,104661.0,False,0.014705882352941175,0.0609197739933354,0.10402384937689356
111/06/24,29003676.0,14184287155.0,489.5,492.5,485.5,486.5,+1.00,43609.0,False,0.04838709677419355,0.05674221492028812,0.08826330455802509
111/06/27,38684368.0,19379396938.0,496.0,506.0,495.5,498.5,+12.00,37438.0,False,0.4354838709677419,0.1829894336027727,0.11983868090627428
111/06/28,16867955.0,8392290378.0,496.0,500.0,496.0,497.5,-1.00,18988.0,False,0.4032258064516129,0.2564015578857194,0.16535963989942265
111/06/29,33124986.0,16352376816.0,496.0,498.5,491.0,491.0,-6.50,40024.0,False,0.2857142857142857,0.2661724671619081,0.19896391565358448
111/06/30,49820824.0,23900613642.0,484.5,486.5,476.0,476.0,-15.00,111117.0,False,0.0,0.17744831144127207,0.19179204758281365
111/07/01,72597018.0,33459624760.0,471.5,474.0,452.5,453.5,-22.50,172267.0,False,0.018691588785046728,0.12452940388919695,0.16937116635160807
111/07/04,61206245.0,27225872277.0,443.0,451.5,440.0,440.0,-13.50,96760.0,False,0.0,0.08301960259279796,0.140587311765338
111/07/05,55469884.0,24538415224.0,449.5,451.5,433.0,446.0,+6.00,70715.0,False,0.1780821917808219,0.11470713232213928,0.13196058528427174
111/07/06,42156925.0,18556660847.0,442.0,447.5,435.0,435.5,-10.50,59018.0,False,0.03424657534246575,0.0878869466622481,0.11726937241026385
111/07/07,50984110.0,22992311966.0,442.0,459.0,438.5,457.5,+22.00,56227.0,False,0.3356164383561644,0.1704634438935535,0.1350007295713604
111/07/08,39134398.0,18251251558.0,470.0,470.5,461.5,467.0,+9.50,46039.0,False,0.5074626865671642,0.28279652478475703,0.1842659946424926
111/07/11,22930675.0,10673806551.0,468.0,470.5,461.0,462.0,-5.00,25631.0,False,0.4427480916030535,0.33611371372418913,0.2348819010030581
111/07/12,24155935.0,10932798847.0,458.0,458.0,449.5,449.5,-12.50,34431.0,False,0.308411214953271,0.3268795474672164,0.2655477831577775
111/07/13,48134139.0,22639696871.0,470.5,473.0,466.0,470.5,+21.00,48964.0,False,0.9146341463414634,0.5227977470919654,0.3512977711358401
111/07/14,34014188.0,16045789881.0,466.0,477.5,463.0,475.0,+4.50,36454.0,False,0.9438202247191012,0.6631385729676773,0.4552447050797858
111/07/15,56039339.0,27285128552.0,481.0,494.0,477.0,492.5,+17.50,63691.0,False,0.9754098360655736,0.7672289940003094,0.5592394680532937
111/07/18,40797601.0,20142703483.0,495.5,498.5,488.5,495.5,+3.00,42574.0,False,0.9527559055118108,0.8290712978374766,0.6491834113146879
111/07/19,20554247.0,10063256350.0,487.5,493.0,486.5,491.0,-4.50,25035.0,False,0.875,0.8443808652249843,0.7142492292847866
111/07/20,36862724.0,18330197370.0,502.0,503.0,491.5,495.0,+4.00,40233.0,False,0.8504672897196262,0.8464096733898651,0.758302710653146
111/07/21,23893063.0,11887266420.0,496.0,501.0,494.0,501.0,+6.00,23039.0,False,0.9626168224299064,0.8851453897365453,0.8005836036809457
111/07/22,26904474.0,13525083791.0,505.0,505.0,500.0,503.0,+2.00,26122.0,False,0.963963963963964,0.9114182478123516,0.8375284850580809
111/07/25,16803972.0,8402110298.0,500.0,503.0,498.0,499.5,-3.50,17230.0,False,0.8690476190476191,0.8972947048907739,0.8574505583356451
111/07/26,19524143.0,9665183112.0,499.5,499.5,491.0,495.0,-4.50,29293.0,False,0.7619047619047619,0.8521647238954365,0.8556886135222421
111/07/27,18411136.0,9144660659.0,494.0,502.0,491.0,502.0,+7.00,20351.0,False,0.8928571428571429,0.8657288635493385,0.8590353635312742
111/07/28,35020547.0,17665645632.0,509.0,509.0,499.0,501.0,-1.00,31274.0,False,0.6444444444444445,0.7919673905143738,0.8366793725256407
111/07/29,30632627.0,15571856556.0,508.0,510.0,504.0,509.0,+8.00,24762.0,False,0.9574468085106383,0.8471271965131286,0.8401619805214701
111/08/01,24991291.0,12569771761.0,506.0,508.0,500.0,504.0,-5.00,26792.0,False,0.6842105263157895,0.7928216397806822,0.8243818669412073
111/08/02,42669591.0,20973293337.0,494.0,496.0,488.5,492.0,-12.00,63879.0,False,0.16279069767441862,0.5828113257452611,0.7438583532092251
111/08/03,29838832.0,14823224632.0,494.0,501.0,493.0,501.0,+9.00,25570.0,False,0.5813953488372093,0.582339333442577,0.6900186799536757
111/08/04,26589086.0,13279624282.0,499.0,503.0,495.0,500.0,-1.00,27173.0,False,0.5348837209302325,0.5665207959384622,0.6488527186152712
111/08/05,35052642.0,17966410242.0,509.0,516.0,507.0,516.0,+16.00,49928.0,False,1.0,0.7110138639589747,0.6695731003965056
111/08/08,20568971.0,10531710250.0,510.0,515.0,509.0,512.0,-4.00,18131.0,False,0.8545454545454545,0.7588577274878012,0.6993346427602708
111/08/09,24370709.0,12372442661.0,507.0,511.0,504.0,510.0,-2.00,25433.0,False,0.7818181818181819,0.7665112122645947,0.7217268325950454
111/08/10,22112239.0,11075581424.0,500.0,503.0,499.5,500.0,-10.00,35188.0,False,0.41818181818181815,0.6504014142370025,0.6979516931423644
111/08/11,24906177.0,12771121611.0,513.0,514.0,510.0,514.0,+14.00,23949.0,False,0.9272727272727272,0.7426918519155774,0.712865079400102
111/08/12,21343450.0,11016097043.0,515.0,518.0,514.0,517.0,+3.00,21701.0,False,0.9661016949152542,0.8171617995821363,0.7476306527941134
111/08/15,22519886.0,11755494600.0,520.0,524.0,519.0,523.0,+6.00,27372.0,False,0.967741935483871,0.8673551782160478,0.7875388279347582
111/08/16,21234122.0,11141160337.0,526.0,526.0,523.0,525.0,+2.00,20628.0,False,0.967741935483871,0.9008174306386554,0.8252983621693906
111/08/17,28461939.0,14943047011.0,524.0,527.0,521.0,527.0,+2.00,26466.0,False,1.0,0.9338782870924368,0.8614916704770726
111/08/18,18721898.0,9734756997.0,520.0,521.0,519.0,520.0,-7.00,24209.0,False,0.7454545454545455,0.8710703732131397,0.8646845713890949
111/08/19,14235983.0,7403584002.0,519.0,523.0,517.0,519.0,-1.00,14069.0,False,0.7090909090909091,0.8170772185057295,0.8488154537613064
111/08/22,23175820.0,11849427903.0,511.0,514.0,510.0,510.0,-9.00,32130.0,False,0.3818181818181817,0.6719908729432136,0.7898739268219421
111/08/23,20997847.0,10580935860.0,503.0,506.0,502.0,504.0,-6.00,34243.0,False,0.08,0.4746605819621424,0.6848028118686755
