日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,1816930.0,478776871.0,258.5,267.0,255.5,267.0,+15.00,1536.0,False,,,,,,
111/03/02,1073904.0,281566037.0,262.0,265.0,260.0,262.0,-5.00,907.0,False,,,,,,
111/03/03,1366992.0,361632948.0,263.0,267.0,260.0,267.0,+5.00,1147.0,False,,,,,,
111/03/04,2343429.0,600692520.0,261.0,262.0,253.5,253.5,-13.50,2468.0,False,,,,,,
111/03/07,3560112.0,856777254.0,247.0,251.0,236.0,237.0,-16.50,3286.0,False,,,,,,
111/03/08,4108084.0,946747374.0,225.0,239.5,225.0,226.5,-10.50,5375.0,False,,,,,,
111/03/09,2830862.0,648443817.0,230.0,236.0,225.0,228.0,+1.50,4111.0,False,,,,,,
111/03/10,2145283.0,505992032.0,232.0,240.5,232.0,235.5,+7.50,3828.0,False,,,,,,
111/03/11,2450749.0,572193714.0,235.5,238.0,231.0,234.5,-1.00,3698.0,False,0.2261904761904762,0.4087301587301587,0.4695767195767195,,,
111/03/14,1505334.0,347353152.0,234.5,238.0,227.0,229.5,-5.00,2454.0,False,0.10714285714285714,0.3082010582010581,0.4157848324514991,,,
111/03/15,1648933.0,364358485.0,228.5,228.5,218.0,219.0,-10.50,2414.0,False,0.020408163265306117,0.2122700932224741,0.34794658604182405,,,
111/03/16,1957293.0,428650067.0,221.5,226.5,214.0,219.5,+0.50,2618.0,False,0.11458333333333333,0.17970783992609388,0.2918670040032473,,,
111/03/17,2718962.0,636057704.0,230.5,237.0,230.0,236.5,+17.00,3420.0,False,0.6081081081081081,0.3225079293200986,0.30208064577553106,,,
111/03/18,6251731.0,1372981498.0,236.0,236.0,213.5,216.0,-20.50,7018.0,False,0.0925925925925926,0.2458694837442633,0.2833435917651084,,,
111/03/21,3839491.0,841092684.0,217.0,222.0,217.0,219.0,+3.00,4883.0,False,0.2037037037037037,0.2318142237307433,0.26616713575365336,,,
111/03/22,3120368.0,676778838.0,218.0,224.0,213.5,217.5,-1.50,2673.0,False,0.14814814814814814,0.20392553186987827,0.2454199344590617,,,
111/03/23,2479002.0,536716133.0,217.5,220.0,213.5,216.5,-1.00,2259.0,False,0.12244897959183673,0.17676668111053107,0.22253551667621813,,,
111/03/24,2436989.0,525265949.0,216.5,217.5,213.5,215.5,-1.00,4500.0,False,0.08163265306122447,0.14505533842742888,0.1967087905932884,,,
111/03/25,4958204.0,1023462501.0,214.0,215.0,203.0,203.0,-12.50,5751.0,False,0.0,0.09670355895161924,0.16337371337939866,,,
111/03/28,5314386.0,1069201080.0,200.0,205.0,196.0,204.0,+1.00,5918.0,False,0.1951219512195122,0.12950968970758356,0.1520857054887936,,,
111/03/29,2006504.0,412487137.0,204.0,207.5,202.5,207.0,+3.00,4118.0,False,0.2682926829268293,0.17577068744733212,0.15998069947497312,,,
111/03/30,6191994.0,1317366600.0,209.0,217.0,208.0,215.0,+8.00,6104.0,False,0.475,0.2755137916315548,0.19849173019383365,,,
111/03/31,6919965.0,1545546363.0,220.5,230.0,218.5,222.5,+7.50,6317.0,False,0.7794117647058824,0.4434797826563306,0.2801544143479993,,,
111/04/01,5838874.0,1329273258.0,221.0,231.0,218.0,230.0,+7.50,7188.0,False,0.9714285714285714,0.6194627122470775,0.3932571803143585,,,
111/04/06,6048067.0,1424982298.0,230.0,239.0,229.0,238.5,+8.50,6666.0,False,0.9883720930232558,0.7424325058391369,0.5096489554892847,,,
111/04/07,3800002.0,883125737.0,236.0,238.0,229.5,231.0,-7.50,4716.0,False,0.813953488372093,0.7662728333501223,0.5951902481095639,,,
111/04/08,3281764.0,745875769.0,230.0,233.0,223.5,226.0,-5.00,4948.0,False,0.6976744186046512,0.7434066951016318,0.6445957304402532,,,
111/04/11,4287285.0,940603100.0,230.0,233.0,216.5,216.5,-9.50,10701.0,False,0.4767441860465117,0.6545191920832585,0.6479035509879216,,,
111/04/12,3575831.0,772041753.0,214.0,221.5,211.5,215.0,-1.50,4485.0,False,0.3424657534246575,0.5505013791970581,0.615436160390967,,,
111/04/13,1863288.0,411447213.0,219.5,224.0,216.5,222.0,+7.00,5152.0,False,0.4516129032258064,0.5175385538733075,0.5828036248850805,,,
