日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,3129562.0,420579716.0,132.0,139.0,130.5,138.0,+7.00,2544.0,False,,,,,,
111/03/02,2357677.0,317029018.0,137.0,138.0,131.5,137.0,-1.00,2357.0,False,,,,,,
111/03/03,11130412.0,1613324067.0,142.0,150.5,140.0,141.5,+4.50,6896.0,False,,,,,,
111/03/04,3232144.0,455579117.0,140.5,144.0,138.5,139.0,-2.50,2979.0,False,,,,,,
111/03/07,1810264.0,243047618.0,139.0,139.5,132.0,132.5,-6.50,1515.0,False,,,,137.6,,
111/03/08,4948101.0,675316568.0,129.5,141.5,128.5,133.5,+1.00,3630.0,False,,,,136.7,,
111/03/09,2161865.0,295678517.0,139.5,140.0,134.5,136.0,+2.50,1757.0,False,,,,136.5,,
111/03/10,3119378.0,442358334.0,140.0,143.5,139.0,142.5,+6.50,2305.0,False,,,,136.7,,
111/03/11,1413819.0,199186837.0,143.5,143.5,139.0,139.5,-3.00,1956.0,False,0.5,0.5,0.5,136.8,,
111/03/14,1817376.0,247731332.0,140.0,140.5,134.0,134.5,-5.00,1463.0,False,0.2727272727272727,0.4242424242424242,0.4747474747474747,137.2,137.4,
111/03/15,2216500.0,288203755.0,134.0,135.5,128.0,128.5,-6.00,1879.0,False,0.022222222222222227,0.2902356902356902,0.41324354657687984,136.2,136.45,
111/03/16,1280218.0,164746837.0,131.0,132.5,127.0,127.5,-1.00,1169.0,False,0.029411764705882363,0.20329438172575426,0.3432604916265046,134.5,135.5,
111/03/17,1515862.0,201619223.0,131.0,135.0,130.5,134.0,+6.50,1219.0,False,0.42424242424242425,0.2769437292313109,0.32115490416144005,132.8,134.75,
111/03/18,1346577.0,183722022.0,135.0,138.0,133.0,137.5,+3.50,1309.0,False,0.6363636363636364,0.3967503649420861,0.346353391088322,132.4,134.6,
111/03/21,4734384.0,678383272.0,142.5,145.5,140.0,142.5,+5.00,3465.0,False,0.8378378378378378,0.5437795225740032,0.41216210158354905,134.0,135.6,
111/03/22,1861260.0,266269090.0,145.0,145.0,141.5,142.0,-0.50,1506.0,False,0.8108108108108109,0.6327899519862724,0.4857047183844568,136.7,136.45,
111/03/23,2603598.0,374617294.0,144.0,145.5,141.5,141.5,-0.50,1724.0,False,0.7837837837837838,0.6831212292521095,0.5515102220070076,139.5,137.0,
111/03/24,853766.0,120975668.0,141.5,143.0,141.0,142.0,+0.50,1365.0,False,0.8108108108108109,0.7256844231050099,0.6095682890396751,141.1,136.95,
111/03/25,3037510.0,436726041.0,143.5,146.0,142.0,142.5,+0.50,2117.0,False,0.8157894736842105,0.7557194399647433,0.658285339348031,142.1,137.25,
111/03/28,1080972.0,151188135.0,143.5,143.5,138.0,140.0,-2.50,853.0,False,0.6842105263157895,0.7318831354150921,0.6828179380370514,141.6,137.8,137.6
111/03/29,8176407.0,1200112196.0,141.5,149.5,141.5,148.0,+8.00,5589.0,False,0.9210526315789472,0.7949396341363771,0.7201918367368265,142.8,139.75,138.1
111/03/30,23434920.0,3767858121.0,154.5,162.5,154.5,162.5,+14.50,12139.0,False,1.0,0.8632930894242514,0.7678922542993014,147.0,143.25,139.375
111/03/31,9505243.0,1532740518.0,161.5,164.0,158.5,164.0,+1.50,7656.0,False,1.0,0.9088620596161676,0.8148821894049234,151.4,146.25,140.5
111/04/01,7045153.0,1112426120.0,160.0,161.0,154.5,159.0,-5.00,5634.0,False,0.8076923076923077,0.8751388089748808,0.8349677292615758,154.7,148.4,141.5
111/04/06,2889391.0,452714671.0,157.5,158.5,154.0,158.0,-1.00,2356.0,False,0.7692307692307693,0.8398361290601769,0.8365905291944429,158.3,149.95,142.775
111/04/07,8130802.0,1259931856.0,157.0,161.5,149.0,149.0,-9.00,6020.0,False,0.4230769230769231,0.7009163937324256,0.7913658173737704,158.5,150.65,143.55
111/04/08,7373665.0,1070658333.0,151.0,151.0,141.5,142.0,-7.00,5222.0,False,0.15384615384615385,0.5185596471036684,0.7004304272837364,154.4,150.7,143.85
111/04/11,3494661.0,482449000.0,141.0,141.5,135.5,136.5,-5.50,2890.0,False,0.03508771929824561,0.3574023378351941,0.5860877308008889,148.9,150.15,143.55
111/04/12,3641273.0,489095950.0,133.5,138.5,132.0,133.5,-3.00,2626.0,False,0.046875,0.25389322522346275,0.4753562289417469,143.8,149.25,143.25
111/04/13,3422508.0,458449832.0,135.0,137.0,130.5,137.0,+3.50,2602.0,False,0.19402985074626866,0.2339387670643981,0.3948837416492973,139.6,148.95,143.375
111/04/14,1880164.0,253720799.0,137.0,137.5,133.5,135.0,-2.00,1509.0,False,0.13432835820895522,0.2007352974459171,0.3301675935815038,136.8,147.65,143.7
111/04/15,2245288.0,292586321.0,133.5,134.5,128.0,129.0,-6.00,1951.0,False,0.02985074626865672,0.1437737803868303,0.26803632251661264,134.2,144.3,143.775
111/04/18,1687089.0,217833109.0,128.0,131.5,127.0,130.0,+1.00,1363.0,False,0.08695652173913042,0.12483469417093035,0.2203024464013852,132.9,140.9,143.575
111/04/19,2298722.0,309911214.0,131.5,136.5,131.5,135.5,+5.50,1691.0,False,0.2463768115942029,0.1653487333120212,0.20198454203826385,133.3,138.55,143.475
111/04/20,3999520.0,562131791.0,141.0,143.5,138.5,140.5,+5.00,3031.0,False,0.5625,0.2977324888746808,0.2339005243170695,134.0,136.8,143.375
111/04/21,3507470.0,505298327.0,142.5,146.0,140.0,145.5,+5.00,2829.0,False,0.9736842105263158,0.5230497294252258,0.3302835926864549,136.1,136.45,143.55
111/04/22,3298283.0,472928166.0,144.0,146.5,141.5,141.5,-4.00,2671.0,False,0.7435897435897436,0.5965630674800649,0.4190434176176583,138.6,136.4,143.55
111/04/25,1216067.0,165220337.0,137.0,138.0,134.0,135.5,-6.00,1125.0,False,0.4358974358974359,0.5430078569525221,0.4603648973959462,139.7,136.3,143.225
111/04/26,1459939.0,194470707.0,137.0,138.0,131.0,131.0,-4.50,1434.0,False,0.20512820512820512,0.4303813063444163,0.4503703670454362,138.8,136.05,142.65
111/04/27,2903513.0,369362607.0,126.0,130.5,124.0,130.5,-0.50,2286.0,False,0.2888888888888889,0.38321716719257376,0.4279859670944821,136.8,135.4,142.175
111/04/28,2508953.0,327220638.0,130.5,135.0,125.0,134.0,+3.50,1976.0,False,0.4444444444444444,0.403626259609864,0.4198660645996093,134.5,135.3,141.475
111/04/29,1688864.0,227462381.0,134.5,137.5,131.5,132.0,-2.00,1220.0,False,0.3555555555555556,0.3876026915917611,0.40911160693032655,132.6,135.6,139.95
111/05/03,1134627.0,152870121.0,132.5,136.0,132.5,135.5,+3.50,851.0,False,0.5111111111111111,0.4287721647648777,0.4156651262085103,132.6,136.15,138.525
111/05/04,1082815.0,147947906.0,136.5,138.0,135.0,136.5,+1.00,894.0,False,0.5555555555555556,0.471033295028437,0.4341211824818192,133.7,136.25,137.4
111/05/05,2056383.0,290802011.0,141.0,145.0,139.5,141.5,+5.00,1819.0,False,0.7777777777777778,0.5732814559448839,0.4805079403028407,135.9,136.35,136.575
111/05/06,1619686.0,218815188.0,136.0,137.5,134.0,134.5,-7.00,1350.0,False,0.5,0.5488543039632559,0.5032900615229791,136.0,135.25,135.85
111/05/09,733998.0,98224330.0,134.5,135.5,132.5,133.0,-1.50,674.0,False,0.42857142857142855,0.5087600121659801,0.5051133784039794,136.2,134.4,135.4
111/05/10,1795939.0,234958468.0,129.5,134.0,129.0,134.0,+1.00,1595.0,False,0.4761904761904762,0.4979035001741454,0.5027100856607014,135.9,134.25,135.275
111/05/11,932843.0,123420548.0,133.0,134.0,131.0,131.5,-2.50,1369.0,False,0.325,0.4402690001160969,0.4818963904791666,134.9,134.3,135.175
111/05/12,915112.0,118807834.0,130.0,132.5,128.0,128.0,-3.50,817.0,False,0.0,0.2935126667440646,0.4191018159007992,132.2,134.05,134.725
111/05/13,545033.0,71391457.0,130.0,132.5,129.5,131.0,+3.00,510.0,False,0.17647058823529413,0.2544986405744745,0.3642340907920243,131.5,133.75,134.525
111/05/16,1771581.0,239752864.0,134.0,138.5,132.5,133.0,+2.00,1476.0,False,0.29411764705882354,0.2677049760692575,0.3320577192177687,131.5,133.85,134.725
111/05/17,1693544.0,231839781.0,134.0,138.0,133.5,138.0,+5.00,1452.0,False,0.5882352941176471,0.37454841541872064,0.346221284618086,132.3,134.1,135.125
111/05/18,4067858.0,580555554.0,141.0,144.0,139.5,143.0,+5.00,3025.0,False,0.9375,0.5621989436124804,0.41821383761621744,134.6,134.75,135.5
111/05/19,1738669.0,245485908.0,140.0,143.0,139.0,143.0, 0.00,1473.0,False,0.9375,0.6872992957416535,0.507908990324696,137.6,134.9,135.625
111/05/20,1881994.0,269340534.0,144.0,144.5,141.0,142.5,-0.50,1820.0,False,0.8787878787878788,0.7511288234237286,0.5889822680243735,139.9,135.7,135.475
111/05/23,3591152.0,521625184.0,145.0,149.0,142.0,142.0,-0.50,2817.0,False,0.6666666666666666,0.7229747711713745,0.6336464357400404,141.7,136.6,135.5
111/05/24,1657916.0,229627978.0,143.5,143.5,136.0,136.5,-5.50,1386.0,False,0.4047619047619048,0.6169038157015513,0.6280655623938773,141.4,136.85,135.55
111/05/25,1617565.0,225140193.0,136.5,142.0,134.0,141.0,+4.50,1374.0,False,0.5897435897435898,0.6078504070488974,0.6213271772788841,141.0,137.8,136.05
111/05/26,1310895.0,186312364.0,141.5,144.0,139.5,142.5,+1.50,1090.0,False,0.6060606060606061,0.6072538067194669,0.6166360537590783,140.9,139.25,136.65
111/05/27,1773095.0,256381169.0,145.0,146.0,142.5,143.5,+1.00,1547.0,False,0.6451612903225806,0.6198896345871714,0.6177205807017759,141.1,140.5,137.125
111/05/30,4337521.0,648904426.0,145.5,153.0,145.5,151.0,+7.50,3441.0,False,0.8947368421052632,0.7115053704265353,0.6489821772766957,142.9,142.3,138.075
111/05/31,2019921.0,304871987.0,150.0,152.5,148.0,152.0,+1.00,1563.0,False,0.9473684210526316,0.7901263873019007,0.6960302472850973,146.0,143.7,138.9
111/06/01,2556939.0,382286450.0,150.5,154.0,147.0,147.5,-4.50,3703.0,False,0.675,0.7517509248679337,0.7146038064793759,147.3,144.15,139.45
111/06/02,1654026.0,240118550.0,147.5,148.0,144.0,144.0,-3.50,2022.0,False,0.5,0.6678339499119558,0.699013854290236,147.6,144.25,139.575
111/06/06,640011.0,92628724.0,146.0,146.0,143.0,145.5,+1.50,590.0,False,0.575,0.6368892999413038,0.6783056695072586,148.0,144.55,140.125
111/06/07,704165.0,101477483.0,145.0,145.5,143.0,145.5, 0.00,589.0,False,0.575,0.6162595332942025,0.6576236241029065,146.9,144.9,140.75
111/06/08,2361263.0,353764132.0,146.5,151.5,146.0,149.5,+4.00,2517.0,False,0.6896551724137931,0.6407247463340661,0.6519906648466263,146.4,146.2,141.525
111/06/09,1782812.0,268207545.0,150.0,152.5,147.5,150.5,+1.00,2676.0,False,0.6956521739130435,0.6590338888603917,0.6543384061845481,147.0,147.15,142.475
111/06/10,862367.0,129226153.0,148.0,151.0,148.0,151.0,+0.50,975.0,False,0.7272727272727273,0.6817801683311702,0.663485660233422,148.4,148.0,143.625
111/06/13,985027.0,144371811.0,147.5,148.0,145.0,146.0,-5.00,873.0,False,0.2727272727272727,0.5454292031298711,0.6241335078655716,148.5,148.25,144.375
111/06/14,1511333.0,216920688.0,145.5,147.5,141.0,145.5,-0.50,2086.0,False,0.3461538461538461,0.4790040841378626,0.5757570332896687,148.5,147.7,145.0
111/06/15,915152.0,131678596.0,144.0,147.0,142.5,142.5,-3.00,944.0,False,0.13043478260869565,0.3628143169614736,0.5047761278469369,147.1,146.75,145.225
111/06/16,1389071.0,197475596.0,146.0,147.5,137.0,137.0,-5.50,1343.0,False,0.0,0.24187621130764905,0.4171428223338409,144.4,145.7,144.925
