日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,15964131.0,462036671.0,28.7,29.25,28.55,29.1,+0.30,5992.0,False,,,
111/03/02,10358851.0,299936854.0,28.8,29.1,28.75,29.05,-0.05,4583.0,False,,,
111/03/03,12741637.0,370251755.0,29.2,29.35,28.9,29.0,-0.05,5413.0,False,,,
111/03/04,15567150.0,447938391.0,28.75,29.1,28.65,28.7,-0.30,7308.0,False,,,
111/03/07,29111435.0,803032852.0,28.4,28.45,27.25,27.55,-1.15,13655.0,False,,,
111/03/08,22708100.0,616234487.0,27.0,27.5,26.5,27.2,-0.35,9351.0,False,,,
111/03/09,18121724.0,496383296.0,27.45,27.8,26.95,27.55,+0.35,7933.0,False,,,
111/03/10,14127081.0,401031231.0,28.0,28.7,27.95,28.55,+1.00,5993.0,False,,,
111/03/11,10716644.0,306005622.0,28.25,28.8,28.05,28.8,+0.25,4318.0,False,0.807017543859649,0.6023391812865496,0.5341130604288499
111/03/14,17530466.0,505446053.0,28.7,29.35,28.3,29.25,+0.45,6187.0,False,0.964912280701754,0.7231968810916176,0.5971410006497724
111/03/15,13839896.0,401359561.0,29.0,29.25,28.75,29.05,-0.20,4657.0,False,0.8947368421052629,0.7803768680961659,0.6582196231319035
111/03/16,28513011.0,841943187.0,29.85,29.85,29.15,29.7,+0.65,11683.0,False,0.9552238805970144,0.8386592055964487,0.7183661506200852
111/03/17,33027012.0,975585283.0,29.85,29.85,29.25,29.65,-0.05,12098.0,False,0.9402985074626856,0.8725389728851943,0.7697570913751215
111/03/18,36435737.0,1095258386.0,29.55,30.3,29.5,30.3,+0.65,10162.0,False,1.0,0.9150259819234628,0.8181800548912352
111/03/21,15683871.0,476006661.0,30.3,30.55,30.15,30.3, 0.00,5944.0,False,0.9305555555555556,0.9202025064674936,0.852187538749988
111/03/22,14443302.0,440185093.0,30.4,30.65,30.15,30.6,+0.30,5523.0,False,0.9814814814814824,0.9406288314721566,0.8816679696573775
111/03/23,16718215.0,514694635.0,30.7,30.95,30.6,30.75,+0.15,6221.0,False,0.9310344827586208,0.9374307152343112,0.9002555515163554
111/03/24,10737102.0,326623184.0,30.6,30.7,30.3,30.3,-0.45,4849.0,False,0.7547169811320759,0.8765261372002329,0.8923457467443145
111/03/25,13358659.0,403200629.0,30.15,30.4,30.05,30.15,-0.15,4756.0,False,0.6363636363636359,0.7964719702547005,0.8603878212477765
111/03/28,11584066.0,346714689.0,30.0,30.15,29.65,30.05,-0.10,5122.0,False,0.500000000000001,0.6976479801698006,0.8061412075551178
111/03/29,5515226.0,166284418.0,30.25,30.35,30.0,30.05, 0.00,2515.0,False,0.4705882352941183,0.6219613985445731,0.7447479378849361
111/03/30,9299406.0,280761359.0,30.3,30.35,30.0,30.25,+0.20,4603.0,False,0.5172413793103451,0.5870547254664971,0.6921835337454564
111/03/31,9306524.0,279574038.0,30.25,30.3,29.95,29.95,-0.30,4864.0,False,0.2307692307692312,0.4682928939007418,0.6175533204638848
111/04/01,10465462.0,310093384.0,29.75,29.8,29.3,29.65,-0.30,5394.0,False,0.21212121212121104,0.3829023333075649,0.5393363247451115
111/04/06,14952581.0,438038637.0,29.4,29.45,29.1,29.3,-0.35,7553.0,False,0.10810810810810784,0.29130425824107914,0.4566589692437674
111/04/07,25238837.0,723973953.0,29.0,29.1,28.3,28.3,-1.00,10428.0,False,0.0,0.1942028388273861,0.3691735924383069
111/04/08,9545111.0,275858464.0,28.55,29.1,28.5,29.0,+0.70,4758.0,False,0.3333333333333333,0.2405796703293685,0.3263089517353275
111/04/11,11204699.0,322968330.0,29.05,29.2,28.6,28.85,-0.15,5356.0,False,0.2682926829268295,0.2498173411951888,0.3008117482219479
111/04/12,19540899.0,553066972.0,28.8,28.8,28.0,28.1,-0.75,8901.0,False,0.04255319148936229,0.1807292912932466,0.2607842625790475
111/04/13,9041501.0,257049406.0,28.35,28.6,28.25,28.4,+0.30,4416.0,False,0.1702127659574461,0.17722378284797974,0.23293076933535825
111/04/14,13025073.0,369248468.0,28.4,28.5,28.2,28.45,+0.05,7448.0,False,0.1956521739130431,0.1833665798696676,0.21640937284679465
111/04/15,11249495.0,316444009.0,28.3,28.35,28.05,28.1,-0.35,4374.0,False,0.055555555555556316,0.14076290509829711,0.19119388359729544
111/04/18,12003286.0,339432992.0,28.0,28.55,27.9,28.4,+0.30,5930.0,False,0.3225806451612901,0.2013688184526281,0.19458552854907304
111/04/19,13195351.0,374086188.0,28.4,28.55,28.2,28.2,-0.20,5075.0,False,0.2307692307692312,0.21116895589149576,0.2001133376632139
111/04/20,13496764.0,381187944.0,28.4,28.4,28.15,28.2, 0.00,5063.0,False,0.2307692307692312,0.21770238085074087,0.20597635205905626
111/04/21,15018341.0,423770357.0,28.3,28.5,28.1,28.1,-0.10,5840.0,False,0.15384615384615594,0.19641697184921256,0.20278989198910835
111/04/22,15257615.0,426213970.0,27.9,28.15,27.85,27.9,-0.20,6980.0,False,0.05263157894736547,0.14848850754859688,0.18468943050893785
111/04/25,20841946.0,565770396.0,27.5,27.55,27.0,27.1,-0.80,9145.0,False,0.06250000000000082,0.11982567169906486,0.1630681775723135
111/04/26,13526734.0,369925415.0,27.25,27.5,27.1,27.45,+0.35,5645.0,False,0.2903225806451607,0.1766579746810968,0.16759810994190796
111/04/27,15658535.0,420793929.0,27.1,27.1,26.65,26.85,-0.60,7354.0,False,0.10526315789473822,0.15285970241897726,0.16268530743426438
111/04/28,12201115.0,333479434.0,27.0,27.7,26.95,27.7,+0.85,4851.0,False,0.5526315789473681,0.28611699459510753,0.20382920315454545
111/04/29,10707090.0,296680058.0,27.9,27.95,27.55,27.6,-0.10,3968.0,False,0.5000000000000009,0.35741132973007195,0.2550232453463876
111/05/03,5585575.0,155282252.0,27.5,28.05,27.5,28.0,+0.40,3401.0,False,0.7297297297297299,0.4815174630632912,0.3305213179186888
111/05/04,12764548.0,361714034.0,28.15,28.6,27.95,28.55,+0.55,5716.0,False,0.9743589743589741,0.6457979668285188,0.4356135342219654
111/05/05,9063267.0,259214472.0,28.8,28.85,28.45,28.55, 0.00,4566.0,False,0.8636363636363635,0.7184107657644669,0.5298792780694659
111/05/06,11013857.0,308822785.0,27.7,28.4,27.65,28.25,-0.30,5240.0,False,0.7272727272727271,0.7213647529338869,0.5937077696909395
111/05/09,12253184.0,337978908.0,27.85,27.9,27.4,27.45,-0.80,5582.0,False,0.3636363636363635,0.6021219565013791,0.5965124986277527
111/05/10,13473801.0,374106786.0,27.25,28.1,27.2,28.0,+0.55,5791.0,False,0.6136363636363635,0.6059600922130406,0.5996616964895153
111/05/11,14312740.0,397549484.0,27.6,28.05,27.4,28.05,+0.05,5280.0,False,0.5789473684210528,0.5969558509490447,0.598759747976025
111/05/12,13354799.0,368787532.0,27.9,28.1,27.3,27.35,-0.70,5114.0,False,0.09090909090909208,0.4282735976023938,0.5419310311848147
111/05/13,28013496.0,789685536.0,28.1,28.5,27.75,28.35,+1.00,10348.0,False,0.6969696969696973,0.5178389640581615,0.5339003421425971
111/05/16,18995932.0,541667796.0,28.5,28.8,28.15,28.7,+0.35,7803.0,False,0.9090909090909081,0.648256279069077,0.5720189877847569
111/05/17,13685245.0,391424049.0,28.7,28.75,28.35,28.55,-0.15,5407.0,False,0.818181818181818,0.7048981254399906,0.6163120336698348
111/05/18,15374620.0,442676983.0,28.55,29.0,28.5,28.85,+0.30,6726.0,False,0.9166666666666676,0.7754876391822162,0.6693705688406286
111/05/19,15219767.0,429869094.0,28.35,28.4,28.1,28.15,-0.70,5824.0,False,0.5277777777777771,0.6929176853807365,0.6772196076873312
111/05/20,20600399.0,577179870.0,28.2,28.5,27.75,27.75,-0.40,7107.0,False,0.3055555555555558,0.5637969754390096,0.6394120636045574
111/05/23,17920611.0,497357147.0,27.75,27.95,27.55,27.85,+0.10,5500.0,False,0.32352941176470645,0.4837077875475752,0.5875106382522299
111/05/24,24586226.0,673334076.0,27.55,27.75,27.2,27.3,-0.55,7836.0,False,0.055555555555556316,0.3409903768835689,0.5053372177960096
111/05/25,16495093.0,459623550.0,27.45,28.2,27.3,28.0,+0.70,5582.0,False,0.44444444444444464,0.3754750660705273,0.4620498338875155
111/05/26,14147450.0,399421212.0,27.75,28.45,27.7,28.1,+0.10,5429.0,False,0.500000000000001,0.416983377380352,0.44702768171846097
111/05/27,14538806.0,415280817.0,28.35,28.7,28.35,28.6,+0.50,5229.0,False,0.7777777777777787,0.5372481775128275,0.4771011803165831
111/05/30,18474030.0,534221077.0,28.8,29.05,28.6,29.0,+0.40,6660.0,False,0.9729729729729726,0.6824897759995425,0.5455640455442362
111/05/31,61458579.0,1798150123.0,28.95,29.75,28.8,29.1,+0.10,10695.0,False,0.7450980392156871,0.7033591970715907,0.5981624293866876
111/06/01,15182400.0,443029770.0,29.1,29.5,29.0,29.1, 0.00,6433.0,False,0.7450980392156871,0.7172721444529561,0.6378656677421104
111/06/02,10916432.0,318279726.0,28.95,29.35,28.85,29.05,-0.05,5329.0,False,0.7254901960784317,0.7200114949947812,0.6652476101596674
111/06/06,8324505.0,241996412.0,29.3,29.3,28.95,29.0,-0.05,4158.0,False,0.7058823529411765,0.7153017809769129,0.6819323337654158
111/06/07,9683619.0,279735242.0,28.9,29.15,28.8,28.85,-0.15,4154.0,False,0.6326530612244903,0.6877522077261053,0.6838722917523123
111/06/08,20561114.0,587126311.0,28.5,28.95,28.45,28.55,-0.30,8173.0,False,0.414634146341464,0.5967128539312249,0.6548191458119499
111/06/09,14806385.0,421094237.0,28.25,28.7,28.2,28.4,-0.15,4802.0,False,0.1290322580645156,0.4408193219756551,0.5834858711998516
111/06/10,23540862.0,660647762.0,28.2,28.35,27.95,27.95,-0.45,7374.0,False,0.0,0.29387954798377003,0.4869504301278244
111/06/13,15768918.0,432774751.0,27.5,27.7,27.35,27.4,-0.55,7507.0,False,0.020833333333332163,0.20286414310029074,0.3922550011186465
111/06/14,12690590.0,347076132.0,27.2,27.55,27.2,27.35,-0.05,5589.0,False,0.06521739130434873,0.15698189250164338,0.3138306315796454
111/06/15,18391404.0,503656632.0,27.35,27.65,27.2,27.2,-0.15,7312.0,False,0.0,0.10465459500109556,0.2441052860534621
111/06/16,14769542.0,401452076.0,27.6,27.6,26.9,27.0,-0.20,5504.0,False,0.04166666666666722,0.08365861888961948,0.1906230636655145
111/06/17,17668751.0,470876654.0,26.75,26.85,26.4,26.8,-0.20,5759.0,False,0.14545454545454622,0.10425726107792838,0.16183446280298586
111/06/20,13034971.0,343869912.0,26.65,26.95,26.0,26.0,-0.80,5432.0,False,0.0,0.06950484071861891,0.13105792210819686
111/06/21,8732627.0,233148789.0,26.4,26.95,26.2,26.95,+0.95,3907.0,False,0.3518518518518517,0.16362051109636316,0.1419121184375856
111/06/22,9578508.0,253164079.0,26.85,26.85,26.25,26.35,-0.60,4057.0,False,0.14893617021276648,0.15872573080183094,0.14751665589233404
111/06/23,15140461.0,395973078.0,26.55,26.6,25.95,26.15,-0.20,4822.0,False,0.11428571428571388,0.14391239196312525,0.14631523458259774
111/06/24,11304297.0,296173664.0,26.5,26.5,26.0,26.0,-0.15,4449.0,False,0.029411764705882783,0.10574551621071107,0.1327919951253022
111/06/27,15471004.0,405149830.0,26.1,26.4,26.05,26.1,+0.10,4113.0,False,0.08823529411764837,0.09990877551302348,0.1218309219212093
111/06/28,18371021.0,478158264.0,26.3,26.35,25.9,26.0,-0.10,4210.0,False,0.05882352941176544,0.0862136934792708,0.10995851244056312
111/06/29,30664057.0,780956645.0,25.85,25.85,25.25,25.3,-0.70,10934.0,False,0.029411764705882783,0.06727971722147479,0.09573224736753366
111/06/30,55404580.0,1240919053.0,22.55,22.6,21.6,21.7,X0.00,14455.0,False,0.01869158878504634,0.05108367440933197,0.08084938971479975
111/07/01,22252780.0,473281791.0,21.7,21.8,20.9,20.95,-0.75,7948.0,False,0.008264462809917472,0.0368106038761938,0.06616979443526444
111/07/04,24638076.0,517601034.0,20.95,21.25,20.7,21.05,+0.10,5926.0,False,0.056910569105691276,0.04351059228602629,0.05861672705218505
111/07/05,12985934.0,273677334.0,21.55,21.65,20.75,21.1,+0.05,4747.0,False,0.06779661016949186,0.05160593158051481,0.05627979522829497
111/07/06,13745464.0,284089260.0,21.1,21.1,20.5,20.65,-0.45,4638.0,False,0.02499999999999976,0.04273728772034312,0.051765626058977686
111/07/07,24950342.0,532655297.0,20.8,21.65,20.6,21.55,+0.90,6298.0,False,0.17796610169491542,0.08781355904520055,0.06378160372105196
111/07/08,17335856.0,374026499.0,21.7,21.8,21.3,21.7,+0.15,4868.0,False,0.20512820512820493,0.12691844107286868,0.08482721617165752
111/07/11,10005151.0,215341634.0,21.7,21.75,21.3,21.6,-0.10,2872.0,False,0.20560747663551426,0.15314811959375052,0.10760085064568853
111/07/12,20974290.0,448251041.0,21.4,21.65,21.1,21.4,-0.20,5449.0,False,0.4285714285714276,0.2449558892529761,0.1533858635147844
111/07/13,18645889.0,413848850.0,22.2,22.6,21.95,22.15,+0.75,6005.0,False,0.7857142857142845,0.4252086880734123,0.2439934717009937
