日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,3078403.0,1148971621.0,369.5,376.5,369.5,373.5,+2.00,2862.0,False,,,,,,
111/03/02,2263600.0,845222456.0,370.5,375.0,370.5,373.0,-0.50,1795.0,False,,,,,,
111/03/03,2710167.0,1026285038.0,374.0,380.5,374.0,380.0,+7.00,2624.0,False,,,,,,
111/03/04,3559454.0,1347539630.0,377.0,381.5,376.0,376.0,-4.00,2950.0,False,,,,,,
111/03/07,5278981.0,1922331156.0,372.0,372.5,359.0,364.0,-12.00,5918.0,False,,,,373.3,,
111/03/08,4715983.0,1690988395.0,360.0,364.5,355.0,358.5,-5.50,5110.0,False,,,,370.3,,
111/03/09,2466525.0,886497803.0,361.0,361.5,357.0,360.0,+1.50,2264.0,False,,,,367.7,,
111/03/10,3067823.0,1126302164.0,367.0,369.0,365.0,366.5,+6.50,2585.0,False,,,,365.0,,
111/03/11,3540869.0,1313700537.0,369.0,374.0,368.0,371.5,+5.00,3147.0,False,0.6226415094339622,0.5408805031446541,0.5136268343815513,364.1,,
111/03/14,5039951.0,1840370292.0,368.5,369.5,360.0,369.5,-2.00,4505.0,False,0.5471698113207547,0.5429769392033542,0.5234102026554857,365.2,369.25,
111/03/15,3387034.0,1238177240.0,368.0,368.5,362.0,368.0,-1.50,2916.0,False,0.490566037735849,0.5255066387141858,0.5241090146750523,367.1,368.7,
111/03/16,6476023.0,2427929676.0,369.0,379.0,368.0,379.0,+11.00,5324.0,False,0.9056603773584906,0.6522245515956206,0.5668141936485751,370.9,369.3,
111/03/17,13730301.0,5180549909.0,384.0,384.5,369.5,377.0,-2.00,12511.0,False,0.7457627118644068,0.6834039383518826,0.6056774418830109,373.0,369.0,
111/03/18,6780241.0,2536919938.0,377.0,381.0,371.0,372.5,-4.50,5682.0,False,0.5932203389830508,0.653342738562272,0.6215658741094312,373.2,368.65,
111/03/21,4148775.0,1551933955.0,372.5,376.0,371.5,374.5,+2.00,3751.0,False,0.6363636363636364,0.6476830378293934,0.6302715953494186,374.2,369.7,
111/03/22,4279175.0,1588499704.0,371.5,373.5,368.0,372.0,-2.50,4159.0,False,0.4897959183673469,0.5950539980087112,0.6185323962358494,375.0,371.05,
111/03/23,2321366.0,864626540.0,371.5,374.0,371.0,372.5,+0.50,2493.0,False,0.5102040816326531,0.5667706925500251,0.6012784950072413,373.7,372.3,
111/03/24,2155366.0,806239792.0,372.5,376.0,372.5,373.0,+0.50,2728.0,False,0.5306122448979592,0.5547178766660031,0.5857582888934952,372.9,372.95,
111/03/25,4312414.0,1617347745.0,375.5,377.0,372.5,374.0,+1.00,3046.0,False,0.5333333333333333,0.5475896955551132,0.5730354244473679,373.2,373.2,
111/03/28,2735861.0,1026792938.0,373.0,378.0,372.0,378.0,+4.00,2665.0,False,0.6060606060606061,0.5670799990569441,0.5710502826505599,373.9,374.05,371.65
111/03/29,1466383.0,552397675.0,379.0,379.5,375.5,376.0,-2.00,2572.0,False,0.4848484848484849,0.5396694943207909,0.5605900198739702,374.7,374.85,371.775
111/03/30,2435510.0,914769235.0,376.0,377.0,374.0,375.5,-0.50,2530.0,False,0.5769230769230769,0.5520873551882195,0.5577557983120532,375.3,374.5,371.9
111/03/31,1796406.0,673077286.0,375.0,376.5,373.5,373.5,-2.00,1717.0,False,0.4782608695652174,0.5274785266472188,0.5476633744237751,375.4,374.15,371.575
111/04/01,1798334.0,668505459.0,371.0,373.5,369.0,373.5, 0.00,2113.0,False,0.4782608695652174,0.5110726409532182,0.5354664632669228,375.3,374.25,371.45
111/04/06,3505203.0,1288693560.0,368.5,371.0,366.0,367.5,-6.00,4699.0,False,0.1111111111111111,0.3777521310058492,0.4828950191798982,373.2,373.55,371.625
