日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,18829427.0,1568310498.0,81.7,84.5,81.2,83.0,+2.30,11903.0,False,,,
111/03/02,13204154.0,1080345650.0,82.2,83.6,80.7,82.0,-1.00,13584.0,False,,,
111/03/03,9896779.0,810419759.0,83.0,83.3,81.1,81.2,-0.80,8538.0,False,,,
111/03/04,9341880.0,754450622.0,81.0,82.0,79.8,79.9,-1.30,9678.0,False,,,
111/03/07,14950302.0,1141298257.0,79.1,79.3,74.8,75.9,-4.00,13165.0,False,,,
111/03/08,14921064.0,1115151521.0,74.7,77.6,73.0,73.0,-2.90,12997.0,False,,,
111/03/09,10118542.0,751589202.0,75.0,75.3,73.3,74.5,+1.50,9233.0,False,,,
111/03/10,10669845.0,824765499.0,76.5,78.3,76.3,77.4,+2.90,8542.0,False,,,
111/03/11,6132169.0,474678972.0,77.5,78.0,76.8,77.5,+0.10,5869.0,False,0.39130434782608703,0.463768115942029,0.4879227053140096
111/03/14,5484803.0,421019072.0,78.1,78.5,75.9,76.2,-1.30,3681.0,False,0.3018867924528306,0.4098076747789628,0.4618843618023273
111/03/15,7153527.0,530910812.0,75.8,76.0,73.3,73.7,-2.50,5182.0,False,0.06796116504854398,0.2958588382021565,0.4065425206022704
111/03/16,12277527.0,892266685.0,74.9,75.4,71.4,72.7,-1.00,9885.0,False,0.12264150943396206,0.2381197286127584,0.3504015899390997
111/03/17,15303047.0,1165064947.0,74.8,78.0,73.8,78.0,+5.30,8822.0,False,0.8354430379746838,0.4372274984000668,0.3793435594260887
111/03/18,17088813.0,1354759572.0,78.0,80.2,76.7,80.2,+2.20,11213.0,False,1.0,0.6248183322667111,0.4611684837062962
111/03/21,12116069.0,983099108.0,81.0,81.9,80.2,81.1,+0.90,7997.0,False,0.9238095238095227,0.7244820627809816,0.5489396767311913
111/03/22,30508254.0,2524126814.0,80.0,84.1,79.2,83.2,+2.10,20106.0,False,0.9291338582677172,0.7926993279432267,0.6301928938018697
111/03/23,29853531.0,2513862697.0,84.0,85.9,82.8,84.0,+0.80,20114.0,False,0.8689655172413789,0.8181213910426108,0.6928357262154501
111/03/24,10361942.0,873086559.0,83.1,85.0,83.1,84.6,+0.60,7882.0,False,0.9103448275862062,0.8488625365571425,0.7448446629960142
111/03/25,13821685.0,1167019902.0,85.6,86.2,82.8,84.3,-0.30,12700.0,False,0.8716216216216213,0.856448898245302,0.7820460747457767
111/03/28,8391824.0,707188657.0,83.1,85.1,83.0,84.1,-0.20,7296.0,False,0.8581081081081076,0.8570019681995704,0.8070313725637079
111/03/29,10401752.0,884223159.0,84.7,86.0,84.3,84.9,+0.80,6822.0,False,0.895161290322581,0.8697217422405739,0.8279281624559965
111/03/30,22980866.0,2002871606.0,86.0,88.5,85.4,87.5,+2.60,15038.0,False,0.9152542372881356,0.884899240589761,0.8469185218339179
111/03/31,14090685.0,1216989432.0,88.0,88.5,84.5,85.0,-2.50,13163.0,False,0.6236559139784945,0.7978181317193388,0.8305517251290582
111/04/01,28601410.0,2533642843.0,84.1,91.1,84.0,88.1,+3.10,19958.0,False,0.7478991596638653,0.7811784743675142,0.8140939748752101
111/04/06,14157002.0,1242142793.0,88.7,90.5,86.5,86.5,-1.60,14133.0,False,0.4457831325301211,0.6693800270883831,0.765855992279601
111/04/07,9188372.0,781226575.0,86.0,86.9,83.7,83.7,-2.80,7282.0,False,0.10843373493975976,0.4823979297055086,0.6713699714215702
111/04/08,13150564.0,1122539036.0,85.4,87.2,83.7,84.3,+0.60,9257.0,False,0.18072289156626511,0.3818395836590941,0.5748598421674115
111/04/11,11762729.0,957458892.0,84.6,84.6,80.2,80.6,-3.70,7377.0,False,0.036697247706421264,0.2667921383415365,0.4721706075587865
111/04/12,8424624.0,685883931.0,80.3,82.4,79.6,81.5,+0.90,5120.0,False,0.16521739130434832,0.2329338893291404,0.3924250348155711
111/04/13,6621742.0,540721440.0,81.5,82.7,80.7,82.7,+1.20,4438.0,False,0.2695652173913051,0.2451443320165285,0.34333146721589025
111/04/14,7955743.0,666709413.0,83.5,84.7,82.5,84.7,+2.00,5084.0,False,0.4434782608695659,0.3112556416342077,0.33263952535532937
111/04/15,11907911.0,969055543.0,83.8,83.9,80.4,80.4,-4.30,7749.0,False,0.06956521739130532,0.2306921668865736,0.29865707253241075
111/04/18,8857630.0,699132319.0,79.0,80.6,77.0,79.0,-1.40,5103.0,False,0.14814814814814814,0.20317749397376508,0.2668305463461955
111/04/19,7328927.0,597528465.0,80.6,82.3,80.4,81.9,+2.90,4477.0,False,0.4803921568627455,0.2955823816034252,0.27641449143193875
111/04/20,9726893.0,812453857.0,82.5,84.2,81.9,83.9,+2.00,5922.0,False,0.6764705882352945,0.4225451171473816,0.32512470000375304
111/04/21,23158326.0,2019197201.0,84.9,88.6,84.5,88.6,+4.70,14150.0,False,1.0,0.6150300780982544,0.4217598260352535
111/04/22,19998300.0,1693132357.0,87.0,87.4,83.2,83.2,-5.40,12965.0,False,0.5344827586206902,0.5881809716057329,0.4772335412254133
111/04/25,16816227.0,1343052507.0,80.2,82.0,78.2,78.2,-5.00,10010.0,False,0.10344827586206927,0.426603406357845,0.4603568296028905
111/04/26,9102207.0,722799407.0,80.0,80.3,78.2,78.9,+0.70,5611.0,False,0.16379310344827644,0.33899997205465543,0.4199045437534788
111/04/27,16865764.0,1348748699.0,77.0,82.5,76.1,82.2,+3.30,10779.0,False,0.4880000000000007,0.3886666480364371,0.4094919118477982
111/04/28,17470241.0,1462300322.0,82.8,85.2,81.3,84.4,+2.20,11361.0,False,0.6640000000000009,0.4804444320242917,0.4331427519066293
111/04/29,17017908.0,1437007192.0,85.9,87.0,82.7,83.0,-1.40,10349.0,False,0.5520000000000005,0.5042962880161945,0.4568605972764843
111/05/03,5113787.0,428327803.0,83.5,84.7,82.8,83.6,+0.60,3858.0,False,0.6,0.5361975253441297,0.4833062399656994
111/05/04,8562938.0,725285297.0,84.2,85.5,83.6,84.7,+1.10,5579.0,False,0.6880000000000007,0.5867983502294201,0.5178036100536063
111/05/05,17533363.0,1513028940.0,86.5,87.8,85.0,85.0,+0.30,11855.0,False,0.760683760683761,0.6447601537142003,0.5601224579404709
111/05/06,12195440.0,1003058798.0,83.7,84.3,81.3,81.8,-3.20,8440.0,False,0.4871794871794873,0.5922332648692958,0.5708260602500792
111/05/09,13822186.0,1147868462.0,81.4,84.1,80.6,83.5,+1.70,7893.0,False,0.6324786324786328,0.6056483874057415,0.5824335026352999
111/05/10,16923918.0,1375196127.0,81.9,82.3,80.2,82.0,-1.50,11034.0,False,0.5042735042735046,0.5718567596949958,0.5789079216551986
111/05/11,12611253.0,1042162958.0,82.5,83.5,81.2,82.2,+0.20,7482.0,False,0.2631578947368423,0.4689571380422779,0.5422576604508916
111/05/12,12352029.0,1026262256.0,81.5,84.4,81.4,82.2, 0.00,7463.0,False,0.2631578947368423,0.40035739027379935,0.4949575703918608
111/05/13,27303325.0,2330935048.0,83.9,87.2,83.2,85.5,+3.30,16977.0,False,0.6973684210526317,0.4993610672000768,0.4964254026612661
111/05/16,20435535.0,1775063329.0,87.0,87.9,85.9,86.1,+0.60,12143.0,False,0.7662337662337648,0.5883186335446394,0.5270564796223906
111/05/17,10996257.0,942353502.0,86.0,87.1,84.2,87.1,+1.00,7920.0,False,0.8961038961038946,0.6909137210643912,0.5816755601030574
111/05/18,17798899.0,1543816426.0,87.6,88.8,85.4,85.4,-1.70,13310.0,False,0.6046511627906984,0.6621595349731603,0.6085035517264251
111/05/19,11645213.0,967718935.0,83.8,84.0,82.6,82.6,-2.80,8159.0,False,0.2790697674418597,0.53446294579606,0.5838233497496367
