日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,2812500.0,758413585.0,272.0,274.5,265.0,273.0,+3.00,2348.0,False,,,
111/03/02,1303413.0,356243299.0,271.0,275.5,269.0,275.5,+2.50,1067.0,False,,,
111/03/03,1203484.0,329988557.0,278.0,279.0,272.0,274.0,-1.50,1126.0,False,,,
111/03/04,823767.0,224220481.0,272.0,275.0,270.0,273.0,-1.00,771.0,False,,,
111/03/07,2239630.0,584438983.0,267.0,267.5,257.5,262.0,-11.00,1995.0,False,,,
111/03/08,1826209.0,468003738.0,250.0,263.5,249.5,254.0,-8.00,1688.0,False,,,
111/03/09,1333352.0,339601859.0,257.0,258.0,252.0,254.0, 0.00,1218.0,False,,,
111/03/10,988807.0,257782187.0,262.0,262.0,258.0,260.0,+6.00,815.0,False,,,
111/03/11,1480487.0,375812979.0,260.0,261.0,251.0,253.0,-7.00,1143.0,False,0.11864406779661014,0.3728813559322034,0.4576271186440678
111/03/14,1663284.0,416844101.0,253.0,256.5,248.0,252.5,-0.50,1411.0,False,0.14516129032258066,0.2969746673956625,0.404076301561266
111/03/15,1267800.0,317349679.0,253.5,254.5,248.5,249.0,-3.50,1333.0,False,0.03225806451612903,0.2087357997691513,0.3389628009638944
111/03/16,1893296.0,464184285.0,252.0,252.5,241.0,244.5,-4.50,1653.0,False,0.10294117647058824,0.17347092533629693,0.2837988424213619
111/03/17,2127631.0,542272749.0,251.5,258.5,248.5,258.5,+14.00,1711.0,False,0.660377358490566,0.33577306972105325,0.30112358485459234
111/03/18,1136351.0,290787923.0,255.0,258.0,254.5,255.0,-3.50,639.0,False,0.6222222222222222,0.43125612055477625,0.3445010967546536
111/03/21,194495.0,49887271.0,258.5,259.0,255.0,256.0,+1.00,236.0,False,0.7142857142857143,0.5255993184650889,0.4048671706581321
111/03/22,263592.0,68261017.0,263.0,263.0,257.0,257.5,+1.50,299.0,False,0.75,0.6003995456433926,0.4700446289865522
111/03/23,522448.0,135223156.0,260.5,262.0,257.5,258.5,+1.00,500.0,False,0.7954545454545454,0.6654178789137768,0.5351690456289604
111/03/24,730490.0,187228991.0,258.5,258.5,254.0,257.0,-1.50,698.0,False,0.7272727272727273,0.6860361617000936,0.5854580843193381
111/03/25,520882.0,134332149.0,259.5,260.0,257.0,257.0, 0.00,528.0,False,0.7272727272727273,0.6997816835576381,0.6235659507321047
111/03/28,739679.0,191219595.0,257.0,261.5,255.0,261.0,+4.00,668.0,False,0.9090909090909092,0.7695514254020617,0.6722277756220904
111/03/29,773137.0,201674306.0,261.5,263.0,258.5,259.0,-2.00,650.0,False,0.7241379310344828,0.7544135939462021,0.6996230483967942
