日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,2969626.0,190634420.0,63.9,65.3,62.6,65.3,+2.40,2027.0,False,,,
111/03/02,14943489.0,1009332727.0,64.9,70.6,63.4,68.4,+3.10,9594.0,False,,,
111/03/03,13541191.0,918732778.0,67.9,69.7,66.1,66.1,-2.30,8801.0,False,,,
111/03/04,4903304.0,319324324.0,65.2,66.6,64.0,64.0,-2.10,3477.0,False,,,
111/03/07,6096076.0,369954467.0,62.7,63.4,59.3,59.3,-4.70,3746.0,False,,,
111/03/08,6715336.0,387602149.0,57.8,60.1,56.0,56.7,-2.60,3877.0,False,,,
111/03/09,4667748.0,270964278.0,58.5,58.9,57.2,57.9,+1.20,2907.0,False,,,
111/03/10,3515717.0,210079627.0,59.5,60.5,59.0,60.0,+2.10,2391.0,False,,,
111/03/11,2985584.0,178685519.0,59.8,60.5,59.0,60.5,+0.50,1813.0,False,0.3082191780821919,0.4360730593607306,0.4786910197869102
111/03/14,3099743.0,189382051.0,60.2,61.8,60.2,61.4,+0.90,2127.0,False,0.36986301369863017,0.4140030441400304,0.4571283612379503
111/03/15,3364872.0,198927560.0,61.4,61.5,58.4,58.5,-2.90,2378.0,False,0.1824817518248175,0.33682928003495943,0.41702866750362
111/03/16,3784501.0,226187461.0,59.7,61.1,58.6,59.8,+1.30,2431.0,False,0.35849056603773577,0.3440497087025515,0.3927023479032639
111/03/17,4418584.0,274497354.0,61.7,62.8,61.0,62.7,+2.90,2664.0,False,0.905405405405406,0.5311682742701695,0.4388576566922324
111/03/18,4338485.0,276507868.0,62.7,64.8,62.1,64.8,+2.10,2748.0,False,1.0,0.687445516180113,0.5217202765215259
111/03/21,5931750.0,387289743.0,66.9,67.3,64.0,64.3,-0.50,3840.0,False,0.7029702970297028,0.6926204431299763,0.5786869987243426
111/03/22,1777093.0,115329732.0,64.3,65.6,63.8,65.6,+1.30,1202.0,False,0.8089887640449435,0.7314098834349654,0.6295946269612168
111/03/23,2454644.0,161199592.0,66.3,66.5,65.0,65.1,-0.50,1996.0,False,0.7528089887640446,0.7385429185446584,0.6659107241556973
111/03/24,3671991.0,243420741.0,64.6,67.3,64.6,67.3,+2.20,2553.0,False,1.0,0.8256952790297722,0.7191722424470556
111/03/25,3468873.0,229626690.0,67.3,67.5,65.6,66.1,-1.20,2201.0,False,0.8461538461538456,0.8325148014044633,0.7569530954328582
111/03/28,2463618.0,161572860.0,66.0,66.7,64.5,66.6,+0.50,1380.0,False,0.8988764044943813,0.8546353357677693,0.7895138422111618
111/03/29,1965619.0,131483889.0,67.3,67.6,66.4,67.1,+0.50,1181.0,False,0.9242424242424242,0.8778376985926543,0.8189551276716592
111/03/30,4128308.0,279441911.0,68.5,69.1,66.4,66.4,-0.70,2714.0,False,0.6142857142857155,0.7899870371570079,0.8092990975001088
111/03/31,1407816.0,93592058.0,66.9,67.3,65.6,65.9,-0.50,938.0,False,0.3962264150943414,0.6587334964694525,0.7591105638232232
111/04/01,1269875.0,82821593.0,65.0,65.9,64.6,65.5,-0.40,884.0,False,0.3207547169811328,0.5460739033066792,0.6880983436510418
111/04/06,1630283.0,104734577.0,64.9,65.5,63.7,63.9,-1.60,1153.0,False,0.03703703703703631,0.3763949478834649,0.5841972117285161
111/04/07,2471699.0,153196748.0,62.9,64.0,60.3,60.3,X0.00,1672.0,False,0.0,0.2509299652556433,0.4731081295708918
111/04/08,1641255.0,98976058.0,60.6,61.5,59.7,60.0,-0.30,1200.0,False,0.031914893617020997,0.17792494137610249,0.3747137335059621
111/04/11,3174314.0,187692374.0,61.2,62.1,57.5,57.7,-2.30,2369.0,False,0.01724137931034508,0.12436375402085002,0.291263740344258
111/04/12,2102409.0,121209607.0,57.7,58.8,57.1,57.3,-0.40,1251.0,False,0.016666666666666326,0.08846472490278877,0.2236640685304349
111/04/13,1615345.0,95105001.0,58.3,59.7,58.1,59.0,+1.70,1259.0,False,0.1583333333333333,0.11175426104630362,0.1863607993690578
111/04/14,1296876.0,76236990.0,59.7,59.7,58.3,58.5,-0.50,937.0,False,0.13725490196078424,0.12025447468446382,0.16432535780752647
111/04/15,1753967.0,99434942.0,58.0,58.2,56.0,56.0,-2.50,1297.0,False,0.0,0.08016964978964254,0.13627345513489847
111/04/18,1166510.0,64597147.0,55.7,56.4,54.6,55.0,-1.00,954.0,False,0.036697247706421895,0.06567884909523566,0.1127419197883442
111/04/19,1309021.0,72475108.0,56.0,56.4,54.5,55.0, 0.00,1038.0,False,0.05263157894736842,0.06132975904594658,0.09560453287421164
111/04/20,1464963.0,81732016.0,56.0,56.3,55.1,55.8,+0.80,1054.0,False,0.17105263157894696,0.09790404989028004,0.09637103854623444
111/04/21,1051142.0,58542971.0,55.5,56.1,55.4,55.8, 0.00,745.0,False,0.17105263157894696,0.12228691045316901,0.10500966251521264
111/04/22,1887478.0,102465834.0,55.3,55.3,53.8,54.4,-1.40,1300.0,False,0.10169491525423743,0.11542291205352515,0.10848074569465012
111/04/25,1982307.0,102590568.0,52.0,53.0,51.0,51.3,-3.10,1478.0,False,0.03448275862068932,0.08844286090924654,0.10180145076618226
111/04/26,1492536.0,77252497.0,52.0,52.5,51.2,51.2,-0.10,1015.0,False,0.02298850574712676,0.06662474252187328,0.0900758813514126
111/04/27,2353092.0,116080489.0,48.7,50.6,48.3,49.85,-1.35,1717.0,False,0.1565656565656569,0.09660504720313448,0.0922522699686532
111/04/28,2001964.0,101116354.0,50.6,51.3,49.45,50.1,+0.25,1458.0,False,0.2222222222222227,0.13847743887616387,0.10766065960449007
111/04/29,5507039.0,279176433.0,50.6,53.2,49.1,49.1,-1.00,3815.0,False,0.09876543209876594,0.1252401032836979,0.11352047416422605
111/05/03,1160781.0,57540657.0,49.1,49.95,49.1,49.7,+0.60,972.0,False,0.1750000000000007,0.1418267355224655,0.1229558946169725
111/05/04,1436222.0,71476742.0,49.8,50.1,49.35,50.0,+0.30,1174.0,False,0.2179487179487182,0.1672007296645497,0.13770417296616488
111/05/05,1732241.0,88626339.0,51.1,51.6,50.7,51.1,+1.10,1285.0,False,0.40000000000000063,0.2448004864430333,0.17340294412512106
111/05/06,1387601.0,69184862.0,49.6,50.5,49.35,50.5,-0.60,1161.0,False,0.4489795918367348,0.31286018824093376,0.21988869216372525
111/05/09,2518006.0,119972942.0,48.05,49.3,47.0,47.05,-3.45,1869.0,False,0.008064516129031795,0.21126163087029973,0.21701300506591675
111/05/10,1816533.0,85740835.0,45.75,48.15,45.7,47.85,+0.80,1283.0,False,0.2866666666666665,0.236396642802422,0.22347421764475184
111/05/11,1610963.0,77014008.0,47.8,48.7,46.85,48.2,+0.35,1302.0,False,0.3333333333333333,0.2687088729793924,0.238552436089632
111/05/12,1502764.0,71963112.0,47.5,48.85,47.1,47.25,-0.95,1194.0,False,0.20666666666666628,0.248028137541817,0.2417110032403603
111/05/13,1744429.0,83702889.0,47.95,48.2,47.7,48.1,+0.85,1071.0,False,0.40677966101694896,0.30094531203352765,0.26145577283808275
111/05/16,1310413.0,63924000.0,49.1,49.5,48.15,48.6,+0.50,827.0,False,0.4915254237288134,0.3644720159319562,0.2957945205360405
111/05/17,2822945.0,141471099.0,49.15,50.8,49.0,50.8,+2.20,2028.0,False,0.8644067796610162,0.5311169371749762,0.3742353260823525
111/05/18,2712815.0,139549444.0,51.9,52.4,50.7,51.3,+0.50,2125.0,False,0.8358208955223877,0.6326849232907801,0.4603851918184949
111/05/19,1594706.0,81069194.0,49.2,51.6,49.2,51.6,+0.30,1150.0,False,0.8805970149253735,0.7153222871689777,0.5453642236019891
111/05/20,1102614.0,56698285.0,52.4,52.4,50.9,51.2,-0.40,872.0,False,0.8208955223880602,0.7505133655753384,0.6137472709264389
111/05/23,1277230.0,66190453.0,51.9,52.4,51.2,51.7,+0.50,804.0,False,0.8738738738738746,0.7916335350081838,0.6730426922870205
111/05/24,1448041.0,73244609.0,52.1,52.1,49.8,49.9,-1.80,1285.0,False,0.5283018867924526,0.7038563189362734,0.6833139011701048
111/05/25,759481.0,38262575.0,49.95,50.9,49.65,50.5,+0.60,574.0,False,0.5957446808510638,0.6678191062412036,0.6781489695271377
111/05/26,784404.0,39836601.0,51.1,51.5,50.0,50.2,-0.30,567.0,False,0.4823529411764716,0.6059970512196262,0.6540983300913005
111/05/27,2760954.0,143195683.0,50.8,53.0,50.7,51.2,+1.00,2031.0,False,0.5500000000000007,0.587331367479751,0.6318426758874506
111/05/30,976094.0,50701751.0,51.6,52.2,51.6,51.9,+0.70,689.0,False,0.7105263157894731,0.6283963502496583,0.6306939006748531
111/05/31,1754120.0,92398771.0,52.2,53.2,51.9,53.1,+1.20,1121.0,False,0.9749999999999996,0.7439309001664387,0.6684395671720482
111/06/01,1125367.0,59880072.0,53.0,53.7,52.7,53.0,-0.10,868.0,False,0.82716049382716,0.7716740980533457,0.7028510774658141
111/06/02,2211801.0,117625042.0,53.3,54.3,52.3,52.5,-0.50,1604.0,False,0.6129032258064521,0.7187504739710479,0.7081508763008921
111/06/06,784093.0,41187783.0,52.7,53.1,51.9,52.5, 0.00,596.0,False,0.6129032258064521,0.6834680579161826,0.6999232701726554
111/06/07,671115.0,34821642.0,52.5,52.7,51.6,51.6,-0.90,540.0,False,0.41935483870967816,0.595430318180681,0.6650922861753306
111/06/08,750403.0,38808770.0,52.0,52.4,51.2,51.2,-0.40,602.0,False,0.2790697674418613,0.4899768012677411,0.6067204578728007
111/06/09,456330.0,23467266.0,51.4,51.7,51.1,51.4,+0.20,349.0,False,0.1944444444444436,0.3914660156599753,0.5349689771351922
111/06/10,1194862.0,59953657.0,50.9,50.9,49.85,49.9,-1.50,915.0,False,0.011235955056179149,0.2647226621253765,0.4448868721319201
111/06/13,1765767.0,85082076.0,49.0,49.05,47.6,47.7,-2.20,1328.0,False,0.014925373134328582,0.18145689912836047,0.3570768811307337
111/06/14,1584393.0,74651974.0,47.0,47.95,46.2,47.85,+0.15,1137.0,False,0.20370370370370366,0.18887250065347488,0.30100875430498075
111/06/15,1442026.0,68176076.0,47.9,48.3,46.7,47.1,-0.75,1167.0,False,0.111111111111111,0.1629520374726869,0.2549898486942161
111/06/16,1845735.0,87376789.0,48.15,48.7,45.7,45.7,-1.40,1268.0,False,0.0,0.10863469164845793,0.20620479634563005
111/06/17,3579399.0,161350816.0,44.9,45.8,44.2,45.6,-0.10,1801.0,False,0.164705882352941,0.12732508854995228,0.17991156041373746
111/06/20,1950733.0,85808892.0,46.05,46.05,42.5,42.5,-3.10,1461.0,False,0.0,0.08488339236663485,0.14823550439803654
