日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,1283858.0,477256234.0,370.0,377.0,369.0,371.0,+4.50,1090.0,False,,,
111/03/02,916417.0,339573100.0,370.0,374.0,366.0,372.0,+1.00,854.0,False,,,
111/03/03,1595226.0,601671770.0,381.0,385.0,372.5,372.5,+0.50,1042.0,False,,,
111/03/04,1036797.0,381598016.0,367.0,375.5,364.0,364.5,-8.00,1021.0,False,,,
111/03/07,943374.0,330501258.0,354.0,357.0,346.0,349.5,-15.00,1170.0,False,,,
111/03/08,1052504.0,368436991.0,347.0,353.5,343.5,350.5,+1.00,952.0,False,,,
111/03/09,1267420.0,453133473.0,353.0,363.5,352.0,356.0,+5.50,1064.0,False,,,
111/03/10,2248074.0,816837364.0,358.5,367.5,358.5,362.5,+6.50,1182.0,False,,,
111/03/11,1129242.0,413030207.0,365.0,370.0,360.5,364.0,+1.50,977.0,False,0.4939759036144578,0.4979919678714859,0.4993306559571621
111/03/14,1618634.0,577263084.0,360.0,361.0,353.0,356.5,-7.50,1280.0,False,0.3132530120481928,0.4364123159303882,0.4783578759482373
111/03/15,1446692.0,530013538.0,359.5,369.0,356.0,367.0,+10.50,1125.0,False,0.5662650602409639,0.4796965640339134,0.4788041053101293
111/03/16,1841380.0,673223290.0,366.0,371.0,358.5,366.0,-1.00,1356.0,False,0.703125,0.5541727093559423,0.5039269733254003
111/03/17,1436334.0,543812333.0,379.5,382.5,374.0,379.5,+13.50,1275.0,False,0.9230769230769232,0.6771407805962693,0.5616649090823566
111/03/18,2021750.0,741621643.0,380.0,382.0,362.5,362.5,-17.00,1193.0,False,0.4871794871794872,0.6138203494573419,0.5790500558740184
111/03/21,858352.0,312760945.0,365.0,368.0,361.5,363.0,+0.50,768.0,False,0.3606557377049181,0.5294321455398673,0.5625107524293014
111/03/22,640691.0,236201934.0,369.0,371.5,365.0,369.0,+6.00,514.0,False,0.5423728813559322,0.5337457241452223,0.5529224096679417
111/03/23,690030.0,258136819.0,374.0,377.5,370.0,374.5,+5.50,623.0,False,0.7288135593220338,0.5987683358708261,0.5682043850689031
111/03/24,1010433.0,375666571.0,374.0,377.5,368.0,370.5,-4.00,1582.0,False,0.5932203389830508,0.596919003574901,0.5777759245709024
111/03/25,695708.0,252766801.0,365.0,371.5,362.0,362.0,-8.50,666.0,False,0.22641509433962265,0.4734177004964749,0.5429898498794266
111/03/28,987012.0,351214475.0,353.5,360.0,350.0,359.5,-2.50,741.0,False,0.2923076923076923,0.4130476977668807,0.4996757991752446
