日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,11729232.0,930403503.0,78.2,80.0,77.5,79.9,+2.80,7267.0,False,,,,,,
111/03/02,7939064.0,630414041.0,79.0,80.1,78.3,79.7,-0.20,4930.0,False,,,,,,
111/03/03,14399088.0,1184866904.0,82.3,83.3,81.6,82.6,+2.90,9452.0,False,,,,,,
111/03/04,9231277.0,757082538.0,81.3,82.8,80.5,81.6,-1.00,7050.0,False,,,,,,
111/03/07,18402984.0,1415935731.0,79.6,79.6,76.0,76.9,-4.70,18481.0,False,,,,,,
111/03/08,13468086.0,1017118209.0,75.9,77.6,74.3,74.7,-2.20,12556.0,False,,,,,,
111/03/09,6418748.0,483515449.0,76.0,76.5,74.8,74.9,+0.20,6062.0,False,,,,,,
111/03/10,10649777.0,817313739.0,76.3,77.5,76.2,76.7,+1.80,7589.0,False,,,,,,
111/03/11,8161975.0,613608340.0,76.0,76.3,74.6,75.6,-1.10,8260.0,False,0.14444444444444413,0.38148148148148137,0.4604938271604938,,,
111/03/14,9234125.0,694628739.0,75.8,76.2,74.7,75.7,+0.10,4995.0,False,0.1555555555555562,0.3061728395061729,0.4090534979423868,,,
111/03/15,12492919.0,919514658.0,75.3,75.5,73.0,73.0,-2.70,8527.0,False,0.0,0.2041152263374486,0.3407407407407407,,,
111/03/16,19482067.0,1392075658.0,73.5,73.8,70.5,70.9,-2.10,15520.0,False,0.0325203252032525,0.14691692595938322,0.2761328024802881,,,
111/03/17,13193975.0,971778464.0,73.0,74.3,72.6,74.2,+3.30,8381.0,False,0.4065934065934072,0.2334757528373912,0.2619137859326558,,,
111/03/18,6787128.0,505601081.0,74.2,74.8,73.9,74.8,+0.60,3791.0,False,0.6056338028169015,0.3575284361638946,0.2937853360097354,,,
111/03/21,5585167.0,418560782.0,75.0,75.4,74.3,74.9,+0.10,4309.0,False,0.6285714285714293,0.4478761002997395,0.3451489241064034,,,
111/03/22,11150733.0,824118606.0,75.1,75.3,73.4,74.0,-0.90,9168.0,False,0.5,0.4652507335331596,0.3851828605819888,,,
111/03/23,14132321.0,1039978095.0,74.5,74.7,73.0,73.7,-0.30,8709.0,False,0.5517241379310353,0.4940752016657848,0.4214803076099208,,,
111/03/24,30281688.0,2146660799.0,73.0,73.0,70.3,71.3,-2.40,22385.0,False,0.16949152542372864,0.3858806429184327,0.4096137527127581,,,
111/03/25,25898904.0,1797441013.0,71.0,71.1,68.9,68.9,-2.40,19816.0,False,0.0,0.2572537619456218,0.35882708912371264,,,
111/03/28,9694662.0,668576149.0,68.2,69.9,67.5,69.8,+0.90,8578.0,False,0.29113924050632856,0.2685489214658573,0.3287343665710942,,,
111/03/29,10191848.0,704765445.0,69.8,69.8,68.7,69.0,-0.80,6630.0,False,0.18987341772151886,0.24232375355107785,0.2999308288977554,,,
111/03/30,7030163.0,488963507.0,70.0,70.4,69.1,69.3,+0.30,4688.0,False,0.22784810126582225,0.2374985361226593,0.27912006463939004,,,
111/03/31,9880666.0,687491018.0,69.5,70.2,69.2,69.2,-0.10,4707.0,False,0.21518987341772167,0.23006231522101345,0.2627674814999312,,,
111/04/01,10546456.0,722682338.0,68.5,69.2,68.0,69.2, 0.00,5654.0,False,0.2179487179487184,0.2260244494635817,0.2505198041544814,,,
111/04/06,19414704.0,1298021669.0,68.3,68.5,66.5,66.6,-2.60,11075.0,False,0.012195121951218815,0.15474800695946075,0.2185958717561412,,,
111/04/07,12488798.0,833871177.0,66.8,67.7,66.2,66.2,-0.40,7316.0,False,0.0,0.10316533797297384,0.18011902716175204,,,
111/04/08,7120723.0,475691229.0,66.8,67.2,66.4,66.8,+0.60,3465.0,False,0.1224489795918358,0.10959321851259447,0.1566104242786995,,,
111/04/11,9315358.0,619498780.0,66.8,67.6,65.7,66.8, 0.00,6045.0,False,0.234042553191488,0.15107633007222565,0.1547657262098749,,,
111/04/12,11303698.0,740544251.0,66.2,66.3,65.1,65.5,-1.30,6214.0,False,0.07547169811320846,0.1258747860858866,0.1451354128352121,,,
111/04/13,7135707.0,474295649.0,66.0,66.8,65.8,66.7,+1.20,4146.0,False,0.3018867924528312,0.18454545487486806,0.15827209351509744,,,
111/04/14,19681361.0,1270317591.0,66.7,66.7,64.1,64.1,-2.60,12148.0,False,0.0,0.12303030324991207,0.14652483009336895,,,
111/04/15,7842033.0,500775731.0,63.6,64.7,63.3,63.9,-0.20,4158.0,False,0.10169491525423743,0.11591850725135384,0.13632272247936392,,,
111/04/18,5160499.0,329698406.0,63.3,64.9,63.3,63.8,-0.10,4246.0,False,0.0961538461538461,0.10933028688551794,0.12732524394808192,,,
111/04/19,5812849.0,374678990.0,64.6,65.0,64.1,64.4,+0.60,3202.0,False,0.2500000000000016,0.15622019125701248,0.13695689305105874,,,
111/04/20,10101387.0,658665293.0,65.1,65.8,64.4,65.3,+0.90,6360.0,False,0.4651162790697678,0.25918555386126424,0.1776997799877939,,,
111/04/21,8515621.0,563067139.0,65.9,66.9,65.3,66.9,+1.60,4214.0,False,0.8372093023255839,0.4518601366827041,0.26908656555276395,,,
111/04/22,8313290.0,549625439.0,66.0,66.5,65.5,66.4,-0.50,5215.0,False,0.8611111111111115,0.5882771281588399,0.3754834197547893,,,
111/04/25,10672114.0,685243819.0,65.0,65.3,63.6,64.3,-2.10,7391.0,False,0.2777777777777771,0.4847773446984857,0.4119147280693547,,,
111/04/26,7787796.0,499450234.0,64.7,64.9,63.7,64.2,-0.10,4382.0,False,0.250000000000001,0.4065182297989907,0.4101158953125667,,,
111/04/27,8752188.0,545723258.0,62.7,63.2,61.5,63.2,-1.00,6345.0,False,0.314814814814815,0.37595042480426544,0.3987274051431329,,,
111/04/28,8019616.0,514401411.0,63.6,64.7,63.2,64.2,+1.00,5210.0,False,0.5,0.4173002832028436,0.40491836449636975,,,
111/04/29,8184465.0,536381676.0,65.1,65.9,64.9,65.6,+1.40,3798.0,False,0.7592592592592574,0.5312866085549814,0.44704111251590695,,,
111/05/03,6591858.0,432700913.0,65.6,66.0,65.2,65.9,+0.30,4300.0,False,0.8148148148148149,0.6257960106415925,0.5066260785578021,,,
111/05/04,7592756.0,501333380.0,65.8,66.5,65.4,66.1,+0.20,4980.0,False,0.8518518518518499,0.7011479577116783,0.5714667049424275,,,
111/05/05,11187476.0,751637083.0,67.5,68.0,66.4,67.0,+0.90,6721.0,False,0.8461538461538461,0.7494832538590676,0.6308055545813075,,,
111/05/06,7160697.0,475589206.0,65.4,66.9,65.4,66.8,-0.20,4412.0,False,0.8153846153846149,0.7714503743675833,0.6776871611767328,,,
111/05/09,5820890.0,381782220.0,65.9,66.5,65.1,65.1,-1.70,4299.0,False,0.553846153846153,0.6989156341937731,0.6847633188490796,,,
111/05/10,8886782.0,582998617.0,64.2,66.2,64.1,66.0,+0.90,5188.0,False,0.6923076923076923,0.6967129868984128,0.6887465415321906,,,
111/05/11,8024685.0,522140812.0,65.5,65.6,64.2,65.2,-0.80,5040.0,False,0.4166666666666669,0.6033642134878308,0.6602857655174039,,,
111/05/12,7050120.0,457454165.0,64.5,65.5,64.5,64.6,-0.60,3801.0,False,0.12820512820512805,0.4449778517269298,0.5885164609205792,,,
111/05/13,5511568.0,359807010.0,65.4,65.9,64.9,65.5,+0.90,3018.0,False,0.3589743589743599,0.4163100208094065,0.531114314216855,,,
111/05/16,15724608.0,1057077214.0,66.5,68.0,66.4,66.9,+1.40,7783.0,False,0.7179487179487198,0.5168562531891776,0.5263616272076291,,,
