日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,12845752.0,1598770244.0,125.0,125.5,124.0,124.5, 0.00,6584.0,False,,,,,,
111/03/02,14720427.0,1817921070.0,125.0,125.0,122.5,123.5,-1.00,7377.0,False,,,,,,
111/03/03,11058997.0,1354817748.0,123.5,124.0,122.0,122.5,-1.00,7471.0,False,,,,,,
111/03/04,8028327.0,983219687.0,122.5,123.0,122.0,123.0,+0.50,4144.0,False,,,,,,
111/03/07,18175988.0,2201855733.0,122.0,122.5,120.5,121.0,-2.00,14084.0,False,,,,122.9,,
111/03/08,11857541.0,1437535437.0,120.0,122.5,120.0,122.0,+1.00,5479.0,False,,,,122.4,,
111/03/09,4846163.0,591189077.0,122.0,122.5,121.5,122.5,+0.50,5177.0,False,,,,122.2,,
111/03/10,5892819.0,723045904.0,122.5,123.0,122.5,123.0,+0.50,3035.0,False,,,,122.3,,
111/03/11,7858459.0,960553244.0,122.5,122.5,122.0,122.5,-0.50,5756.0,False,0.4545454545454545,0.4848484848484848,0.4949494949494949,122.2,,
111/03/14,5981535.0,734605168.0,122.5,123.0,122.5,123.0,+0.50,3267.0,False,0.6,0.5232323232323232,0.5043771043771043,122.6,122.75,
111/03/15,14584229.0,1805436431.0,123.0,125.0,122.0,125.0,+2.00,5483.0,False,1.0,0.6821548821548821,0.5636363636363635,123.2,122.8,
111/03/16,10113332.0,1265725260.0,124.0,126.0,124.0,126.0,+1.00,5361.0,False,1.0,0.7881032547699214,0.6384586606808828,123.9,123.05,
111/03/17,16568719.0,2087205135.0,126.0,127.5,125.0,125.5,-0.50,8700.0,False,0.7333333333333333,0.7698466142910587,0.6822546452176079,124.4,123.35,
111/03/18,14222899.0,1793315823.0,126.0,126.5,125.0,126.5,+1.00,3974.0,False,0.8666666666666667,0.8021199650829279,0.7222097518393813,125.2,123.7,
111/03/21,9854091.0,1244514121.0,125.5,127.0,125.0,126.5, 0.00,3583.0,False,0.8333333333333334,0.8125244211663963,0.7523146416150529,125.9,124.25,
111/03/22,6987974.0,879656447.0,126.5,126.5,125.0,126.5, 0.00,4058.0,False,0.8181818181818182,0.8144102201715369,0.7730131678005474,126.2,124.7,
111/03/23,6711069.0,844300959.0,126.0,126.5,125.0,126.5, 0.00,3855.0,False,0.8181818181818182,0.8156674195082972,0.7872312517031307,126.3,125.1,
111/03/24,8353453.0,1057025586.0,125.5,127.0,125.5,127.0,+0.50,5345.0,False,0.9090909090909092,0.8468085827025011,0.8070903620362541,126.6,125.5,
111/03/25,9481803.0,1206001853.0,126.0,128.0,126.0,128.0,+1.00,4539.0,False,1.0,0.8978723884683341,0.837351037513614,126.9,126.05,
111/03/28,8068685.0,1027222206.0,127.0,128.0,126.5,128.0, 0.00,3612.0,False,1.0,0.931914925645556,0.8688723335575945,127.2,126.55,124.65
111/03/29,6107134.0,775983435.0,127.5,128.0,126.5,127.0,-1.00,2773.0,False,0.6666666666666666,0.8434988393192594,0.8604145021448162,127.3,126.75,124.775
111/03/30,9627825.0,1221797807.0,127.5,127.5,126.5,127.0, 0.00,5201.0,False,0.6666666666666666,0.7845547817683951,0.8351279286860092,127.4,126.85,124.95
111/03/31,5734826.0,728234428.0,127.0,127.5,126.5,127.0, 0.00,1929.0,False,0.6666666666666666,0.7452587434011523,0.8051715335910569,127.4,127.0,125.175
111/04/01,8187331.0,1035194315.0,126.5,127.0,126.0,127.0, 0.00,2894.0,False,0.6666666666666666,0.7190613844896571,0.7764681505572569,127.2,127.05,125.375
111/04/06,10164223.0,1284828145.0,127.0,127.0,126.0,127.0, 0.00,5763.0,False,0.6666666666666666,0.7015964785486603,0.7515109265543913,127.0,127.1,125.675
111/04/07,13580537.0,1723545509.0,127.0,127.5,126.5,127.0, 0.00,5552.0,False,0.6,0.6677309856991068,0.7235842796026297,127.0,127.15,125.925
111/04/08,10377720.0,1322255376.0,127.5,128.0,126.5,128.0,+1.00,4781.0,False,1.0,0.7784873237994046,0.7418852943348879,127.2,127.3,126.2
111/04/11,12486786.0,1610549089.0,128.0,130.0,128.0,130.0,+2.00,6657.0,False,1.0,0.8523248825329364,0.7786984904009041,127.8,127.6,126.55
111/04/12,7169928.0,922519627.0,129.0,129.5,128.0,128.5,-1.50,2995.0,False,0.625,0.7765499216886242,0.7779823008301441,128.1,127.65,126.85
111/04/13,5636769.0,723132282.0,129.0,129.0,128.0,128.5, 0.00,3479.0,False,0.625,0.7260332811257495,0.7606659609286792,128.4,127.7,127.125
111/04/14,7556797.0,980187865.0,128.5,130.0,128.5,130.0,+1.50,4317.0,False,1.0,0.8173555207504997,0.7795624808692859,129.0,128.0,127.375
111/04/15,3946144.0,510959675.0,129.5,130.0,129.0,129.5,-0.50,2849.0,False,0.875,0.8365703471669997,0.7985651029685239,129.3,128.25,127.55
111/04/18,5302627.0,685973744.0,128.5,130.0,128.5,130.0,+0.50,3205.0,False,1.0,0.8910468981113331,0.8293923680161268,129.3,128.55,127.775
111/04/19,6415796.0,834051232.0,130.0,130.5,129.5,129.5,-0.50,5758.0,False,0.75,0.8440312654075554,0.8342720004799362,129.5,128.8,127.925
111/04/20,7058429.0,917976453.0,129.0,131.0,129.0,131.0,+1.50,4345.0,False,1.0,0.8960208436050368,0.854854948188303,130.0,129.2,128.15
111/04/21,4362904.0,571549088.0,131.0,131.5,130.5,131.0, 0.00,2467.0,False,0.8571428571428571,0.8830615147843102,0.8642571370536386,130.2,129.6,128.375
111/04/22,4627462.0,605677024.0,130.5,131.5,130.5,131.5,+0.50,3664.0,False,1.0,0.9220410098562066,0.8835184279878279,130.6,129.95,128.625
111/04/25,7300701.0,955834956.0,131.0,131.5,130.5,131.5, 0.00,4230.0,False,1.0,0.9480273399041376,0.9050213986265978,130.9,130.1,128.85
111/04/26,5457218.0,719131019.0,131.0,132.0,131.0,132.0,+0.50,3040.0,False,1.0,0.9653515599360918,0.9251314523964292,131.4,130.45,129.05
