日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,5544370.0,6135286415.0,1105.0,1120.0,1095.0,1100.0,+15.00,5294.0,False,,,
111/03/02,3703428.0,4011654075.0,1105.0,1105.0,1070.0,1080.0,-20.00,6111.0,False,,,
111/03/03,3873104.0,4176002715.0,1085.0,1100.0,1065.0,1080.0, 0.00,5898.0,False,,,
111/03/04,6621209.0,6882300910.0,1060.0,1060.0,1025.0,1025.0,-55.00,18674.0,False,,,
111/03/07,11348964.0,11098687132.0,985.0,995.0,970.0,972.0,-53.00,30951.0,False,,,
111/03/08,7471419.0,7211402691.0,945.0,986.0,943.0,963.0,-9.00,15846.0,False,,,
111/03/09,6282516.0,6076784325.0,971.0,976.0,956.0,966.0,+3.00,11151.0,False,,,
111/03/10,5992358.0,5969643645.0,990.0,1005.0,982.0,995.0,+29.00,9214.0,False,,,
111/03/11,6396559.0,6227011456.0,1000.0,1000.0,961.0,963.0,-32.00,20824.0,False,0.11299435028248588,0.3709981167608286,0.4569993722536096
111/03/14,8927797.0,8461181196.0,973.0,975.0,934.0,944.0,-19.00,21155.0,False,0.05847953216374269,0.2668252552284666,0.3936079999118952
111/03/15,10994846.0,10002479174.0,933.0,935.0,901.0,904.0,-40.00,32824.0,False,0.01507537688442211,0.1829086291137851,0.32337487631252515
111/03/16,7790859.0,7077881282.0,930.0,931.0,900.0,907.0,+3.00,13640.0,False,0.04375,0.13652241940919008,0.2610907240114134
111/03/17,9926344.0,9548022910.0,951.0,978.0,949.0,968.0,+61.00,15593.0,False,0.6476190476190476,0.3068879621458093,0.276356470056212
111/03/18,7194385.0,6938262300.0,971.0,974.0,955.0,969.0,+1.00,8572.0,False,0.6571428571428571,0.4236395938114919,0.32545084464130525
111/03/21,4146781.0,4067311946.0,985.0,985.0,977.0,978.0,+9.00,6731.0,False,0.7428571428571429,0.5300454434933755,0.3936490442586621
111/03/22,3993632.0,3884612543.0,971.0,980.0,967.0,975.0,-3.00,6676.0,False,0.7142857142857143,0.5914588670908216,0.4595856518693818
111/03/23,4955261.0,4878211645.0,988.0,995.0,976.0,977.0,+2.00,7078.0,False,0.77,0.6509725780605478,0.5233812939331037
111/03/24,4765504.0,4629338454.0,978.0,978.0,967.0,972.0,-5.00,6567.0,False,0.7578947368421053,0.6866132976544003,0.5777919618402025
111/03/25,5031201.0,4883542317.0,975.0,976.0,965.0,971.0,-1.00,6097.0,False,0.7473684210526316,0.7068650054538107,0.6208163097114052
111/03/28,2814908.0,2685291726.0,950.0,964.0,946.0,964.0,-7.00,10517.0,False,0.6736842105263158,0.695804740477979,0.6458124533002632
111/03/29,14174826.0,13095920655.0,931.0,951.0,903.0,912.0,-52.00,54087.0,False,0.09782608695652174,0.4964785226374932,0.5960344764126732
111/03/30,11786348.0,10751298361.0,912.0,923.0,903.0,915.0,+3.00,26957.0,False,0.13043478260869565,0.374463942627894,0.5221776318177467
111/03/31,8830610.0,8016666212.0,900.0,919.0,900.0,905.0,-10.00,19821.0,False,0.05263157894736842,0.2671864880677188,0.4371805839010707
111/04/01,11812480.0,10627369757.0,900.0,904.0,893.0,900.0,-5.00,25507.0,False,0.06862745098039216,0.2010001423719432,0.3584537700580282
111/04/06,14330964.0,12466721425.0,858.0,883.0,855.0,882.0,-18.00,33829.0,False,0.19285714285714287,0.19828580920034308,0.30506444977213315
111/04/07,19182221.0,16510631995.0,858.0,872.0,850.0,850.0,-32.00,47806.0,False,0.0,0.13219053946689538,0.2474398130037205
111/04/08,14333839.0,12088289411.0,851.0,859.0,834.0,840.0,-10.00,41837.0,False,0.04225352112676056,0.1022115333535171,0.1990303864536528
