日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,6244013.0,457235348.0,71.5,74.8,71.5,72.1,+4.10,3873.0,False,,,
111/03/02,3225436.0,233294066.0,72.9,73.5,70.8,71.7,-0.40,2296.0,False,,,
111/03/03,1751331.0,126070979.0,73.1,73.4,71.0,71.1,-0.60,1681.0,False,,,
111/03/04,1005648.0,70830199.0,71.1,71.1,70.2,70.2,-0.90,885.0,False,,,
111/03/07,1238477.0,83857993.0,68.8,68.8,67.1,67.6,-2.60,1086.0,False,,,
111/03/08,1308215.0,86796011.0,65.2,68.2,65.2,65.6,-2.00,1032.0,False,,,
111/03/09,969161.0,64689188.0,66.3,67.8,65.9,67.2,+1.60,850.0,False,,,
111/03/10,4390911.0,307781724.0,71.2,72.0,67.6,67.7,+0.50,3118.0,False,,,
111/03/11,773746.0,52207486.0,67.3,68.1,67.0,67.7, 0.00,785.0,False,0.2604166666666668,0.4201388888888889,0.4733796296296296
111/03/14,729825.0,49016660.0,67.7,68.3,66.6,66.9,-0.80,615.0,False,0.20481927710843406,0.3483656849620706,0.4317083147404432
111/03/15,984948.0,65204078.0,67.5,67.7,65.6,65.6,-1.30,832.0,False,0.04878048780487699,0.2485039525763394,0.3706401940190753
111/03/16,1155827.0,75442937.0,66.6,66.9,63.7,64.6,-1.00,942.0,False,0.10843373493975804,0.20181388003081227,0.3143647560229876
111/03/17,1317259.0,88188228.0,67.0,67.6,66.0,67.3,+2.70,950.0,False,0.4337349397590356,0.27912089994022005,0.3026168039953984
111/03/18,696477.0,46548905.0,67.8,67.8,66.5,66.7,-0.60,595.0,False,0.36144578313253023,0.3065625276709901,0.3039320452205956
111/03/21,599739.0,40185010.0,67.5,67.5,66.7,66.7, 0.00,497.0,False,0.36144578313253023,0.3248569461581702,0.3109070121997871
111/03/22,2054394.0,133245000.0,63.9,66.6,63.4,66.6,-0.10,1583.0,False,0.3720930232558134,0.3406023051907179,0.320805443196764
111/03/23,1131635.0,75875050.0,66.7,67.6,66.5,67.0,+0.40,979.0,False,0.7346938775510209,0.4719661626441522,0.3711923496792268
111/03/24,680676.0,45312855.0,67.4,67.4,66.1,66.1,-0.90,674.0,False,0.5510204081632646,0.4983175778171897,0.4135674257252144
111/03/25,1824974.0,122873329.0,67.5,68.4,66.3,66.3,+0.20,1410.0,False,0.5799999999999988,0.5255450518781261,0.4508933011095183
111/03/28,4075119.0,279856659.0,67.9,69.8,67.2,69.7,+3.40,3012.0,False,0.9843750000000008,0.6784883679187509,0.5267583233792625
111/03/29,2680472.0,185018683.0,70.9,71.4,67.6,67.9,-1.80,2554.0,False,0.5625000000000003,0.6398255786125008,0.5644474084570086
111/03/30,742695.0,50553838.0,68.3,68.5,67.6,68.0,+0.10,684.0,False,0.5749999999999996,0.6182170524083337,0.5823706231074502
111/03/31,437107.0,29430891.0,68.0,68.0,67.1,67.1,-0.90,550.0,False,0.4624999999999991,0.5663113682722221,0.5770175381623741
111/04/01,657325.0,43657593.0,66.6,67.0,66.1,66.5,-0.60,544.0,False,0.38749999999999984,0.5067075788481479,0.5535808850576321
111/04/06,197077.0,13129423.0,66.7,66.9,66.1,66.9,+0.40,571.0,False,0.15094339622641692,0.3881195179742376,0.4984270960298338
111/04/07,1487559.0,95928881.0,65.8,66.0,63.5,63.6,-3.30,1314.0,False,0.012658227848101436,0.26296575459885885,0.4199399822195088
111/04/08,1066682.0,67229175.0,63.8,64.5,62.3,62.7,-0.90,934.0,False,0.043956043956044535,0.18996251771792075,0.3432808273856461
111/04/11,2797567.0,162668152.0,61.2,61.5,56.6,57.0,-5.70,2307.0,False,0.027027027027026924,0.1356506874876228,0.27407078075297164
111/04/12,1784747.0,99952952.0,56.1,57.1,55.3,56.1,-0.90,1318.0,False,0.04968944099378906,0.10699693865634488,0.21837950005409604
111/04/13,884614.0,49799661.0,56.3,57.5,55.6,56.3,+0.20,732.0,False,0.07575757575757575,0.0965838176900885,0.1777809392660935
111/04/14,1342120.0,76513884.0,57.4,58.0,56.3,56.4,+0.10,973.0,False,0.08661417322834655,0.09326060286950784,0.14960749380056496
111/04/15,1483659.0,80589693.0,55.3,55.9,53.5,53.6,-2.80,1115.0,False,0.007407407407407513,0.06464287104880773,0.12128595288331255
111/04/18,3023468.0,171567597.0,52.7,58.9,52.1,58.9,+5.30,1915.0,False,0.4594594594594592,0.19624840051902484,0.14627343542854998
