日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,73000.0,979050.0,13.4,13.5,13.35,13.35,-0.05,31.0,False,,,,,,
111/03/02,35000.0,467850.0,13.45,13.45,13.25,13.4,+0.05,20.0,False,,,,,,
111/03/03,18540.0,249639.0,13.5,13.5,13.45,13.45,+0.05,13.0,False,,,,,,
111/03/04,18001.0,242263.0,13.45,13.5,13.35,13.5,+0.05,15.0,False,,,,,,
111/03/07,78194.0,1037701.0,13.4,13.4,13.2,13.2,-0.30,39.0,False,,,,13.38,,
111/03/08,95091.0,1254601.0,13.25,13.25,13.1,13.2, 0.00,41.0,False,,,,13.350000000000003,,
111/03/09,19000.0,251250.0,13.2,13.25,13.2,13.25,+0.05,15.0,False,,,,13.320000000000002,,
111/03/10,52432.0,697094.0,13.3,13.4,13.25,13.4,+0.15,22.0,False,,,,13.310000000000002,,
111/03/11,53000.0,700100.0,13.25,13.4,13.15,13.25,-0.15,31.0,False,0.37500000000000056,0.4583333333333335,0.4861111111111112,13.260000000000002,,
111/03/14,18000.0,238550.0,13.35,13.35,13.2,13.3,+0.05,9.0,False,0.5000000000000022,0.472222222222223,0.4814814814814817,13.280000000000001,13.330000000000002,
111/03/15,33000.0,433000.0,13.15,13.25,13.05,13.25,-0.05,19.0,False,0.4444444444444436,0.4629629629629632,0.4753086419753089,13.290000000000001,13.320000000000002,
111/03/16,48079.0,631696.0,13.25,13.25,13.0,13.2,-0.05,31.0,False,0.3999999999999986,0.441975308641975,0.4641975308641975,13.280000000000001,13.3,
111/03/17,27000.0,358050.0,13.3,13.35,13.2,13.35,+0.15,16.0,False,0.8749999999999983,0.5863168724279827,0.5049039780521258,13.27,13.290000000000001,
111/03/18,39108.0,518989.0,13.3,13.3,13.15,13.3,-0.05,26.0,False,0.7500000000000011,0.6408779149519888,0.5502286236854135,13.279999999999998,13.270000000000001,
111/03/21,11189.0,149703.0,13.3,13.45,13.3,13.4,+0.10,15.0,False,0.8888888888888911,0.7235482395976228,0.6080018289894832,13.3,13.290000000000003,
111/03/22,14837.0,196673.0,13.35,13.35,13.2,13.35,-0.05,11.0,False,0.7777777777777782,0.7416247523243413,0.6525428034344358,13.319999999999999,13.305000000000003,
111/03/23,32153.0,429677.0,13.35,13.45,13.35,13.35, 0.00,20.0,False,0.7777777777777782,0.7536757608088203,0.6862537892258973,13.349999999999998,13.315000000000003,
111/03/24,28000.0,372200.0,13.3,13.35,13.25,13.3,-0.05,19.0,False,0.6666666666666693,0.7246727294281032,0.6990601026266325,13.339999999999998,13.305000000000003,
111/03/25,27000.0,361300.0,13.4,13.5,13.3,13.3, 0.00,12.0,False,0.6000000000000014,0.6831151529520693,0.6937451194017781,13.339999999999998,13.310000000000006,
111/03/28,27006.0,358122.0,13.3,13.3,13.25,13.25,-0.05,15.0,False,0.5,0.6220767686347128,0.6698556691460896,13.309999999999997,13.305000000000003,13.3175
111/03/29,57230.0,761246.0,13.3,13.35,13.25,13.35,+0.10,24.0,False,0.57142857142857,0.6051940362326651,0.6483017915082814,13.309999999999997,13.315000000000003,13.3175
111/03/30,41237.0,555367.0,13.45,13.55,13.4,13.45,+0.10,28.0,False,0.7499999999999967,0.6534626908217755,0.6500220912794461,13.329999999999998,13.340000000000003,13.320000000000002
111/03/31,7626.0,102417.0,13.45,13.5,13.4,13.45, 0.00,11.0,False,0.7142857142857114,0.6737370319764209,0.657927071511771,13.36,13.350000000000003,13.320000000000002
111/04/01,30008.0,404056.0,13.5,13.5,13.4,13.5,+0.05,19.0,False,0.8571428571428557,0.7348723070318991,0.6835754833518136,13.4,13.370000000000001,13.320000000000002
