日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,4267809.0,621683431.0,144.0,147.0,144.0,146.0,+3.00,2699.0,False,,,
111/03/02,3529951.0,525029986.0,147.0,150.5,146.0,150.0,+4.00,2432.0,False,,,
111/03/03,2517764.0,376517280.0,151.0,151.0,148.0,149.0,-1.00,1772.0,False,,,
111/03/04,1761109.0,259175267.0,147.0,148.0,146.0,147.0,-2.00,1562.0,False,,,
111/03/07,3950134.0,565055430.0,145.5,146.0,142.0,142.5,-4.50,3453.0,False,,,
111/03/08,2612521.0,371349389.0,141.5,144.0,140.5,142.0,-0.50,2003.0,False,,,
111/03/09,1984425.0,286313333.0,143.5,145.5,143.0,144.0,+2.00,1269.0,False,,,
111/03/10,1582445.0,231542157.0,145.5,147.5,145.5,146.0,+2.00,1229.0,False,,,
111/03/11,2254631.0,329017140.0,145.5,147.0,145.0,146.0, 0.00,1332.0,False,0.5238095238095238,0.5079365079365079,0.5026455026455026
111/03/14,1913004.0,276918115.0,145.0,146.0,144.0,144.5,-1.50,1410.0,False,0.3809523809523809,0.4656084656084656,0.4902998236331569
111/03/15,2000665.0,287096199.0,144.0,144.5,142.5,143.5,-1.00,1466.0,False,0.2857142857142857,0.4056437389770723,0.4620811287477953
111/03/16,2419373.0,348646248.0,146.0,146.5,143.0,144.0,+0.50,1577.0,False,0.4666666666666667,0.4259847148736037,0.4500489907897314
111/03/17,3313054.0,486335551.0,147.0,148.0,145.5,147.0,+3.00,2056.0,False,0.8666666666666667,0.5728786988046246,0.4909922267946958
111/03/18,5090232.0,758213035.0,147.5,151.0,146.0,151.0,+4.00,2293.0,False,1.0,0.7152524658697497,0.5657456398197137
111/03/21,2253160.0,334070195.0,150.0,151.0,147.0,147.5,-3.50,1559.0,False,0.5882352941176471,0.6729134086190488,0.6014682294194921
111/03/22,1135568.0,167443976.0,147.0,148.0,146.5,147.5, 0.00,805.0,False,0.5882352941176471,0.6446873704519148,0.615874609763633
