日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,19622543.0,1173254299.0,58.9,60.9,58.8,60.9,3.0,10090.0,False,,,
111/03/02,63149713.0,4036062819.0,60.6,66.9,60.3,66.9,6.0,30434.0,False,,,
111/03/03,101981724.0,6924378620.0,67.9,70.2,65.4,65.4,-1.5,52372.0,False,,,
111/03/04,41103226.0,2668266205.0,64.3,66.8,63.6,64.3,-1.1,21640.0,False,,,
111/03/07,34118945.0,2088543266.0,63.9,63.9,59.7,60.1,-4.2,18452.0,False,,,
111/03/08,39568210.0,2315682695.0,58.0,61.2,56.8,56.8,-3.3,19544.0,False,,,
111/03/09,35553943.0,2017956740.0,58.0,58.5,55.4,56.1,-0.7,17219.0,False,,,
111/03/10,30037242.0,1745470419.0,58.2,59.5,57.1,58.1,2.0,14848.0,False,,,
111/03/11,21364527.0,1225824142.0,57.6,58.3,56.3,57.8,-0.3,10515.0,False,0.16216216216216206,0.3873873873873873,0.4624624624624624
111/03/14,15906526.0,919726366.0,57.8,58.6,57.2,57.7,-0.1,7658.0,False,0.15540540540540565,0.3100600600600601,0.4116616616616616
111/03/15,21412245.0,1201576198.0,57.5,57.6,55.5,55.6,-2.1,10576.0,False,0.013513513513513702,0.21121121121121128,0.34484484484484484
111/03/16,26541698.0,1487732489.0,56.8,57.1,55.1,56.2,0.6,12870.0,False,0.09401709401709417,0.1721465054798389,0.2872787317231762
111/03/17,22028076.0,1284859928.0,58.0,59.0,57.5,58.6,2.4,11299.0,False,0.3977272727272729,0.2473400945623169,0.2739658526695564
111/03/18,16635373.0,973141526.0,58.6,59.4,57.9,58.5,-0.1,8171.0,False,0.5573770491803275,0.3506857461016537,0.2995391504802555
111/03/21,24281722.0,1452266914.0,61.1,61.8,58.4,58.5,0.0,12162.0,False,0.5074626865671643,0.4029447262568239,0.3340076757391116
111/03/22,11787211.0,693303866.0,58.3,59.4,57.9,59.3,0.8,5925.0,False,0.6268656716417909,0.4775850413851462,0.3818667976211231
111/03/23,16758111.0,1004165926.0,60.1,60.6,59.3,59.7,0.4,8285.0,False,0.6865671641791051,0.5472457489831325,0.4369931147417929
111/03/24,22005860.0,1341809031.0,59.3,62.2,59.0,61.8,2.1,12625.0,False,0.9436619718309852,0.6793844899324166,0.5177902398053341
111/03/25,22558876.0,1362267291.0,62.1,62.1,59.1,59.3,-2.5,11543.0,False,0.5915492957746472,0.6501060918798268,0.5618955238301651
111/03/28,10004632.0,589160136.0,58.5,59.7,58.0,59.7,0.4,5050.0,False,0.647887323943662,0.6493665025677718,0.5910525167427007
111/03/29,9679297.0,579228021.0,59.7,60.3,59.5,59.8,0.1,4604.0,False,0.4893617021276586,0.596031569087734,0.5927122008577117
111/03/30,14833497.0,903963255.0,60.9,61.8,60.3,60.3,0.5,7835.0,False,0.55813953488372,0.5834008910197294,0.5896084309117176
