日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,11560393.0,573850035.0,49.25,50.3,49.25,49.45,+0.50,6057.0,False,,,,,,
111/03/02,6000526.0,298187129.0,49.45,49.95,49.05,49.9,+0.45,3730.0,False,,,,,,
111/03/03,6901718.0,345390141.0,50.1,50.2,49.7,50.2,+0.30,4072.0,False,,,,,,
111/03/04,9828956.0,496365594.0,50.3,50.9,50.0,50.5,+0.30,5504.0,False,,,,,,
111/03/07,10646455.0,523076262.0,50.1,50.2,48.5,49.3,-1.20,7324.0,False,,,,49.870000000000005,,
111/03/08,9345968.0,454431210.0,48.6,49.2,48.25,48.5,-0.80,5330.0,False,,,,49.68000000000001,,
111/03/09,5668713.0,278653120.0,49.0,49.35,48.85,49.35,+0.85,2823.0,False,,,,49.57000000000001,,
111/03/10,5186781.0,255613886.0,49.4,49.5,49.1,49.2,-0.15,3037.0,False,,,,49.37000000000002,,
111/03/11,3535294.0,172806106.0,49.05,49.15,48.65,48.9,-0.30,2042.0,False,0.2452830188679241,0.41509433962264136,0.4716981132075471,49.05000000000001,,
111/03/14,8927696.0,443915756.0,48.9,50.3,48.9,49.6,+0.70,4175.0,False,0.5094339622641517,0.4465408805031448,0.4633123689727463,49.110000000000014,49.49,
111/03/15,14238188.0,714171426.0,49.85,50.7,49.55,50.5,+0.90,6737.0,False,0.8490566037735854,0.5807127882599583,0.5024458420684836,49.51000000000001,49.59500000000001,
111/03/16,39579837.0,1874253675.0,50.0,50.2,46.0,46.85,-3.65,22808.0,False,0.17346938775510234,0.44496498809167295,0.4832855574095467,49.01000000000002,49.290000000000006,
111/03/17,15336602.0,718973782.0,47.05,47.3,46.5,47.0,+0.15,8226.0,False,0.2127659574468084,0.3675653112100514,0.4447121420097149,48.570000000000014,48.97000000000001,
111/03/18,11060072.0,515986938.0,46.95,46.95,46.45,46.6,-0.40,5678.0,False,0.12765957446808532,0.2875967322960627,0.3923403387718308,48.11000000000002,48.580000000000005,
111/03/21,11706504.0,541550972.0,46.7,46.9,46.05,46.2,-0.40,7794.0,False,0.04255319148936229,0.20591555202716247,0.3301987431902747,47.43000000000002,48.27000000000001,
111/03/22,19729282.0,895809493.0,46.15,46.15,45.1,45.5,-0.70,13007.0,False,0.07142857142857116,0.16108655849429876,0.2738280149582827,46.43000000000002,47.970000000000006,
111/03/23,7551213.0,346403181.0,45.65,46.05,45.45,45.95,+0.45,5036.0,False,0.1517857142857145,0.15798627709143734,0.2352141023360009,46.250000000000014,47.63000000000001,
111/03/24,4691113.0,214423464.0,45.9,45.9,45.6,45.75,-0.20,3467.0,False,0.11607142857142827,0.14401466091810095,0.20481428853003425,46.00000000000002,47.28500000000001,
111/03/25,6391792.0,292443655.0,45.9,45.95,45.65,45.75, 0.00,3712.0,False,0.11607142857142827,0.13470025013587678,0.1814429423986484,45.83000000000003,46.97000000000001,
111/03/28,6950845.0,315015005.0,45.75,45.8,45.2,45.35,-0.40,4670.0,False,0.04901960784313724,0.10614003603829693,0.15634197361186458,45.660000000000025,46.545000000000016,48.01750000000001
111/03/29,5800709.0,262954245.0,45.45,45.6,45.2,45.3,-0.05,3533.0,False,0.09090909090908916,0.101063054328561,0.1379156671840967,45.620000000000026,46.02500000000002,47.81000000000001
