日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,225991888.0,33500097825.0,146.0,151.0,144.5,150.5,+7.00,92696.0,False,,,
111/03/02,190071490.0,28891349111.0,150.0,154.0,149.0,151.5,+1.00,82594.0,False,,,
111/03/03,229574210.0,36231217230.0,154.5,162.5,153.5,160.5,+9.00,122257.0,False,,,
111/03/04,431046214.0,70685147482.0,161.5,171.0,159.0,159.0,-1.50,217133.0,False,,,
111/03/07,337599130.0,52483840125.0,160.5,162.0,151.0,151.0,-8.00,154859.0,False,,,
111/03/08,389717827.0,57242765336.0,148.0,153.5,138.5,147.0,-4.00,169342.0,False,,,
111/03/09,261873095.0,40071630066.0,152.5,156.0,149.0,156.0,+9.00,118750.0,False,,,
111/03/10,243329897.0,38810454184.0,161.0,162.5,156.0,156.0, 0.00,114184.0,False,,,
111/03/11,193990525.0,30643796584.0,155.0,160.0,155.0,160.0,+4.00,88588.0,False,0.6615384615384615,0.5538461538461539,0.5179487179487179
111/03/14,212637788.0,34888264329.0,162.5,166.0,162.0,164.5,+4.50,85564.0,False,0.8,0.6358974358974359,0.5572649572649572
111/03/15,299775867.0,48261929886.0,165.0,167.0,157.5,158.0,-6.50,132306.0,False,0.6,0.6239316239316238,0.5794871794871794
111/03/16,532028484.0,80584238683.0,160.5,163.5,142.5,143.0,-15.00,251876.0,False,0.13846153846153847,0.4621082621082621,0.5403608736942069
111/03/17,311757278.0,44842881989.0,146.0,148.0,138.5,146.5,+3.50,147168.0,False,0.2807017543859649,0.4016394262008296,0.4941203911964145
111/03/18,165238709.0,23416651571.0,145.0,145.5,140.0,141.0,-5.50,75350.0,False,0.08771929824561403,0.29699938354909106,0.4284133886473066
111/03/21,128286768.0,18232994607.0,141.0,145.0,138.5,144.5,+3.50,54235.0,False,0.21052631578947367,0.2681750276292186,0.3750006016412773
111/03/22,74326569.0,10674467445.0,144.0,145.5,142.5,142.5,-2.00,33194.0,False,0.14035087719298245,0.2255669774838065,0.32518939358878696
111/03/23,68992130.0,9887649383.0,143.5,145.0,141.5,143.5,+1.00,29152.0,False,0.17543859649122806,0.20885751715294704,0.2864121014435069
111/03/24,84745736.0,11997997643.0,142.5,144.0,140.5,140.5,-3.00,34682.0,False,0.07017543859649122,0.1626301576341284,0.24515145350704745
111/03/25,165131365.0,22339790187.0,140.0,140.0,132.5,132.5,-8.00,93040.0,False,0.0,0.10842010508941892,0.19957433736783792
111/03/28,93721893.0,12295843089.0,128.0,134.5,127.0,133.0,+0.50,47753.0,False,0.1643835616438356,0.12707459060755782,0.1754077551144112
111/03/29,61231272.0,8321178086.0,134.0,137.5,134.0,135.0,+2.00,30944.0,False,0.3809523809523809,0.21170052072249884,0.1875053436504404
