日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,9532145.0,270635421.0,29.15,29.4,27.9,28.15,-0.05,4433.0,False,,,,,,
111/03/02,5094115.0,143091757.0,28.0,28.5,27.85,27.85,-0.30,2835.0,False,,,,,,
111/03/03,7084628.0,201496653.0,28.2,28.8,27.95,28.6,+0.75,3328.0,False,,,,,,
111/03/04,9330247.0,267528357.0,28.4,29.05,28.15,28.4,-0.20,4674.0,False,,,,,,
111/03/07,10743142.0,299929389.0,28.45,28.5,27.05,28.0,-0.40,5409.0,False,,,,,,
111/03/08,10189362.0,281273345.0,27.8,28.2,26.65,26.9,-1.10,5793.0,False,,,,,,
111/03/09,10804888.0,301473014.0,27.7,28.4,27.2,28.15,+1.25,5686.0,False,,,,,,
111/03/10,49285254.0,1478781018.0,29.0,30.95,28.5,30.0,+1.85,20394.0,False,,,,,,
111/03/11,27048688.0,805536832.0,30.45,30.65,29.0,29.6,-0.40,14086.0,False,0.6860465116279075,0.5620155038759691,0.520671834625323,,,
111/03/14,16273433.0,477274548.0,29.65,30.0,28.7,28.8,-0.80,7837.0,False,0.5000000000000004,0.5413436692506461,0.5275624461670974,,,
111/03/15,12238365.0,342405857.0,28.7,29.05,27.4,27.4,-1.40,6454.0,False,0.17441860465116274,0.4190353143841517,0.4913867355727821,,,
111/03/16,9153339.0,252544462.0,27.8,28.0,27.1,27.5,+0.10,5020.0,False,0.19767441860465146,0.34524834912431823,0.4426739400899608,,,
111/03/17,6776503.0,189150072.0,27.75,28.25,27.45,28.25,+0.75,2974.0,False,0.3720930232558142,0.35419657383481684,0.41318148467157945,,,
111/03/18,4564219.0,128680808.0,28.25,28.85,27.75,28.85,+0.60,2421.0,False,0.5116279069767448,0.4066736848821261,0.41101221807509497,,,
111/03/21,5801799.0,167809276.0,28.85,29.15,28.55,28.95,+0.10,2858.0,False,0.4805194805194802,0.4312889500945775,0.4177711287482558,,,
111/03/22,2575663.0,74061779.0,29.0,29.05,28.55,28.6,-0.35,1707.0,False,0.38961038961038985,0.4173960965998482,0.4176461180321199,,,
111/03/23,3207448.0,92634380.0,28.9,29.0,28.65,28.75,+0.15,1864.0,False,0.4647887323943662,0.4331936418646876,0.4228286259763091,,,
111/03/24,2584923.0,73956387.0,28.8,28.8,28.4,28.55,-0.20,1736.0,False,0.5,0.4554624279097916,0.4337065599541366,,,
111/03/25,4438447.0,124220807.0,28.75,28.75,27.75,27.85,-0.70,2527.0,False,0.36585365853658586,0.42559283811872295,0.4310019860089988,,,
111/03/28,3351403.0,92984154.0,27.6,28.15,27.35,27.95,+0.10,2464.0,False,0.41463414634146295,0.42193994085963626,0.42798130429254455,,,
111/03/29,2285453.0,63970365.0,27.85,28.2,27.75,27.9,-0.05,1510.0,False,0.3055555555555545,0.3831451457582756,0.4130359181144549,,,
111/03/30,2034149.0,56998211.0,28.1,28.2,27.85,27.95,+0.05,1603.0,False,0.33333333333333265,0.3665412082832946,0.3975376815040681,,,
111/03/31,1583517.0,44310218.0,28.05,28.2,27.9,27.9,-0.05,997.0,False,0.3055555555555545,0.3462126573740479,0.38042934012739466,,,
111/04/01,1715895.0,47742265.0,27.95,28.0,27.65,27.8,-0.10,1338.0,False,0.26470588235294085,0.3190437323670122,0.3599674708739338,,,
111/04/06,2126533.0,58198309.0,27.75,27.75,27.25,27.3,-0.50,1658.0,False,0.028571428571428976,0.2222196311018178,0.3140515242832285,,,
111/04/07,3252069.0,87531321.0,27.25,27.4,26.5,26.5,-0.80,2972.0,False,0.0,0.1481464207345452,0.258749823100334,,,
111/04/08,2943065.0,79537618.0,26.75,27.3,26.7,26.9,+0.40,1393.0,False,0.17777777777777715,0.15802353974895586,0.22517439531654126,,,
111/04/11,2824527.0,76061651.0,27.1,27.55,26.5,26.5,-0.40,1732.0,False,0.0,0.10534902649930387,0.18523260571079547,,,
111/04/12,3400606.0,88465732.0,26.6,26.7,25.85,25.9,-0.60,1884.0,False,0.02127659574467966,0.07732488291442914,0.14926336477867336,,,
111/04/13,3688642.0,98742672.0,26.1,27.1,26.1,27.05,+1.15,1924.0,False,0.5106382978723406,0.2217626879003996,0.17342980581924874,,,
111/04/14,3182174.0,86830509.0,27.25,27.5,27.05,27.3,+0.25,1727.0,False,0.6170212765957449,0.353515550798848,0.2334583874791152,,,
111/04/15,8056436.0,224783455.0,27.25,28.4,27.15,27.75,+0.45,4027.0,False,0.7450980392156865,0.4840430469377942,0.31698660729867484,,,
111/04/18,3735582.0,102902042.0,28.1,28.3,27.2,27.3,-0.45,2297.0,False,0.5686274509803925,0.5122378482853269,0.3820703542942255,,,
111/04/19,8830458.0,248999447.0,27.4,28.5,27.4,28.15,+0.85,3849.0,False,0.8679245283018862,0.6308000749575133,0.4649802611819881,,,
111/04/20,63146714.0,1901804056.0,29.05,30.95,29.0,29.2,+1.05,21795.0,False,0.6568627450980391,0.6394876316710219,0.5231493846783326,,,
111/04/21,66118987.0,2050659954.0,29.1,32.1,29.05,31.95,+2.75,30238.0,False,0.9759999999999996,0.7516584211140145,0.5993190634902266,,,
111/04/22,96697376.0,3157034805.0,32.3,33.3,31.55,33.0,+1.05,44240.0,False,0.9597315436241616,0.8210161286173967,0.6732180851992833,,,
111/04/25,32101137.0,997752409.0,32.0,32.6,30.2,30.5,-2.50,14585.0,False,0.6111111111111113,0.7510477894486348,0.6991613199490672,,,
111/04/26,23760750.0,705945702.0,30.75,31.2,28.4,28.4,-2.10,11428.0,False,0.21599999999999966,0.5726985262990898,0.6570070553990747,,,
111/04/27,28290795.0,815583226.0,27.55,29.8,26.65,28.75,+0.35,13404.0,False,0.3157894736842108,0.4870621754274634,0.6003587620752042,,,
111/04/28,16750521.0,475805101.0,28.6,29.3,27.8,28.25,-0.50,7962.0,False,0.2406015037593988,0.4049086182047752,0.5352087141183945,,,
111/04/29,26702962.0,796299543.0,28.6,30.65,28.3,30.05,+1.80,13465.0,False,0.5112781954887222,0.4403651439660908,0.5035941907342933,,,
111/05/03,16838295.0,495262682.0,30.25,30.35,28.85,29.5,-0.55,8683.0,False,0.4285714285714289,0.4364339055012035,0.4812074289899301,,,
111/05/04,31017893.0,954689460.0,29.8,31.8,29.7,30.2,+0.70,15945.0,False,0.5338345864661657,0.4689007991561909,0.4771052190453503,,,
111/05/05,19705170.0,597709259.0,30.95,31.2,29.8,30.4,+0.20,9496.0,False,0.5639097744360904,0.500570457582824,0.4849269652245082,,,
111/05/06,11298526.0,339323025.0,29.7,30.55,29.3,30.15,-0.25,6190.0,False,0.5882352941176467,0.5297920697610983,0.4998820000700382,,,
111/05/09,10626515.0,316728343.0,30.55,30.75,29.2,29.2,-0.95,5799.0,False,0.4951456310679611,0.5182432568633859,0.5060024190011541,,,
111/05/10,14425844.0,428236669.0,28.55,30.45,28.55,29.25,+0.05,7132.0,False,0.5048543689320389,0.5137802942196036,0.5085950440739706,,,
111/05/11,17101621.0,480991009.0,28.8,29.1,27.5,27.9,-1.35,8900.0,False,0.09302325581395314,0.3735279480843868,0.4635726787441093,,,
111/05/12,12983285.0,353618244.0,27.85,28.3,26.4,26.5,-1.40,6471.0,False,0.018518518518518767,0.2551914715624308,0.3941122763502164,,,
111/05/13,8285219.0,221940705.0,27.0,27.2,26.45,26.65,+0.15,3919.0,False,0.04629629629629628,0.18555974647371928,0.32459476639138396,,,
111/05/16,5863141.0,155523191.0,26.95,27.0,26.0,26.7,+0.05,3204.0,False,0.12068965517241365,0.16393638270661734,0.2710419718297951,,,
111/05/17,5192314.0,136542488.0,26.55,26.8,26.1,26.1,-0.60,3056.0,False,0.019230769230769502,0.11570117821466808,0.21926170729141944,,,
111/05/18,3636370.0,96615761.0,26.35,26.8,26.3,26.5,+0.40,1915.0,False,0.10526315789473684,0.11222183810802433,0.1835817508969544,,,
111/05/19,5474836.0,141750170.0,26.0,26.3,25.55,26.15,-0.35,3034.0,False,0.115384615384615,0.1132760972002212,0.1601465329980433,,,
111/05/20,9539746.0,251467213.0,26.6,27.05,25.95,26.05,-0.10,4643.0,False,0.10204081632653064,0.10953100357565768,0.14327468985724806,,,
111/05/23,15817173.0,428079238.0,26.35,27.8,26.35,26.85,+0.80,8339.0,False,0.3661971830985917,0.1950863967499689,0.16054525882148835,,,
111/05/24,6521431.0,175829946.0,27.1,27.25,26.6,27.1,+0.25,3576.0,False,0.5636363636363639,0.31793638571210064,0.2130089677850258,,,
111/05/25,4275448.0,115513709.0,27.1,27.3,26.8,26.95,-0.15,2370.0,False,0.6222222222222216,0.4193649978821409,0.28179431115073084,,,
111/05/26,5654677.0,153742257.0,27.4,27.75,26.8,27.0,+0.05,2899.0,False,0.6444444444444442,0.4943914800695754,0.35266003412367897,,,
111/05/27,4130531.0,111206733.0,27.2,27.3,26.8,26.85,-0.15,2049.0,False,0.5777777777777781,0.5221869126389762,0.40916899362877795,,,
111/05/30,3463523.0,93434921.0,27.0,27.2,26.75,27.1,+0.25,1755.0,False,0.6888888888888892,0.5777542380556139,0.4653640751043899,,,
111/05/31,2660142.0,71864991.0,27.3,27.35,26.85,26.95,-0.15,1468.0,False,0.6222222222222216,0.5925768994444831,0.507768349884421,,,
111/06/01,3424255.0,93395548.0,27.15,27.4,27.05,27.25,+0.30,1910.0,False,0.7027027027027025,0.6292855005305562,0.5482740667664661,,,
111/06/02,3402037.0,92371265.0,27.25,27.45,26.95,27.0,-0.25,1930.0,False,0.4482758620689648,0.5689489543766924,0.5551656959698748,,,
111/06/06,2281932.0,62036408.0,27.2,27.45,26.9,26.95,-0.05,1272.0,False,0.30434782608695504,0.4807485782801133,0.5303599900732876,,,
111/06/07,3061651.0,81623318.0,27.0,27.1,26.5,26.55,-0.40,1820.0,False,0.04000000000000057,0.3338323855200757,0.4648507885555503,,,
111/06/08,2943393.0,78230034.0,26.65,26.85,26.35,26.55, 0.00,1811.0,False,0.1428571428571425,0.2701739712990979,0.3999585161367328,,,
111/06/09,4318575.0,112536836.0,26.6,26.6,25.85,26.0,-0.55,2328.0,False,0.09374999999999924,0.21136598086606506,0.3370943377131769,,,
111/06/10,2957993.0,75923267.0,25.95,25.95,25.5,25.7,-0.30,1863.0,False,0.10256410256410224,0.17509868809874407,0.28309578784169925,,,
111/06/13,4106863.0,101438182.0,25.0,25.0,24.5,24.5,-1.20,2697.0,False,0.0,0.11673245873249605,0.22764134480529816,,,
111/06/14,4812295.0,116860279.0,24.3,24.7,23.9,24.4,-0.10,2297.0,False,0.1408450704225352,0.1247699959625091,0.1933508951910351,,,
111/06/15,3409135.0,82653098.0,24.2,25.0,24.0,24.0,-0.40,2092.0,False,0.02816901408450744,0.09256966866984187,0.159757153017304,,,
111/06/16,6403557.0,150806238.0,24.4,24.4,22.95,22.95,-1.05,3473.0,False,0.0,0.06171311244656125,0.12707580616038974,,,
111/06/17,4802962.0,109471379.0,22.65,23.25,22.5,22.6,-0.35,2861.0,False,0.02173913043478291,0.04838845177596847,0.1008466880322493,,,
111/06/20,7297245.0,156986095.0,22.8,22.8,20.8,20.85,-1.75,3709.0,False,0.008264462809917472,0.035013788787284804,0.07890238828392779,,,
111/06/21,4800494.0,103037389.0,21.1,21.8,21.1,21.55,+0.70,2682.0,False,0.1293103448275862,0.06644597413405193,0.07475025023396918,,,
111/06/22,6881067.0,144125093.0,21.6,21.6,20.5,20.8,-0.75,3765.0,False,0.05504587155963316,0.062645939942579,0.0707154801368391,,,
111/06/23,6761502.0,137660394.0,20.65,21.05,19.95,20.25,-0.55,3258.0,False,0.059405940594059535,0.06156594015973917,0.0676656334778058,,,
