日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,54475931.0,2007849005.0,37.6,38.45,35.65,36.95,-0.60,24163.0,False,,,,,,
111/03/02,91422334.0,3540606440.0,36.95,39.9,36.2,38.65,+1.70,40775.0,False,,,,,,
111/03/03,63945933.0,2501198873.0,39.15,39.65,38.5,38.9,+0.25,27239.0,False,,,,,,
111/03/04,46982002.0,1809429367.0,39.0,39.4,37.25,37.35,-1.55,23184.0,False,,,,,,
111/03/07,90359763.0,3471470656.0,37.4,39.4,37.1,39.0,+1.65,36782.0,False,,,,38.17,,
111/03/08,134257942.0,5222508298.0,38.35,40.6,36.05,37.1,-1.90,59931.0,False,,,,38.2,,
111/03/09,128954660.0,5115562948.0,39.0,40.8,38.35,40.8,+3.70,54546.0,False,,,,38.63,,
111/03/10,183184892.0,7782123601.0,42.0,43.95,40.4,41.75,+0.95,76777.0,False,,,,39.2,,
111/03/11,71579215.0,2881823599.0,40.35,41.3,39.5,39.6,-2.15,36322.0,False,0.4759036144578314,0.4919678714859438,0.4973226238286479,39.65,,
111/03/14,49598396.0,1981146316.0,39.7,40.8,39.3,39.3,-0.30,22529.0,False,0.4113924050632908,0.4651093826783928,0.4865848767785628,39.71,38.940000000000005,
111/03/15,43100704.0,1640538177.0,39.75,39.85,37.15,37.5,-1.80,20664.0,False,0.18354430379746856,0.37125435638475135,0.4481413699806256,39.790000000000006,38.995000000000005,
111/03/16,53360372.0,1988110834.0,38.85,39.25,35.8,36.3,-1.20,27994.0,False,0.0613496932515337,0.2679528020070121,0.38807851398942106,38.89,38.760000000000005,
111/03/17,43299534.0,1597964037.0,37.2,37.85,36.05,37.7,+1.40,23432.0,False,0.2331288343558288,0.25634481278995097,0.3441672802562643,38.08,38.64000000000001,
111/03/18,18140951.0,667046052.0,37.25,37.4,36.45,37.05,-0.65,9294.0,False,0.15337423312883425,0.2220212862362454,0.303451948916258,37.57,38.61000000000001,
111/03/21,15530737.0,575138171.0,36.9,37.35,36.65,37.25,+0.20,7608.0,False,0.17791411042944807,0.20731889430064626,0.27140759737772074,37.160000000000004,38.43500000000001,
111/03/22,9742244.0,360034902.0,37.2,37.4,36.7,37.0,-0.25,4624.0,False,0.1472392638036812,0.1872923508016579,0.24336918185236645,37.06,38.425000000000004,
111/03/23,15775351.0,591127523.0,37.25,38.0,37.0,37.3,+0.30,7460.0,False,0.2727272727272727,0.21577065811019616,0.2341696739383097,37.260000000000005,38.075,
111/03/24,11022441.0,404401371.0,37.4,37.4,36.4,36.6,-0.70,6445.0,False,0.16000000000000086,0.19718043874013105,0.22183992887225013,37.04,37.56000000000001,
111/03/25,13657856.0,490141022.0,36.9,36.9,35.5,35.85,-0.75,9415.0,False,0.08045977011494282,0.15827354919840164,0.20065113564763395,36.8,37.18500000000001,
111/03/28,14694017.0,535406082.0,35.55,37.0,35.2,36.95,+1.10,8601.0,False,0.4320987654320991,0.2495486212763008,0.21695029752385625,36.739999999999995,36.95,37.94500000000001
111/03/29,11153798.0,412376667.0,36.8,37.4,36.55,36.9,-0.05,5278.0,False,0.6071428571428562,0.3687466998984859,0.2675490983153994,36.72,36.89,37.9425
111/03/30,7708783.0,285500715.0,37.35,37.5,36.8,36.85,-0.05,3591.0,False,0.5892857142857144,0.4422597046942287,0.3257859671083425,36.629999999999995,36.94500000000001,37.852500000000006
111/03/31,7604369.0,281388967.0,37.2,37.4,36.7,36.9,+0.05,3112.0,False,0.6071428571428562,0.4972207555104378,0.3829308965757076,36.69,36.865,37.752500000000005
111/04/01,23757367.0,896039716.0,36.85,38.4,36.75,37.6,+0.70,11983.0,False,0.7500000000000006,0.5814805036736254,0.4491140989416801,37.04,36.92,37.765
111/04/06,11014039.0,408910625.0,37.2,37.6,36.85,37.05,-0.55,5114.0,False,0.578124999999999,0.5803620024490832,0.4928634001108144,37.06,36.900000000000006,37.667500000000004
111/04/07,12667352.0,469024961.0,36.85,37.8,36.15,36.15,-0.90,7236.0,False,0.29687499999999906,0.4858663349660552,0.4905310450625613,36.910000000000004,36.815000000000005,37.62
111/04/08,23277601.0,877863856.0,36.75,38.15,36.65,37.6,+1.45,11231.0,False,0.7500000000000006,0.5739108899773702,0.5183243267008308,37.06,36.845000000000006,37.46
111/04/11,10564243.0,394160397.0,37.85,38.1,36.6,36.6,-1.00,5212.0,False,0.43750000000000017,0.5284405933182468,0.5216964155733028,37.0,36.845000000000006,37.2025
111/04/12,6228516.0,228031717.0,36.85,37.0,36.3,36.6, 0.00,3545.0,False,0.2000000000000013,0.41896039554549824,0.4874510755640346,36.8,36.92,37.0525
111/04/13,11159504.0,420325250.0,37.15,38.0,37.1,37.5,+0.90,5487.0,False,0.6000000000000006,0.4793069303636657,0.484736360497245,36.89,36.97500000000001,36.962500000000006
111/04/14,15434438.0,584959443.0,38.1,38.8,37.2,37.2,-0.30,7455.0,False,0.3962264150943414,0.4516134252738909,0.4736953820894602,37.099999999999994,37.00500000000001,36.947500000000005
111/04/15,10964383.0,413043438.0,37.2,38.1,37.1,37.3,+0.10,5446.0,False,0.4339622641509431,0.4457297048995749,0.4643734896928317,37.03999999999999,37.050000000000004,36.99750000000001
111/04/18,12514982.0,456095741.0,37.4,37.75,36.0,36.0,-1.30,7529.0,False,0.0,0.2971531365997165,0.4086333719951266,36.919999999999995,36.96000000000001,36.91250000000001
111/04/19,10532406.0,389337602.0,36.55,37.45,36.3,36.75,+0.75,5004.0,False,0.2678571428571431,0.28738780535219205,0.3682181831141485,36.949999999999996,36.87500000000001,36.89750000000001
