日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,98942731.0,11807311926.0,118.5,121.0,116.5,120.5,+5.00,41014.0,False,,,
111/03/02,75698031.0,9141290224.0,120.0,122.5,119.0,120.5, 0.00,34831.0,False,,,
111/03/03,106373661.0,13207449722.0,123.0,126.0,122.0,125.0,+4.50,49676.0,False,,,
111/03/04,295655998.0,39072430033.0,126.0,137.5,123.5,133.0,+8.00,130593.0,False,,,
111/03/07,221174470.0,28645964062.0,133.5,135.5,125.0,125.5,-7.50,107731.0,False,,,
111/03/08,197696502.0,23869105447.0,121.5,126.5,114.5,118.0,-7.50,89954.0,False,,,
111/03/09,147513237.0,18142278556.0,122.5,126.0,119.0,125.5,+7.50,60510.0,False,,,
111/03/10,141680583.0,17981008293.0,128.5,129.5,124.0,124.0,-1.50,63575.0,False,,,
111/03/11,89669059.0,11214995440.0,123.5,127.0,123.0,125.5,+1.50,37925.0,False,0.4782608695652174,0.4927536231884058,0.4975845410628019
111/03/14,194274282.0,25412222324.0,128.0,133.0,127.5,132.5,+7.00,78762.0,False,0.7826086956521741,0.5893719806763285,0.5281803542673107
111/03/15,302248948.0,40179992513.0,134.0,136.5,130.0,130.0,-2.50,132005.0,False,0.6739130434782609,0.6175523349436393,0.5579710144927534
111/03/16,296010598.0,38280832298.0,136.0,137.0,122.5,127.0,-3.00,128421.0,False,0.5434782608695652,0.5928609769189479,0.5696010019681516
111/03/17,173223193.0,22669188346.0,130.0,134.0,126.5,133.0,+6.00,75559.0,False,0.8222222222222222,0.6693147253533727,0.6028389097632252
111/03/18,116201728.0,15130657317.0,132.5,132.5,128.5,130.0,-3.00,51921.0,False,0.6888888888888889,0.675839446531878,0.6271724220194428
111/03/21,73467610.0,9601874233.0,130.5,132.0,128.5,131.5,+1.50,31829.0,False,0.6944444444444444,0.6820411125027335,0.6454619855138729
111/03/22,39785898.0,5202782729.0,131.0,132.5,129.5,129.5,-2.00,21167.0,False,0.4827586206896552,0.6156136152317073,0.6355125287531511
111/03/23,44202139.0,5773210044.0,131.0,132.0,129.0,130.5,+1.00,21015.0,False,0.5517241379310345,0.5943171227981496,0.6217807267681505
111/03/24,44575422.0,5737283495.0,129.0,130.5,128.0,128.0,-2.50,27613.0,False,0.3793103448275862,0.5226481968079618,0.5887365501147542
111/03/25,103403986.0,12790202778.0,128.0,128.0,122.0,122.0,-6.00,72351.0,False,0.0,0.34843213120530786,0.5086350771449388
111/03/28,54487113.0,6565890739.0,117.5,123.0,117.5,122.5,+0.50,38220.0,False,0.2564102564102564,0.3177581729402907,0.4450094424100561
111/03/29,40986000.0,5097014562.0,123.5,126.0,123.0,123.5,+1.00,21932.0,False,0.3636363636363637,0.333050903172315,0.40768992933080905
111/03/30,40718905.0,5068137086.0,125.0,126.0,123.0,124.0,+0.50,20380.0,False,0.43333333333333335,0.3664783798926544,0.3939527461847575
111/03/31,34524023.0,4288597977.0,124.0,125.5,123.0,124.5,+0.50,16195.0,False,0.4666666666666667,0.3998744754839918,0.3959266559511689
111/04/01,51446320.0,6444245810.0,123.5,127.0,122.5,126.5,+2.00,24186.0,False,0.6,0.4665829836559945,0.4194787651861107
