日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,168946.0,21093870.0,125.0,126.5,124.0,124.5, 0.00,237.0,False,,,
111/03/02,166484.0,20806402.0,124.0,126.0,123.5,125.0,+0.50,176.0,False,,,
111/03/03,70037.0,8734598.0,124.0,126.0,124.0,125.0, 0.00,91.0,False,,,
111/03/04,130035.0,16257286.0,125.5,125.5,124.5,125.0, 0.00,145.0,False,,,
111/03/07,224356.0,27356487.0,124.0,124.0,121.0,122.0,-3.00,402.0,False,,,
111/03/08,148912.0,17968986.0,121.5,122.5,119.0,120.0,-2.00,286.0,False,,,
111/03/09,130231.0,15658878.0,120.0,122.5,119.0,121.0,+1.00,198.0,False,,,
111/03/10,48808.0,5961086.0,121.5,122.5,121.5,122.5,+1.50,104.0,False,,,
111/03/11,52370.0,6370397.0,122.0,122.5,121.0,121.5,-1.00,95.0,False,0.3333333333333333,0.4444444444444444,0.4814814814814815
111/03/14,62092.0,7535634.0,121.0,121.5,121.0,121.5, 0.00,98.0,False,0.35714285714285715,0.41534391534391535,0.4594356261022927
111/03/15,190279.0,23089661.0,121.5,123.5,120.0,123.0,+1.50,192.0,False,0.5714285714285714,0.4673721340388007,0.4620811287477953
111/03/16,86004.0,10579765.0,123.5,124.0,122.0,123.0, 0.00,112.0,False,0.6153846153846154,0.5167096278207388,0.4802906284387765
111/03/17,266602.0,33469546.0,124.0,127.5,122.5,125.5,+2.50,252.0,False,0.7647058823529411,0.5993750459981395,0.5199854342918975
111/03/18,110484.0,13796020.0,125.0,126.5,124.0,125.0,-0.50,142.0,False,0.7058823529411765,0.6348774816458185,0.5582827834098711
111/03/21,102434.0,12821436.0,125.0,126.0,124.5,125.0, 0.00,123.0,False,0.7058823529411765,0.6585457720776045,0.5917037796324489
111/03/22,341489.0,42779311.0,124.5,126.0,124.0,125.5,+0.50,188.0,False,0.7333333333333333,0.6834749591628473,0.6222941728092484
111/03/23,293970.0,36966646.0,127.5,127.5,124.5,126.0,+0.50,297.0,False,0.8,0.7223166394418982,0.6556349950201316
111/03/24,85466.0,10679366.0,125.0,126.0,124.5,125.0,-1.00,140.0,False,0.6666666666666666,0.7037666485168209,0.6716788795190279
111/03/25,111729.0,13952553.0,125.5,125.5,124.0,125.0, 0.00,133.0,False,0.6666666666666666,0.6913999879001029,0.6782525823127197
111/03/28,1815835.0,238651267.0,127.0,136.0,126.5,131.5,+6.50,1784.0,False,0.6785714285714286,0.6871238014572114,0.6812096553608835
111/03/29,651747.0,84210728.0,132.5,132.5,127.0,129.0,-2.50,1082.0,False,0.4814814814814815,0.6185763614653015,0.6603318907290228
111/03/30,372564.0,48208891.0,129.5,131.0,127.5,130.5,+1.50,366.0,False,0.5416666666666666,0.5929397965324232,0.6378678593301562
111/03/31,428782.0,56827237.0,131.0,134.0,131.0,132.5,+2.00,529.0,False,0.7083333333333334,0.6314043087993932,0.6357133424865685
111/04/01,293295.0,38603649.0,132.5,133.0,130.5,131.5,-1.00,298.0,False,0.625,0.6292695391995955,0.6335654080575774
111/04/06,1393474.0,192437826.0,132.0,142.5,132.0,138.5,+7.00,1696.0,False,0.7837837837837838,0.6807742873943249,0.6493017011698266
111/04/07,640290.0,87536221.0,138.0,140.0,134.0,134.5,-4.00,1011.0,False,0.5675675675675675,0.643038714118739,0.647214038819464
111/04/08,427144.0,57423620.0,136.5,137.5,133.0,134.0,-0.50,1441.0,False,0.5405405405405406,0.6088726562593395,0.6344335779660892
111/04/11,378380.0,49747472.0,134.0,134.5,130.0,130.5,-3.50,465.0,False,0.25,0.4892484375062263,0.5860385311461349
111/04/12,243290.0,31523557.0,130.5,131.0,128.5,130.5, 0.00,459.0,False,0.2258064516129032,0.4014344422084519,0.5245038348335739
111/04/13,415170.0,55367554.0,131.5,135.5,130.5,134.5,+4.00,442.0,False,0.4666666666666667,0.4231785170278568,0.4907287288983349
111/04/14,290500.0,38594238.0,135.5,135.5,131.0,133.5,-1.00,344.0,False,0.35714285714285715,0.4011666303995236,0.4608746960653978
111/04/15,323257.0,42107399.0,133.0,133.5,129.0,129.5,-4.00,373.0,False,0.07142857142857142,0.2912539440758729,0.4043344454022227
111/04/18,159789.0,20603618.0,128.0,131.5,128.0,128.0,-1.50,224.0,False,0.0,0.19416929605058192,0.3342793956183424
