日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,63920050.0,725304949.0,11.1,11.45,11.1,11.4,+0.30,10722.0,False,,,,,,
111/03/02,40057222.0,454395490.0,11.3,11.45,11.2,11.45,+0.05,7916.0,False,,,,,,
111/03/03,40557772.0,463569887.0,11.55,11.55,11.35,11.4,-0.05,7072.0,False,,,,,,
111/03/04,30992851.0,349766522.0,11.35,11.35,11.25,11.25,-0.15,7746.0,False,,,,,,
111/03/07,85737258.0,937119812.0,11.1,11.15,10.85,10.95,-0.30,21238.0,False,,,,11.290000000000001,,
111/03/08,64617935.0,697514066.0,10.7,10.95,10.7,10.75,-0.20,14011.0,False,,,,11.16,,
111/03/09,51026508.0,560113121.0,11.0,11.1,10.9,10.95,+0.20,8579.0,False,,,,11.059999999999999,,
111/03/10,38868105.0,435916168.0,11.15,11.3,11.1,11.2,+0.25,7646.0,False,,,,11.02,,
111/03/11,19691428.0,219357147.0,11.15,11.2,11.05,11.15,-0.05,4272.0,False,0.5294117647058827,0.5098039215686275,0.5032679738562091,11.0,,
111/03/14,25366114.0,284923344.0,11.2,11.3,11.15,11.25,+0.10,4702.0,False,0.6470588235294115,0.5555555555555555,0.5206971677559912,11.059999999999999,11.175,
111/03/15,26682193.0,299679669.0,11.2,11.3,11.15,11.3,+0.05,5480.0,False,0.7058823529411771,0.6056644880174293,0.5490196078431372,11.169999999999998,11.165000000000001,
111/03/16,31014188.0,350155518.0,11.35,11.4,11.2,11.3, 0.00,6510.0,False,0.8571428571428579,0.6894906110592388,0.5958432755818377,11.239999999999998,11.15,
111/03/17,40969886.0,468240579.0,11.45,11.5,11.35,11.45,+0.15,7563.0,False,0.9374999999999992,0.7721604073728257,0.6546156528455003,11.289999999999997,11.155,
111/03/18,125127560.0,1477423461.0,11.6,12.0,11.55,11.75,+0.30,24195.0,False,0.8076923076923078,0.7840043741459863,0.6977452266123291,11.409999999999998,11.205,
111/03/21,117185668.0,1409158586.0,11.85,12.2,11.85,12.1,+0.35,23496.0,False,0.9230769230769232,0.8303618904562986,0.7419507812269854,11.579999999999998,11.319999999999999,
111/03/22,53659595.0,650261501.0,12.05,12.2,12.0,12.2,+0.10,10293.0,False,1.0,0.8869079269708657,0.7902698298082789,11.76,11.465,
111/03/23,128565674.0,1614757902.0,12.25,12.75,12.25,12.7,+0.50,24723.0,False,0.9705882352941172,0.914801363078616,0.8317803408983913,12.040000000000001,11.639999999999999,
111/03/24,75509797.0,959208579.0,12.7,12.8,12.6,12.75,+0.05,16364.0,False,0.9696969696969692,0.9330998986180672,0.8655535268049499,12.3,11.794999999999998,
111/03/25,84176363.0,1058465745.0,12.75,12.8,12.45,12.6,-0.15,18485.0,False,0.8787878787878781,0.914995892008004,0.882034315205968,12.469999999999999,11.939999999999998,
111/03/28,106539532.0,1357630915.0,12.55,13.0,12.35,12.95,+0.35,24470.0,False,0.972222222222222,0.9340713354127432,0.8993799886082263,12.639999999999999,12.109999999999996,11.642499999999998
111/03/29,69626501.0,899335799.0,13.0,13.05,12.8,12.9,-0.05,18296.0,False,0.9117647058823528,0.9266357922359464,0.9084652564841328,12.779999999999998,12.269999999999998,11.717499999999998
111/03/30,69238081.0,886669703.0,12.85,12.95,12.7,12.85,-0.05,17841.0,False,0.8666666666666659,0.9066460837128528,0.9078588655603728,12.809999999999997,12.424999999999999,11.787499999999998
111/03/31,65428826.0,843558739.0,12.85,13.0,12.7,12.85, 0.00,16150.0,False,0.8333333333333326,0.8822085002530127,0.8993087437912527,12.829999999999995,12.565,11.859999999999998
111/04/01,60764103.0,788134135.0,12.8,13.1,12.75,12.95,+0.10,18887.0,False,0.8636363636363633,0.8760177880474628,0.8915450918766559,12.899999999999997,12.684999999999999,11.944999999999997
111/04/06,101731984.0,1350680407.0,12.95,13.45,12.9,13.4,+0.45,21306.0,False,0.958333333333334,0.9034563031427532,0.8955154956320217,12.989999999999998,12.815000000000001,12.067499999999999
111/04/07,204996937.0,2770545444.0,13.5,13.8,13.15,13.2,-0.20,45170.0,False,0.5862068965517234,0.7977065009457432,0.8629124974032621,13.049999999999997,12.915000000000001,12.189999999999998
111/04/08,154564822.0,2099221819.0,13.2,13.9,13.15,13.85,+0.65,27150.0,False,0.9677419354838706,0.8543849791251189,0.8600699913105477,13.249999999999996,13.030000000000001,12.334999999999999
111/04/11,216846544.0,3077005464.0,14.15,14.45,13.9,14.25,+0.40,46343.0,False,0.9047619047619052,0.8711772876707142,0.8637724234306032,13.529999999999998,13.180000000000001,12.4875
111/04/12,163890840.0,2254633221.0,13.95,14.0,13.55,13.7,-0.55,44169.0,False,0.5714285714285714,0.7712610489233332,0.8329352985948465,13.679999999999998,13.290000000000001,12.614999999999998
111/04/13,87574952.0,1192575350.0,13.75,13.85,13.4,13.6,-0.10,23055.0,False,0.5142857142857145,0.685602604044127,0.7838244004112733,13.719999999999995,13.355,12.732499999999998
111/04/14,160448858.0,2116751294.0,13.6,13.6,13.0,13.05,-0.55,43219.0,False,0.2000000000000008,0.5237350693627516,0.6971279567284328,13.689999999999994,13.370000000000001,12.819999999999999
111/04/15,84057810.0,1098023411.0,12.9,13.3,12.8,13.1,+0.05,17736.0,False,0.20588235294117635,0.4177841638888932,0.6040133591152529,13.539999999999996,13.395000000000001,12.91
111/04/18,135502596.0,1709994317.0,12.95,13.0,12.4,12.55,-0.55,32906.0,False,0.07317073170731729,0.3029130198283679,0.5036465793529579,13.199999999999994,13.365000000000004,12.965
111/04/19,49969470.0,631603548.0,12.7,12.8,12.55,12.6,+0.05,11471.0,False,0.0975609756097558,0.23446233842216385,0.4139184990426932,12.979999999999993,13.330000000000004,13.007500000000002
111/04/20,60863801.0,760691239.0,12.65,12.7,12.35,12.7,+0.10,14164.0,False,0.16666666666666652,0.2118637811703314,0.34656692641857256,12.799999999999994,13.260000000000002,13.0375
111/04/21,37681894.0,470449206.0,12.65,12.7,12.4,12.5,-0.20,10699.0,False,0.0714285714285716,0.1650520445897448,0.2860619658089633,12.689999999999994,13.190000000000003,13.0525
111/04/22,137970974.0,1775023683.0,12.4,13.15,12.4,13.15,+0.65,23189.0,False,0.4848484848484852,0.2716508580093249,0.2812582632090838,12.699999999999996,13.120000000000005,13.075
111/04/25,89529084.0,1143708883.0,12.75,12.95,12.55,12.8,-0.35,18642.0,False,0.3000000000000007,0.2811005720062168,0.2812056994747948,12.749999999999996,12.975000000000005,13.0775
111/04/26,43367314.0,559886673.0,12.9,13.05,12.8,12.9,+0.10,9529.0,False,0.44000000000000056,0.33406704800414466,0.29882614898457804,12.809999999999999,12.895000000000007,13.092499999999998
111/04/27,62408940.0,787719982.0,12.6,12.75,12.5,12.6,-0.30,14701.0,False,0.2631578947368418,0.31043066358171034,0.30269432051695544,12.789999999999997,12.795000000000007,13.075
111/04/28,42047459.0,530774572.0,12.65,12.8,12.5,12.7,+0.10,8896.0,False,0.4374999999999992,0.35278710905447325,0.31939191669612804,12.829999999999998,12.760000000000007,13.065000000000001
111/04/29,33662276.0,430188594.0,12.85,12.9,12.65,12.75,+0.05,7158.0,False,0.5,0.4018580727029821,0.3468806353650794,12.749999999999998,12.725000000000009,13.059999999999999
111/05/03,21251639.0,268378086.0,12.75,12.75,12.55,12.65,-0.10,6867.0,False,0.37500000000000056,0.39290538180198825,0.3622222175107157,12.719999999999999,12.73500000000001,13.049999999999997
111/05/04,17248296.0,218205364.0,12.75,12.8,12.6,12.65, 0.00,5393.0,False,0.3333333333333333,0.3730480323124366,0.3658308224446226,12.67,12.740000000000009,13.034999999999997
111/05/05,57311289.0,719906928.0,12.9,12.9,12.4,12.45,-0.20,13318.0,False,0.06666666666666525,0.2709209104305128,0.334194185106586,12.639999999999999,12.715000000000007,12.987499999999997
111/05/06,67691651.0,821755676.0,12.15,12.3,12.05,12.15,-0.30,16340.0,False,0.09999999999999963,0.2139472736203417,0.2941118812778379,12.529999999999998,12.680000000000007,12.934999999999997
111/05/09,111701977.0,1315844227.0,12.0,12.0,11.6,11.65,-0.50,24123.0,False,0.03448275862069012,0.15412576862045785,0.2474498437253779,12.309999999999999,12.530000000000006,12.824999999999994
111/05/10,73222738.0,864758682.0,11.45,12.05,11.4,11.9,+0.25,13092.0,False,0.3333333333333333,0.2138616235247497,0.23625377032516845,12.16,12.440000000000008,12.707499999999992
111/05/11,30684780.0,363334279.0,11.85,11.95,11.75,11.85,-0.05,6693.0,False,0.29999999999999954,0.24257441568316626,0.2383606521111677,12.000000000000002,12.335000000000008,12.614999999999995
111/05/12,55464104.0,639036030.0,11.75,11.8,11.4,11.4,-0.45,14188.0,False,0.0,0.16171627712211084,0.2128125271148154,11.790000000000001,12.215000000000009,12.504999999999994
111/05/13,45754888.0,524926744.0,11.55,11.6,11.3,11.5,+0.10,10521.0,False,0.12499999999999956,0.14947751808140708,0.19170085743701265,11.66,12.09500000000001,12.427499999999995
111/05/16,41592813.0,486108366.0,11.65,11.9,11.5,11.85,+0.35,10592.0,False,0.3437499999999994,0.2142350120542712,0.19921224230943213,11.700000000000001,12.00500000000001,12.364999999999997
111/05/17,25552958.0,301063435.0,11.85,11.9,11.65,11.85, 0.00,5969.0,False,0.3437499999999994,0.2574066747028472,0.2186103864405705,11.690000000000001,11.925000000000008,12.329999999999995
111/05/18,39770996.0,478743847.0,11.9,12.15,11.85,12.1,+0.25,9505.0,False,0.7999999999999989,0.4382711164685644,0.29183062978323515,11.740000000000002,11.870000000000008,12.304999999999996
111/05/19,28072589.0,333539438.0,11.8,12.0,11.7,11.95,-0.15,5761.0,False,0.7647058823529398,0.5470827050966895,0.3769146548877199,11.850000000000001,11.820000000000006,12.267499999999998
111/05/20,21543380.0,258780465.0,12.05,12.1,11.9,12.0,+0.05,4849.0,False,0.8235294117647054,0.6392316073193615,0.4643536390316004,11.95,11.805000000000003,12.242499999999998
111/05/23,27446413.0,328753085.0,12.05,12.1,11.85,12.05,+0.05,5396.0,False,0.882352941176471,0.7202720519383979,0.5496597766671996,11.989999999999998,11.845000000000004,12.187499999999998
111/05/24,30728217.0,374692490.0,12.15,12.3,12.05,12.1,+0.05,6165.0,False,0.7999999999999989,0.7468480346255982,0.6153891959866657,12.04,11.865000000000004,12.152499999999998
111/05/25,19062200.0,229457653.0,12.1,12.15,11.95,12.1, 0.00,4328.0,False,0.7999999999999989,0.7645653564170651,0.6651145827967988,12.04,11.890000000000004,12.112499999999997
111/05/26,17294034.0,209594337.0,12.2,12.2,12.0,12.1, 0.00,3935.0,False,0.7499999999999989,0.7597102376113762,0.6966464677349913,12.069999999999999,11.960000000000003,12.087499999999997
111/05/27,23931547.0,293326574.0,12.15,12.3,12.15,12.3,+0.20,6445.0,False,1.0,0.8398068250742508,0.7443665868480778,12.129999999999999,12.040000000000003,12.067499999999999
111/05/30,32876218.0,409114459.0,12.4,12.5,12.35,12.5,+0.20,6666.0,False,1.0,0.8932045500495005,0.793979241248552,12.219999999999999,12.105000000000004,12.054999999999998
111/05/31,22309478.0,275502164.0,12.5,12.5,12.3,12.3,-0.20,8502.0,False,0.7500000000000011,0.8454697000330006,0.8111427275100349,12.259999999999998,12.150000000000006,12.037499999999998
111/06/01,27895789.0,340343596.0,12.3,12.35,12.05,12.1,-0.20,6959.0,False,0.3846153846153844,0.6918515948937951,0.7713790166379549,12.259999999999998,12.150000000000006,12.009999999999998
111/06/02,16472827.0,198763179.0,12.05,12.15,12.0,12.1, 0.00,4959.0,False,0.3846153846153844,0.5894395248009916,0.7107325193589671,12.259999999999998,12.165000000000004,11.992499999999998
111/06/06,15867314.0,192942927.0,12.15,12.3,12.05,12.2,+0.10,3483.0,False,0.45454545454545403,0.5444748347158124,0.6553132911445821,12.239999999999998,12.185000000000006,11.994999999999997
111/06/07,11582012.0,140126913.0,12.2,12.2,12.05,12.1,-0.10,3320.0,False,0.27272727272727304,0.4538923140529659,0.5881729654473766,12.159999999999997,12.190000000000005,12.017499999999997
111/06/08,9036129.0,109812470.0,12.1,12.2,12.1,12.15,+0.05,2934.0,False,0.3000000000000007,0.4025948760353107,0.5263136023100213,12.129999999999999,12.195000000000004,12.029999999999998
111/06/09,10947740.0,133162651.0,12.15,12.25,12.1,12.2,+0.05,2547.0,False,0.3999999999999986,0.40172991735687336,0.4847857073256386,12.149999999999999,12.205000000000004,12.047499999999996
111/06/10,13620617.0,165160863.0,12.1,12.2,12.05,12.15,-0.05,2946.0,False,0.3000000000000007,0.3678199449045825,0.4457971198519533,12.159999999999998,12.210000000000004,12.084999999999997
