日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,13447632.0,184547669.0,13.85,14.0,13.7,13.7,-0.05,870.0,False,,,
111/03/02,2102354.0,28688789.0,13.7,13.75,13.6,13.65,-0.05,877.0,False,,,
111/03/03,1363553.0,18573963.0,13.7,13.75,13.55,13.6,-0.05,689.0,False,,,
111/03/04,2138715.0,28903406.0,13.55,13.6,13.45,13.45,-0.15,703.0,False,,,
111/03/07,4725563.0,62005911.0,13.3,13.4,12.95,13.1,-0.35,1374.0,False,,,
111/03/08,7809627.0,107375560.0,13.6,14.0,13.55,13.85,+0.75,2287.0,False,,,
111/03/09,5524750.0,77611711.0,14.05,14.2,13.95,14.0,+0.15,1797.0,False,,,
111/03/10,3772905.0,53870123.0,14.1,14.4,14.1,14.4,+0.40,1186.0,False,,,
111/03/11,2013791.0,28923229.0,14.3,14.45,14.2,14.45,+0.05,734.0,False,1.0,0.6666666666666666,0.5555555555555556
111/03/14,2850363.0,41395131.0,14.45,14.65,14.45,14.5,+0.05,908.0,False,0.9117647058823528,0.7483660130718953,0.6198257080610021
111/03/15,2521717.0,36627687.0,14.55,14.6,14.45,14.6,+0.10,886.0,False,0.9705882352941172,0.8224400871459693,0.6873638344226578
111/03/16,5221097.0,76878195.0,14.6,14.9,14.6,14.75,+0.15,1514.0,False,0.9230769230769228,0.8559856991229537,0.7435711226560897
111/03/17,4908386.0,73324194.0,14.9,15.1,14.8,14.85,+0.10,1599.0,False,0.8837209302325582,0.8652307761594885,0.7841243404905559
111/03/18,7030754.0,107231016.0,14.9,15.4,14.9,15.15,+0.30,2137.0,False,0.8648648648648648,0.8651088057279472,0.811119162236353
111/03/21,5141254.0,79687723.0,15.2,15.65,15.2,15.55,+0.40,1781.0,False,0.9411764705882356,0.8904646940147098,0.8375676728291386
111/03/22,4630114.0,72109692.0,15.55,15.75,15.4,15.7,+0.15,1352.0,False,0.9696969696969692,0.9168754525754632,0.8640035994112466
111/03/23,8004672.0,128932515.0,15.7,16.35,15.65,16.3,+0.60,2550.0,False,0.9767441860465114,0.9368316970658124,0.8882796319627684
111/03/24,5529455.0,90341647.0,16.3,16.5,16.15,16.3, 0.00,1890.0,False,0.9024390243902444,0.9253674728406228,0.9006422455887197
111/03/25,7179338.0,114405788.0,16.2,16.3,15.75,15.9,-0.40,2800.0,False,0.7073170731707321,0.8526840062839925,0.8846561658204772
111/03/28,4611504.0,73361398.0,15.75,16.2,15.55,16.15,+0.25,1535.0,False,0.8157894736842098,0.8403858287507315,0.8698993867972287
111/03/29,2470174.0,39847494.0,16.2,16.3,16.0,16.05,-0.10,1105.0,False,0.7352941176470591,0.8053552583828407,0.848384677325766
111/03/30,3660861.0,59669038.0,16.1,16.5,16.1,16.5,+0.45,1427.0,False,1.0,0.8702368389218937,0.8556687311911418
