日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,19243473.0,431820524.0,22.1,22.6,22.1,22.55,+0.45,4414.0,False,,,
111/03/02,16099859.0,365209186.0,22.5,22.85,22.4,22.85,+0.30,4289.0,False,,,
111/03/03,7411393.0,168805378.0,22.95,23.0,22.65,22.75,-0.10,3644.0,False,,,
111/03/04,11590539.0,262332616.0,22.55,22.75,22.4,22.7,-0.05,3730.0,False,,,
111/03/07,29114113.0,643566703.0,22.45,22.45,22.0,22.1,-0.60,10248.0,False,,,
111/03/08,26520705.0,580504340.0,21.65,22.1,21.65,21.95,-0.15,10010.0,False,,,
111/03/09,17550533.0,385242779.0,21.9,22.05,21.85,21.9,-0.05,5302.0,False,,,
111/03/10,14238403.0,316525593.0,22.05,22.45,21.85,22.45,+0.55,3283.0,False,,,
111/03/11,6870151.0,153863948.0,22.4,22.6,22.3,22.4,-0.05,2642.0,False,0.555555555555555,0.5185185185185184,0.5061728395061728
111/03/14,8398067.0,188405895.0,22.35,22.5,22.35,22.5,+0.10,2396.0,False,0.62962962962963,0.5555555555555556,0.522633744855967
111/03/15,8691185.0,194823535.0,22.5,22.5,22.25,22.5, 0.00,3448.0,False,0.62962962962963,0.580246913580247,0.541838134430727
111/03/16,14804439.0,336492714.0,22.55,22.9,22.55,22.9,+0.40,4140.0,False,1.0,0.7201646090534979,0.6012802926383173
111/03/17,22520913.0,522061354.0,23.2,23.45,23.0,23.15,+0.25,5808.0,False,0.833333333333333,0.7578875171467763,0.6534827008078036
111/03/18,20159555.0,470133809.0,23.3,23.5,23.15,23.3,+0.15,4399.0,False,0.8918918918918923,0.802555642061815,0.7031736812258074
111/03/21,9384418.0,218316170.0,23.3,23.3,23.2,23.25,-0.05,4846.0,False,0.8484848484848484,0.8178653775361594,0.7414042466625913
111/03/22,7315756.0,170040804.0,23.25,23.35,23.1,23.35,+0.10,2611.0,False,0.9090909090909098,0.8482738880544094,0.7770274604598639
111/03/23,15830467.0,373628827.0,23.4,23.8,23.4,23.8,+0.45,5348.0,False,1.0,0.8988492587029395,0.8176347265408891
111/03/24,11323504.0,268516818.0,23.65,23.8,23.55,23.8, 0.00,3684.0,False,1.0,0.9325661724686264,0.8559452085168014
