日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,23250543.0,885087745.0,37.55,38.2,37.45,38.2,+0.60,9471.0,False,,,
111/03/02,16225405.0,616631395.0,38.15,38.15,37.8,38.1,-0.10,6921.0,False,,,
111/03/03,11757496.0,447293545.0,38.1,38.15,37.95,38.1, 0.00,6554.0,False,,,
111/03/04,15225056.0,576155007.0,38.0,38.0,37.5,38.0,-0.10,6452.0,False,,,
111/03/07,35148992.0,1313243773.0,37.5,37.65,37.0,37.65,-0.35,16575.0,False,,,
111/03/08,28001182.0,1048488565.0,37.5,37.8,37.3,37.35,-0.30,16147.0,False,,,
111/03/09,16063085.0,603345052.0,37.5,37.95,37.4,37.4,+0.05,9278.0,False,,,
111/03/10,17080838.0,648540019.0,37.5,38.25,37.5,38.25,+0.85,8932.0,False,,,
111/03/11,7994368.0,303832808.0,38.0,38.2,37.8,37.95,-0.30,6980.0,False,0.7600000000000022,0.5866666666666673,0.5288888888888891
111/03/14,15848347.0,607631783.0,38.0,38.5,38.0,38.5,+0.55,6542.0,False,1.0,0.7244444444444449,0.5940740740740743
111/03/15,15187136.0,584834279.0,38.5,38.7,38.3,38.6,+0.10,7695.0,False,0.9411764705882344,0.7966884531590415,0.66161220043573
111/03/16,39156099.0,1528408319.0,38.75,39.5,38.5,39.5,+0.90,13781.0,False,1.0,0.8644589687726942,0.7292277898813847
111/03/17,31346313.0,1255019927.0,40.4,40.6,39.55,40.05,+0.55,14117.0,False,0.8472222222222211,0.8587133865892032,0.7723896554506575
111/03/18,39172747.0,1585717418.0,40.4,40.8,40.15,40.45,+0.40,12606.0,False,0.9000000000000016,0.8724755910594693,0.8057516339869281
111/03/21,15151869.0,614383332.0,40.45,40.6,40.45,40.6,+0.15,7863.0,False,0.9411764705882364,0.8953758842357249,0.8356263840698602
111/03/22,18567388.0,760057718.0,40.5,41.15,40.45,41.15,+0.55,8913.0,False,1.0,0.9302505894904832,0.8671677858767344
111/03/23,32926714.0,1383912326.0,41.2,42.45,41.2,42.35,+1.20,16748.0,False,0.9784946236559136,0.9463319342122932,0.8935558353219206
111/03/24,14573262.0,615606129.0,42.2,42.5,41.85,42.25,-0.10,11967.0,False,0.9444444444444444,0.9457027709563436,0.9109381472000616
111/03/25,29546160.0,1240281797.0,42.1,42.45,41.5,42.2,-0.05,14952.0,False,0.9285714285714292,0.9399923234947054,0.9206228726316094
111/03/28,21860247.0,918508668.0,41.7,42.5,41.6,42.4,+0.20,13205.0,False,0.9749999999999996,0.9516615489964699,0.9309690980865628
111/03/29,10416789.0,438594978.0,42.3,42.35,42.0,42.0,-0.40,7222.0,False,0.8305084745762713,0.9112771908564036,0.9244051290098432
111/03/30,20706180.0,872514064.0,42.2,42.4,41.75,42.25,+0.25,11546.0,False,0.8936170212765958,0.9053904676631344,0.91806690856094
111/03/31,22927133.0,980006841.0,42.3,43.0,42.15,42.9,+0.65,8648.0,False,0.9607843137254896,0.9238550830172528,0.9199963000463776
111/04/01,20463463.0,878900055.0,42.75,43.2,42.55,43.1,+0.20,8614.0,False,0.9636363636363632,0.9371155098902896,0.9257027033276816
111/04/06,28287940.0,1231226117.0,43.2,44.05,42.8,44.05,+0.95,17664.0,False,1.0,0.9580770065935262,0.9364941377496296
111/04/07,52118307.0,2323714918.0,44.2,45.4,43.9,44.1,+0.05,27025.0,False,0.6666666666666673,0.8609402266179066,0.911309500705722
111/04/08,19140155.0,845467581.0,44.15,44.45,43.75,44.35,+0.25,12685.0,False,0.7307692307692314,0.8175498946683482,0.880056298693264
111/04/11,22658562.0,1008977946.0,44.4,44.85,44.1,44.65,+0.30,13448.0,False,0.8026315789473683,0.8125771227613549,0.8575632400492943
111/04/12,16141869.0,717377554.0,44.6,44.65,44.15,44.45,-0.20,10685.0,False,0.7397260273972613,0.7882934243066569,0.8344733014684151
111/04/13,20559894.0,920611995.0,44.5,45.0,44.3,44.95,+0.50,9317.0,False,0.8767123287671245,0.8177663924601462,0.8289043317989921
111/04/14,35058370.0,1526203053.0,45.05,45.1,42.95,43.1,-1.85,27542.0,False,0.2923076923076932,0.6426134924093285,0.7668073853357709
111/04/15,25973953.0,1116156989.0,42.9,43.75,42.4,42.85,-0.25,11379.0,False,0.15000000000000094,0.4784089949395526,0.6706745885370313
111/04/18,38133358.0,1592744987.0,42.6,42.65,41.2,41.9,-0.95,21500.0,False,0.16666666666666582,0.37449488551525706,0.5719480208631065
111/04/19,24194733.0,1008480938.0,41.95,42.3,41.35,41.5,-0.40,15428.0,False,0.07142857142857083,0.2734727808196949,0.4724562741819692
111/04/20,31041549.0,1282225720.0,41.55,42.0,41.0,41.75,+0.25,13722.0,False,0.18292682926829265,0.2432907969692275,0.396067781777722
111/04/21,28793653.0,1180921901.0,41.7,41.7,40.7,41.0,-0.75,15954.0,False,0.06818181818181755,0.18492113737342414,0.32568556697628936
111/04/22,26380602.0,1087893616.0,40.7,41.55,40.65,41.55,+0.55,10403.0,False,0.2022471910112355,0.19069648858602795,0.28068920751286885
111/04/25,27399621.0,1133539469.0,41.15,41.8,41.0,41.55, 0.00,11914.0,False,0.2022471910112355,0.1945467227277638,0.2519750459178338
111/04/26,20917324.0,875013920.0,41.7,42.0,41.35,41.95,+0.40,9638.0,False,0.2921348314606749,0.2270760923054008,0.2436753947136895
111/04/27,22327522.0,931422662.0,41.55,41.95,41.55,41.6,-0.35,10613.0,False,0.3064516129032266,0.25353459917134274,0.2469617961995739
111/04/28,25419914.0,1042390904.0,41.5,41.75,40.8,41.0,-0.60,11848.0,False,0.1750000000000007,0.2273563994475621,0.24042666394890325
111/04/29,17751309.0,733889993.0,41.0,41.8,40.9,41.6,+0.60,6707.0,False,0.575757575757578,0.34349012488423397,0.27478115092734684
111/05/03,10961243.0,449335796.0,41.4,41.4,40.8,40.85,-0.75,8403.0,False,0.1481481481481501,0.27837613263887273,0.2759794781645221
111/05/04,13718703.0,559728078.0,41.3,41.3,40.6,40.85, 0.00,7460.0,False,0.17857142857142874,0.2451078979497247,0.2656889514262563
111/05/05,33688651.0,1348957542.0,41.1,41.15,39.55,39.85,-1.00,20270.0,False,0.12244897959183833,0.2042215918304293,0.24519983156098066
111/05/06,31832438.0,1245413727.0,38.85,39.5,38.6,39.35,-0.50,14463.0,False,0.22058823529411767,0.20967713965165874,0.2333589342578733
111/05/09,30986843.0,1184149778.0,38.55,38.9,38.0,38.0,-1.35,16388.0,False,0.0,0.1397847597677725,0.20216754276117305
111/05/10,30917401.0,1175970092.0,37.6,38.45,37.3,38.2,+0.20,11328.0,False,0.1935483870967752,0.15770596887744004,0.187347018133262
111/05/11,24105950.0,919989581.0,38.0,38.35,37.9,38.35,+0.15,9846.0,False,0.2333333333333343,0.18291509036273806,0.1858697088764207
111/05/12,32479369.0,1211839914.0,37.95,38.0,36.75,37.0,-1.35,17582.0,False,0.049504950495049535,0.13844504374017524,0.1700614871643389
111/05/13,29684733.0,1092254331.0,37.0,37.2,36.3,36.95,-0.05,13967.0,False,0.12745098039215794,0.1347803559575028,0.1583011100953935
111/05/16,24792170.0,908198153.0,37.05,37.2,36.25,36.9,-0.05,14270.0,False,0.1287128712871285,0.13275786106737802,0.14978669375272166
111/05/17,21459713.0,783508023.0,36.75,36.8,36.4,36.45,-0.45,10643.0,False,0.04081632653061284,0.10211068288845628,0.13389469013129987
111/05/18,25021243.0,926729438.0,36.45,37.6,36.45,37.5,+1.05,10451.0,False,0.38461538461538464,0.1962789167974324,0.15468943235334404
111/05/19,22824843.0,836926035.0,36.9,36.95,36.5,36.6,-0.90,10620.0,False,0.13207547169811382,0.17487776843099284,0.1614188777125603
111/05/20,22050666.0,814709963.0,36.8,37.3,36.55,37.1,+0.50,7631.0,False,0.3863636363636365,0.2453730577418741,0.18940360438899825
111/05/23,21150866.0,786910839.0,37.2,37.7,36.65,37.2,+0.10,7368.0,False,0.4523809523809534,0.31437568928823384,0.2310609660220768
111/05/24,16444052.0,614770149.0,37.3,37.8,37.1,37.2, 0.00,6478.0,False,0.5428571428571445,0.390536173811204,0.2842193686184525
111/05/25,20127905.0,752608772.0,37.3,37.65,37.0,37.6,+0.40,7956.0,False,0.8709677419354864,0.5506800298526315,0.3730395890298455
111/05/26,17814969.0,667010484.0,37.65,37.7,37.25,37.3,-0.30,8127.0,False,0.6774193548387091,0.5929264715146574,0.4463352165247828
111/05/27,18461103.0,697502250.0,37.5,38.05,37.3,37.95,+0.65,6496.0,False,0.9393939393939428,0.7084156274744191,0.5336953535079949
111/05/30,25770933.0,985288616.0,38.2,38.5,37.8,38.45,+0.50,10564.0,False,0.9756097560975624,0.7974803370154668,0.6216236813438188
111/05/31,48316251.0,1857840025.0,38.4,38.75,37.8,38.75,+0.30,10366.0,False,1.0,0.8649868913436445,0.7027447513437607
111/06/01,16407833.0,628958364.0,38.7,38.7,38.15,38.2,-0.55,6896.0,False,0.7500000000000017,0.8266579275624302,0.7440491434166505
111/06/02,17612302.0,667807434.0,37.95,38.15,37.6,37.9,-0.30,7865.0,False,0.5952380952380948,0.7495179834543183,0.7458720900958731
111/06/06,25997968.0,973714466.0,37.3,38.0,37.0,37.8,-0.10,11236.0,False,0.4571428571428555,0.6520596080171639,0.7146012627363034
111/06/07,18250795.0,686194421.0,37.45,37.75,37.35,37.7,-0.10,5870.0,False,0.4000000000000016,0.5680397386781099,0.6657474213835722
111/06/08,11197987.0,421663441.0,37.8,37.85,37.55,37.7, 0.00,5630.0,False,0.4000000000000016,0.5120264924520738,0.6145071117397394
111/06/09,20533024.0,763121216.0,37.5,37.5,37.05,37.15,-0.55,8620.0,False,0.0857142857142849,0.3699224235394775,0.5329788823396521
111/06/10,16793479.0,621042273.0,36.8,37.15,36.65,37.1,-0.05,6400.0,False,0.2142857142857155,0.3180435204548901,0.4613337617113981
111/06/13,32556143.0,1178215108.0,36.3,36.5,35.8,36.5,-0.60,15179.0,False,0.2372881355932211,0.2911250588343338,0.4045975274190433
111/06/14,16816898.0,616945824.0,36.3,37.0,36.2,36.9,+0.40,6642.0,False,0.379310344827586,0.32052015416541785,0.3765717363345015
111/06/15,28237354.0,1022956673.0,36.35,36.4,36.0,36.2,-0.70,15399.0,False,0.17021276595744916,0.2704176914294283,0.3411870546994771
111/06/16,22161331.0,805214947.0,36.5,36.85,36.1,36.15,-0.05,8509.0,False,0.15909090909090953,0.2333087639832553,0.3052276244607365
111/06/17,66943126.0,2367554775.0,35.85,36.0,35.05,35.3,-0.85,19315.0,False,0.08928571428571415,0.1853010807507416,0.26525210989073816
111/06/20,52630520.0,1841116702.0,35.3,35.8,34.6,34.6,-0.70,14252.0,False,0.0,0.12353405383382772,0.218012757871768
111/06/21,52370330.0,1867851046.0,35.15,36.1,35.0,35.6,+1.00,12458.0,False,0.34482758620689674,0.19729856462485074,0.21110802678946225
111/06/22,45457987.0,1608012064.0,35.6,36.0,35.05,35.4,-0.20,15719.0,False,0.31372549019607765,0.2361075398152597,0.2194411977980613
111/06/23,39043684.0,1384198992.0,36.05,36.35,35.1,35.35,-0.05,12884.0,False,0.31250000000000017,0.26157169321017315,0.2334846962687653
111/06/24,20312793.0,735061174.0,36.25,36.5,35.85,36.15,+0.80,9897.0,False,0.6458333333333325,0.3896589065845596,0.28554276637403003
111/06/27,16853771.0,613773385.0,36.6,36.7,36.2,36.2,+0.05,9471.0,False,0.7111111111111117,0.4968096414267436,0.35596505805826784
111/06/28,11015575.0,400215598.0,36.45,36.5,36.2,36.35,+0.15,3843.0,False,0.7777777777777778,0.5904656868770883,0.43413193433120795
111/06/29,19589697.0,701463568.0,35.8,36.1,35.55,35.7,-0.65,8655.0,False,0.5238095238095242,0.5682469658545669,0.4788369448389943
111/06/30,20399329.0,721785064.0,35.5,35.7,35.2,35.3,-0.40,6630.0,False,0.3333333333333311,0.4899424216808216,0.4825387704529367
111/07/01,17825004.0,629731394.0,35.3,35.55,35.1,35.25,-0.05,7666.0,False,0.14705882352941152,0.3756478889636849,0.4469084766231861
111/07/04,17602416.0,627592946.0,35.5,36.0,35.4,35.75,+0.50,6963.0,False,0.4242424242424245,0.3918460673899314,0.4285543402121012
111/07/05,10394647.0,371633447.0,36.0,36.2,35.5,35.55,-0.20,6621.0,False,0.2812499999999971,0.3549807115932866,0.4040297973391629
111/07/06,14084442.0,496445484.0,35.75,35.8,35.1,35.2,-0.35,6097.0,False,0.06250000000000082,0.2574871410621913,0.35518224524683906
111/07/07,12942771.0,454483307.0,35.25,35.4,34.8,35.15,-0.05,5608.0,False,0.18421052631578969,0.23306160281339075,0.3144753644356896
111/07/08,7995777.0,281021191.0,35.25,35.4,35.0,35.05,-0.10,4533.0,False,0.14705882352941152,0.20439400971873087,0.2777815795300367
111/07/11,12136581.0,418161560.0,34.9,34.95,34.3,34.3,-0.75,8124.0,False,0.0,0.13626267314582066,0.23060861073529804
111/07/12,14584247.0,488525809.0,33.9,33.95,33.35,33.45,-0.85,8766.0,False,0.0350877192982461,0.10253768852996244,0.18791830333351944
111/07/13,23678693.0,823080682.0,34.3,35.25,34.2,34.85,+1.40,9305.0,False,0.526315789473684,0.2437970555112029,0.20654455405941394
111/07/14,9732007.0,337883389.0,34.8,35.0,34.5,34.55,-0.30,7107.0,False,0.4210526315789457,0.30288224753378384,0.2386571185508705
111/07/15,13481926.0,458940900.0,34.3,34.4,33.9,33.9,-0.65,8681.0,False,0.19298245614034976,0.2662489837359725,0.2478544069459045
111/07/18,14783475.0,503933898.0,33.9,34.4,33.7,34.15,+0.25,6995.0,False,0.3265306122448974,0.2863428599056141,0.2606838912658077
111/07/19,7890960.0,269698495.0,34.0,34.35,33.9,34.15, 0.00,5339.0,False,0.3902439024390236,0.32097654075008386,0.2807814410938997
111/07/20,15924102.0,546507232.0,34.35,34.75,34.0,34.15, 0.00,9376.0,False,0.3902439024390236,0.3440656613130637,0.3018761811669544
111/07/21,9585031.0,328171707.0,34.0,34.45,33.85,34.45,+0.30,4975.0,False,0.5789473684210538,0.4223595636823937,0.3420373086721008
