日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,242953744.0,2641084066.0,10.95,11.0,10.7,10.95,-0.30,37086.0,False,,,
111/03/02,189743366.0,2026360836.0,10.75,10.8,10.55,10.7,-0.25,27633.0,False,,,
111/03/03,91527839.0,987780949.0,10.75,10.85,10.75,10.8,+0.10,13278.0,False,,,
111/03/04,100337619.0,1063654106.0,10.65,10.7,10.55,10.55,-0.25,19129.0,False,,,
111/03/07,209962189.0,2106748824.0,10.2,10.25,9.98,10.0,-0.55,41754.0,False,,,
111/03/08,134261858.0,1330261310.0,9.88,9.99,9.81,9.86,-0.14,28549.0,False,,,
111/03/09,100939397.0,998251489.0,9.86,9.95,9.86,9.87,+0.01,18594.0,False,,,
111/03/10,77773468.0,785611502.0,10.0,10.2,10.0,10.15,+0.28,12043.0,False,,,
111/03/11,54562281.0,546751574.0,10.0,10.15,9.99,10.05,-0.10,9526.0,False,0.20168067226890785,0.4005602240896359,0.4668534080298786
111/03/14,38491228.0,387346757.0,10.1,10.15,10.0,10.05, 0.00,5865.0,False,0.2307692307692312,0.3439632263161677,0.42589001412530825
111/03/15,81666460.0,819742204.0,10.05,10.15,10.0,10.1,+0.05,8718.0,False,0.27884615384615324,0.3222575354928295,0.3913458545811487
111/03/16,59178056.0,601381248.0,10.15,10.25,10.1,10.2,+0.10,9907.0,False,0.4382022471910105,0.3609057727255565,0.3811991606292846
111/03/17,71921327.0,744265567.0,10.3,10.4,10.3,10.35,+0.15,10801.0,False,0.9152542372881344,0.5456885942464158,0.43602897183499495
111/03/18,139242939.0,1462954126.0,10.4,10.6,10.35,10.6,+0.25,14486.0,False,1.0,0.6971257294976105,0.5230612243892001
111/03/21,70128960.0,744319399.0,10.65,10.75,10.55,10.65,+0.05,10911.0,False,0.8876404494382027,0.7606306361444746,0.6022510283076249
111/03/22,33282200.0,351769383.0,10.6,10.65,10.5,10.6,-0.05,5745.0,False,0.8026315789473679,0.7746309504121056,0.6597110023424517
111/03/23,102730651.0,1109925160.0,10.75,10.95,10.7,10.9,+0.30,17762.0,False,0.9479166666666676,0.8323928558302929,0.7172716201717321
111/03/24,42535069.0,459598767.0,10.8,10.85,10.75,10.85,-0.05,7670.0,False,0.8947368421052635,0.8531741845886163,0.7625724749773601
111/03/25,63268751.0,676363575.0,10.9,10.9,10.6,10.65,-0.20,10419.0,False,0.6842105263157904,0.7968529651643409,0.7739993050396871
111/03/28,47973190.0,507724133.0,10.6,10.7,10.45,10.7,+0.05,6474.0,False,0.7058823529411763,0.7665294277566194,0.7715093459453312
111/03/29,67831785.0,720329925.0,10.7,10.75,10.6,10.6,-0.10,8125.0,False,0.4615384615384609,0.6648657723505665,0.7359614880804095
111/03/30,54532000.0,586862786.0,10.7,10.8,10.65,10.75,+0.15,9565.0,False,0.6666666666666676,0.6654660704559335,0.7124630155389176
111/03/31,119095037.0,1293120994.0,10.8,10.95,10.7,10.8,+0.05,14199.0,False,0.7000000000000028,0.6769773803039566,0.7006344704605972
111/04/01,278320577.0,3118085247.0,10.85,11.4,10.8,11.25,+0.45,42523.0,False,0.8421052631578946,0.7320200079219359,0.7110963162810434
