日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,3002804.0,47681130.0,15.8,15.95,15.8,15.9,+0.10,1486.0,False,,,
111/03/02,2802455.0,44557681.0,15.9,15.95,15.85,15.9, 0.00,1473.0,False,,,
111/03/03,1901224.0,30304091.0,16.0,16.0,15.9,15.95,+0.05,944.0,False,,,
111/03/04,3033483.0,48166565.0,15.9,15.95,15.8,15.85,-0.10,1296.0,False,,,
111/03/07,9553830.0,149669243.0,15.8,15.8,15.6,15.65,-0.20,5081.0,False,,,
111/03/08,15966441.0,242966577.0,15.45,15.5,15.0,15.05,-0.60,9170.0,False,,,
111/03/09,13989309.0,207137932.0,15.05,15.1,14.7,14.8,-0.25,8197.0,False,,,
111/03/10,5868373.0,87738431.0,14.8,15.05,14.8,15.0,+0.20,3233.0,False,,,
111/03/11,3116923.0,46567708.0,15.0,15.0,14.9,14.9,-0.10,1992.0,False,0.15384615384615458,0.3846153846153849,0.4615384615384616
111/03/14,4085351.0,61489781.0,14.95,15.1,14.9,15.05,+0.15,1694.0,False,0.26923076923077016,0.3461538461538466,0.4230769230769232
111/03/15,18257444.0,287234956.0,15.6,15.9,15.5,15.85,+0.80,6642.0,False,0.8846153846153844,0.5256410256410258,0.4572649572649574
111/03/16,7457293.0,118301127.0,15.85,15.9,15.8,15.9,+0.05,3200.0,False,0.9600000000000009,0.6704273504273508,0.5283190883190885
111/03/17,8797534.0,141237021.0,16.0,16.1,15.95,16.1,+0.20,2780.0,False,1.0,0.7802849002849005,0.6123076923076924
111/03/18,11563888.0,188831129.0,16.15,16.5,16.15,16.3,+0.20,4096.0,False,0.8888888888888893,0.8164862298195633,0.6803672048116494
111/03/21,6086076.0,99532840.0,16.3,16.45,16.3,16.35,+0.05,2679.0,False,0.9166666666666676,0.849879708768598,0.7368713727972989
111/03/22,3570010.0,58201317.0,16.35,16.35,16.2,16.35, 0.00,1943.0,False,0.9117647058823536,0.8705080411398498,0.7814169289114825
111/03/23,10178606.0,167467690.0,16.35,16.5,16.35,16.5,+0.15,3479.0,False,1.0,0.9136720274265664,0.8255019617498438
111/03/24,5028207.0,82779304.0,16.5,16.5,16.4,16.5, 0.00,2256.0,False,1.0,0.9424480182843776,0.8644839805946883
111/03/25,5309991.0,87374877.0,16.5,16.55,16.4,16.45,-0.05,2201.0,False,0.9047619047619034,0.9298859804435528,0.8862846472109764
111/03/28,4494818.0,73583531.0,16.45,16.45,16.25,16.4,-0.05,1909.0,False,0.7999999999999972,0.8865906536290342,0.8863866493503291
111/03/29,5171491.0,85146551.0,16.4,16.5,16.4,16.5,+0.10,2041.0,False,0.9166666666666656,0.8966159913082445,0.8897964300029674
111/03/30,6429981.0,106504762.0,16.55,16.6,16.5,16.55,+0.05,2488.0,False,0.8888888888888881,0.8940402905017923,0.8912110501692423
111/03/31,11633408.0,194292201.0,16.55,16.85,16.5,16.75,+0.20,3935.0,False,0.8461538461538445,0.8780781423858097,0.8868334142414314
111/04/01,6496257.0,109338215.0,16.75,16.9,16.6,16.9,+0.15,4516.0,False,1.0,0.9187187615905396,0.8974618633578008
111/04/06,12487277.0,212786381.0,16.9,17.25,16.75,17.2,+0.30,4417.0,False,0.9499999999999992,0.9291458410603596,0.9080231892586536
111/04/07,15066845.0,258148183.0,17.2,17.35,16.9,16.9,-0.30,5730.0,False,0.5909090909090888,0.8164002576766025,0.8774822120646365
111/04/08,5052224.0,85975276.0,17.1,17.1,16.9,17.1,+0.20,2162.0,False,0.7727272727272729,0.801842596026826,0.8522690067186995
111/04/11,20375276.0,338382044.0,16.8,16.85,16.4,16.5,-0.60,9056.0,False,0.22727272727272704,0.6103193064421263,0.7716191066265083
111/04/12,7370477.0,120254172.0,16.35,16.4,16.2,16.4,-0.10,3231.0,False,0.17391304347825992,0.4648505521208375,0.6693629217912846
111/04/13,6059397.0,98962286.0,16.35,16.45,16.25,16.4, 0.00,2706.0,False,0.17391304347825992,0.3678713825733117,0.5688657420519603
111/04/14,5263472.0,85547552.0,16.4,16.4,16.2,16.25,-0.15,2450.0,False,0.043478260869565764,0.2597403420053964,0.465823942036439
111/04/15,3517448.0,57057544.0,16.2,16.35,16.15,16.2,-0.05,1692.0,False,0.04166666666666717,0.18704911689248666,0.3728990003217881
111/04/18,7476814.0,119746670.0,16.15,16.15,15.95,16.05,-0.15,3526.0,False,0.07142857142857234,0.14850893507118185,0.29810231190491937
111/04/19,4263767.0,68656411.0,16.05,16.2,16.0,16.1,+0.05,2115.0,False,0.1071428571428585,0.13472024242840738,0.2436416220794153
111/04/20,3460338.0,55624734.0,16.15,16.15,16.0,16.1, 0.00,1886.0,False,0.13043478260869726,0.13329175582183733,0.20685833332688933
111/04/21,2663559.0,42963876.0,16.1,16.2,16.1,16.15,+0.05,1211.0,False,0.2222222222222209,0.16293524462196518,0.1922173037585813
111/04/22,3204318.0,51789014.0,16.1,16.25,16.05,16.2,+0.05,1604.0,False,0.5,0.2752901630813101,0.2199082568661575
111/04/25,8094068.0,129211105.0,16.0,16.05,15.9,16.0,-0.20,2521.0,False,0.18181818181818152,0.24413283599360056,0.2279831165753052
111/04/26,4375283.0,70166675.0,16.0,16.1,16.0,16.0, 0.00,1661.0,False,0.2,0.2294218906624004,0.2284627079376702
111/04/27,6810740.0,108434761.0,15.95,16.0,15.85,15.95,-0.05,2578.0,False,0.1999999999999985,0.2196145937749331,0.22551333655009115
111/04/28,3644451.0,58178177.0,15.95,16.05,15.9,16.05,+0.10,1329.0,False,0.5000000000000022,0.3130763958499561,0.2547010229833795
111/04/29,2840258.0,45578861.0,16.1,16.1,16.0,16.05, 0.00,1255.0,False,0.5000000000000022,0.3753842638999715,0.2949287699555768
111/05/03,2245119.0,35905572.0,16.05,16.05,15.95,16.0,-0.05,985.0,False,0.37500000000000056,0.3752561759333145,0.32170457194815605
111/05/04,2296873.0,36731838.0,16.05,16.05,15.95,15.95,-0.05,1038.0,False,0.2499999999999989,0.33350411728887586,0.32563775372839593
