日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,22640540.0,389170771.0,16.9,17.3,16.9,17.2,+0.10,6321.0,False,,,,,,
111/03/02,19942275.0,344555284.0,17.15,17.4,17.1,17.4,+0.20,5102.0,False,,,,,,
111/03/03,12280256.0,214035529.0,17.4,17.5,17.3,17.5,+0.10,4550.0,False,,,,,,
111/03/04,23790818.0,408309967.0,17.35,17.35,17.05,17.1,-0.40,10288.0,False,,,,,,
111/03/07,36743810.0,613095222.0,16.85,16.9,16.5,16.8,-0.30,12568.0,False,,,,17.199999999999996,,
111/03/08,44034462.0,726323564.0,16.6,16.75,16.3,16.4,-0.40,14201.0,False,,,,17.039999999999996,,
111/03/09,27569661.0,452560170.0,16.45,16.65,16.4,16.4, 0.00,9341.0,False,,,,16.839999999999993,,
111/03/10,17941928.0,302962593.0,16.65,17.0,16.6,16.9,+0.50,5267.0,False,,,,16.71999999999999,,
111/03/11,11114843.0,188136950.0,16.9,17.1,16.8,16.9, 0.00,7196.0,False,0.4999999999999985,0.4999999999999994,0.4999999999999998,16.679999999999996,,
111/03/14,13426127.0,228075133.0,16.9,17.1,16.9,17.0,+0.10,3782.0,False,0.583333333333333,0.5277777777777772,0.5092592592592589,16.719999999999995,16.96,
111/03/15,12819600.0,217207650.0,17.0,17.05,16.85,17.0, 0.00,4525.0,False,0.583333333333333,0.5462962962962958,0.5216049382716045,16.839999999999996,16.94,
111/03/16,18159573.0,309110497.0,17.0,17.1,16.9,17.1,+0.10,5011.0,False,0.7619047619047621,0.6181657848324512,0.5537918871252201,16.979999999999997,16.91,
111/03/17,28220301.0,489428813.0,17.35,17.5,17.15,17.4,+0.30,7009.0,False,0.9166666666666654,0.7176660787771892,0.6084166176758765,17.079999999999995,16.9,
111/03/18,41402348.0,720719255.0,17.45,17.7,17.3,17.3,-0.10,12821.0,False,0.714285714285715,0.7165392906133645,0.6444575086550391,17.159999999999997,16.92,
