日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,91747334.0,2519763275.0,27.0,27.8,26.95,27.75,+0.60,17824.0,False,,,,,,
111/03/02,42611975.0,1184830264.0,27.55,27.95,27.5,27.95,+0.20,12155.0,False,,,,,,
111/03/03,41880993.0,1170909743.0,28.0,28.1,27.8,27.95, 0.00,7981.0,False,,,,,,
111/03/04,56960709.0,1560558841.0,27.6,27.7,27.25,27.35,-0.60,15699.0,False,,,,,,
111/03/07,103281342.0,2705312602.0,26.9,26.9,25.9,26.25,-1.10,34131.0,False,,,,27.45,,
111/03/08,74694575.0,1923145190.0,25.85,26.05,25.6,25.6,-0.65,26895.0,False,,,,27.02,,
111/03/09,52928940.0,1370884446.0,25.7,26.2,25.7,25.75,+0.15,19065.0,False,,,,26.580000000000002,,
111/03/10,42540524.0,1134177655.0,26.35,26.9,26.25,26.8,+1.05,11655.0,False,,,,26.350000000000005,,
111/03/11,24513782.0,650939019.0,26.55,26.75,26.4,26.5,-0.30,8915.0,False,0.35999999999999943,0.4533333333333331,0.4844444444444443,26.180000000000007,,
111/03/14,27309626.0,731084601.0,26.65,26.95,26.5,26.8,+0.30,8374.0,False,0.4799999999999997,0.46222222222222203,0.4770370370370369,26.29000000000001,26.869999999999997,
111/03/15,34763568.0,925956661.0,26.65,26.9,26.5,26.6,-0.20,8521.0,False,0.4,0.4414814814814813,0.465185185185185,26.49000000000001,26.755000000000003,
111/03/16,35953055.0,966010937.0,26.9,27.15,26.7,26.95,+0.35,9446.0,False,0.6428571428571425,0.5086067019400349,0.4796590241034683,26.730000000000008,26.655,
111/03/17,62511421.0,1727844674.0,27.9,28.15,27.25,27.6,+0.65,15793.0,False,0.7843137254901971,0.6005090431234222,0.5199423637767863,26.890000000000004,26.620000000000005,
111/03/18,100552292.0,2842679576.0,28.35,28.6,28.0,28.15,+0.55,21477.0,False,0.8499999999999991,0.6836726954156145,0.574519140989729,27.220000000000006,26.7,
111/03/21,49516986.0,1403804948.0,28.45,28.5,28.1,28.3,+0.15,12861.0,False,0.8965517241379308,0.7546323716563865,0.6345568845452815,27.520000000000003,26.905,
111/03/22,39078070.0,1110200046.0,28.35,28.55,28.15,28.55,+0.25,10528.0,False,0.9787234042553188,0.8293293825226973,0.6994810505377533,27.910000000000007,27.2,
111/03/23,64389856.0,1866121316.0,28.6,29.2,28.55,29.2,+0.65,19215.0,False,1.0,0.8862195883484647,0.7617272298079905,28.360000000000007,27.544999999999998,
