日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,8730616.0,4133731034.0,469.0,481.0,463.5,481.0,+24.50,9371.0,False,,,,,,
111/03/02,4648053.0,2210131305.0,473.0,480.0,471.0,477.0,-4.00,5669.0,False,,,,,,
111/03/03,4714086.0,2267880464.0,482.5,485.5,475.0,480.0,+3.00,5773.0,False,,,,,,
111/03/04,2938975.0,1398149928.0,475.0,480.0,473.5,474.0,-6.00,4042.0,False,,,,,,
111/03/07,5988840.0,2744966185.0,468.0,468.0,452.0,456.5,-17.50,8890.0,False,,,,,,
111/03/08,5932308.0,2689193264.0,450.0,462.0,448.5,452.5,-4.00,6658.0,False,,,,,,
111/03/09,3448982.0,1567876877.0,456.0,459.0,452.0,452.5, 0.00,4202.0,False,,,,,,
111/03/10,4118555.0,1914116651.0,462.0,468.0,459.0,468.0,+15.50,4465.0,False,,,,,,
111/03/11,3808975.0,1773961756.0,461.0,472.0,460.0,466.5,-1.50,3883.0,False,0.4864864864864865,0.4954954954954955,0.4984984984984985,,,
111/03/14,3446206.0,1601099253.0,469.5,472.5,460.5,463.0,-3.50,4028.0,False,0.3918918918918919,0.460960960960961,0.4859859859859859,,,
111/03/15,4323834.0,1965108947.0,465.0,465.5,450.0,451.5,-11.50,6377.0,False,0.08108108108108109,0.3343343343343343,0.43543543543543534,,,
111/03/16,4905046.0,2213503395.0,457.0,457.5,445.0,452.5,+1.00,5578.0,False,0.21428571428571427,0.2943181276514609,0.3883963328407771,,,
111/03/17,6443997.0,3000347596.0,462.5,469.0,461.5,467.0,+14.50,6159.0,False,0.8,0.4628787517676406,0.4132238058163982,,,
111/03/18,7375902.0,3391651735.0,468.0,468.5,454.0,456.5,-10.50,7452.0,False,0.41818181818181815,0.44797977390569976,0.424809128512832,,,
111/03/21,6572772.0,2967368998.0,454.5,458.0,448.5,450.5,-6.00,9713.0,False,0.2,0.3653198492704665,0.4049793687653768,,,
111/03/22,10554534.0,4617451474.0,445.0,446.0,431.5,434.5,-16.00,19279.0,False,0.07317073170731707,0.26793681008275,0.3592985158711678,,,
111/03/23,5343832.0,2359200606.0,442.5,445.0,436.5,445.0,+10.50,6246.0,False,0.32926829268292684,0.28838063761614224,0.3356592231194926,,,
111/03/24,6891033.0,2993278455.0,440.0,442.0,432.0,434.5,-10.50,13520.0,False,0.07317073170731707,0.2166440023132005,0.2959874828507285,,,
111/03/25,3901299.0,1708805479.0,436.5,442.0,435.5,435.5,+1.00,4663.0,False,0.10666666666666667,0.17998489043102256,0.25731995204415986,,,
