日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,68851401.0,19639489346.0,279.5,299.5,279.5,299.5,+27.00,44024.0,False,,,,,,
111/03/02,68348216.0,20640629486.0,297.0,327.5,292.0,307.0,+7.50,47974.0,False,,,,,,
111/03/03,81258663.0,25747914135.0,309.0,328.0,309.0,312.0,+5.00,57559.0,False,,,,,,
111/03/04,42268974.0,12590839465.0,301.0,305.0,288.0,288.0,-24.00,34392.0,False,,,,,,
111/03/07,51906019.0,14748253831.0,285.5,291.5,275.5,287.5,-0.50,41737.0,False,,,,,,
111/03/08,60865775.0,17432498234.0,287.5,296.5,271.5,273.5,-14.00,49693.0,False,,,,,,
111/03/09,62527268.0,17862969383.0,290.0,296.5,274.0,275.0,+1.50,47949.0,False,,,,,,
111/03/10,57087968.0,16263221897.0,287.0,294.0,277.0,281.0,+6.00,44657.0,False,,,,,,
111/03/11,28577261.0,8053235638.0,281.5,287.0,277.5,287.0,+6.00,27222.0,False,0.2743362831858407,0.4247787610619469,0.4749262536873156,,,
111/03/14,35418894.0,10285987864.0,290.5,295.0,285.5,286.0,-1.00,24968.0,False,0.2566371681415929,0.3687315634218289,0.43952802359882,,,
111/03/15,46128758.0,12521978269.0,288.5,290.0,258.5,260.5,-25.50,37787.0,False,0.02877697841726619,0.255413368420308,0.3781564718726493,,,
111/03/16,39029155.0,10190818913.0,267.5,270.5,254.5,255.0,-5.50,28538.0,False,0.0099009900990099,0.1735759089798753,0.3099629509083913,,,
111/03/17,44459534.0,12126647972.0,267.5,280.0,263.5,275.0,+20.00,35601.0,False,0.4880952380952381,0.27841568535166283,0.2994471957228151,,,
111/03/18,29800087.0,8142601528.0,276.5,278.0,267.5,273.0,-2.00,27151.0,False,0.4404761904761905,0.33243585372650536,0.3104434150573785,,,
111/03/21,19397674.0,5404467108.0,275.0,284.5,273.5,274.5,+1.50,17463.0,False,0.4761904761904762,0.3803540612144956,0.33374696377641755,,,
111/03/22,26168472.0,7472690354.0,278.0,292.0,278.0,282.0,+7.50,32124.0,False,0.6790123456790124,0.4799068227026678,0.3824669167518343,,,
111/03/23,26188145.0,7655085861.0,289.0,300.0,282.0,284.0,+2.00,30649.0,False,0.6483516483516484,0.5360550979189946,0.43366297714088775,,,
111/03/24,17366541.0,4983946417.0,285.0,292.0,281.0,287.5,+3.50,26177.0,False,0.7252747252747253,0.5991283070375715,0.48881808710644903,,,
111/03/25,22754692.0,6700206769.0,294.5,297.5,289.0,296.0,+8.50,17807.0,False,0.912087912087912,0.7034481753876849,0.560361449866861,,,
111/03/28,36704086.0,10995691572.0,292.5,312.0,288.5,311.0,+15.00,30731.0,False,0.982608695652174,0.7965016821425146,0.6390748606254122,,,
111/03/29,56233173.0,17865752464.0,314.5,324.5,311.0,322.5,+11.50,40109.0,False,0.9672131147540984,0.8534054930130424,0.7105184047546222,,,
111/03/30,45704800.0,14745347095.0,326.5,331.5,311.5,312.5,-10.00,37895.0,False,0.703125,0.8033119953420282,0.7414496016170908,,,
111/03/31,24417637.0,7574595751.0,314.5,317.5,303.0,305.5,-7.00,21480.0,False,0.5517241379310345,0.7194493762050302,0.734116193146404,,,
111/04/01,26291430.0,7969737047.0,300.0,312.5,294.5,312.0,+6.50,18742.0,False,0.6355140186915887,0.6914709237005496,0.7199011033311191,,,
111/04/06,30319157.0,9479004405.0,305.0,319.0,302.5,317.0,+5.00,23528.0,False,0.7128712871287128,0.698604378176604,0.7128021949462807,,,
111/04/07,36825312.0,11351709642.0,315.5,319.5,295.0,296.0,-21.00,33588.0,False,0.297029702970297,0.5647461531078349,0.6634501810001321,,,
111/04/08,39821880.0,11934108290.0,300.0,305.5,292.0,301.5,+5.50,38267.0,False,0.3023255813953488,0.477272629203673,0.6013909970679789,,,
111/04/11,33043725.0,9586156435.0,301.5,301.5,281.0,281.0,-20.50,36582.0,False,0.0,0.31818175280244865,0.5069879156461355,,,
111/04/12,37569164.0,10609252750.0,280.0,289.0,275.0,281.5,+0.50,25823.0,False,0.11504424778761065,0.2504692511308361,0.4214816941410357,,,
