日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,53817420.0,13604408287.0,257.5,260.5,246.5,246.5,-7.50,38856.0,False,,,
111/03/02,31846269.0,7858897246.0,248.5,251.0,241.0,250.0,+3.50,29180.0,False,,,
111/03/03,26160990.0,6533391036.0,253.0,255.5,246.0,246.0,-4.00,28192.0,False,,,
111/03/04,30244189.0,7496591343.0,246.0,253.0,243.5,245.0,-1.00,25615.0,False,,,
111/03/07,45140523.0,10222231192.0,237.0,237.5,221.0,222.0,-23.00,37407.0,False,,,
111/03/08,41909884.0,9306879194.0,214.0,229.5,213.0,216.0,-6.00,38424.0,False,,,
111/03/09,35910725.0,8040527705.0,224.5,227.5,219.0,227.0,+11.00,35218.0,False,,,
111/03/10,38470621.0,9192133017.0,238.5,241.5,234.5,241.0,+14.00,36702.0,False,,,
111/03/11,25146480.0,5942764853.0,241.0,241.0,233.5,235.5,-5.50,30294.0,False,0.4736842105263158,0.4912280701754386,0.4970760233918128
111/03/14,47316192.0,10728583918.0,236.0,239.5,222.0,225.0,-10.50,30353.0,False,0.2823529411764706,0.4216030271757826,0.4719183579864694
111/03/15,37435065.0,8176092948.0,223.5,225.0,213.5,217.5,-7.50,37849.0,False,0.10588235294117647,0.31636280243091386,0.4200665061346176
111/03/16,30353132.0,6541887200.0,224.5,225.0,210.0,212.5,-5.00,21652.0,False,0.05813953488372092,0.2302883799151829,0.3568071307281393
111/03/17,34118151.0,7629584982.0,223.0,228.0,219.5,225.5,+13.00,31587.0,False,0.492063492063492,0.3175467506312859,0.3437203373625215
111/03/18,23171057.0,5086622339.0,222.0,222.5,217.0,219.5,-6.00,17894.0,False,0.3015873015873016,0.3122269342832911,0.3332225363361114
111/03/21,21527280.0,4863197534.0,222.5,230.0,222.5,226.0,+6.50,28341.0,False,0.5079365079365079,0.3774634588343634,0.3479695105021954
111/03/22,19900973.0,4553049059.0,224.0,232.0,223.5,232.0,+6.00,13045.0,False,0.6984126984126984,0.4844465386938084,0.3934618532327329
111/03/23,26922762.0,6414524578.0,238.5,240.5,235.0,239.0,+7.00,18658.0,False,0.935483870967742,0.6347923161184528,0.4739053408613062
111/03/24,20258673.0,4825466672.0,236.5,241.0,235.5,238.5,-0.50,29560.0,False,0.9193548387096774,0.7296464903155275,0.5591523906793799
111/03/25,33893819.0,8218746094.0,241.0,246.0,237.5,246.0,+7.50,32835.0,False,1.0,0.8197643268770183,0.6460230360785927
111/03/28,19124406.0,4604375074.0,241.0,243.0,238.5,241.0,-5.00,23076.0,False,0.8611111111111112,0.8335465882883826,0.7085308868151893
111/03/29,23542476.0,5755933069.0,245.5,249.0,240.0,244.0,+3.00,30273.0,False,0.84375,0.8369477255255884,0.7513364997186556
111/03/30,30475509.0,7604507902.0,248.0,252.0,246.0,248.5,+4.50,26521.0,False,0.9,0.8579651503503922,0.7868793832625678
111/03/31,19364756.0,4789787524.0,249.0,250.0,243.0,249.0,+0.50,20046.0,False,0.8983050847457628,0.8714117951488491,0.8150568538913281
111/04/01,23064446.0,5616189015.0,246.0,246.0,241.0,243.5,-5.50,25867.0,False,0.7017543859649122,0.81485932542087,0.8149910110678421
111/04/06,31197099.0,7257239316.0,234.0,236.5,230.0,230.5,-13.00,37843.0,False,0.022727272727272728,0.5508153078563376,0.7269324433306737
111/04/07,29447577.0,6813894902.0,228.0,236.0,227.0,227.0,-3.50,35651.0,False,0.0,0.3672102052375584,0.6070250306329685
111/04/08,17229951.0,3954272728.0,231.5,233.0,226.0,231.0,+4.00,27799.0,False,0.19230769230769232,0.3089093675942697,0.5076531429534022
111/04/11,30127354.0,6555195706.0,227.5,227.5,213.0,213.5,-17.50,39847.0,False,0.01282051282051282,0.21021308266968405,0.4085064561921629
111/04/12,18348533.0,3978114361.0,211.0,221.0,210.5,215.0,+1.50,14042.0,False,0.10843373493975904,0.1762866334263757,0.3310998486035671
111/04/13,18162086.0,3923408879.0,219.0,220.0,213.0,216.5,+1.50,20433.0,False,0.14457831325301204,0.1657171933685878,0.27597229685857394
111/04/14,11081751.0,2426247427.0,219.5,222.0,217.0,217.5,+1.00,8747.0,False,0.17721518987341772,0.16954985887019774,0.2404981508624485
111/04/15,20742040.0,4314759173.0,213.0,213.5,205.0,205.0,-12.50,19225.0,False,0.0,0.1130332392467985,0.19800984699056529
111/04/18,20116477.0,4137479023.0,199.0,210.0,198.0,206.5,+1.50,14509.0,False,0.2207792207792208,0.14894856642427254,0.18165608680180093
111/04/19,15334107.0,3236561391.0,211.0,213.0,209.0,210.5,+4.00,17706.0,False,0.32894736842105265,0.2089481670898659,0.1907534468978226
111/04/20,23840852.0,5201796341.0,214.0,220.0,214.0,220.0,+9.50,15982.0,False,0.6285714285714286,0.3488225875837201,0.2434431604597884
111/04/21,22552339.0,4938420772.0,216.0,221.0,215.5,220.0, 0.00,20799.0,False,0.7457627118644068,0.481135962343949,0.32267409442117523
111/04/22,25506149.0,5384910537.0,213.0,216.5,209.0,210.0,-10.00,16069.0,False,0.5,0.4874239748959659,0.37759072124610543
111/04/25,24244616.0,4920151300.0,202.0,208.0,199.0,202.0,-8.00,17895.0,False,0.16666666666666666,0.3805048721528661,0.3785621048816923
111/04/26,24161136.0,4859094639.0,207.5,208.0,197.0,199.5,-2.50,18225.0,False,0.1,0.2870032481019107,0.3480424859550984
111/04/27,63792152.0,13166781986.0,195.0,219.0,192.0,216.5,+17.00,36058.0,False,0.8448275862068966,0.4729446941369061,0.3896765553490342
111/04/28,47221179.0,9896500128.0,213.0,215.5,205.0,205.5,-11.00,64504.0,False,0.4655172413793103,0.4704688765510408,0.4166073290830364
111/04/29,40325577.0,8552139164.0,210.5,216.0,207.5,213.0,+7.50,24770.0,False,0.7241379310344828,0.5550252280455215,0.4627466287371981
111/05/03,19738296.0,4222670000.0,213.0,216.5,211.5,213.5,+0.50,17063.0,False,0.7413793103448276,0.6171432554786235,0.5142121709843399
111/05/04,26541775.0,5792121640.0,216.0,222.0,214.5,217.5,+4.00,24142.0,False,0.85,0.6947621703190823,0.5743955040959207
111/05/05,35672578.0,7944269171.0,225.0,227.0,218.0,218.0,+0.50,32222.0,False,0.7428571428571429,0.7107938278317691,0.6198616120078702
111/05/06,24375308.0,5104526477.0,210.5,213.0,207.0,208.0,-10.00,47379.0,False,0.4571428571428571,0.6262435042687985,0.6219889094281795
111/05/09,28043442.0,5952460171.0,208.5,215.5,208.0,211.0,+3.00,18302.0,False,0.5428571428571428,0.5984480504649132,0.6141419564404239
111/05/10,27654668.0,5826617670.0,205.0,216.5,203.0,216.5,+5.50,30703.0,False,0.7,0.6322987003099421,0.6201942043969301
111/05/11,17428516.0,3717417756.0,216.5,217.0,211.0,212.0,-4.50,18687.0,False,0.375,0.5465324668732947,0.5956402918890515
111/05/12,18903320.0,4004573189.0,210.0,215.5,208.5,208.5,-3.50,16729.0,False,0.22916666666666666,0.4407438668044187,0.5440081501941739
111/05/13,19892245.0,4258600188.0,213.5,216.0,211.0,215.0,+6.50,12736.0,False,0.5,0.4604959112029458,0.5161707371970978
111/05/16,23945454.0,5240263162.0,220.0,223.5,214.0,214.5,-0.50,19223.0,False,0.4791666666666667,0.4667194963575194,0.4996869902505716
111/05/17,20817850.0,4538091753.0,218.0,220.5,214.5,219.5,+5.00,16843.0,False,0.6875,0.5403129975716795,0.5132289926909409
111/05/18,25628681.0,5744265072.0,226.0,228.0,222.0,222.5,+3.00,17883.0,False,0.78,0.6202086650477863,0.5488888834765561
111/05/19,20266191.0,4398127143.0,217.0,219.5,214.0,219.0,-3.50,29226.0,False,0.64,0.6268057766985242,0.574861181217212
111/05/20,12439441.0,2726014828.0,221.0,221.5,217.0,217.0,-2.00,13035.0,False,0.56,0.6045371844656828,0.5847531823000356
111/05/23,11025244.0,2395183687.0,218.0,220.0,215.0,216.0,-1.00,17484.0,False,0.38461538461538464,0.5312299178489167,0.5669120941496626
111/05/24,27926948.0,5834528669.0,216.5,217.0,204.0,204.0,-12.00,29539.0,False,0.0,0.3541532785659445,0.4959924889550898
111/05/25,29249758.0,6081573383.0,207.0,213.5,202.5,213.0,+9.00,21415.0,False,0.4117647058823529,0.373357087671414,0.4551140218605312
111/05/26,37810666.0,7775892215.0,212.0,213.0,201.0,201.5,-11.50,52627.0,False,0.018518518518518517,0.25507756462044884,0.3884352027805037
111/05/27,26809571.0,5466670090.0,205.0,207.0,201.0,201.5, 0.00,17594.0,False,0.018518518518518517,0.1762245492531387,0.317698318271382
111/05/30,37682547.0,7989095009.0,206.0,216.0,205.5,213.0,+11.50,25777.0,False,0.4444444444444444,0.265631180983574,0.30034260584211264
111/05/31,23224059.0,4991990147.0,214.0,217.0,212.0,215.5,+2.50,13410.0,False,0.7073170731707317,0.4128598117126265,0.3378483411322839
111/06/01,38507930.0,7979712835.0,210.0,211.5,205.0,205.5,-10.00,49807.0,False,0.2195121951219512,0.34841060618240144,0.3413690961489897
111/06/02,27299492.0,5559444927.0,202.5,206.5,202.0,203.5,-2.00,20228.0,False,0.13157894736842105,0.2761333865777413,0.31962385962524026
111/06/06,18922506.0,3877473047.0,205.5,207.5,202.5,203.5, 0.00,10054.0,False,0.15625,0.2361722577184942,0.2918066589896582
111/06/07,19735346.0,3966463942.0,204.5,205.5,199.0,200.0,-3.50,16495.0,False,0.05555555555555555,0.17596669033084794,0.2531933361033881
111/06/08,19618751.0,3994967221.0,203.0,206.0,201.0,204.5,+4.50,12545.0,False,0.3055555555555556,0.21916297873908386,0.24184988364861998
111/06/09,22830348.0,4729299552.0,206.0,209.5,205.0,206.5,+2.00,19123.0,False,0.4166666666666667,0.28499754138161143,0.2562324362262838
111/06/10,12078408.0,2478702206.0,204.5,207.5,203.0,206.5, 0.00,16979.0,False,0.4166666666666667,0.3288872498099632,0.28045070742084355
111/06/13,19853263.0,3979247993.0,200.5,202.5,199.0,200.0,-6.50,14173.0,False,0.05555555555555555,0.237776685058494,0.26622603330006034
111/06/14,18938842.0,3775700979.0,199.5,202.5,197.0,201.5,+1.50,13173.0,False,0.3103448275862069,0.2619660659010649,0.2648060441670619
111/06/15,51421524.0,9804059112.0,201.0,203.0,182.0,183.0,-18.50,42218.0,False,0.03636363636363636,0.18676525605525526,0.23879244812979306
111/06/16,126625079.0,22122983504.0,182.5,184.5,165.5,165.5,-17.50,76419.0,False,0.0,0.12451017070350358,0.2006983556543632
111/06/17,92286949.0,15060099554.0,165.0,167.5,158.0,166.0,+0.50,51082.0,False,0.1553398058252427,0.1347867157440833,0.1787278090176032
111/06/20,38596252.0,6227658481.0,166.5,167.0,156.5,157.5,-8.50,27686.0,False,0.018867924528301886,0.09614711867215617,0.15120091223578752
111/06/21,49578687.0,8232168428.0,164.0,170.0,162.5,169.5,+12.00,31721.0,False,0.2452830188679245,0.14585908540407894,0.14942030329188466
111/06/22,42796843.0,6899320949.0,168.0,168.0,157.5,158.0,-11.50,32070.0,False,0.029411764705882363,0.1070433118380134,0.13529463947392756
111/06/23,30103882.0,4778212144.0,162.0,162.0,155.0,159.0,+1.00,19914.0,False,0.08333333333333333,0.09913998566978673,0.1232430882058806
111/06/24,27606324.0,4455042507.0,161.5,164.5,158.5,160.5,+1.50,21779.0,False,0.11458333333333333,0.10428776822430223,0.11692464821202116
111/06/27,30111669.0,5055130598.0,164.5,170.5,164.5,167.5,+7.00,23238.0,False,0.2604166666666667,0.15633073437175704,0.13006001026526642
111/06/28,32833377.0,5271831573.0,165.5,166.0,157.0,161.0,-6.50,24209.0,False,0.2033898305084746,0.17201709975066287,0.14404570676039855
111/06/29,22726752.0,3662143153.0,159.0,164.0,157.5,162.5,+1.50,13400.0,False,0.4838709677419355,0.27596838908108706,0.18801993420062807
111/06/30,22700123.0,3605316630.0,161.0,161.5,156.5,158.5,-4.00,17253.0,False,0.2258064516129032,0.2592477432583591,0.2117625372198717
