日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,5181947.0,546586929.0,104.5,106.5,104.5,105.5,+2.00,3049.0,False,,,
111/03/02,3709062.0,391925687.0,106.0,106.5,104.5,106.0,+0.50,1933.0,False,,,
111/03/03,2093295.0,221476516.0,106.0,106.0,105.0,106.0, 0.00,1548.0,False,,,
111/03/04,1704206.0,179504140.0,105.5,106.0,105.0,105.5,-0.50,1365.0,False,,,
111/03/07,4908753.0,513171087.0,104.5,106.0,103.5,105.0,-0.50,3106.0,False,,,
111/03/08,4052819.0,424544436.0,104.5,105.5,104.0,105.0, 0.00,3508.0,False,,,
111/03/09,2217586.0,233205845.0,105.0,105.5,104.5,105.5,+0.50,1271.0,False,,,
111/03/10,2696610.0,285563851.0,105.0,106.5,105.0,106.5,+1.00,1396.0,False,,,
111/03/11,2052386.0,216928564.0,106.0,106.0,105.0,106.0,-0.50,1495.0,False,0.8333333333333334,0.6111111111111112,0.537037037037037
111/03/14,2115079.0,223868312.0,105.5,106.0,105.5,106.0, 0.00,1268.0,False,0.8333333333333334,0.6851851851851852,0.5864197530864197
111/03/15,2374609.0,251264891.0,106.0,106.0,105.5,106.0, 0.00,1713.0,False,0.8333333333333334,0.7345679012345679,0.6358024691358024
111/03/16,5281749.0,562926096.0,106.0,107.0,105.5,107.0,+1.00,3277.0,False,1.0,0.8230452674897121,0.6982167352537723
111/03/17,6625697.0,708722535.0,107.5,108.5,105.5,106.0,-1.00,4109.0,False,0.5,0.7153635116598079,0.7039323273891175
111/03/18,7616845.0,803250286.0,106.0,107.0,105.0,105.0,-1.00,2373.0,False,0.2222222222222222,0.5509830818472794,0.6529492455418381
111/03/21,1614043.0,169874706.0,106.0,106.0,104.5,105.5,+0.50,1279.0,False,0.25,0.4506553878981862,0.5855179596606208
111/03/22,2910512.0,304147169.0,105.0,105.5,104.0,105.0,-0.50,1987.0,False,0.2222222222222222,0.3745109993395315,0.5151823062202577
111/03/23,2459712.0,257535982.0,105.0,105.5,104.0,105.0, 0.00,1437.0,False,0.2222222222222222,0.3237480736337617,0.4513708953580924
111/03/24,5331840.0,565961139.0,104.5,107.0,104.5,106.5,+1.50,3554.0,False,0.5555555555555556,0.4010172342743597,0.4345863416635148
111/03/25,1917017.0,202839545.0,106.0,106.0,105.5,106.0,-0.50,1246.0,False,0.4444444444444444,0.4154929709977212,0.4282218847749169
111/03/28,2960489.0,311314207.0,105.0,105.5,104.5,105.5,-0.50,1608.0,False,0.3333333333333333,0.3881064251095919,0.4148500648864752
111/03/29,941677.0,99229301.0,105.5,105.5,105.0,105.5, 0.00,1168.0,False,0.3333333333333333,0.369848727850839,0.3998496192079298
111/03/30,1990268.0,210025296.0,105.5,106.0,105.0,105.5, 0.00,1411.0,False,0.5,0.4132324852338927,0.4043105745499174
111/03/31,1720703.0,181238575.0,105.5,106.0,105.0,105.0,-0.50,721.0,False,0.3333333333333333,0.3865994346003729,0.3984068612334025
111/04/01,1798468.0,189077845.0,105.0,105.5,104.5,105.5,+0.50,1205.0,False,0.5,0.4243996230669153,0.4070711151779067
111/04/06,2635327.0,277220944.0,105.5,105.5,104.5,105.5, 0.00,1761.0,False,0.5,0.4495997487112768,0.4212473263556967
111/04/07,3025999.0,319384909.0,105.0,106.0,105.0,105.5, 0.00,1693.0,False,0.4,0.4330664991408512,0.4251870506174149
111/04/08,2364006.0,250733044.0,106.0,106.5,105.5,106.0,+0.50,2190.0,False,0.75,0.5387109994272341,0.4630283668873546
111/04/11,5387310.0,574399415.0,106.0,107.0,106.0,106.5,+0.50,2831.0,False,0.8,0.6258073329514894,0.5172880222420662
111/04/12,3280949.0,349954577.0,106.5,107.0,106.0,107.0,+0.50,2695.0,False,1.0,0.7505382219676595,0.5950380888172639
111/04/13,2410852.0,256417517.0,107.0,107.0,106.0,106.5,-0.50,2467.0,False,0.8,0.767025481311773,0.6523672196487669
111/04/14,1331325.0,141430789.0,106.5,107.0,106.0,106.0,-0.50,710.0,False,0.6,0.7113503208745152,0.672028253390683
111/04/15,1651095.0,174566938.0,106.0,106.5,105.0,105.5,-0.50,2218.0,False,0.4,0.6075668805830101,0.6505411291214587
111/04/18,2600461.0,275357642.0,105.0,106.5,105.0,106.0,+0.50,2233.0,False,0.6,0.6050445870553399,0.6353756150994191
111/04/19,4347606.0,463207799.0,106.0,107.0,106.0,106.0, 0.00,2276.0,False,0.5,0.5700297247035601,0.6135936516341327
111/04/20,8694172.0,935696385.0,106.5,108.5,106.0,108.5,+2.50,5085.0,False,1.0,0.7133531498023733,0.6468468176902129
111/04/21,2602940.0,280659080.0,108.0,108.5,107.5,108.0,-0.50,2002.0,False,0.8571428571428571,0.7612830522492012,0.6849922292098756
111/04/22,2466805.0,266076590.0,107.0,108.5,107.0,108.5,+0.50,2419.0,False,1.0,0.8408553681661342,0.7369466088619617
111/04/25,3137644.0,337201796.0,107.5,108.0,107.0,107.5,-1.00,2754.0,False,0.7142857142857143,0.7986654835393274,0.7575195670877503
