日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,1306308.0,605009995.0,460.0,467.5,458.0,462.0,+5.00,1330.0,False,,,
111/03/02,1091411.0,509486307.0,461.0,471.0,461.0,471.0,+9.00,1180.0,False,,,
111/03/03,2174548.0,1047532420.0,476.5,488.0,473.0,482.0,+11.00,2516.0,False,,,
111/03/04,1426561.0,682087696.0,478.0,482.0,474.0,477.0,-5.00,1488.0,False,,,
111/03/07,1826138.0,823771984.0,474.0,474.5,440.0,447.0,-30.00,2383.0,False,,,
111/03/08,1458164.0,650005710.0,444.0,458.5,438.0,444.0,-3.00,1660.0,False,,,
111/03/09,1287332.0,584763050.0,451.0,459.0,448.0,455.0,+11.00,1361.0,False,,,
111/03/10,1976262.0,932860060.0,470.5,477.0,463.5,475.5,+20.50,2020.0,False,,,
111/03/11,1122225.0,531932251.0,472.5,478.0,468.0,475.0,-0.50,1203.0,False,0.74,0.58,0.5266666666666666
111/03/14,805127.0,376918159.0,483.0,483.0,461.0,463.0,-12.00,986.0,False,0.5,0.5533333333333332,0.5355555555555555
111/03/15,1654699.0,725483687.0,464.0,464.0,426.0,427.0,-36.00,2444.0,False,0.016129032258064516,0.3742652329749103,0.4817921146953403
111/03/16,669424.0,290482929.0,440.0,440.5,427.5,431.5,+4.50,793.0,False,0.09649122807017543,0.2816738980066653,0.415086042465782
111/03/17,1689900.0,775495707.0,447.0,466.0,446.0,463.0,+31.50,1720.0,False,0.6491228070175439,0.4041568676769581,0.41144298420284064
111/03/18,627041.0,287070497.0,465.0,465.0,453.5,459.0,-4.00,774.0,False,0.5789473684210527,0.4624203679249896,0.42843544544355694
111/03/21,427996.0,197347874.0,464.0,465.0,458.5,459.0, 0.00,485.0,False,0.5789473684210527,0.5012627014236772,0.4527111974369303
111/03/22,2810378.0,1351780846.0,459.5,492.0,458.5,488.0,+29.00,2975.0,False,0.9393939393939394,0.6473064474137646,0.5175762807625417
111/03/23,4428747.0,2250865429.0,495.0,518.0,493.0,517.0,+29.00,4731.0,False,0.9891304347826086,0.7612477765367126,0.5988001126872653
