日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,73966968.0,1260515192.0,16.9,17.2,16.75,17.1,+0.35,16378.0,False,,,
111/03/02,62745486.0,1070549881.0,17.05,17.2,16.95,17.0,-0.10,12731.0,False,,,
111/03/03,65692829.0,1126505688.0,17.25,17.35,17.0,17.0, 0.00,15135.0,False,,,
111/03/04,74045434.0,1261124018.0,16.9,17.25,16.85,16.9,-0.10,17796.0,False,,,
111/03/07,93446400.0,1556981893.0,16.9,16.95,16.55,16.65,-0.25,23143.0,False,,,
111/03/08,145398879.0,2420972263.0,16.55,17.1,16.5,16.95,+0.30,27650.0,False,,,
111/03/09,90305227.0,1538356237.0,17.1,17.2,16.9,16.95, 0.00,16849.0,False,,,
111/03/10,90792125.0,1567461368.0,17.2,17.4,17.15,17.25,+0.30,16557.0,False,,,
111/03/11,72735040.0,1259512129.0,17.2,17.45,17.1,17.35,+0.10,13962.0,False,0.8947368421052653,0.6315789473684217,0.5438596491228072
111/03/14,143957910.0,2541931727.0,17.5,17.85,17.45,17.7,+0.35,32047.0,False,0.8888888888888874,0.7173489278752436,0.6016894087069526
111/03/15,83246582.0,1450918983.0,17.65,17.65,17.3,17.35,-0.35,17781.0,False,0.62962962962963,0.6881091617933723,0.6304959930690925
111/03/16,121684061.0,2096098727.0,17.6,17.65,16.85,17.1,-0.25,31292.0,False,0.444444444444445,0.6068875893437299,0.6226265251606383
111/03/17,99952341.0,1750223147.0,17.4,17.7,17.2,17.65,+0.55,20132.0,False,0.8518518518518499,0.6885423435131032,0.64459846461146
111/03/18,71310422.0,1236355271.0,17.65,17.65,17.25,17.3,-0.35,15710.0,False,0.5925925925925924,0.6565590932062662,0.6485853408097286
111/03/21,49670547.0,856102919.0,17.25,17.35,17.15,17.25,-0.05,11494.0,False,0.3999999999999986,0.5710393954708436,0.6227366923634337
111/03/22,36884941.0,633315925.0,17.2,17.25,17.1,17.2,-0.05,8074.0,False,0.3499999999999979,0.4973595969805617,0.5809443272358097
111/03/23,34986438.0,605558841.0,17.3,17.4,17.2,17.35,+0.15,10449.0,False,0.5,0.4982397313203744,0.5533761285973312
111/03/24,34357003.0,596111945.0,17.2,17.45,17.2,17.4,+0.05,8513.0,False,0.5499999999999972,0.5154931542135819,0.5407484704694148
111/03/25,36624727.0,632295072.0,17.4,17.45,17.15,17.15,-0.25,10096.0,False,0.35294117647058576,0.4613091616325832,0.5142687008571375
111/03/28,37445594.0,634699174.0,17.0,17.1,16.85,17.0,-0.15,12087.0,False,0.17647058823529288,0.3663629705001529,0.4649667907381427
111/03/29,50755908.0,856944425.0,17.05,17.05,16.8,16.9,-0.10,14115.0,False,0.11111111111110893,0.2812790173704717,0.40373753294891895
111/03/30,38130396.0,646736899.0,17.0,17.05,16.9,17.0,+0.10,9985.0,False,0.2352941176470585,0.2659507174626673,0.3578085944535017
111/03/31,34660134.0,583619252.0,16.95,17.0,16.8,16.8,-0.20,10937.0,False,0.0,0.17730047830844484,0.2976392224051494
111/04/01,39321653.0,655448774.0,16.65,16.75,16.55,16.75,-0.05,11442.0,False,0.2222222222222218,0.1922743929463705,0.2625176125855564
111/04/06,45091609.0,749142908.0,16.6,16.85,16.6,16.7,-0.05,10732.0,False,0.16666666666666535,0.1837384841864688,0.23625790311919384
111/04/07,111068224.0,1806989333.0,16.7,16.7,16.0,16.0,-0.70,34873.0,False,0.0,0.12249232279097914,0.19833604300978894
