日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,464077.0,338081502.0,724.0,737.0,721.0,726.0,+9.00,550.0,False,,,
111/03/02,371845.0,268241066.0,726.0,728.0,711.0,722.0,-4.00,418.0,False,,,
111/03/03,288989.0,210103598.0,735.0,735.0,721.0,728.0,+6.00,327.0,False,,,
111/03/04,267035.0,194251880.0,722.0,731.0,721.0,724.0,-4.00,321.0,False,,,
111/03/07,647298.0,448064878.0,720.0,720.0,675.0,685.0,-39.00,818.0,False,,,
111/03/08,629843.0,423402998.0,677.0,691.0,659.0,670.0,-15.00,814.0,False,,,
111/03/09,1638382.0,1044449716.0,671.0,675.0,620.0,645.0,-25.00,1806.0,False,,,
111/03/10,725621.0,490781219.0,653.0,689.0,653.0,681.0,+36.00,854.0,False,,,
111/03/11,483551.0,324671309.0,666.0,681.0,662.0,670.0,-11.00,563.0,False,0.4273504273504273,0.4757834757834757,0.4919278252611585
111/03/14,1684136.0,1067192247.0,668.0,683.0,619.0,622.0,-48.00,1934.0,False,0.02586206896551724,0.3258096735108229,0.4365551080110466
111/03/15,723887.0,445974997.0,620.0,626.0,606.0,614.0,-8.00,878.0,False,0.06201550387596898,0.23787828363253824,0.37032949988487707
111/03/16,343443.0,212742340.0,624.0,626.0,614.0,618.0,+4.00,419.0,False,0.096,0.19058552242169216,0.3104148407304821
111/03/17,706047.0,451111992.0,635.0,646.0,630.0,640.0,+22.00,805.0,False,0.2982456140350877,0.2264722196261573,0.28243396702904044
111/03/18,251337.0,160447293.0,642.0,644.0,631.0,643.0,+3.00,309.0,False,0.4352941176470588,0.2960795189664578,0.2869824843415129
111/03/21,447692.0,295499524.0,645.0,667.0,645.0,660.0,+17.00,527.0,False,0.6506024096385542,0.4142538158571566,0.3294062615133941
111/03/22,883365.0,610357851.0,689.0,699.0,683.0,692.0,+32.00,991.0,False,0.9247311827956988,0.5844129381700041,0.4144084870655974
111/03/23,470496.0,326622102.0,692.0,700.0,688.0,693.0,+1.00,520.0,False,0.9255319148936172,0.6981192637445417,0.5089787459585788
111/03/24,978978.0,692954834.0,700.0,719.0,692.0,717.0,+24.00,1081.0,False,0.9823008849557522,0.7928464708149452,0.6036013209107011
111/03/25,349846.0,249002879.0,719.0,722.0,705.0,710.0,-7.00,401.0,False,0.8965517241379308,0.8274148885892737,0.6782058434702252
111/03/28,214927.0,150740778.0,714.0,714.0,694.0,702.0,-8.00,294.0,False,0.8148148148148148,0.8232148639977873,0.7265421836460791
111/03/29,428639.0,305977848.0,709.0,724.0,701.0,703.0,+1.00,481.0,False,0.7765957446808509,0.8076751575588085,0.7535865082836556
111/03/30,273573.0,194273909.0,710.0,716.0,702.0,711.0,+8.00,306.0,False,0.8602150537634409,0.8251884562936859,0.7774538242869989
111/03/31,202710.0,142948636.0,710.0,711.0,701.0,701.0,-10.00,252.0,False,0.7088607594936709,0.7864125573603475,0.7804400686447818
111/04/01,370687.0,263349828.0,700.0,718.0,697.0,714.0,+13.00,398.0,False,0.7560975609756098,0.7763075585654349,0.7790625652849994
111/04/06,479154.0,331333657.0,708.0,708.0,683.0,685.0,-29.00,580.0,False,0.04878048780487805,0.5337985349785825,0.6973078885161936
111/04/07,634604.0,427544249.0,682.0,690.0,666.0,668.0,-17.00,818.0,False,0.03448275862068965,0.3673599428592849,0.5873252399638906
111/04/08,532005.0,366246833.0,688.0,697.0,678.0,695.0,+27.00,576.0,False,0.5,0.4115732952395232,0.5287412583891015
111/04/11,332758.0,225931571.0,699.0,699.0,669.0,671.0,-24.00,491.0,False,0.08620689655172414,0.3031178290102569,0.4535334485961532
111/04/12,714081.0,498796940.0,672.0,708.0,671.0,706.0,+35.00,821.0,False,0.6896551724137931,0.4319636101447689,0.44634350244569176
