日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,636720.0,243130411.0,383.0,388.0,379.0,380.0,-2.00,702.0,False,,,
111/03/02,636824.0,240828797.0,380.0,384.0,373.5,379.0,-1.00,721.0,False,,,
111/03/03,295967.0,112138495.0,382.0,386.0,376.0,376.0,-3.00,391.0,False,,,
111/03/04,1587440.0,576777772.0,376.0,376.5,358.0,359.5,-16.50,1882.0,False,,,
111/03/07,2175733.0,735864651.0,354.5,354.5,329.0,338.5,-21.00,2186.0,False,,,
111/03/08,2255833.0,731840697.0,330.5,341.5,316.0,316.5,-22.00,2211.0,False,,,
111/03/09,1814782.0,593081899.0,323.0,337.0,317.0,331.5,+15.00,1737.0,False,,,
111/03/10,2240314.0,796456088.0,350.0,364.0,347.5,357.0,+25.50,1944.0,False,,,
111/03/11,1474011.0,540704005.0,350.5,372.5,350.5,371.0,+14.00,1544.0,False,0.7638888888888888,0.5879629629629629,0.529320987654321
111/03/14,648436.0,236339979.0,369.0,372.0,360.0,362.0,-9.00,731.0,False,0.6571428571428571,0.6110229276895943,0.5565549676660787
111/03/15,527999.0,186649087.0,356.0,360.5,349.5,350.0,-12.00,597.0,False,0.4857142857142857,0.5692533803644915,0.560787771898883
111/03/16,1777539.0,652189378.0,362.0,373.0,355.0,367.0,+17.00,1621.0,False,0.8429752066115702,0.6604939891135176,0.5940231776370946
111/03/17,1800192.0,683757162.0,379.0,385.0,371.0,377.0,+10.00,1833.0,False,0.8840579710144928,0.7350153164138427,0.6410205572293439
111/03/18,633591.0,241403222.0,378.0,385.0,374.0,385.0,+8.00,678.0,False,1.0,0.8233435442758951,0.7017948862448609
111/03/21,772242.0,292299197.0,384.0,387.5,374.0,377.0,-8.00,890.0,False,0.851063829787234,0.8325836394463413,0.745391137312021
111/03/22,416213.0,157391070.0,376.0,381.5,374.0,377.5,+0.50,430.0,False,0.75,0.8050557596308942,0.7652793447516454
111/03/23,1489967.0,582067576.0,380.0,398.5,380.0,393.0,+15.50,1456.0,False,0.8877551020408163,0.8326222071008682,0.7877269655347195
111/03/24,923950.0,367654238.0,390.0,404.5,388.0,399.5,+6.50,980.0,False,0.9090909090909092,0.8581117744308817,0.8111885685001069
111/03/25,1052116.0,427881914.0,404.5,410.0,402.0,408.0,+8.50,1121.0,False,0.9669421487603306,0.8943885658740314,0.8389219009580817
111/03/28,543712.0,220605836.0,401.0,412.5,400.0,410.0,+2.00,693.0,False,0.9565217391304348,0.9150996236261658,0.8643144751807763
