日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,2259688.0,2576340285.0,1095.0,1180.0,1085.0,1140.0,+65.00,2271.0,False,,,
111/03/02,2128971.0,2470030830.0,1135.0,1180.0,1130.0,1175.0,+35.00,2116.0,False,,,
111/03/03,2816920.0,3383495730.0,1195.0,1230.0,1175.0,1190.0,+15.00,2944.0,False,,,
111/03/04,2339873.0,2819794620.0,1180.0,1225.0,1175.0,1220.0,+30.00,2405.0,False,,,
111/03/07,2267073.0,2543188190.0,1175.0,1180.0,1100.0,1100.0,-120.00,2691.0,False,,,
111/03/08,3435926.0,3655985000.0,1045.0,1125.0,1015.0,1030.0,-70.00,3568.0,False,,,
111/03/09,3508733.0,3595833951.0,1075.0,1090.0,983.0,983.0,-47.00,3737.0,False,,,
111/03/10,2713231.0,2875479335.0,1025.0,1080.0,1025.0,1080.0,+97.00,2344.0,False,,,
111/03/11,2626364.0,2810466510.0,1075.0,1095.0,1035.0,1090.0,+10.00,2476.0,False,0.4331983805668016,0.4777327935222672,0.4925775978407557
111/03/14,1795395.0,1940989040.0,1105.0,1115.0,1060.0,1080.0,-10.00,1757.0,False,0.3927125506072873,0.4493927125506072,0.4781826360773729
111/03/15,2340745.0,2342123025.0,1065.0,1070.0,972.0,972.0,-108.00,2865.0,False,0.0,0.2995951417004048,0.41865347128505015
111/03/16,8853955.0,8071278602.0,983.0,1005.0,875.0,908.0,-64.00,8635.0,False,0.09428571428571428,0.23115866589550801,0.3561552028218693
111/03/17,5384769.0,5309486672.0,979.0,998.0,968.0,986.0,+78.00,4808.0,False,0.3639344262295082,0.27541725267350803,0.32924255277241554
111/03/18,4447492.0,4146599554.0,986.0,986.0,911.0,920.0,-66.00,4960.0,False,0.18,0.2436115017823387,0.3006988691090566
111/03/21,2801717.0,2619373607.0,928.0,948.0,913.0,948.0,+28.00,3031.0,False,0.30416666666666664,0.2637965567437813,0.28839809832063146
111/03/22,4226895.0,4048916911.0,950.0,994.0,917.0,970.0,+22.00,4296.0,False,0.3958333333333333,0.3078088156069653,0.29486833741607604
111/03/23,3142833.0,3148734444.0,988.0,1020.0,988.0,1005.0,+35.00,3234.0,False,0.5416666666666666,0.3857614326268657,0.32516603581967257
111/03/24,1862290.0,1889150007.0,997.0,1040.0,993.0,1035.0,+30.00,2032.0,False,0.6666666666666666,0.4793965106401327,0.3765761940931592
