日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,2263554.0,674888686.0,296.5,303.0,296.0,296.5,-2.50,2235.0,False,,,,,,
111/03/02,1728547.0,514690688.0,297.5,302.0,296.0,297.5,+1.00,1504.0,False,,,,,,
111/03/03,3419489.0,992284745.0,299.0,299.5,284.0,289.0,-8.50,6038.0,False,,,,,,
111/03/04,948591.0,275782778.0,290.0,293.5,287.0,291.0,+2.00,966.0,False,,,,,,
111/03/07,5575733.0,1652555874.0,297.0,302.5,291.5,291.5,+0.50,5171.0,False,,,,,,
111/03/08,4095898.0,1157940388.0,289.5,292.5,273.0,281.0,-10.50,3323.0,False,,,,,,
111/03/09,2589545.0,752671648.0,289.0,294.5,285.5,292.0,+11.00,2219.0,False,,,,,,
111/03/10,6136739.0,1871654908.0,299.5,317.0,295.5,309.0,+17.00,5522.0,False,,,,,,
111/03/11,8165033.0,2560502249.0,313.0,324.5,304.0,312.0,+3.00,8132.0,False,0.7572815533980582,0.5857605177993528,0.5285868392664509,,,
111/03/14,2309923.0,705102887.0,310.0,311.0,301.0,304.5,-7.50,3407.0,False,0.6116504854368932,0.5943905070118662,0.5505213951815893,,,
111/03/15,2717481.0,806767626.0,301.0,301.5,293.5,297.5,-7.00,1998.0,False,0.4757281553398058,0.5548363897878461,0.5519597267170082,,,
111/03/16,2558119.0,775348682.0,300.0,310.0,295.5,309.5,+12.00,2108.0,False,0.7087378640776699,0.6061368812177873,0.5700187782172679,,,
111/03/17,5188244.0,1647274554.0,313.5,322.0,310.0,321.5,+12.00,4463.0,False,0.941747572815534,0.7180071117503695,0.6193482227283017,,,
111/03/18,2834967.0,901611867.0,326.0,326.5,314.0,318.0,-3.50,2767.0,False,0.8411214953271028,0.7590452396092806,0.6659138950219613,,,
111/03/21,3691491.0,1189827808.0,323.0,329.0,316.5,316.5,-1.50,3092.0,False,0.7126436781609196,0.7435780524598269,0.6918019475012498,,,
111/03/22,3094148.0,990480941.0,319.5,325.0,316.0,320.0,+3.50,2175.0,False,0.7464788732394366,0.7445449927196968,0.7093829625740654,,,
111/03/23,2929581.0,936634663.0,323.0,326.0,314.0,318.0,-2.00,2435.0,False,0.6901408450704225,0.7264102768366053,0.715058733994912,,,
111/03/24,1639581.0,523035103.0,319.0,322.0,315.0,321.5,+3.50,1411.0,False,0.7887323943661971,0.7471843160131361,0.72576726133432,,,
111/03/25,1568521.0,502512169.0,328.5,328.5,315.5,318.0,-3.50,1296.0,False,0.6901408450704225,0.7281698256988981,0.7265681161225127,,,
111/03/28,5259892.0,1568250153.0,312.0,314.0,290.5,294.0,-24.00,4621.0,False,0.09090909090909093,0.5157495807689624,0.6562952710046626,,,
111/03/29,3998649.0,1202071211.0,298.5,305.5,295.5,304.5,+10.50,3234.0,False,0.3636363636363637,0.4650451750580961,0.5925452390224737,,,
111/03/30,2265613.0,699784126.0,307.0,313.0,305.0,309.5,+5.00,2244.0,False,0.4935064935064935,0.4745322812075618,0.5532075864175029,,,
111/03/31,2462055.0,737225908.0,308.0,308.0,296.0,296.5,-13.00,2305.0,False,0.15584415584415584,0.3683029060864265,0.4915726929738108,,,
111/04/01,1241365.0,367888470.0,290.5,299.5,290.5,299.5,+3.00,1107.0,False,0.2368421052631579,0.3244826391453369,0.4358760083643193,,,
111/04/06,1404328.0,417278943.0,297.5,301.0,293.5,301.0,+1.50,1506.0,False,0.27631578947368424,0.3084270225881194,0.3933930131055861,,,
111/04/07,1580704.0,472641513.0,300.0,301.0,297.0,299.5,-1.50,1788.0,False,0.2368421052631579,0.2845653834797989,0.35711713656365696,,,
