日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,16494690.0,1688659809.0,100.5,103.5,100.0,103.0,+3.70,7521.0,False,,,
111/03/02,8131723.0,831562344.0,102.5,103.0,101.5,102.5,-0.50,3950.0,False,,,
111/03/03,13152007.0,1356815299.0,103.5,104.0,102.0,103.5,+1.00,6816.0,False,,,
111/03/04,9535509.0,974089545.0,101.5,103.0,101.5,102.0,-1.50,4526.0,False,,,
111/03/07,34672998.0,3385298113.0,99.9,99.9,96.5,97.6,-4.40,21347.0,False,,,
111/03/08,21368493.0,2059174859.0,96.0,97.5,95.5,96.1,-1.50,15375.0,False,,,
111/03/09,11166025.0,1094174806.0,97.1,98.6,97.0,98.2,+2.10,9288.0,False,,,
111/03/10,11197606.0,1123341898.0,100.5,101.0,99.9,100.5,+2.30,6203.0,False,,,
111/03/11,13761444.0,1385445221.0,100.5,101.5,100.0,100.5, 0.00,8697.0,False,0.5882352941176471,0.5294117647058824,0.5098039215686274
111/03/14,12839933.0,1307700296.0,101.5,102.5,101.0,102.0,+1.50,5562.0,False,0.7647058823529411,0.6078431372549019,0.5424836601307189
111/03/15,12013252.0,1196158780.0,101.0,101.0,98.6,98.9,-3.10,9660.0,False,0.4000000000000007,0.5385620915032682,0.5411764705882354
111/03/16,10845471.0,1080173824.0,100.0,100.5,99.0,99.8,+0.90,6185.0,False,0.5733333333333329,0.5501525054466229,0.5441684822076979
111/03/17,22679484.0,2337034461.0,102.0,104.0,101.5,103.5,+3.70,11101.0,False,0.9411764705882352,0.6804938271604937,0.5896102638586298
111/03/18,16948252.0,1772751991.0,103.5,105.0,103.5,104.5,+1.00,8567.0,False,0.9473684210526316,0.7694520251245396,0.649557517613933
111/03/21,8008511.0,843427177.0,105.0,106.0,104.0,105.0,+0.50,5292.0,False,0.8888888888888888,0.8092643130459893,0.702793116091285
111/03/22,8264246.0,862058297.0,105.0,105.5,103.5,104.5,-0.50,4493.0,False,0.7972972972972975,0.8052753077964253,0.7369538466596651
111/03/23,10196337.0,1071498218.0,105.0,105.5,104.5,105.5,+1.00,5606.0,False,0.9324324324324323,0.8476610160084277,0.7738562364425858
111/03/24,13556451.0,1419258520.0,104.0,105.5,103.5,105.0,-0.50,6244.0,False,0.8648648648648649,0.8533956322939068,0.8003693683930261
