日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,48584.0,12176607.0,250.0,253.5,246.5,252.0,+1.00,70.0,False,,,
111/03/02,78400.0,19669619.0,253.0,253.0,249.5,249.5,-2.50,82.0,False,,,
111/03/03,65954.0,16604871.0,254.0,254.0,250.0,252.0,+2.50,86.0,False,,,
111/03/04,116197.0,28878738.0,250.0,250.0,247.0,248.0,-4.00,127.0,False,,,
111/03/07,217990.0,52149075.0,245.0,245.0,235.5,238.5,-9.50,254.0,False,,,
111/03/08,156291.0,36367617.0,233.0,238.5,230.5,231.0,-7.50,245.0,False,,,
111/03/09,76488.0,18014051.0,242.0,242.5,233.0,235.0,+4.00,108.0,False,,,
111/03/10,82646.0,20111784.0,244.5,245.0,240.5,244.0,+9.00,88.0,False,,,
111/03/11,72965.0,17565752.0,241.0,244.0,239.0,239.0,-5.00,81.0,False,0.3617021276595745,0.4539007092198582,0.4846335697399527
111/03/14,94201.0,22317331.0,242.0,242.0,234.0,234.5,-4.50,90.0,False,0.1702127659574468,0.359338061465721,0.4428684003152088
111/03/15,112137.0,26133832.0,235.0,235.0,231.0,231.0,-3.50,120.0,False,0.02127659574468085,0.2466509062253743,0.3774625689519306
111/03/16,127320.0,29488203.0,231.5,237.0,230.0,233.0,+2.00,137.0,False,0.15,0.2144339374835829,0.3231196917958147
111/03/17,189390.0,45866594.0,234.0,248.5,234.0,248.5,+15.50,183.0,False,1.0,0.4762892916557218,0.3741762250824504
111/03/18,124094.0,30824509.0,248.5,251.5,245.0,247.0,-1.50,142.0,False,0.7906976744186046,0.5810920859100162,0.44314817869163897
111/03/21,86531.0,21313498.0,250.0,250.0,244.5,245.0,-2.00,102.0,False,0.6976744186046512,0.6199528634748944,0.5020830736193908
111/03/22,105256.0,25763510.0,242.0,247.0,242.0,246.0,+1.00,111.0,False,0.7441860465116279,0.6613639244871389,0.5551766905753067
111/03/23,227380.0,56634569.0,246.0,252.0,244.5,251.0,+5.00,202.0,False,0.9545454545454546,0.7590911011732441,0.6231481607746192
111/03/24,170391.0,42232510.0,250.0,251.5,244.5,249.0,-2.00,174.0,False,0.8636363636363636,0.7939395219942839,0.6800786145145074
111/03/25,127027.0,31574964.0,247.0,251.0,245.5,249.5,+0.50,142.0,False,0.8863636363636364,0.8247475601174012,0.7283015963821386
111/03/28,174043.0,43336861.0,250.0,250.5,245.5,248.5,-1.00,126.0,False,0.8409090909090909,0.8301347370479644,0.7622459766040806
111/03/29,151993.0,37722376.0,248.5,252.0,246.0,248.5, 0.00,133.0,False,0.8055555555555556,0.8219416765504947,0.7821445432528853
111/03/30,306298.0,77810183.0,248.5,256.0,248.5,255.0,+6.50,300.0,False,0.9285714285714286,0.8574849272241393,0.8072580045766367
111/03/31,156656.0,39053430.0,250.0,250.5,248.5,249.0,X0.00,163.0,False,0.5,0.7383232848160928,0.7842797646564552
111/04/01,252092.0,64227811.0,249.0,259.5,246.0,259.5,+10.50,284.0,False,1.0,0.8255488565440618,0.7980361286189906
111/04/06,143083.0,36765905.0,259.5,261.0,254.0,257.0,-2.50,166.0,False,0.7575757575757576,0.8028911568879603,0.7996544713753138
111/04/07,168647.0,42235588.0,252.0,255.0,248.0,248.0,-9.00,192.0,False,0.21212121212121213,0.6059678419657109,0.7350922615721127
111/04/08,184508.0,46643813.0,250.5,256.5,248.0,253.5,+5.50,166.0,False,0.5161290322580645,0.5760215720631621,0.6820686984024624
111/04/11,920312.0,243628735.0,260.5,270.5,256.5,256.5,+3.00,817.0,False,0.44,0.5306810480421079,0.6316061482823443
111/04/12,198086.0,50090781.0,256.5,259.0,251.0,253.0,-3.50,217.0,False,0.2857142857142857,0.44902546059950055,0.5707459190547297
111/04/13,755693.0,201011414.0,257.0,270.0,256.0,266.5,+13.50,745.0,False,0.8367346938775511,0.578261871692184,0.5732512366005478
111/04/14,391459.0,104135405.0,270.0,270.5,261.0,267.0,+0.50,382.0,False,0.8571428571428571,0.6712222001757417,0.6059082244589458
111/04/15,489429.0,125885432.0,266.0,266.0,252.0,253.5,-13.50,482.0,False,0.30612244897959184,0.5495222831103584,0.5871129106760833
111/04/18,305023.0,76245181.0,258.0,258.0,247.0,253.0,-0.50,293.0,False,0.2553191489361702,0.4514545717189623,0.541893464357043
111/04/19,169628.0,43262515.0,254.0,260.0,251.5,251.5,-1.50,178.0,False,0.1914893617021277,0.3647995017133507,0.4828621434758122
111/04/20,287839.0,73501701.0,252.0,260.0,247.5,258.0,+6.50,291.0,False,0.4680851063829787,0.3992280366032267,0.454984107851617
111/04/21,117736.0,30571499.0,258.5,263.0,256.5,256.5,-1.50,142.0,False,0.40425531914893614,0.4009037974517965,0.4369573377183435
