日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,12362683.0,869176914.0,71.0,72.0,69.5,70.2,+0.90,13691.0,False,,,,,,
111/03/02,7525584.0,537461231.0,70.5,72.0,70.0,71.9,+1.70,4525.0,False,,,,,,
111/03/03,6848425.0,495542601.0,72.0,72.8,71.8,72.8,+0.90,3871.0,False,,,,,,
111/03/04,5606834.0,407489023.0,72.5,73.2,71.2,73.2,+0.40,3559.0,False,,,,,,
111/03/07,7642155.0,548335681.0,71.9,72.5,70.7,71.9,-1.30,4524.0,False,,,,,,
111/03/08,8328711.0,603077593.0,71.0,73.3,71.0,73.0,+1.10,4661.0,False,,,,,,
111/03/09,7100581.0,516708728.0,73.0,73.3,72.3,73.3,+0.30,4731.0,False,,,,,,
111/03/10,4418102.0,322975606.0,73.4,73.4,72.8,73.3, 0.00,2878.0,False,,,,,,
111/03/11,3678375.0,268192295.0,73.3,73.3,72.5,73.2,-0.10,2204.0,False,0.948717948717948,0.6495726495726493,0.5498575498575498,,,
111/03/14,5015635.0,365976486.0,73.2,73.3,72.5,73.2, 0.00,2525.0,False,0.9411764705882344,0.7467739232445111,0.6154963409865368,,,
111/03/15,6258334.0,459207087.0,73.4,74.0,72.6,74.0,+0.80,3530.0,False,1.0,0.8311826154963406,0.6873917658231381,,,
111/03/16,8508849.0,632464545.0,73.5,75.0,73.5,75.0,+1.00,4610.0,False,1.0,0.8874550769975604,0.7540795362146122,,,
111/03/17,8404685.0,622603119.0,75.3,75.7,73.1,73.5,-1.50,5819.0,False,0.5599999999999994,0.7783033846650401,0.7621541523647548,,,
111/03/18,13678940.0,995205263.0,73.3,73.9,72.2,72.8,-0.70,4286.0,False,0.3829787234042545,0.6465284975781115,0.7236122674358736,,,
111/03/21,2089300.0,152692144.0,72.8,73.5,72.8,73.0,+0.20,1827.0,False,0.22857142857142776,0.5072094745758835,0.6514780031492102,,,
111/03/22,3746927.0,272121122.0,73.0,73.1,72.3,72.8,-0.20,2825.0,False,0.1714285714285698,0.3952825068601121,0.5660795043861775,,,
111/03/23,3823792.0,276754522.0,72.5,72.7,72.1,72.5,-0.30,2327.0,False,0.11111111111111242,0.3005587082771123,0.4775725723498224,,,
111/03/24,5352340.0,390618983.0,72.5,73.5,72.3,73.5,+1.00,3295.0,False,0.3888888888888896,0.3300021018143714,0.4283824155046721,,,
111/03/25,4954585.0,363253631.0,72.9,73.7,72.9,73.5, 0.00,2824.0,False,0.3888888888888896,0.3496310308392108,0.4021319539495183,,,
111/03/28,3101953.0,226906603.0,72.5,73.4,72.5,73.3,-0.20,2067.0,False,0.3333333333333333,0.34419846500391826,0.3828207909676515,,,
111/03/29,3481606.0,254818815.0,73.4,73.5,73.0,73.2,-0.10,1827.0,False,0.3055555555555572,0.33131749518779785,0.36565302570770025,,,
111/03/30,5156365.0,379069983.0,73.4,73.9,73.3,73.7,+0.50,2736.0,False,0.8888888888888881,0.5171746264214946,0.4161602259456317,,,
111/03/31,4333273.0,319386406.0,74.4,74.4,73.4,73.5,-0.20,1802.0,False,0.6086956521739125,0.5476816350056338,0.4600006956322991,,,
111/04/01,3690461.0,269255643.0,73.0,73.5,72.6,73.1,-0.40,2421.0,False,0.4347826086956501,0.5100486262356392,0.4766833391667458,,,
111/04/06,5822328.0,428781520.0,73.0,74.0,72.8,73.9,+0.80,3340.0,False,0.7826086956521751,0.6009019827078177,0.5180895536804364,,,
111/04/07,7302074.0,541296884.0,73.5,74.7,73.2,73.9, 0.00,4929.0,False,0.6666666666666686,0.6228235440274347,0.5530008837961025,,,
111/04/08,5513343.0,408856936.0,74.4,74.6,73.6,74.6,+0.70,4029.0,False,0.9545454545454508,0.7333975142001067,0.6131330939307705,,,
111/04/11,5312397.0,396327234.0,74.1,75.0,74.0,74.7,+0.10,3907.0,False,0.8800000000000011,0.7822650094667379,0.6695103991094263,,,
111/04/12,5206763.0,389774231.0,74.6,75.0,74.4,75.0,+0.30,3707.0,False,1.0,0.8548433396444919,0.7312880459544482,,,
111/04/13,4049260.0,303128564.0,75.3,75.3,74.6,74.7,-0.30,3574.0,False,0.7777777777777801,0.8291548190222546,0.7639103036437169,,,
111/04/14,3447334.0,256367442.0,74.6,74.9,74.1,74.1,-0.60,2062.0,False,0.555555555555555,0.7379550645333547,0.7552585572735961,,,
111/04/15,7809393.0,588766189.0,74.5,75.9,74.3,75.5,+1.40,5907.0,False,0.8787878787878775,0.7848993359515289,0.7651388168329071,,,
111/04/18,10720703.0,822375631.0,74.7,77.4,74.7,76.9,+1.40,6442.0,False,0.8913043478260871,0.8203676732430483,0.7835484356362874,,,
111/04/19,4455960.0,340941131.0,77.1,77.2,76.1,76.1,-0.80,4317.0,False,0.6904761904761879,0.7770705123207615,0.7813891278644454,,,
111/04/20,8248532.0,635657263.0,76.5,77.8,76.1,77.8,+1.70,6353.0,False,1.0,0.8513803415471743,0.804719532425355,,,
111/04/21,4338046.0,335239419.0,77.8,78.3,76.9,77.1,-0.70,4050.0,False,0.7209302325581387,0.8078969718841624,0.8057786789116241,,,
111/04/22,4211923.0,326106783.0,76.3,77.9,76.2,77.7,+0.60,3615.0,False,0.8571428571428585,0.8243122669703944,0.8119565415978808,,,
111/04/25,7117148.0,554920197.0,77.0,78.8,76.8,78.3,+0.60,5321.0,False,0.8936170212765958,0.8474138517391281,0.8237756449782965,,,
111/04/26,13310956.0,1061451774.0,78.9,80.5,78.3,80.5,+2.20,8303.0,False,1.0,0.8982759011594186,0.8486090637053372,,,
111/04/27,12245740.0,997063713.0,80.5,82.2,80.0,81.4,+0.90,8270.0,False,0.8987341772151903,0.8984286598446758,0.8652155957517833,,,
111/04/28,7937082.0,646173264.0,81.3,82.0,80.5,82.0,+0.60,5353.0,False,0.9733333333333328,0.9233968843408948,0.8846093586148205,,,
111/04/29,8154512.0,671835010.0,82.0,83.0,81.5,82.8,+0.80,4730.0,False,0.9710144927536228,0.9392694204784708,0.9028293792360372,,,
111/05/03,7059340.0,571440885.0,82.3,82.6,80.1,81.0,-1.80,5591.0,False,0.7101449275362322,0.8628945894977246,0.8895177826565996,,,
111/05/04,10255024.0,812901799.0,80.7,80.8,78.6,79.4,-1.60,6747.0,False,0.4705882352941183,0.7321258047631891,0.8370537900254627,,,
111/05/05,7392868.0,592335760.0,80.5,81.3,79.2,80.0,+0.60,5034.0,False,0.5588235294117645,0.6743583796460475,0.7828219865656575,,,
111/05/06,8632518.0,689142582.0,78.0,80.8,78.0,79.8,-0.20,5651.0,False,0.4838709677419353,0.6108625756780101,0.7255021829364416,,,
111/05/09,4490319.0,356284036.0,78.6,80.0,78.6,79.4,-0.40,2507.0,False,0.28000000000000114,0.500575050452007,0.6505264721082967,,,
111/05/10,10344403.0,838709448.0,79.0,81.9,78.8,81.8,+2.40,5842.0,False,0.7599999999999995,0.5870500336346711,0.6293676592837548,,,
111/05/11,7645614.0,625804086.0,81.3,82.3,81.0,82.1,+0.30,4628.0,False,0.8199999999999988,0.6647000224231137,0.6411451136635411,,,
111/05/12,8151760.0,661885096.0,81.7,82.0,80.7,81.2,-0.90,5948.0,False,0.6400000000000006,0.6564666816154092,0.6462523029808305,,,
111/05/13,7290186.0,598092570.0,81.5,82.3,81.3,82.2,+1.00,4970.0,False,0.9130434782608712,0.7419922804972299,0.6781656288196303,,,
111/05/16,7855970.0,644664951.0,82.4,82.5,81.5,82.1,-0.10,4733.0,False,0.91111111111111,0.7983652240351898,0.7182321605581501,,,
111/05/17,4441007.0,365288079.0,83.0,83.0,81.7,82.0,-0.10,3103.0,False,0.8,0.7989101493567932,0.7451248234910309,,,
111/05/18,8104365.0,668249643.0,81.5,83.1,81.5,83.1,+1.10,5068.0,False,1.0,0.8659400995711954,0.7853965821844191,,,
111/05/19,5701063.0,469048839.0,81.5,82.7,81.5,82.4,-0.70,3633.0,False,0.844444444444447,0.8587748811956126,0.8098560151881502,,,
111/05/20,8790812.0,727316329.0,82.4,83.5,82.0,83.0,+0.60,4656.0,False,0.8936170212765958,0.8703889278892736,0.8300336527551913,,,
111/05/23,6419023.0,523302073.0,82.9,82.9,81.0,81.4,-1.60,3744.0,False,0.2500000000000013,0.6635926185928493,0.7745533080344106,,,
111/05/24,8459552.0,680004239.0,80.9,81.8,80.0,80.4,-1.00,4376.0,False,0.1142857142857159,0.4804903171571382,0.6765323110753197,,,
111/05/25,7975776.0,651078701.0,80.5,82.2,80.5,82.2,+1.80,4071.0,False,0.6285714285714293,0.5298506876285686,0.6276384365930694,,,
