日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,1948404.0,102526720.0,52.4,52.9,52.1,52.9,+0.60,1369.0,False,,,
111/03/02,1857550.0,97217044.0,52.6,52.7,52.1,52.4,-0.50,1532.0,False,,,
111/03/03,4926859.0,256513382.0,52.2,52.7,51.8,52.1,-0.30,3099.0,False,,,
111/03/04,1982480.0,103385338.0,52.0,52.5,51.7,52.1, 0.00,1370.0,False,,,
111/03/07,3184600.0,163817594.0,51.7,52.0,51.1,51.2,-0.90,2372.0,False,,,
111/03/08,3752574.0,189959188.0,50.9,51.5,50.0,50.0,-1.20,2697.0,False,,,
111/03/09,2247909.0,114529664.0,50.9,51.5,50.5,51.2,+1.20,1692.0,False,,,
111/03/10,2397075.0,124400752.0,52.0,52.2,51.5,51.9,+0.70,1714.0,False,,,
111/03/11,1608398.0,82759836.0,51.5,52.0,51.2,51.4,-0.50,1401.0,False,0.4827586206896549,0.4942528735632183,0.4980842911877394
111/03/14,2040315.0,104528316.0,51.6,51.8,50.9,51.7,+0.30,1464.0,False,0.62962962962963,0.5393784589186887,0.5118490137647225
111/03/15,1684079.0,86215451.0,51.5,51.6,50.8,51.1,-0.60,1125.0,False,0.4074074074074075,0.4953881084149283,0.506362045314791
111/03/16,869636.0,44585048.0,51.6,51.8,51.0,51.2,+0.10,667.0,False,0.4800000000000012,0.4902587389432858,0.5009942765242892
111/03/17,1574532.0,81508686.0,51.8,52.0,51.6,51.8,+0.60,1116.0,False,0.8181818181818158,0.5995664320227958,0.5338516616904581
111/03/18,1117426.0,57922389.0,51.9,52.0,51.6,52.0,+0.20,663.0,False,0.9090909090909081,0.7027412577121666,0.5901481936976942
111/03/21,1439679.0,74871047.0,51.9,52.2,51.9,51.9,-0.10,892.0,False,0.8235294117647036,0.7430039757296789,0.6411001210416891
111/03/22,1024776.0,53242286.0,52.0,52.1,51.7,52.0,+0.10,767.0,False,0.8571428571428557,0.7810502695340711,0.6877501705391498
111/03/23,1481955.0,77420771.0,52.3,52.4,52.1,52.2,+0.20,1057.0,False,0.8750000000000028,0.8123668463560483,0.7292890624781159
111/03/24,1414400.0,73974968.0,52.0,52.5,51.9,52.3,+0.10,1007.0,False,0.8823529411764691,0.8356955446295219,0.7647578898619178
111/03/25,1294899.0,67524841.0,52.5,52.5,51.9,52.1,-0.20,890.0,False,0.7647058823529425,0.812032323870662,0.7805160345314992
111/03/28,1663809.0,85849200.0,51.7,51.9,51.3,51.7,-0.40,1231.0,False,0.4666666666666686,0.6969104381359974,0.7526475023996653
111/03/29,1023184.0,53200191.0,52.0,52.2,51.8,51.9,+0.20,803.0,False,0.5,0.6312736254239982,0.7121895434077762
111/03/30,1205476.0,62938160.0,52.3,52.4,52.0,52.1,+0.20,874.0,False,0.6666666666666686,0.6430713058382217,0.6891501308845913
111/03/31,1138032.0,59068020.0,52.2,52.3,51.7,52.1, 0.00,868.0,False,0.6666666666666686,0.6509364261143706,0.6764122292945177
111/04/01,1305930.0,68277146.0,51.8,52.9,51.5,52.9,+0.80,864.0,False,1.0,0.7672909507429138,0.7067051364439829
111/04/06,16035529.0,874466848.0,53.1,55.3,52.7,55.3,+2.40,8167.0,False,1.0,0.8448606338286091,0.752756968905525
111/04/07,11219437.0,607801382.0,54.6,55.1,53.6,53.6,-1.70,7039.0,False,0.5750000000000011,0.754907089219073,0.7534736756767076
111/04/08,3839220.0,205691420.0,54.0,54.2,53.1,53.9,+0.30,2488.0,False,0.6500000000000004,0.719938059479382,0.7422951369442657
111/04/11,5096479.0,269950764.0,54.4,54.4,51.9,51.9,-2.00,3402.0,False,0.15000000000000036,0.5299587063195882,0.6715163267360399
111/04/12,5327051.0,282246056.0,51.6,53.5,51.6,53.4,+1.50,3157.0,False,0.5,0.5199724708797254,0.6210017081172684
111/04/13,6691993.0,363436958.0,54.0,54.7,53.9,54.2,+0.80,4026.0,False,0.710526315789475,0.5834904191829753,0.6084979451391707
111/04/14,17623645.0,981030489.0,54.7,56.4,54.5,55.3,+1.10,10773.0,False,0.7755102040816323,0.6474970141491942,0.6214976348091785
111/04/15,7303419.0,405416334.0,55.4,56.2,55.0,55.6,+0.30,4722.0,False,0.8367346938775515,0.7105762407253133,0.6511905034478901
111/04/18,5022652.0,277535760.0,56.1,56.2,54.5,54.8,-0.80,3895.0,False,0.6666666666666662,0.6959397160390977,0.6661069076449593
111/04/19,3064263.0,169037582.0,55.4,55.6,54.7,55.3,+0.50,1929.0,False,0.7708333333333329,0.7209042551371759,0.6843726901423648
111/04/20,8068376.0,453925206.0,55.8,56.8,55.6,56.4,+1.10,4762.0,False,0.9230769230769232,0.788295144450425,0.7190135082450515
111/04/21,14005190.0,806863753.0,56.9,58.0,56.8,58.0,+1.60,7854.0,False,1.0,0.8588634296336166,0.7656301487079065
111/04/22,6918921.0,400131200.0,57.6,58.4,57.3,57.9,-0.10,4469.0,False,0.926470588235294,0.881399149167509,0.8042198155277741
111/04/25,5517402.0,312030346.0,57.0,57.3,55.8,56.5,-1.40,3526.0,False,0.5777777777777781,0.780192025370932,0.7962105521421601
111/04/26,6154612.0,353620422.0,57.0,58.0,56.6,57.9,+1.40,3715.0,False,0.8717948717948717,0.8107263075122452,0.8010491372655217
111/04/27,6652854.0,370717425.0,56.3,57.0,54.8,56.1,-1.80,4513.0,False,0.4102564102564108,0.6772363417603003,0.7597782054304478
111/04/28,6206870.0,352972174.0,56.4,58.1,55.5,58.1,+2.00,3370.0,False,0.9230769230769238,0.7591832021991748,0.7595798710200234
111/04/29,12618953.0,715686020.0,58.5,58.7,55.7,55.9,-2.20,6963.0,False,0.2999999999999989,0.6061221347994494,0.708427292279832
111/05/03,15451404.0,896051884.0,56.2,58.5,56.1,58.1,+2.20,7843.0,False,0.8461538461538459,0.686132705250915,0.7009957632701931
111/05/04,6054732.0,349540197.0,58.2,58.3,57.1,57.6,-0.50,3797.0,False,0.7179487179487181,0.6967380428168493,0.6995765231190784
111/05/05,9187035.0,539328736.0,58.2,59.1,58.0,58.7,+1.10,5280.0,False,0.9069767441860468,0.7668176099399151,0.7219902187260239
111/05/06,4046936.0,231858011.0,57.0,57.8,56.8,57.5,-1.20,2635.0,False,0.627906976744186,0.7205140655413387,0.7214981676644621
111/05/09,4081030.0,228714676.0,57.1,57.1,55.3,55.4,-2.10,2772.0,False,0.13953488372093042,0.5268543382678692,0.6566168911989311
111/05/10,2785507.0,155746490.0,54.8,56.7,54.3,56.7,+1.30,1934.0,False,0.5000000000000008,0.5179028921785798,0.6103788915254806
111/05/11,2499931.0,139364016.0,56.1,56.5,55.4,55.8,-0.90,1611.0,False,0.3124999999999997,0.4494352614523864,0.5567310148344492
111/05/12,2403030.0,133062586.0,55.4,56.0,54.9,55.1,-0.70,1634.0,False,0.1666666666666674,0.35517906319048004,0.4895470309531261
111/05/13,1820599.0,101612474.0,55.7,56.0,55.4,55.8,+0.70,1357.0,False,0.3124999999999997,0.34095270879365325,0.4400155902333017
111/05/16,4270361.0,234949854.0,56.2,56.4,54.3,54.7,-1.10,2512.0,False,0.08333333333333444,0.2550795836402136,0.3783702547022724
111/05/17,2579899.0,144211870.0,55.3,56.3,55.1,56.0,+1.30,1740.0,False,0.35416666666666696,0.28810861131569804,0.3482830402400809
111/05/18,2621114.0,147243382.0,56.5,56.8,55.8,56.2,+0.20,1622.0,False,0.5428571428571445,0.37302478849618015,0.35653028965878064
111/05/19,6607981.0,377389510.0,55.4,57.9,55.3,57.9,+1.70,4263.0,False,1.0,0.5820165256641201,0.4316923683272271
111/05/20,15409982.0,910170434.0,58.2,59.9,57.5,59.3,+1.40,8861.0,False,0.8928571428571427,0.6856300647284611,0.5163382671276384
111/05/23,16120567.0,964794415.0,59.5,60.5,58.6,60.0,+0.70,8714.0,False,0.9193548387096776,0.7635383227221998,0.5987382856591589
