日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,2442102.0,229945288.0,93.2,95.0,92.7,94.4,+2.40,1630.0,False,,,
111/03/02,996254.0,93699536.0,93.5,94.5,93.5,94.3,-0.10,874.0,False,,,
111/03/03,1624062.0,153523431.0,94.7,95.0,94.1,94.8,+0.50,1386.0,False,,,
111/03/04,1315150.0,123306761.0,94.0,94.4,93.2,93.9,-0.90,1011.0,False,,,
111/03/07,3195267.0,292527851.0,93.4,93.4,90.8,91.7,-2.20,2321.0,False,,,
111/03/08,2016023.0,184103957.0,91.9,92.8,90.3,91.0,-0.70,1592.0,False,,,
111/03/09,1084880.0,100041718.0,92.5,92.8,91.4,92.2,+1.20,1164.0,False,,,
111/03/10,1982384.0,187608870.0,93.8,95.3,93.5,95.0,+2.80,1655.0,False,,,
111/03/11,1154647.0,109270862.0,94.2,94.9,94.2,94.4,-0.60,850.0,False,0.8200000000000017,0.6066666666666671,0.5355555555555557
111/03/14,1402566.0,133379225.0,94.7,95.7,94.3,95.3,+0.90,1149.0,False,0.9259259259259248,0.7130864197530864,0.5947325102880658
111/03/15,2012888.0,187960027.0,94.6,94.6,92.6,92.9,-2.40,1675.0,False,0.4814814814814826,0.6358847736625518,0.6084499314128945
111/03/16,2795794.0,265306741.0,93.5,96.0,93.5,96.0,+3.10,2076.0,False,1.0,0.7572565157750345,0.6580521262002744
111/03/17,17347799.0,1770787786.0,99.0,105.0,98.7,104.0,+8.00,10012.0,False,0.9319727891156464,0.8154952735552383,0.7105331753185957
111/03/18,17074272.0,1820171718.0,104.0,108.0,104.0,107.5,+3.50,10155.0,False,0.9717514124293786,0.8675806531799517,0.7628823346057143
111/03/21,13098286.0,1422994815.0,109.5,110.5,107.0,108.5,+1.00,8067.0,False,0.8952879581151832,0.8768164214916956,0.800860363567708
111/03/22,5716741.0,618888116.0,107.5,109.0,106.5,109.0,+0.50,3774.0,False,0.9162011173184358,0.8899446534339422,0.8305551268564526
111/03/23,11563211.0,1272750645.0,110.5,111.0,109.0,109.5,+0.50,8312.0,False,0.9184782608695652,0.8994558559124832,0.8535220365417959
111/03/24,5048377.0,551958685.0,109.0,110.5,108.0,110.0,+0.50,3857.0,False,0.9456521739130436,0.9148546285793364,0.8739662338876428
111/03/25,8022884.0,885176351.0,110.0,112.0,108.0,109.5,-0.50,4909.0,False,0.8711340206185567,0.9002810925924098,0.8827378534558985
111/03/28,10335544.0,1145945907.0,109.5,112.0,108.0,112.0,+2.50,6244.0,False,1.0,0.9335207283949398,0.8996654784355789
111/03/29,7467360.0,833432840.0,113.0,113.5,110.5,110.5,-1.50,6378.0,False,0.7972972972972973,0.8881129180290589,0.8958146249667388
111/03/30,6955408.0,760764799.0,111.0,111.5,108.5,109.5,-1.00,5091.0,False,0.5789473684210527,0.7850577348263901,0.8588956615866226
