日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,4361672.0,971705146.0,223.5,225.0,220.0,222.5,+1.50,4045.0,False,,,,,,
111/03/02,3589690.0,787951205.0,221.0,224.0,217.0,220.0,-2.50,2952.0,False,,,,,,
111/03/03,2522776.0,559799879.0,223.0,225.0,220.0,220.0, 0.00,2510.0,False,,,,,,
111/03/04,1438729.0,314249205.0,217.5,220.0,217.0,217.5,-2.50,1504.0,False,,,,,,
111/03/07,3486395.0,726210718.0,215.0,215.0,205.0,205.5,-12.00,3494.0,False,,,,,,
111/03/08,3405330.0,685027393.0,200.0,207.0,198.0,198.0,-7.50,3573.0,False,,,,,,
111/03/09,2151571.0,438908513.0,202.0,207.0,201.0,204.5,+6.50,2037.0,False,,,,,,
111/03/10,2245583.0,476171788.0,210.0,213.5,210.0,213.0,+8.50,2024.0,False,,,,,,
111/03/11,1650257.0,346906967.0,209.5,212.5,208.0,210.5,-2.50,1849.0,False,0.462962962962963,0.4876543209876543,0.4958847736625514,,,
111/03/14,1754032.0,374067337.0,214.0,215.0,210.5,214.5,+4.00,1471.0,False,0.6111111111111112,0.5288065843621399,0.5068587105624143,,,
111/03/15,2235847.0,462935884.0,213.5,213.5,204.0,204.0,-10.50,2220.0,False,0.2222222222222222,0.42661179698216734,0.4801097393689986,,,
111/03/16,2151932.0,447498938.0,209.0,211.0,205.0,207.0,+3.00,1809.0,False,0.4090909090909091,0.42077150101841454,0.4603303265854705,,,
111/03/17,3284576.0,705391991.0,213.0,217.0,212.0,215.5,+8.50,2777.0,False,0.9210526315789472,0.5875318778719254,0.5027308436809554,,,
111/03/18,2113932.0,457556921.0,215.5,218.5,214.5,218.0,+2.50,1844.0,False,0.975609756097561,0.7168911706138039,0.5741176193252382,,,
111/03/21,1897984.0,414217129.0,219.0,221.5,216.0,217.5,-0.50,1647.0,False,0.8048780487804879,0.7462201300026985,0.6314851228843916,,,
111/03/22,1661532.0,355340806.0,216.0,216.0,212.0,213.5,-4.00,1547.0,False,0.5428571428571428,0.6784324676208466,0.6471342377965432,,,
111/03/23,1897779.0,411471485.0,215.5,218.5,215.5,216.0,+2.50,1592.0,False,0.6857142857142857,0.6808597403186596,0.658376071970582,,,
111/03/24,1456668.0,311873662.0,216.0,216.0,212.0,215.5,-0.50,1419.0,False,0.6571428571428571,0.6729541125933921,0.663235418844852,,,
111/03/25,1559602.0,335285281.0,217.0,219.0,212.5,212.5,-3.00,1434.0,False,0.4857142857142857,0.6105408369670233,0.6456705582189091,,,
111/03/28,1529391.0,317774963.0,209.0,209.0,205.5,207.5,-5.00,1414.0,False,0.15151515151515152,0.4575322751497327,0.5829577971958503,,,
111/03/29,871311.0,182473797.0,210.5,212.5,207.5,208.0,+0.50,948.0,False,0.15625,0.3571048500998218,0.5076734814971741,,,
111/03/30,1035396.0,216725456.0,211.0,212.0,207.5,209.0,+1.00,1011.0,False,0.21875,0.3109865667332145,0.4421111765758542,,,
111/03/31,1024636.0,211677267.0,209.5,209.5,205.5,205.5,-3.50,1033.0,False,0.0,0.207324377822143,0.3638489103246171,,,
111/04/01,1089563.0,221899845.0,202.0,205.5,201.0,205.5, 0.00,1083.0,False,0.25,0.221549585214762,0.3164158019546653,,,
111/04/06,995601.0,201479943.0,202.0,203.5,201.5,203.0,-2.50,1053.0,False,0.1111111111111111,0.184736760513545,0.2725227881409585,,,
111/04/07,2974971.0,606449052.0,205.0,209.0,199.5,199.5,-3.50,2725.0,False,0.0,0.12315784034236335,0.22273447220809348,,,
111/04/08,1075520.0,218001732.0,203.0,204.5,201.0,203.0,+3.50,1258.0,False,0.1794871794871795,0.1419342867239687,0.19580107704671854,,,
111/04/11,1865970.0,373347825.0,203.0,203.5,198.0,201.0,-2.00,1775.0,False,0.206896551724138,0.16358837505735846,0.18506350971693186,,,
111/04/12,1282747.0,255920483.0,199.5,201.5,197.5,199.5,-1.50,1211.0,False,0.13333333333333333,0.1535033611493501,0.1745434601944046,,,
111/04/13,924088.0,185657984.0,201.5,202.5,199.0,201.0,+1.50,1051.0,False,0.2413793103448276,0.18279534421450927,0.17729408820110615,,,
