日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,1118776.0,243822523.0,214.5,221.0,214.0,220.0,+6.50,1140.0,False,,,,,,
111/03/02,823055.0,177702045.0,217.0,217.5,214.0,216.5,-3.50,1507.0,False,,,,,,
111/03/03,616319.0,134289023.0,219.0,222.0,215.0,215.5,-1.00,1914.0,False,,,,,,
111/03/04,937558.0,198064910.0,214.5,214.5,210.0,210.0,-5.50,2424.0,False,,,,,,
111/03/07,1805800.0,358250310.0,210.0,210.0,193.0,193.0,-17.00,2231.0,False,,,,,,
111/03/08,2627480.0,483652016.0,187.5,194.5,178.0,178.5,-14.50,6872.0,False,,,,,,
111/03/09,1650458.0,298676814.0,184.5,184.5,178.0,180.0,+1.50,6214.0,False,,,,,,
111/03/10,2004539.0,386351776.0,186.0,197.5,184.5,195.5,+15.50,5221.0,False,,,,,,
111/03/11,1387838.0,261425963.0,192.0,192.5,186.0,188.5,-7.00,4271.0,False,0.23863636363636365,0.4128787878787879,0.4709595959595959,,,
111/03/14,807306.0,150794765.0,190.0,191.5,184.0,186.0,-2.50,983.0,False,0.18181818181818185,0.3358585858585858,0.4259259259259258,,,
111/03/15,1561966.0,275887280.0,183.0,183.5,173.0,174.0,-12.00,2307.0,False,0.020408163265306117,0.23070844499415924,0.3608534322820036,,,
111/03/16,1020435.0,178650476.0,178.5,178.5,171.5,175.0,+1.00,2467.0,False,0.08139534883720931,0.1809374129418425,0.3008814258352833,,,
111/03/17,1563270.0,283251577.0,181.0,184.0,179.5,180.0,+5.00,2881.0,False,0.2207792207792208,0.194218015554302,0.2653269557416228,,,
111/03/18,1065915.0,193008619.0,181.5,185.0,176.0,184.5,+4.50,1135.0,False,0.5,0.29614534370286794,0.2755997517287045,,,
111/03/21,746286.0,138904149.0,187.5,190.0,183.5,184.5, 0.00,2033.0,False,0.5,0.364096895801912,0.3050987997531069,,,
